 
PGA:,  0.17 g
PGV:,  7.38 cm/s
PGD:,  1.00 cm
Arias Intensity:,  17.09 cm/s
Significant duration:,   7.89 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.026	, 0.165
0.1010	, 0.101	, 6.273	, 0.398
0.2010	, 0.234	, 7.305	, 0.233
0.3010	, 0.566	, 11.818	, 0.251
0.4010	, 1.034	, 16.202	, 0.259
0.5010	, 1.354	, 16.984	, 0.217
0.6010	, 1.747	, 18.268	, 0.195
0.7010	, 1.997	, 17.904	, 0.164
0.8010	, 1.614	, 12.658	, 0.101
0.9010	, 2.388	, 16.656	, 0.118
1.0010	, 2.774	, 17.412	, 0.111
1.1010	, 3.951	, 22.549	, 0.131
1.2010	, 3.356	, 17.559	, 0.094
1.3010	, 2.689	, 12.985	, 0.064
1.4010	, 2.502	, 11.222	, 0.051
1.5010	, 2.188	, 9.158	, 0.039
1.6010	, 2.111	, 8.285	, 0.033
1.7010	, 1.988	, 7.342	, 0.028
1.8010	, 1.848	, 6.449	, 0.023
1.9010	, 1.693	, 5.596	, 0.019
2.0010	, 1.758	, 5.519	, 0.018
2.1010	, 1.728	, 5.168	, 0.016
2.2010	, 1.467	, 4.187	, 0.012
2.3010	, 1.398	, 3.817	, 0.011
2.4010	, 1.367	, 3.578	, 0.010
2.5010	, 1.283	, 3.223	, 0.008
2.6010	, 1.250	, 3.020	, 0.007
2.7010	, 1.258	, 2.926	, 0.007
2.8010	, 1.294	, 2.902	, 0.007
2.9010	, 1.325	, 2.870	, 0.006
3.0010	, 1.353	, 2.832	, 0.006
3.1010	, 1.377	, 2.789	, 0.006
3.2010	, 1.397	, 2.742	, 0.005
3.3010	, 1.414	, 2.691	, 0.005
3.4010	, 1.428	, 2.638	, 0.005
3.5010	, 1.439	, 2.582	, 0.005
3.6010	, 1.447	, 2.526	, 0.004
3.7010	, 1.454	, 2.468	, 0.004
3.8010	, 1.458	, 2.411	, 0.004
3.9010	, 1.461	, 2.353	, 0.004
4.0010	, 1.462	, 2.296	, 0.004
4.1010	, 1.462	, 2.241	, 0.003
4.2010	, 1.461	, 2.186	, 0.003
4.3010	, 1.459	, 2.132	, 0.003
4.4010	, 1.457	, 2.080	, 0.003
4.5010	, 1.453	, 2.028	, 0.003
4.6010	, 1.449	, 1.979	, 0.003
4.7010	, 1.444	, 1.930	, 0.003
4.8010	, 1.439	, 1.883	, 0.003
4.9010	, 1.434	, 1.838	, 0.002
5.0010	, 1.428	, 1.794	, 0.002
5.1010	, 1.422	, 1.751	, 0.002
5.2010	, 1.416	, 1.710	, 0.002
5.3010	, 1.409	, 1.670	, 0.002
5.4010	, 1.403	, 1.632	, 0.002
5.5010	, 1.396	, 1.595	, 0.002
5.6010	, 1.390	, 1.559	, 0.002
5.7010	, 1.383	, 1.524	, 0.002
5.8010	, 1.377	, 1.491	, 0.002
5.9010	, 1.370	, 1.459	, 0.002
6.0010	, 1.364	, 1.428	, 0.002
6.1010	, 1.357	, 1.398	, 0.001
6.2010	, 1.351	, 1.369	, 0.001
6.3010	, 1.345	, 1.341	, 0.001
6.4010	, 1.339	, 1.314	, 0.001
6.5010	, 1.332	, 1.288	, 0.001
6.6010	, 1.326	, 1.263	, 0.001
6.7010	, 1.321	, 1.238	, 0.001
6.8010	, 1.315	, 1.215	, 0.001
6.9010	, 1.309	, 1.192	, 0.001
7.0010	, 1.304	, 1.170	, 0.001
7.1010	, 1.298	, 1.149	, 0.001
7.2010	, 1.293	, 1.128	, 0.001
7.3010	, 1.288	, 1.108	, 0.001
7.4010	, 1.282	, 1.089	, 0.001
7.5010	, 1.277	, 1.070	, 0.001
7.6010	, 1.272	, 1.052	, 0.001
7.7010	, 1.268	, 1.034	, 0.001
7.8010	, 1.263	, 1.017	, 0.001
7.9010	, 1.258	, 1.001	, 0.001
8.0010	, 1.254	, 0.985	, 0.001
8.1010	, 1.249	, 0.969	, 0.001
8.2010	, 1.245	, 0.954	, 0.001
8.3010	, 1.241	, 0.939	, 0.001
8.4010	, 1.237	, 0.925	, 0.001
8.5010	, 1.233	, 0.911	, 0.001
8.6010	, 1.229	, 0.898	, 0.001
8.7010	, 1.225	, 0.885	, 0.001
8.8010	, 1.221	, 0.872	, 0.001
8.9010	, 1.218	, 0.860	, 0.001
9.0010	, 1.214	, 0.848	, 0.001
9.1010	, 1.211	, 0.836	, 0.001
9.2010	, 1.207	, 0.824	, 0.001
9.3010	, 1.204	, 0.813	, 0.001
9.4010	, 1.201	, 0.802	, 0.001
9.5010	, 1.197	, 0.792	, 0.001
9.6010	, 1.194	, 0.782	, 0.001
9.7010	, 1.191	, 0.772	, 0.001
9.8010	, 1.188	, 0.762	, 0.000
9.9010	, 1.185	, 0.752	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0003035	0.0000000	0.0000000	0.0000000
0.005	-0.0003324	-0.0015595	-0.0000039	0.0000000
0.010	-0.0003683	-0.0032781	-0.0000160	0.0000001
0.015	-0.0004448	-0.0052723	-0.0000374	0.0000002
0.020	-0.0005241	-0.0076485	-0.0000697	0.0000003
0.025	-0.0005309	-0.0102359	-0.0001144	0.0000004
0.030	-0.0004448	-0.0126289	-0.0001715	0.0000005
0.035	-0.0003371	-0.0145463	-0.0002395	0.0000006
0.040	-0.0002899	-0.0160839	-0.0003161	0.0000006
0.045	-0.0003024	-0.0175365	-0.0004001	0.0000007
0.050	-0.0003056	-0.0190276	-0.0004915	0.0000007
0.055	-0.0002507	-0.0203918	-0.0005901	0.0000007
0.060	-0.0001540	-0.0213843	-0.0006945	0.0000008
0.065	-0.0000874	-0.0219763	-0.0008029	0.0000008
0.070	-0.0001186	-0.0224817	-0.0009141	0.0000008
0.075	-0.0002224	-0.0233180	-0.0010286	0.0000008
0.080	-0.0003036	-0.0246080	-0.0011484	0.0000008
0.085	-0.0003016	-0.0260923	-0.0012751	0.0000009
0.090	-0.0002663	-0.0274851	-0.0014091	0.0000009
0.095	-0.0002850	-0.0288371	-0.0015499	0.0000009
0.100	-0.0004021	-0.0305223	-0.0016983	0.0000010
0.105	-0.0005964	-0.0329712	-0.0018570	0.0000011
0.110	-0.0007507	-0.0362748	-0.0020301	0.0000013
0.115	-0.0007085	-0.0398533	-0.0022204	0.0000016
0.120	-0.0004618	-0.0427233	-0.0024269	0.0000017
0.125	-0.0001956	-0.0443354	-0.0026445	0.0000018
0.130	-0.0001000	-0.0450603	-0.0028680	0.0000018
0.135	-0.0001885	-0.0457679	-0.0030951	0.0000018
0.140	-0.0002964	-0.0469571	-0.0033269	0.0000018
0.145	-0.0002227	-0.0482301	-0.0035649	0.0000019
0.150	0.0000151	-0.0487392	-0.0038073	0.0000019
0.155	0.0002184	-0.0481666	-0.0040496	0.0000019
0.160	0.0002676	-0.0469748	-0.0042874	0.0000019
0.165	0.0002250	-0.0457667	-0.0045193	0.0000019
0.170	0.0002234	-0.0446670	-0.0047453	0.0000020
0.175	0.0002430	-0.0435231	-0.0049658	0.0000020
0.180	0.0001334	-0.0425999	-0.0051811	0.0000020
0.185	-0.0001834	-0.0427225	-0.0053944	0.0000020
0.190	-0.0005688	-0.0445672	-0.0056127	0.0000021
0.195	-0.0007146	-0.0477146	-0.0058434	0.0000023
0.200	-0.0004568	-0.0505874	-0.0060891	0.0000024
0.205	0.0000088	-0.0516862	-0.0063448	0.0000025
0.210	0.0002140	-0.0511399	-0.0066019	0.0000025
0.215	-0.0000833	-0.0508194	-0.0068568	0.0000025
0.220	-0.0005753	-0.0524346	-0.0071149	0.0000026
0.225	-0.0007644	-0.0557204	-0.0073853	0.0000028
0.230	-0.0005117	-0.0588502	-0.0076717	0.0000030
0.235	-0.0000600	-0.0602523	-0.0079695	0.0000030
0.240	0.0002843	-0.0597022	-0.0082694	0.0000031
0.245	0.0003593	-0.0581238	-0.0085639	0.0000031
0.250	0.0001931	-0.0567690	-0.0088512	0.0000031
0.255	-0.0000133	-0.0563280	-0.0091339	0.0000032
0.260	-0.0000413	-0.0564617	-0.0094159	0.0000032
0.265	0.0000743	-0.0563805	-0.0096980	0.0000032
0.270	-0.0000070	-0.0562155	-0.0099795	0.0000032
0.275	-0.0004260	-0.0572775	-0.0102632	0.0000032
0.280	-0.0007824	-0.0602412	-0.0105570	0.0000034
0.285	-0.0007582	-0.0640195	-0.0108676	0.0000036
0.290	-0.0006466	-0.0674648	-0.0111964	0.0000039
0.295	-0.0010353	-0.0715896	-0.0115440	0.0000042
0.300	-0.0018730	-0.0787222	-0.0119198	0.0000052
0.305	-0.0023067	-0.0889729	-0.0123390	0.0000072
0.310	-0.0017058	-0.0988135	-0.0128085	0.0000091
0.315	-0.0004881	-0.1041942	-0.0133160	0.0000098
0.320	0.0002617	-0.1047495	-0.0138384	0.0000099
0.325	-0.0000259	-0.1041713	-0.0143607	0.0000099
