 
PGA:,  0.16 g
PGV:,  9.62 cm/s
PGD:,  1.98 cm
Arias Intensity:,  18.89 cm/s
Significant duration:,  11.75 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.025	, 0.160
0.1010	, 0.085	, 5.258	, 0.333
0.2010	, 0.366	, 11.437	, 0.364
0.3010	, 0.508	, 10.613	, 0.226
0.4010	, 1.636	, 25.642	, 0.410
0.5010	, 1.833	, 22.989	, 0.294
0.6010	, 1.623	, 16.963	, 0.181
0.7010	, 1.924	, 17.249	, 0.158
0.8010	, 2.865	, 22.476	, 0.180
0.9010	, 3.208	, 22.374	, 0.159
1.0010	, 3.759	, 23.594	, 0.151
1.1010	, 3.741	, 21.350	, 0.124
1.2010	, 3.443	, 18.013	, 0.096
1.3010	, 3.035	, 14.658	, 0.072
1.4010	, 2.647	, 11.872	, 0.054
1.5010	, 2.687	, 11.249	, 0.048
1.6010	, 2.649	, 10.394	, 0.042
1.7010	, 2.512	, 9.280	, 0.035
1.8010	, 2.296	, 8.009	, 0.028
1.9010	, 2.379	, 7.863	, 0.026
2.0010	, 2.610	, 8.197	, 0.026
2.1010	, 2.532	, 7.571	, 0.023
2.2010	, 2.453	, 7.002	, 0.020
2.3010	, 2.451	, 6.694	, 0.019
2.4010	, 2.489	, 6.514	, 0.017
2.5010	, 2.537	, 6.373	, 0.016
2.6010	, 2.520	, 6.087	, 0.015
2.7010	, 2.784	, 6.475	, 0.015
2.8010	, 3.200	, 7.179	, 0.016
2.9010	, 3.533	, 7.651	, 0.017
3.0010	, 3.737	, 7.825	, 0.017
3.1010	, 3.795	, 7.689	, 0.016
3.2010	, 3.704	, 7.270	, 0.015
3.3010	, 3.481	, 6.626	, 0.013
3.4010	, 3.401	, 6.283	, 0.012
3.5010	, 3.584	, 6.432	, 0.012
3.6010	, 3.655	, 6.377	, 0.011
3.7010	, 3.677	, 6.243	, 0.011
3.8010	, 3.669	, 6.065	, 0.010
3.9010	, 3.584	, 5.773	, 0.009
4.0010	, 3.389	, 5.322	, 0.009
4.1010	, 3.171	, 4.858	, 0.008
4.2010	, 3.026	, 4.526	, 0.007
4.3010	, 3.104	, 4.534	, 0.007
4.4010	, 3.183	, 4.545	, 0.007
4.5010	, 3.255	, 4.543	, 0.006
4.6010	, 3.317	, 4.530	, 0.006
4.7010	, 3.371	, 4.506	, 0.006
4.8010	, 3.418	, 4.473	, 0.006
4.9010	, 3.458	, 4.433	, 0.006
5.0010	, 3.491	, 4.386	, 0.006
5.1010	, 3.518	, 4.334	, 0.005
5.2010	, 3.541	, 4.277	, 0.005
5.3010	, 3.558	, 4.217	, 0.005
5.4010	, 3.571	, 4.154	, 0.005
5.5010	, 3.680	, 4.204	, 0.005
5.6010	, 3.852	, 4.321	, 0.005
5.7010	, 4.019	, 4.429	, 0.005
5.8010	, 4.165	, 4.511	, 0.005
5.9010	, 4.353	, 4.635	, 0.005
6.0010	, 4.469	, 4.679	, 0.005
6.1010	, 4.523	, 4.658	, 0.005
6.2010	, 4.600	, 4.660	, 0.005
6.3010	, 4.714	, 4.701	, 0.005
6.4010	, 4.892	, 4.802	, 0.005
6.5010	, 5.060	, 4.891	, 0.005
6.6010	, 5.176	, 4.927	, 0.005
6.7010	, 5.240	, 4.913	, 0.005
6.8010	, 5.254	, 4.854	, 0.005
6.9010	, 5.222	, 4.754	, 0.004
7.0010	, 5.146	, 4.619	, 0.004
7.1010	, 5.031	, 4.451	, 0.004
7.2010	, 4.925	, 4.297	, 0.004
7.3010	, 4.952	, 4.261	, 0.004
7.4010	, 5.000	, 4.245	, 0.004
7.5010	, 5.029	, 4.212	, 0.004
7.6010	, 5.039	, 4.165	, 0.004
7.7010	, 5.031	, 4.105	, 0.003
7.8010	, 5.007	, 4.033	, 0.003
7.9010	, 4.967	, 3.950	, 0.003
8.0010	, 4.912	, 3.857	, 0.003
8.1010	, 4.844	, 3.757	, 0.003
8.2010	, 4.765	, 3.651	, 0.003
8.3010	, 4.676	, 3.539	, 0.003
8.4010	, 4.578	, 3.424	, 0.003
8.5010	, 4.472	, 3.305	, 0.002
8.6010	, 4.403	, 3.217	, 0.002
8.7010	, 4.355	, 3.145	, 0.002
8.8010	, 4.324	, 3.087	, 0.002
8.9010	, 4.283	, 3.023	, 0.002
9.0010	, 4.232	, 2.954	, 0.002
9.1010	, 4.232	, 2.922	, 0.002
9.2010	, 4.255	, 2.906	, 0.002
9.3010	, 4.274	, 2.887	, 0.002
9.4010	, 4.288	, 2.866	, 0.002
9.5010	, 4.298	, 2.842	, 0.002
9.6010	, 4.304	, 2.817	, 0.002
9.7010	, 4.307	, 2.789	, 0.002
9.8010	, 4.306	, 2.761	, 0.002
9.9010	, 4.302	, 2.730	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000631	0.0000000	0.0000000	0.0000000
0.005	-0.0000687	-0.0003233	-0.0000008	0.0000000
0.010	-0.0000677	-0.0006578	-0.0000033	0.0000000
0.015	-0.0000565	-0.0009623	-0.0000073	0.0000000
0.020	-0.0000392	-0.0011969	-0.0000127	0.0000000
0.025	-0.0000231	-0.0013496	-0.0000191	0.0000000
0.030	-0.0000157	-0.0014448	-0.0000261	0.0000000
0.035	-0.0000163	-0.0015233	-0.0000335	0.0000000
0.040	-0.0000171	-0.0016054	-0.0000413	0.0000000
0.045	-0.0000146	-0.0016831	-0.0000495	0.0000000
0.050	-0.0000107	-0.0017451	-0.0000581	0.0000000
0.055	-0.0000082	-0.0017916	-0.0000669	0.0000000
0.060	-0.0000074	-0.0018299	-0.0000760	0.0000000
0.065	-0.0000085	-0.0018691	-0.0000852	0.0000000
0.070	-0.0000103	-0.0019152	-0.0000947	0.0000000
0.075	-0.0000089	-0.0019622	-0.0001044	0.0000000
0.080	0.0000021	-0.0019788	-0.0001142	0.0000000
0.085	0.0000277	-0.0019057	-0.0001240	0.0000000
0.090	0.0000623	-0.0016851	-0.0001329	0.0000000
0.095	0.0000846	-0.0013250	-0.0001405	0.0000000
0.100	0.0000851	-0.0009090	-0.0001460	0.0000000
0.105	0.0000929	-0.0004724	-0.0001495	0.0000000
0.110	0.0001290	0.0000717	-0.0001505	0.0000000
0.115	0.0001645	0.0007916	-0.0001483	0.0000000
0.120	0.0001693	0.0016103	-0.0001423	0.0000000
0.125	0.0001412	0.0023717	-0.0001324	0.0000001
0.130	0.0000870	0.0029312	-0.0001191	0.0000001
0.135	0.0000225	0.0031998	-0.0001038	0.0000001
0.140	-0.0000323	0.0031758	-0.0000879	0.0000001
0.145	-0.0000719	0.0029202	-0.0000726	0.0000001
0.150	-0.0000803	0.0025470	-0.0000589	0.0000001
0.155	-0.0000426	0.0022456	-0.0000470	0.0000001
0.160	-0.0000004	0.0021401	-0.0000360	0.0000001
0.165	0.0000143	0.0021740	-0.0000252	0.0000001
0.170	0.0000171	0.0022509	-0.0000142	0.0000001
0.175	0.0000151	0.0023299	-0.0000027	0.0000001
0.180	0.0000239	0.0024256	0.0000092	0.0000001
0.185	0.0000709	0.0026579	0.0000219	0.0000001
0.190	0.0001655	0.0032376	0.0000366	0.0000001
0.195	0.0002718	0.0043102	0.0000555	0.0000001
0.200	0.0003362	0.0058013	0.0000808	0.0000001
0.205	0.0003506	0.0074857	0.0001140	0.0000002
0.210	0.0003291	0.0091527	0.0001556	0.0000002
0.215	0.0002494	0.0105715	0.0002049	0.0000003
0.220	0.0000896	0.0114029	0.0002598	0.0000003
0.225	-0.0000893	0.0114037	0.0003169	0.0000003
0.230	-0.0001990	0.0106967	0.0003721	0.0000003
0.235	-0.0002388	0.0096229	0.0004229	0.0000003
0.240	-0.0002725	0.0083689	0.0004679	0.0000003
0.245	-0.0003381	0.0068715	0.0005060	0.0000004
0.250	-0.0003808	0.0051084	0.0005359	0.0000004
0.255	-0.0002828	0.0034809	0.0005574	0.0000005
0.260	-0.0000076	0.0027686	0.0005730	0.0000005
0.265	0.0003282	0.0035548	0.0005888	0.0000005
0.270	0.0005622	0.0057384	0.0006121	0.0000006
0.275	0.0006544	0.0087220	0.0006482	0.0000007
0.280	0.0006724	0.0119758	0.0007000	0.0000009
0.285	0.0006351	0.0151826	0.0007679	0.0000011
0.290	0.0005370	0.0180573	0.0008510	0.0000012
0.295	0.0004155	0.0203934	0.0009471	0.0000013
0.300	0.0003045	0.0221592	0.0010535	0.0000014
0.305	0.0001500	0.0232738	0.0011671	0.0000014
0.310	-0.0000987	0.0233995	0.0012837	0.0000014
0.315	-0.0003650	0.0222622	0.0013979	0.0000015
0.320	-0.0005133	0.0201083	0.0015038	0.0000015
0.325	-0.0005150	0.0175865	0.0015981	0.0000016
0.330	-0.0004448	0.0152327	0.0016801	0.0000017
0.335	-0.0003075	0.0133879	0.0017517	0.0000018
0.340	-0.0000923	0.0124074	0.0018161	0.0000018
0.345	0.0001658	0.0125876	0.0018786	0.0000018
0.350	0.0004294	0.0140473	0.0019452	0.0000019
0.355	0.0007085	0.0168379	0.0020224	0.0000020
0.360	0.0009207	0.0208334	0.0021166	0.0000023
0.365	0.0009237	0.0253566	0.0022321	0.0000026
0.370	0.0007841	0.0295449	0.0023693	0.0000029
0.375	0.0007419	0.0332875	0.0025264	0.0000032
0.380	0.0007923	0.0370503	0.0027023	0.0000034
0.385	0.0007435	0.0408171	0.0028969	0.0000036
0.390	0.0005112	0.0438944	0.0031087	0.0000038
0.395	0.0001783	0.0455855	0.0033324	0.0000039
0.400	-0.0001898	0.0455573	0.0035603	0.0000039
0.405	-0.0006592	0.0434749	0.0037829	0.0000040
0.410	-0.0011487	0.0390409	0.0039891	0.0000043
0.415	-0.0014267	0.0327248	0.0041686	0.0000050
0.420	-0.0013872	0.0258236	0.0043149	0.0000058
0.425	-0.0011067	0.0197073	0.0044288	0.0000065
0.430	-0.0007060	0.0152618	0.0045162	0.0000068
0.435	-0.0002648	0.0128808	0.0045865	0.0000069
0.440	0.0001272	0.0125433	0.0046501	0.0000070
0.445	0.0004594	0.0139820	0.0047164	0.0000070
0.450	0.0007587	0.0169693	0.0047938	0.0000072
0.455	0.0010034	0.0212907	0.0048894	0.0000075
0.460	0.0011876	0.0266641	0.0050093	0.0000080
0.465	0.0012968	0.0327573	0.0051579	0.0000086
0.470	0.0011521	0.0387632	0.0053367	0.0000092
0.475	0.0005636	0.0429709	0.0055410	0.0000096
0.480	-0.0002758	0.0436765	0.0057576	0.0000096
0.485	-0.0009573	0.0406523	0.0059685	0.0000098
0.490	-0.0013041	0.0351063	0.0061578	0.0000104
0.495	-0.0014215	0.0284218	0.0063167	0.0000111
0.500	-0.0014611	0.0213523	0.0064411	0.0000120
0.505	-0.0015572	0.0139500	0.0065294	0.0000129
0.510	-0.0017722	0.0057847	0.0065787	0.0000140
0.515	-0.0020194	-0.0035142	0.0065844	0.0000155
0.520	-0.0020500	-0.0134944	0.0065419	0.0000172
0.525	-0.0016115	-0.0224742	0.0064519	0.0000186
0.530	-0.0007175	-0.0281861	0.0063253	0.0000192
0.535	0.0003405	-0.0291108	0.0061820	0.0000194
0.540	0.0010716	-0.0256477	0.0060451	0.0000196
0.545	0.0012752	-0.0198922	0.0059313	0.0000202
0.550	0.0012079	-0.0138023	0.0058471	0.0000208
0.555	0.0011679	-0.0079755	0.0057926	0.0000214
0.560	0.0012097	-0.0021444	0.0057673	0.0000220
0.565	0.0012638	0.0039221	0.0057718	0.0000226
0.570	0.0012204	0.0100147	0.0058066	0.0000232
0.575	0.0008970	0.0152077	0.0058697	0.0000237
0.580	0.0004496	0.0185102	0.0059539	0.0000239
0.585	0.0002905	0.0203253	0.0060510	0.0000239
0.590	0.0004257	0.0220820	0.0061571	0.0000240
