 
PGA:,  0.18 g
PGV:,  20.06 cm/s
PGD:,  2.79 cm
Arias Intensity:,  44.88 cm/s
Significant duration:,   7.62 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.028	, 0.180
0.1010	, 0.096	, 5.947	, 0.377
0.2010	, 0.626	, 19.576	, 0.624
0.3010	, 1.027	, 21.445	, 0.456
0.4010	, 1.648	, 25.816	, 0.412
0.5010	, 3.856	, 48.355	, 0.618
0.6010	, 3.697	, 38.653	, 0.412
0.7010	, 3.945	, 35.363	, 0.323
0.8010	, 3.811	, 29.897	, 0.239
0.9010	, 5.618	, 39.177	, 0.278
1.0010	, 6.194	, 38.880	, 0.249
1.1010	, 8.594	, 49.044	, 0.285
1.2010	, 9.520	, 49.805	, 0.266
1.3010	, 8.803	, 42.516	, 0.209
1.4010	, 7.898	, 35.419	, 0.162
1.5010	, 7.062	, 29.561	, 0.126
1.6010	, 5.741	, 22.530	, 0.090
1.7010	, 4.339	, 16.027	, 0.060
1.8010	, 4.241	, 14.796	, 0.053
1.9010	, 4.051	, 13.390	, 0.045
2.0010	, 3.792	, 11.909	, 0.038
2.1010	, 4.242	, 12.685	, 0.039
2.2010	, 4.419	, 12.616	, 0.037
2.3010	, 4.065	, 11.100	, 0.031
2.4010	, 4.094	, 10.713	, 0.029
2.5010	, 3.949	, 9.921	, 0.025
2.6010	, 3.763	, 9.090	, 0.022
2.7010	, 3.937	, 9.157	, 0.022
2.8010	, 4.042	, 9.066	, 0.021
2.9010	, 4.086	, 8.850	, 0.020
3.0010	, 4.080	, 8.543	, 0.018
3.1010	, 4.037	, 8.180	, 0.017
3.2010	, 3.966	, 7.785	, 0.016
3.3010	, 3.877	, 7.379	, 0.014
3.4010	, 3.777	, 6.978	, 0.013
3.5010	, 3.673	, 6.592	, 0.012
3.6010	, 3.569	, 6.228	, 0.011
3.7010	, 3.470	, 5.891	, 0.010
3.8010	, 3.377	, 5.582	, 0.009
3.9010	, 3.291	, 5.301	, 0.009
4.0010	, 3.215	, 5.049	, 0.008
4.1010	, 3.147	, 4.822	, 0.008
4.2010	, 3.089	, 4.620	, 0.007
4.3010	, 3.039	, 4.440	, 0.007
