 
PGA:,  0.21 g
PGV:,  9.13 cm/s
PGD:,  1.36 cm
Arias Intensity:,  25.69 cm/s
Significant duration:,  11.56 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.033	, 0.209
0.1010	, 0.181	, 11.261	, 0.714
0.2010	, 0.563	, 17.612	, 0.561
0.3010	, 0.653	, 13.634	, 0.290
0.4010	, 0.957	, 14.995	, 0.240
0.5010	, 1.417	, 17.770	, 0.227
0.6010	, 1.357	, 14.190	, 0.151
0.7010	, 2.094	, 18.766	, 0.171
0.8010	, 3.033	, 23.791	, 0.190
0.9010	, 3.210	, 22.386	, 0.159
1.0010	, 2.953	, 18.538	, 0.119
1.1010	, 3.179	, 18.144	, 0.106
1.2010	, 3.823	, 19.999	, 0.107
1.3010	, 3.196	, 15.437	, 0.076
1.4010	, 2.444	, 10.960	, 0.050
1.5010	, 2.096	, 8.775	, 0.037
1.6010	, 2.423	, 9.507	, 0.038
1.7010	, 2.862	, 10.571	, 0.040
1.8010	, 3.157	, 11.014	, 0.039
1.9010	, 3.532	, 11.673	, 0.039
2.0010	, 4.002	, 12.565	, 0.040
2.1010	, 4.152	, 12.416	, 0.038
2.2010	, 4.013	, 11.455	, 0.033
2.3010	, 3.649	, 9.965	, 0.028
2.4010	, 3.148	, 8.238	, 0.022
2.5010	, 2.682	, 6.737	, 0.017
2.6010	, 2.658	, 6.422	, 0.016
2.7010	, 2.534	, 5.895	, 0.014
2.8010	, 2.357	, 5.288	, 0.012
2.9010	, 2.168	, 4.695	, 0.010
3.0010	, 1.996	, 4.180	, 0.009
3.1010	, 1.860	, 3.769	, 0.008
3.2010	, 1.766	, 3.466	, 0.007
3.3010	, 1.712	, 3.258	, 0.006
3.4010	, 1.691	, 3.125	, 0.006
3.5010	, 1.696	, 3.045	, 0.006
3.6010	, 1.718	, 2.998	, 0.005
3.7010	, 1.749	, 2.969	, 0.005
3.8010	, 1.782	, 2.946	, 0.005
3.9010	, 1.813	, 2.920	, 0.005
4.0010	, 1.839	, 2.888	, 0.005
4.1010	, 1.858	, 2.847	, 0.004
4.2010	, 1.869	, 2.796	, 0.004
4.3010	, 1.872	, 2.735	, 0.004
4.4010	, 1.868	, 2.667	, 0.004
4.5010	, 1.858	, 2.594	, 0.004
4.6010	, 1.842	, 2.516	, 0.004
4.7010	, 1.822	, 2.435	, 0.003
4.8010	, 1.798	, 2.353	, 0.003
4.9010	, 1.772	, 2.272	, 0.003
5.0010	, 1.744	, 2.191	, 0.003
5.1010	, 1.716	, 2.114	, 0.003
5.2010	, 1.688	, 2.039	, 0.003
5.3010	, 1.660	, 1.967	, 0.002
5.4010	, 1.633	, 1.899	, 0.002
5.5010	, 1.607	, 1.835	, 0.002
5.6010	, 1.583	, 1.776	, 0.002
5.7010	, 1.560	, 1.719	, 0.002
5.8010	, 1.539	, 1.667	, 0.002
5.9010	, 1.520	, 1.619	, 0.002
6.0010	, 1.503	, 1.574	, 0.002
6.1010	, 1.488	, 1.532	, 0.002
6.2010	, 1.474	, 1.493	, 0.002
6.3010	, 1.462	, 1.458	, 0.001
6.4010	, 1.451	, 1.425	, 0.001
6.5010	, 1.442	, 1.394	, 0.001
6.6010	, 1.435	, 1.366	, 0.001
6.7010	, 1.428	, 1.339	, 0.001
6.8010	, 1.423	, 1.315	, 0.001
6.9010	, 1.419	, 1.292	, 0.001
7.0010	, 1.416	, 1.271	, 0.001
7.1010	, 1.414	, 1.251	, 0.001
7.2010	, 1.412	, 1.232	, 0.001
7.3010	, 1.411	, 1.215	, 0.001
7.4010	, 1.411	, 1.198	, 0.001
7.5010	, 1.411	, 1.182	, 0.001
7.6010	, 1.412	, 1.167	, 0.001
7.7010	, 1.413	, 1.153	, 0.001
7.8010	, 1.415	, 1.140	, 0.001
7.9010	, 1.417	, 1.127	, 0.001
8.0010	, 1.419	, 1.114	, 0.001
8.1010	, 1.421	, 1.102	, 0.001
8.2010	, 1.423	, 1.091	, 0.001
8.3010	, 1.426	, 1.079	, 0.001
8.4010	, 1.429	, 1.068	, 0.001
8.5010	, 1.431	, 1.058	, 0.001
8.6010	, 1.434	, 1.047	, 0.001
8.7010	, 1.437	, 1.037	, 0.001
8.8010	, 1.439	, 1.028	, 0.001
8.9010	, 1.442	, 1.018	, 0.001
9.0010	, 1.445	, 1.008	, 0.001
9.1010	, 1.447	, 0.999	, 0.001
9.2010	, 1.450	, 0.990	, 0.001
9.3010	, 1.452	, 0.981	, 0.001
9.4010	, 1.454	, 0.972	, 0.001
9.5010	, 1.457	, 0.963	, 0.001
9.6010	, 1.459	, 0.955	, 0.001
9.7010	, 1.461	, 0.946	, 0.001
9.8010	, 1.463	, 0.938	, 0.001
9.9010	, 1.465	, 0.929	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0001853	0.0000000	0.0000000	0.0000000
0.005	-0.0001776	-0.0008902	-0.0000022	0.0000000
0.010	-0.0001694	-0.0017413	-0.0000088	0.0000000
0.015	-0.0001597	-0.0025484	-0.0000195	0.0000000
0.020	-0.0001499	-0.0033078	-0.0000342	0.0000000
0.025	-0.0001416	-0.0040226	-0.0000525	0.0000000
0.030	-0.0001377	-0.0047075	-0.0000743	0.0000000
0.035	-0.0001448	-0.0054002	-0.0000996	0.0000001
0.040	-0.0001617	-0.0061517	-0.0001285	0.0000001
0.045	-0.0001829	-0.0069967	-0.0001613	0.0000001
0.050	-0.0002009	-0.0079380	-0.0001987	0.0000001
0.055	-0.0002093	-0.0089442	-0.0002409	0.0000001
0.060	-0.0002030	-0.0099555	-0.0002881	0.0000001
0.065	-0.0001850	-0.0109071	-0.0003403	0.0000001
0.070	-0.0001621	-0.0117586	-0.0003970	0.0000001
0.075	-0.0001487	-0.0125209	-0.0004577	0.0000001
0.080	-0.0001548	-0.0132653	-0.0005221	0.0000001
0.085	-0.0001828	-0.0140934	-0.0005905	0.0000001
0.090	-0.0002276	-0.0151001	-0.0006635	0.0000002
0.095	-0.0002729	-0.0163277	-0.0007421	0.0000002
0.100	-0.0002968	-0.0177250	-0.0008272	0.0000002
0.105	-0.0002908	-0.0191662	-0.0009194	0.0000002
0.110	-0.0002549	-0.0205046	-0.0010186	0.0000003
0.115	-0.0001951	-0.0216083	-0.0011239	0.0000003
0.120	-0.0001180	-0.0223761	-0.0012338	0.0000003
0.125	-0.0000525	-0.0227941	-0.0013468	0.0000003
0.130	-0.0000231	-0.0229793	-0.0014612	0.0000003
0.135	-0.0000374	-0.0231277	-0.0015765	0.0000003
0.140	-0.0000881	-0.0234355	-0.0016929	0.0000003
0.145	-0.0001440	-0.0240047	-0.0018115	0.0000003
0.150	-0.0001889	-0.0248212	-0.0019335	0.0000003
0.155	-0.0002149	-0.0258116	-0.0020601	0.0000003
0.160	-0.0002192	-0.0268763	-0.0021918	0.0000003
0.165	-0.0002147	-0.0279404	-0.0023289	0.0000003
0.170	-0.0002129	-0.0289891	-0.0024712	0.0000003
0.175	-0.0002224	-0.0300566	-0.0026188	0.0000004
0.180	-0.0002267	-0.0311581	-0.0027719	0.0000004
0.185	-0.0002222	-0.0322592	-0.0029304	0.0000004
0.190	-0.0002127	-0.0333259	-0.0030944	0.0000004
0.195	-0.0002025	-0.0343440	-0.0032635	0.0000004
0.200	-0.0001970	-0.0353236	-0.0034377	0.0000004
0.205	-0.0001867	-0.0362646	-0.0036167	0.0000004
0.210	-0.0001714	-0.0371428	-0.0038002	0.0000005
0.215	-0.0001481	-0.0379261	-0.0039879	0.0000005
0.220	-0.0001033	-0.0385426	-0.0041790	0.0000005
0.225	-0.0000397	-0.0388934	-0.0043726	0.0000005
0.230	0.0000234	-0.0389334	-0.0045672	0.0000005
0.235	0.0000666	-0.0387128	-0.0047613	0.0000005
0.240	0.0000661	-0.0383874	-0.0049541	0.0000005
0.245	0.0000067	-0.0382088	-0.0051456	0.0000005
0.250	-0.0001035	-0.0384461	-0.0053372	0.0000005
0.255	-0.0002355	-0.0392775	-0.0055315	0.0000005
0.260	-0.0003435	-0.0406973	-0.0057314	0.0000005
0.265	-0.0003860	-0.0424862	-0.0059394	0.0000005
0.270	-0.0003616	-0.0443197	-0.0061564	0.0000006
0.275	-0.0003179	-0.0459862	-0.0063822	0.0000006
0.280	-0.0002861	-0.0474677	-0.0066158	0.0000007
0.285	-0.0002850	-0.0488684	-0.0068567	0.0000007
0.290	-0.0003058	-0.0503173	-0.0071046	0.0000007
0.295	-0.0003156	-0.0518412	-0.0073600	0.0000007
0.300	-0.0002747	-0.0532889	-0.0076228	0.0000008
0.305	-0.0001469	-0.0543228	-0.0078919	0.0000008
0.310	0.0000780	-0.0544918	-0.0081639	0.0000008
0.315	0.0003458	-0.0534524	-0.0084338	0.0000008
0.320	0.0005518	-0.0512511	-0.0086955	0.0000009
0.325	0.0005974	-0.0484328	-0.0089447	0.0000010
0.330	0.0004458	-0.0458743	-0.0091805	0.0000010
0.335	0.0001335	-0.0444536	-0.0094063	0.0000011
0.340	-0.0002575	-0.0447578	-0.0096294	0.0000011
0.345	-0.0006222	-0.0469154	-0.0098585	0.0000012
0.350	-0.0008454	-0.0505148	-0.0101021	0.0000013
0.355	-0.0008529	-0.0546800	-0.0103651	0.0000015
0.360	-0.0006759	-0.0584293	-0.0106479	0.0000017
0.365	-0.0004169	-0.0611092	-0.0109467	0.0000018
0.370	-0.0001834	-0.0625813	-0.0112559	0.0000018
0.375	-0.0000550	-0.0631658	-0.0115703	0.0000018
0.380	-0.0000261	-0.0633645	-0.0118866	0.0000018
