 
PGA:,  0.13 g
PGV:,  9.99 cm/s
PGD:,  1.02 cm
Arias Intensity:,  15.40 cm/s
Significant duration:,   8.55 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.021	, 0.134
0.1010	, 0.082	, 5.097	, 0.323
0.2010	, 0.306	, 9.557	, 0.305
0.3010	, 0.563	, 11.750	, 0.250
0.4010	, 1.190	, 18.652	, 0.298
0.5010	, 1.248	, 15.652	, 0.200
0.6010	, 1.601	, 16.737	, 0.178
0.7010	, 1.924	, 17.242	, 0.158
0.8010	, 2.048	, 16.064	, 0.128
0.9010	, 2.044	, 14.254	, 0.101
1.0010	, 1.957	, 12.287	, 0.079
1.1010	, 2.262	, 12.910	, 0.075
1.2010	, 2.155	, 11.276	, 0.060
1.3010	, 1.760	, 8.499	, 0.042
1.4010	, 1.582	, 7.097	, 0.032
1.5010	, 1.509	, 6.318	, 0.027
1.6010	, 1.814	, 7.120	, 0.028
1.7010	, 1.865	, 6.889	, 0.026
1.8010	, 1.946	, 6.790	, 0.024
1.9010	, 1.847	, 6.104	, 0.021
2.0010	, 1.658	, 5.207	, 0.017
2.1010	, 1.480	, 4.427	, 0.013
2.2010	, 1.415	, 4.040	, 0.012
2.3010	, 1.374	, 3.752	, 0.010
2.4010	, 1.325	, 3.468	, 0.009
2.5010	, 1.356	, 3.408	, 0.009
2.6010	, 1.412	, 3.411	, 0.008
2.7010	, 1.442	, 3.356	, 0.008
2.8010	, 1.440	, 3.229	, 0.007
2.9010	, 1.403	, 3.039	, 0.007
3.0010	, 1.338	, 2.802	, 0.006
3.1010	, 1.253	, 2.540	, 0.005
3.2010	, 1.157	, 2.271	, 0.005
3.3010	, 1.058	, 2.013	, 0.004
3.4010	, 0.962	, 1.777	, 0.003
3.5010	, 0.927	, 1.664	, 0.003
3.6010	, 0.928	, 1.620	, 0.003
3.7010	, 0.924	, 1.569	, 0.003
3.8010	, 0.916	, 1.514	, 0.003
3.9010	, 0.903	, 1.455	, 0.002
4.0010	, 0.892	, 1.401	, 0.002
4.1010	, 0.890	, 1.364	, 0.002
