 
PGA:,  0.22 g
PGV:,  10.79 cm/s
PGD:,  4.56 cm
Arias Intensity:,  48.74 cm/s
Significant duration:,   6.35 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.035	, 0.222
0.1010	, 0.100	, 6.247	, 0.396
0.2010	, 0.712	, 22.267	, 0.710
0.3010	, 1.522	, 31.775	, 0.676
0.4010	, 1.566	, 24.530	, 0.392
0.5010	, 1.843	, 23.110	, 0.295
0.6010	, 2.252	, 23.541	, 0.251
0.7010	, 2.148	, 19.251	, 0.176
0.8010	, 2.715	, 21.296	, 0.170
0.9010	, 2.554	, 17.812	, 0.127
1.0010	, 2.517	, 15.802	, 0.101
1.1010	, 2.627	, 14.995	, 0.087
1.2010	, 2.795	, 14.624	, 0.078
1.3010	, 2.712	, 13.097	, 0.064
1.4010	, 2.492	, 11.174	, 0.051
1.5010	, 2.545	, 10.651	, 0.045
1.6010	, 2.384	, 9.355	, 0.037
1.7010	, 2.086	, 7.707	, 0.029
1.8010	, 1.736	, 6.056	, 0.022
1.9010	, 1.534	, 5.070	, 0.017
2.0010	, 1.442	, 4.528	, 0.014
2.1010	, 1.429	, 4.274	, 0.013
2.2010	, 1.441	, 4.112	, 0.012
2.3010	, 1.430	, 3.905	, 0.011
2.4010	, 1.399	, 3.660	, 0.010
2.5010	, 1.350	, 3.392	, 0.009
2.6010	, 1.287	, 3.108	, 0.008
2.7010	, 1.212	, 2.820	, 0.007
2.8010	, 1.130	, 2.534	, 0.006
2.9010	, 1.087	, 2.355	, 0.005
3.0010	, 1.171	, 2.453	, 0.005
3.1010	, 1.239	, 2.511	, 0.005
3.2010	, 1.289	, 2.530	, 0.005
3.3010	, 1.319	, 2.510	, 0.005
3.4010	, 1.336	, 2.468	, 0.005
3.5010	, 1.414	, 2.537	, 0.005
3.6010	, 1.434	, 2.503	, 0.004
3.7010	, 1.544	, 2.621	, 0.005
3.8010	, 1.730	, 2.859	, 0.005
3.9010	, 1.855	, 2.988	, 0.005
4.0010	, 1.823	, 2.863	, 0.005
4.1010	, 1.638	, 2.509	, 0.004
4.2010	, 1.484	, 2.219	, 0.003
4.3010	, 1.443	, 2.108	, 0.003
4.4010	, 1.393	, 1.988	, 0.003
4.5010	, 1.337	, 1.867	, 0.003
4.6010	, 1.329	, 1.814	, 0.003
4.7010	, 1.378	, 1.841	, 0.003
4.8010	, 1.462	, 1.913	, 0.003
4.9010	, 1.546	, 1.982	, 0.003
5.0010	, 1.606	, 2.018	, 0.003
5.1010	, 1.632	, 2.010	, 0.003
5.2010	, 1.650	, 1.994	, 0.002
5.3010	, 1.743	, 2.066	, 0.002
5.4010	, 1.896	, 2.206	, 0.003
5.5010	, 2.033	, 2.322	, 0.003
5.6010	, 2.160	, 2.423	, 0.003
5.7010	, 2.285	, 2.519	, 0.003
5.8010	, 2.416	, 2.617	, 0.003
5.9010	, 2.555	, 2.721	, 0.003
6.0010	, 2.698	, 2.825	, 0.003
6.1010	, 2.836	, 2.921	, 0.003
6.2010	, 2.962	, 3.002	, 0.003
6.3010	, 3.069	, 3.060	, 0.003
6.4010	, 3.154	, 3.096	, 0.003
6.5010	, 3.219	, 3.111	, 0.003
6.6010	, 3.272	, 3.114	, 0.003
6.7010	, 3.323	, 3.116	, 0.003
6.8010	, 3.386	, 3.128	, 0.003
6.9010	, 3.474	, 3.163	, 0.003
7.0010	, 3.599	, 3.230	, 0.003
7.1010	, 3.766	, 3.332	, 0.003
7.2010	, 3.978	, 3.471	, 0.003
7.3010	, 4.230	, 3.640	, 0.003
7.4010	, 4.514	, 3.832	, 0.003
7.5010	, 4.819	, 4.036	, 0.003
7.6010	, 5.133	, 4.243	, 0.004
7.7010	, 5.447	, 4.444	, 0.004
7.8010	, 5.748	, 4.630	, 0.004
7.9010	, 6.029	, 4.794	, 0.004
8.0010	, 6.283	, 4.934	, 0.004
8.1010	, 6.504	, 5.045	, 0.004
8.2010	, 6.678	, 5.116	, 0.004
8.3010	, 6.793	, 5.141	, 0.004
8.4010	, 6.849	, 5.122	, 0.004
8.5010	, 6.849	, 5.062	, 0.004
8.6010	, 6.799	, 4.967	, 0.004
8.7010	, 6.707	, 4.843	, 0.004
8.8010	, 6.579	, 4.697	, 0.003
8.9010	, 6.425	, 4.536	, 0.003
9.0010	, 6.255	, 4.366	, 0.003
9.1010	, 6.074	, 4.194	, 0.003
9.2010	, 5.999	, 4.097	, 0.003
9.3010	, 6.027	, 4.071	, 0.003
9.4010	, 6.055	, 4.047	, 0.003
9.5010	, 6.088	, 4.026	, 0.003
9.6010	, 6.129	, 4.011	, 0.003
9.7010	, 6.182	, 4.004	, 0.003
9.8010	, 6.251	, 4.008	, 0.003
9.9010	, 6.338	, 4.022	, 0.003
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0004336	0.0000000	0.0000000	0.0000000
0.005	0.0004061	0.0020594	0.0000051	0.0000000
0.010	0.0003975	0.0040305	0.0000204	0.0000001
0.015	0.0003871	0.0059548	0.0000453	0.0000001
0.020	0.0003617	0.0077912	0.0000797	0.0000001
0.025	0.0003310	0.0094900	0.0001229	0.0000001
0.030	0.0003286	0.0111076	0.0001744	0.0000001
0.035	0.0003595	0.0127949	0.0002342	0.0000002
0.040	0.0004093	0.0146805	0.0003028	0.0000002
0.045	0.0004438	0.0167728	0.0003815	0.0000002
0.050	0.0004506	0.0189663	0.0004708	0.0000002
0.055	0.0004670	0.0212167	0.0005713	0.0000003
0.060	0.0004804	0.0235402	0.0006832	0.0000003
0.065	0.0004566	0.0258383	0.0008066	0.0000003
0.070	0.0004066	0.0279553	0.0009411	0.0000004
0.075	0.0003889	0.0299062	0.0010858	0.0000004
0.080	0.0004121	0.0318708	0.0012402	0.0000004
0.085	0.0004193	0.0339098	0.0014047	0.0000004
0.090	0.0004082	0.0359391	0.0015793	0.0000005
0.095	0.0004396	0.0380182	0.0017642	0.0000005
0.100	0.0005168	0.0403636	0.0019601	0.0000005
0.105	0.0005609	0.0430067	0.0021685	0.0000006
0.110	0.0005540	0.0457408	0.0023904	0.0000006
0.115	0.0005425	0.0484299	0.0026258	0.0000007
0.120	0.0004925	0.0509682	0.0028743	0.0000007
0.125	0.0003958	0.0531466	0.0031346	0.0000008
0.130	0.0003914	0.0550771	0.0034052	0.0000008
0.135	0.0004889	0.0572359	0.0036860	0.0000008
0.140	0.0005954	0.0598951	0.0039788	0.0000009
0.145	0.0006341	0.0629104	0.0042858	0.0000009
0.150	0.0006040	0.0659469	0.0046080	0.0000010
0.155	0.0005926	0.0688816	0.0049450	0.0000010
0.160	0.0006251	0.0718679	0.0052969	0.0000011
0.165	0.0006560	0.0750098	0.0056641	0.0000012
