 
PGA:,  0.43 g
PGV:,  13.80 cm/s
PGD:,  2.36 cm
Arias Intensity:,  104.95 cm/s
Significant duration:,   7.95 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.067	, 0.428
0.1010	, 0.189	, 11.783	, 0.747
0.2010	, 1.186	, 37.078	, 1.181
0.3010	, 1.670	, 34.860	, 0.742
0.4010	, 2.354	, 36.881	, 0.589
0.5010	, 2.483	, 31.144	, 0.398
0.6010	, 3.667	, 38.336	, 0.409
0.7010	, 3.030	, 27.160	, 0.248
0.8010	, 4.172	, 32.723	, 0.262
0.9010	, 5.642	, 39.347	, 0.280
1.0010	, 5.956	, 37.385	, 0.239
1.1010	, 6.098	, 34.802	, 0.202
1.2010	, 6.264	, 32.769	, 0.175
1.3010	, 5.605	, 27.071	, 0.133
1.4010	, 5.621	, 25.207	, 0.115
1.5010	, 5.413	, 22.657	, 0.097
1.6010	, 5.471	, 21.471	, 0.086
1.7010	, 5.163	, 19.072	, 0.072
1.8010	, 4.907	, 17.118	, 0.061
1.9010	, 4.875	, 16.112	, 0.054
2.0010	, 4.869	, 15.287	, 0.049
2.1010	, 4.869	, 14.562	, 0.044
2.2010	, 4.779	, 13.644	, 0.040
2.3010	, 4.606	, 12.576	, 0.035
2.4010	, 4.366	, 11.426	, 0.030
2.5010	, 4.157	, 10.443	, 0.027
2.6010	, 4.281	, 10.341	, 0.025
2.7010	, 4.376	, 10.179	, 0.024
2.8010	, 4.445	, 9.971	, 0.023
2.9010	, 4.491	, 9.728	, 0.021
3.0010	, 4.518	, 9.460	, 0.020
3.1010	, 4.528	, 9.174	, 0.019
3.2010	, 4.524	, 8.880	, 0.018
3.3010	, 4.507	, 8.579	, 0.017
3.4010	, 4.481	, 8.278	, 0.016
3.5010	, 4.447	, 7.981	, 0.015
3.6010	, 4.406	, 7.688	, 0.014
3.7010	, 4.360	, 7.401	, 0.013
3.8010	, 4.309	, 7.124	, 0.012
3.9010	, 4.256	, 6.856	, 0.011
4.0010	, 4.201	, 6.597	, 0.011
4.1010	, 4.144	, 6.349	, 0.010
4.2010	, 4.086	, 6.111	, 0.009
4.3010	, 4.027	, 5.883	, 0.009
4.4010	, 3.968	, 5.666	, 0.008
4.5010	, 3.910	, 5.458	, 0.008
4.6010	, 3.852	, 5.260	, 0.007
4.7010	, 3.795	, 5.072	, 0.007
4.8010	, 3.738	, 4.892	, 0.007
4.9010	, 3.683	, 4.721	, 0.006
5.0010	, 3.628	, 4.559	, 0.006
5.1010	, 3.575	, 4.404	, 0.006
5.2010	, 3.523	, 4.256	, 0.005
5.3010	, 3.473	, 4.116	, 0.005
5.4010	, 3.423	, 3.982	, 0.005
5.5010	, 3.375	, 3.855	, 0.004
5.6010	, 3.328	, 3.734	, 0.004
5.7010	, 3.283	, 3.618	, 0.004
5.8010	, 3.239	, 3.508	, 0.004
5.9010	, 3.196	, 3.403	, 0.004
6.0010	, 3.155	, 3.303	, 0.004
6.1010	, 3.114	, 3.207	, 0.003
6.2010	, 3.075	, 3.116	, 0.003
6.3010	, 3.037	, 3.029	, 0.003
6.4010	, 3.001	, 2.945	, 0.003
6.5010	, 2.965	, 2.866	, 0.003
6.6010	, 2.931	, 2.789	, 0.003
6.7010	, 2.897	, 2.717	, 0.003
6.8010	, 2.865	, 2.647	, 0.002
6.9010	, 2.833	, 2.580	, 0.002
7.0010	, 2.803	, 2.516	, 0.002
7.1010	, 2.773	, 2.454	, 0.002
7.2010	, 2.745	, 2.395	, 0.002
7.3010	, 2.717	, 2.338	, 0.002
7.4010	, 2.690	, 2.284	, 0.002
7.5010	, 2.664	, 2.232	, 0.002
7.6010	, 2.639	, 2.181	, 0.002
7.7010	, 2.614	, 2.133	, 0.002
7.8010	, 2.591	, 2.087	, 0.002
7.9010	, 2.568	, 2.042	, 0.002
8.0010	, 2.545	, 1.999	, 0.002
8.1010	, 2.523	, 1.957	, 0.002
8.2010	, 2.502	, 1.917	, 0.001
8.3010	, 2.482	, 1.878	, 0.001
8.4010	, 2.462	, 1.841	, 0.001
8.5010	, 2.442	, 1.805	, 0.001
8.6010	, 2.424	, 1.771	, 0.001
8.7010	, 2.405	, 1.737	, 0.001
8.8010	, 2.388	, 1.705	, 0.001
8.9010	, 2.370	, 1.673	, 0.001
9.0010	, 2.353	, 1.643	, 0.001
9.1010	, 2.337	, 1.614	, 0.001
9.2010	, 2.321	, 1.585	, 0.001
9.3010	, 2.306	, 1.558	, 0.001
9.4010	, 2.291	, 1.531	, 0.001
9.5010	, 2.276	, 1.505	, 0.001
9.6010	, 2.262	, 1.480	, 0.001
9.7010	, 2.248	, 1.456	, 0.001
9.8010	, 2.234	, 1.432	, 0.001
9.9010	, 2.221	, 1.410	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0004696	0.0000000	0.0000000	0.0000000
0.005	-0.0004631	-0.0022872	-0.0000057	0.0000000
0.010	-0.0004478	-0.0045211	-0.0000227	0.0000000
0.015	-0.0004390	-0.0066960	-0.0000508	0.0000000
0.020	-0.0004247	-0.0088143	-0.0000896	0.0000001
0.025	-0.0004100	-0.0108615	-0.0001387	0.0000001
0.030	-0.0004006	-0.0128495	-0.0001980	0.0000001
0.035	-0.0004040	-0.0148226	-0.0002672	0.0000001
0.040	-0.0004031	-0.0168018	-0.0003463	0.0000001
0.045	-0.0004034	-0.0187797	-0.0004352	0.0000001
0.050	-0.0003997	-0.0207494	-0.0005340	0.0000001
0.055	-0.0004043	-0.0227213	-0.0006427	0.0000001
0.060	-0.0004007	-0.0246957	-0.0007613	0.0000002
0.065	-0.0004091	-0.0266819	-0.0008897	0.0000002
0.070	-0.0004235	-0.0287240	-0.0010282	0.0000002
0.075	-0.0004466	-0.0308579	-0.0011772	0.0000002
0.080	-0.0004643	-0.0330918	-0.0013370	0.0000002
0.085	-0.0004683	-0.0353790	-0.0015082	0.0000002
0.090	-0.0004650	-0.0376680	-0.0016908	0.0000002
0.095	-0.0004763	-0.0399766	-0.0018850	0.0000003
0.100	-0.0004863	-0.0423375	-0.0020907	0.0000003
0.105	-0.0004943	-0.0447425	-0.0023084	0.0000003
0.110	-0.0004718	-0.0471117	-0.0025381	0.0000003
0.115	-0.0004445	-0.0493589	-0.0027793	0.0000003
0.120	-0.0003970	-0.0514228	-0.0030312	0.0000003
0.125	-0.0003550	-0.0532672	-0.0032929	0.0000003
0.130	-0.0003232	-0.0549306	-0.0035634	0.0000004
0.135	-0.0003180	-0.0565032	-0.0038420	0.0000004
0.140	-0.0003213	-0.0580711	-0.0041284	0.0000004
0.145	-0.0003470	-0.0597101	-0.0044229	0.0000004
0.150	-0.0003798	-0.0614925	-0.0047259	0.0000004
0.155	-0.0003976	-0.0633992	-0.0050381	0.0000004
0.160	-0.0003782	-0.0653017	-0.0053599	0.0000004
0.165	-0.0003630	-0.0671194	-0.0056909	0.0000004
0.170	-0.0003585	-0.0688888	-0.0060310	0.0000004
0.175	-0.0003393	-0.0706000	-0.0063797	0.0000004
0.180	-0.0003228	-0.0722236	-0.0067367	0.0000004
0.185	-0.0003223	-0.0738056	-0.0071018	0.0000005
0.190	-0.0003129	-0.0753633	-0.0074747	0.0000005
0.195	-0.0003056	-0.0768801	-0.0078553	0.0000005
0.200	-0.0002909	-0.0783430	-0.0082434	0.0000005
0.205	-0.0002872	-0.0797608	-0.0086387	0.0000005
0.210	-0.0002934	-0.0811849	-0.0090410	0.0000005
0.215	-0.0003271	-0.0827067	-0.0094508	0.0000005
0.220	-0.0003622	-0.0843971	-0.0098685	0.0000005
0.225	-0.0003668	-0.0861849	-0.0102950	0.0000005
0.230	-0.0003238	-0.0878787	-0.0107301	0.0000005
0.235	-0.0002642	-0.0893206	-0.0111731	0.0000005
0.240	-0.0001946	-0.0904458	-0.0116225	0.0000005
0.245	-0.0001235	-0.0912259	-0.0120767	0.0000005
0.250	-0.0000703	-0.0917011	-0.0125340	0.0000005
0.255	-0.0000732	-0.0920530	-0.0129934	0.0000005
0.260	-0.0000853	-0.0924417	-0.0134547	0.0000005
0.265	-0.0001446	-0.0930054	-0.0139183	0.0000005
0.270	-0.0002128	-0.0938820	-0.0143855	0.0000005
0.275	-0.0002484	-0.0950131	-0.0148577	0.0000005
0.280	-0.0002591	-0.0962578	-0.0153359	0.0000005
0.285	-0.0002572	-0.0975241	-0.0158204	0.0000006
0.290	-0.0002656	-0.0988061	-0.0163112	0.0000006
0.295	-0.0002675	-0.1001133	-0.0168085	0.0000006
0.300	-0.0002505	-0.1013836	-0.0173122	0.0000006
0.305	-0.0002851	-0.1026970	-0.0178224	0.0000006
0.310	-0.0003070	-0.1041491	-0.0183396	0.0000006
0.315	-0.0003212	-0.1056899	-0.0188641	0.0000006
0.320	-0.0003608	-0.1073626	-0.0193968	0.0000006
0.325	-0.0004258	-0.1092917	-0.0199384	0.0000006
0.330	-0.0004510	-0.1114422	-0.0204903	0.0000006
0.335	-0.0004575	-0.1136704	-0.0210530	0.0000006
0.340	-0.0004585	-0.1159169	-0.0216270	0.0000007
0.345	-0.0004548	-0.1181567	-0.0222122	0.0000007
0.350	-0.0004118	-0.1202821	-0.0228083	0.0000007
0.355	-0.0003475	-0.1221442	-0.0234143	0.0000007
0.360	-0.0002968	-0.1237243	-0.0240290	0.0000007
0.365	-0.0002486	-0.1250619	-0.0246510	0.0000007
0.370	-0.0001401	-0.1260152	-0.0252787	0.0000007
0.375	-0.0000370	-0.1264494	-0.0259098	0.0000007
0.380	0.0000147	-0.1265041	-0.0265422	0.0000007
