 
PGA:,  0.19 g
PGV:,  8.35 cm/s
PGD:,  1.40 cm
Arias Intensity:,  39.49 cm/s
Significant duration:,   8.68 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.030	, 0.192
0.1010	, 0.153	, 9.494	, 0.602
0.2010	, 0.504	, 15.770	, 0.503
0.3010	, 1.030	, 21.504	, 0.458
0.4010	, 0.836	, 13.099	, 0.209
0.5010	, 1.844	, 23.121	, 0.296
0.6010	, 1.678	, 17.545	, 0.187
0.7010	, 2.023	, 18.136	, 0.166
0.8010	, 2.321	, 18.207	, 0.146
0.9010	, 2.342	, 16.330	, 0.116
1.0010	, 2.835	, 17.796	, 0.114
1.1010	, 2.837	, 16.188	, 0.094
1.2010	, 2.235	, 11.694	, 0.062
1.3010	, 2.631	, 12.706	, 0.063
1.4010	, 2.131	, 9.556	, 0.044
1.5010	, 1.704	, 7.132	, 0.030
1.6010	, 1.495	, 5.865	, 0.023
1.7010	, 1.484	, 5.483	, 0.021
1.8010	, 1.444	, 5.036	, 0.018
1.9010	, 1.373	, 4.538	, 0.015
2.0010	, 1.508	, 4.734	, 0.015
2.1010	, 1.734	, 5.187	, 0.016
2.2010	, 1.885	, 5.382	, 0.016
2.3010	, 1.850	, 5.051	, 0.014
2.4010	, 1.776	, 4.647	, 0.012
2.5010	, 1.762	, 4.426	, 0.011
2.6010	, 1.877	, 4.535	, 0.011
2.7010	, 2.098	, 4.879	, 0.012
2.8010	, 2.241	, 5.027	, 0.011
2.9010	, 2.269	, 4.915	, 0.011
3.0010	, 2.154	, 4.510	, 0.010
3.1010	, 2.055	, 4.163	, 0.009
3.2010	, 2.203	, 4.325	, 0.009
3.3010	, 2.296	, 4.371	, 0.008
3.4010	, 2.536	, 4.684	, 0.009
3.5010	, 2.722	, 4.885	, 0.009
3.6010	, 2.748	, 4.795	, 0.009
3.7010	, 2.645	, 4.490	, 0.008
3.8010	, 2.443	, 4.038	, 0.007
3.9010	, 2.270	, 3.656	, 0.006
4.0010	, 2.083	, 3.270	, 0.005
4.1010	, 2.090	, 3.201	, 0.005
4.2010	, 2.079	, 3.109	, 0.005
4.3010	, 2.014	, 2.942	, 0.004
4.4010	, 1.944	, 2.776	, 0.004
4.5010	, 1.946	, 2.716	, 0.004
4.6010	, 1.939	, 2.648	, 0.004
4.7010	, 1.927	, 2.575	, 0.004
4.8010	, 1.909	, 2.498	, 0.003
4.9010	, 1.885	, 2.417	, 0.003
5.0010	, 1.858	, 2.334	, 0.003
5.1010	, 1.827	, 2.251	, 0.003
5.2010	, 1.794	, 2.167	, 0.003
5.3010	, 1.758	, 2.084	, 0.003
5.4010	, 1.721	, 2.002	, 0.002
5.5010	, 1.683	, 1.922	, 0.002
5.6010	, 1.675	, 1.879	, 0.002
5.7010	, 1.700	, 1.874	, 0.002
5.8010	, 1.653	, 1.791	, 0.002
5.9010	, 1.577	, 1.679	, 0.002
6.0010	, 1.527	, 1.599	, 0.002
6.1010	, 1.484	, 1.529	, 0.002
6.2010	, 1.545	, 1.565	, 0.002
6.3010	, 1.611	, 1.607	, 0.002
6.4010	, 1.674	, 1.643	, 0.002
6.5010	, 1.731	, 1.673	, 0.002
6.6010	, 1.784	, 1.698	, 0.002
6.7010	, 1.830	, 1.716	, 0.002
6.8010	, 1.870	, 1.728	, 0.002
6.9010	, 1.904	, 1.734	, 0.002
7.0010	, 1.932	, 1.734	, 0.002
7.1010	, 1.954	, 1.729	, 0.002
7.2010	, 1.970	, 1.719	, 0.002
7.3010	, 1.980	, 1.704	, 0.001
7.4010	, 1.985	, 1.685	, 0.001
7.5010	, 1.986	, 1.663	, 0.001
7.6010	, 1.982	, 1.638	, 0.001
7.7010	, 1.974	, 1.611	, 0.001
7.8010	, 1.963	, 1.581	, 0.001
7.9010	, 1.949	, 1.550	, 0.001
8.0010	, 1.932	, 1.517	, 0.001
8.1010	, 1.913	, 1.483	, 0.001
8.2010	, 1.891	, 1.449	, 0.001
8.3010	, 1.868	, 1.414	, 0.001
8.4010	, 1.844	, 1.379	, 0.001
8.5010	, 1.819	, 1.344	, 0.001
8.6010	, 1.793	, 1.310	, 0.001
8.7010	, 1.766	, 1.275	, 0.001
8.8010	, 1.739	, 1.242	, 0.001
8.9010	, 1.712	, 1.209	, 0.001
9.0010	, 1.685	, 1.176	, 0.001
9.1010	, 1.658	, 1.145	, 0.001
9.2010	, 1.632	, 1.114	, 0.001
9.3010	, 1.606	, 1.085	, 0.001
9.4010	, 1.581	, 1.056	, 0.001
9.5010	, 1.556	, 1.029	, 0.001
9.6010	, 1.532	, 1.002	, 0.001
9.7010	, 1.509	, 0.977	, 0.001
9.8010	, 1.486	, 0.953	, 0.001
9.9010	, 1.465	, 0.930	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000975	0.0000000	0.0000000	0.0000000
0.005	0.0000913	0.0004630	0.0000012	0.0000000
0.010	0.0000753	0.0008714	0.0000045	0.0000000
0.015	0.0000514	0.0011821	0.0000096	0.0000000
0.020	0.0000246	0.0013685	0.0000160	0.0000000
0.025	-0.0000005	0.0014277	0.0000230	0.0000000
0.030	-0.0000149	0.0013899	0.0000300	0.0000000
0.035	-0.0000105	0.0013276	0.0000368	0.0000000
0.040	0.0000093	0.0013246	0.0000435	0.0000000
