 
PGA:,  0.11 g
PGV:,  5.43 cm/s
PGD:,  0.54 cm
Arias Intensity:,  11.37 cm/s
Significant duration:,  11.36 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.017	, 0.107
0.1010	, 0.074	, 4.598	, 0.292
0.2010	, 0.260	, 8.124	, 0.259
0.3010	, 0.688	, 14.366	, 0.306
0.4010	, 0.750	, 11.755	, 0.188
0.5010	, 0.905	, 11.354	, 0.145
0.6010	, 0.737	, 7.700	, 0.082
0.7010	, 0.761	, 6.818	, 0.062
0.8010	, 0.847	, 6.647	, 0.053
0.9010	, 1.138	, 7.937	, 0.056
1.0010	, 1.235	, 7.751	, 0.050
1.1010	, 0.944	, 5.388	, 0.031
1.2010	, 0.915	, 4.785	, 0.026
1.3010	, 1.292	, 6.240	, 0.031
1.4010	, 1.686	, 7.559	, 0.035
1.5010	, 1.392	, 5.828	, 0.025
1.6010	, 1.241	, 4.872	, 0.019
1.7010	, 1.273	, 4.704	, 0.018
1.8010	, 1.500	, 5.231	, 0.019
1.9010	, 1.538	, 5.084	, 0.017
2.0010	, 1.459	, 4.582	, 0.015
2.1010	, 1.642	, 4.911	, 0.015
2.2010	, 1.440	, 4.110	, 0.012
2.3010	, 1.206	, 3.294	, 0.009
2.4010	, 1.095	, 2.866	, 0.008
2.5010	, 1.232	, 3.095	, 0.008
2.6010	, 1.242	, 3.000	, 0.007
2.7010	, 1.275	, 2.966	, 0.007
2.8010	, 1.261	, 2.828	, 0.006
2.9010	, 1.122	, 2.430	, 0.005
3.0010	, 1.151	, 2.410	, 0.005
3.1010	, 1.195	, 2.421	, 0.005
3.2010	, 1.204	, 2.363	, 0.005
3.3010	, 1.181	, 2.247	, 0.004
3.4010	, 1.133	, 2.093	, 0.004
3.5010	, 1.068	, 1.916	, 0.004
3.6010	, 0.992	, 1.731	, 0.003
3.7010	, 0.919	, 1.560	, 0.003
3.8010	, 0.848	, 1.402	, 0.002
3.9010	, 0.779	, 1.255	, 0.002
4.0010	, 0.717	, 1.126	, 0.002
4.1010	, 0.663	, 1.016	, 0.002
4.2010	, 0.620	, 0.927	, 0.001
4.3010	, 0.589	, 0.860	, 0.001
4.4010	, 0.576	, 0.822	, 0.001
4.5010	, 0.563	, 0.785	, 0.001
4.6010	, 0.555	, 0.758	, 0.001
4.7010	, 0.558	, 0.746	, 0.001
4.8010	, 0.566	, 0.741	, 0.001
