 
PGA:,  0.17 g
PGV:,  17.39 cm/s
PGD:,  1.99 cm
Arias Intensity:,  34.95 cm/s
Significant duration:,  11.23 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.027	, 0.174
0.1010	, 0.091	, 5.674	, 0.360
0.2010	, 0.549	, 17.153	, 0.547
0.3010	, 0.750	, 15.646	, 0.333
0.4010	, 1.447	, 22.680	, 0.362
0.5010	, 4.230	, 53.049	, 0.678
0.6010	, 4.126	, 43.133	, 0.460
0.7010	, 5.097	, 45.684	, 0.417
0.8010	, 6.686	, 52.448	, 0.419
0.9010	, 7.350	, 51.258	, 0.364
1.0010	, 7.014	, 44.026	, 0.282
1.1010	, 7.365	, 42.033	, 0.245
1.2010	, 7.117	, 37.232	, 0.199
1.3010	, 6.437	, 31.086	, 0.153
1.4010	, 5.786	, 25.950	, 0.119
1.5010	, 5.854	, 24.505	, 0.105
1.6010	, 5.682	, 22.298	, 0.089
1.7010	, 5.365	, 19.816	, 0.075
1.8010	, 4.980	, 17.373	, 0.062
1.9010	, 4.573	, 15.113	, 0.051
2.0010	, 4.166	, 13.083	, 0.042
2.1010	, 3.778	, 11.299	, 0.034
2.2010	, 3.473	, 9.913	, 0.029
2.3010	, 3.399	, 9.281	, 0.026
2.4010	, 3.317	, 8.679	, 0.023
2.5010	, 3.229	, 8.111	, 0.021
2.6010	, 3.137	, 7.577	, 0.019
2.7010	, 3.043	, 7.080	, 0.017
2.8010	, 2.950	, 6.617	, 0.015
2.9010	, 2.858	, 6.190	, 0.014
3.0010	, 2.768	, 5.796	, 0.012
3.1010	, 2.682	, 5.435	, 0.011
3.2010	, 2.601	, 5.105	, 0.010
3.3010	, 2.523	, 4.803	, 0.009
3.4010	, 2.451	, 4.529	, 0.009
3.5010	, 2.384	, 4.279	, 0.008
3.6010	, 2.322	, 4.052	, 0.007
3.7010	, 2.265	, 3.846	, 0.007
3.8010	, 2.213	, 3.659	, 0.006
3.9010	, 2.166	, 3.489	, 0.006
4.0010	, 2.123	, 3.334	, 0.005
4.1010	, 2.085	, 3.194	, 0.005
4.2010	, 2.050	, 3.066	, 0.005
4.3010	, 2.019	, 2.949	, 0.004
4.4010	, 1.991	, 2.842	, 0.004
4.5010	, 1.966	, 2.745	, 0.004
4.6010	, 1.944	, 2.655	, 0.004
4.7010	, 1.935	, 2.586	, 0.004
4.8010	, 1.949	, 2.550	, 0.003
4.9010	, 1.961	, 2.515	, 0.003
5.0010	, 1.973	, 2.479	, 0.003
5.1010	, 1.984	, 2.443	, 0.003
5.2010	, 1.993	, 2.408	, 0.003
5.3010	, 2.001	, 2.372	, 0.003
5.4010	, 2.009	, 2.337	, 0.003
5.5010	, 2.015	, 2.302	, 0.003
5.6010	, 2.021	, 2.267	, 0.003
5.7010	, 2.026	, 2.233	, 0.003
5.8010	, 2.030	, 2.199	, 0.002
5.9010	, 2.034	, 2.166	, 0.002
6.0010	, 2.037	, 2.133	, 0.002
6.1010	, 2.040	, 2.100	, 0.002
6.2010	, 2.042	, 2.069	, 0.002
