 
PGA:,  0.23 g
PGV:,  31.45 cm/s
PGD:,  6.33 cm
Arias Intensity:,  55.32 cm/s
Significant duration:,   7.96 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.036	, 0.228
0.1010	, 0.084	, 5.222	, 0.331
0.2010	, 0.331	, 10.342	, 0.330
0.3010	, 1.483	, 30.947	, 0.659
0.4010	, 1.896	, 29.702	, 0.474
0.5010	, 3.103	, 38.913	, 0.497
0.6010	, 6.271	, 65.560	, 0.699
0.7010	, 9.759	, 87.469	, 0.799
0.8010	, 10.564	, 82.868	, 0.663
0.9010	, 10.930	, 76.218	, 0.542
1.0010	, 11.181	, 70.180	, 0.449
1.1010	, 10.473	, 59.766	, 0.348
1.2010	, 9.300	, 48.656	, 0.259
1.3010	, 8.204	, 39.621	, 0.195
1.4010	, 7.265	, 32.581	, 0.149
1.5010	, 6.437	, 26.946	, 0.115
1.6010	, 5.732	, 22.495	, 0.090
1.7010	, 5.246	, 19.377	, 0.073
1.8010	, 5.060	, 17.651	, 0.063
1.9010	, 5.143	, 16.998	, 0.057
2.0010	, 5.399	, 16.953	, 0.054
2.1010	, 5.730	, 17.135	, 0.052
2.2010	, 6.068	, 17.322	, 0.050
2.3010	, 6.376	, 17.410	, 0.048
2.4010	, 6.636	, 17.365	, 0.046
2.5010	, 6.841	, 17.187	, 0.044
2.6010	, 6.995	, 16.897	, 0.042
2.7010	, 7.099	, 16.515	, 0.039
2.8010	, 7.160	, 16.061	, 0.037
2.9010	, 7.180	, 15.550	, 0.034
3.0010	, 7.162	, 14.995	, 0.032
3.1010	, 7.111	, 14.407	, 0.030
3.2010	, 7.028	, 13.796	, 0.028
3.3010	, 6.919	, 13.171	, 0.026
3.4010	, 6.788	, 12.541	, 0.024
3.5010	, 6.827	, 12.253	, 0.022
3.6010	, 6.906	, 12.050	, 0.021
3.7010	, 7.012	, 11.905	, 0.021
3.8010	, 7.568	, 12.510	, 0.021
3.9010	, 8.163	, 13.148	, 0.022
4.0010	, 8.361	, 13.131	, 0.021
4.1010	, 8.183	, 12.537	, 0.020
4.2010	, 8.039	, 12.024	, 0.018
4.3010	, 7.922	, 11.573	, 0.017
4.4010	, 7.628	, 10.890	, 0.016
4.5010	, 7.369	, 10.287	, 0.015
4.6010	, 7.251	, 9.902	, 0.014
4.7010	, 7.364	, 9.843	, 0.013
4.8010	, 7.470	, 9.776	, 0.013
4.9010	, 7.568	, 9.703	, 0.013
5.0010	, 7.659	, 9.623	, 0.012
5.1010	, 7.743	, 9.537	, 0.012
5.2010	, 7.821	, 9.448	, 0.012
5.3010	, 7.892	, 9.354	, 0.011
5.4010	, 7.957	, 9.257	, 0.011
5.5010	, 8.017	, 9.157	, 0.011
5.6010	, 8.071	, 9.054	, 0.010
5.7010	, 8.119	, 8.948	, 0.010
5.8010	, 8.163	, 8.842	, 0.010
5.9010	, 8.203	, 8.734	, 0.009
6.0010	, 8.238	, 8.625	, 0.009
6.1010	, 8.269	, 8.516	, 0.009
6.2010	, 8.296	, 8.406	, 0.009
6.3010	, 8.320	, 8.296	, 0.008
6.4010	, 8.340	, 8.187	, 0.008
6.5010	, 8.357	, 8.077	, 0.008
6.6010	, 8.371	, 7.968	, 0.008
6.7010	, 8.383	, 7.860	, 0.008
6.8010	, 8.392	, 7.753	, 0.007
6.9010	, 8.399	, 7.647	, 0.007
7.0010	, 8.404	, 7.542	, 0.007
7.1010	, 8.407	, 7.439	, 0.007
7.2010	, 8.408	, 7.336	, 0.007
7.3010	, 8.407	, 7.235	, 0.006
7.4010	, 8.404	, 7.135	, 0.006
7.5010	, 8.400	, 7.036	, 0.006
7.6010	, 8.395	, 6.939	, 0.006
7.7010	, 8.388	, 6.844	, 0.006
7.8010	, 8.381	, 6.750	, 0.006
7.9010	, 8.372	, 6.658	, 0.005
8.0010	, 8.363	, 6.567	, 0.005
8.1010	, 8.352	, 6.478	, 0.005
