 
PGA:,  0.17 g
PGV:,  14.08 cm/s
PGD:,  2.69 cm
Arias Intensity:,  21.66 cm/s
Significant duration:,   7.87 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.027	, 0.174
0.1010	, 0.077	, 4.794	, 0.304
0.2010	, 0.441	, 13.787	, 0.439
0.3010	, 1.024	, 21.382	, 0.455
0.4010	, 1.840	, 28.837	, 0.461
0.5010	, 1.592	, 19.961	, 0.255
0.6010	, 1.861	, 19.460	, 0.207
0.7010	, 1.852	, 16.604	, 0.152
0.8010	, 2.150	, 16.866	, 0.135
0.9010	, 2.755	, 19.209	, 0.137
1.0010	, 2.530	, 15.883	, 0.102
1.1010	, 2.758	, 15.739	, 0.092
1.2010	, 2.747	, 14.371	, 0.077
1.3010	, 2.636	, 12.729	, 0.063
1.4010	, 2.578	, 11.564	, 0.053
1.5010	, 2.681	, 11.222	, 0.048
1.6010	, 2.930	, 11.500	, 0.046
1.7010	, 3.235	, 11.948	, 0.045
1.8010	, 3.509	, 12.242	, 0.044
1.9010	, 3.711	, 12.265	, 0.041
2.0010	, 3.921	, 12.312	, 0.039
2.1010	, 4.255	, 12.723	, 0.039
2.2010	, 4.397	, 12.552	, 0.037
2.3010	, 4.371	, 11.936	, 0.033
2.4010	, 4.387	, 11.480	, 0.031
2.5010	, 4.692	, 11.788	, 0.030
2.6010	, 4.913	, 11.867	, 0.029
2.7010	, 4.967	, 11.555	, 0.027
2.8010	, 5.099	, 11.438	, 0.026
2.9010	, 5.285	, 11.447	, 0.025
3.0010	, 5.364	, 11.230	, 0.024
3.1010	, 5.381	, 10.903	, 0.023
3.2010	, 5.579	, 10.952	, 0.022
3.3010	, 5.720	, 10.888	, 0.021
3.4010	, 5.806	, 10.726	, 0.020
3.5010	, 5.841	, 10.482	, 0.019
3.6010	, 5.830	, 10.173	, 0.018
3.7010	, 5.781	, 9.814	, 0.017
3.8010	, 5.702	, 9.426	, 0.016
3.9010	, 5.600	, 9.019	, 0.015
4.0010	, 5.473	, 8.595	, 0.014
4.1010	, 5.325	, 8.158	, 0.013
4.2010	, 5.157	, 7.713	, 0.012
4.3010	, 4.974	, 7.267	, 0.011
4.4010	, 4.779	, 6.823	, 0.010
4.5010	, 4.835	, 6.750	, 0.010
4.6010	, 4.885	, 6.671	, 0.009
4.7010	, 4.927	, 6.585	, 0.009
4.8010	, 4.961	, 6.493	, 0.009
4.9010	, 4.988	, 6.395	, 0.008
5.0010	, 5.009	, 6.294	, 0.008
5.1010	, 5.025	, 6.189	, 0.008
5.2010	, 5.035	, 6.082	, 0.007
5.3010	, 5.040	, 5.974	, 0.007
5.4010	, 5.041	, 5.865	, 0.007
5.5010	, 5.039	, 5.755	, 0.007
5.6010	, 5.033	, 5.646	, 0.006
5.7010	, 5.024	, 5.537	, 0.006
5.8010	, 5.013	, 5.429	, 0.006
5.9010	, 4.999	, 5.323	, 0.006
6.0010	, 4.985	, 5.220	, 0.006
6.1010	, 4.971	, 5.119	, 0.005
6.2010	, 4.954	, 5.020	, 0.005
6.3010	, 4.936	, 4.922	, 0.005
6.4010	, 4.916	, 4.826	, 0.005
6.5010	, 4.895	, 4.731	, 0.005
6.6010	, 4.873	, 4.638	, 0.005
