 
PGA:,  0.14 g
PGV:,  6.26 cm/s
PGD:,  1.26 cm
Arias Intensity:,  16.37 cm/s
Significant duration:,  11.10 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.022	, 0.143
0.1010	, 0.098	, 6.123	, 0.388
0.2010	, 0.314	, 9.801	, 0.312
0.3010	, 0.815	, 17.007	, 0.362
0.4010	, 1.076	, 16.852	, 0.269
0.5010	, 1.041	, 13.056	, 0.167
0.6010	, 1.289	, 13.475	, 0.144
0.7010	, 1.463	, 13.116	, 0.120
0.8010	, 1.197	, 9.389	, 0.075
0.9010	, 1.339	, 9.341	, 0.066
1.0010	, 1.400	, 8.787	, 0.056
1.1010	, 1.222	, 6.971	, 0.041
1.2010	, 1.317	, 6.892	, 0.037
1.3010	, 1.309	, 6.321	, 0.031
1.4010	, 1.216	, 5.451	, 0.025
1.5010	, 1.105	, 4.624	, 0.020
1.6010	, 1.004	, 3.940	, 0.016
1.7010	, 0.916	, 3.383	, 0.013
1.8010	, 0.997	, 3.479	, 0.012
1.9010	, 1.341	, 4.434	, 0.015
2.0010	, 1.391	, 4.368	, 0.014
2.1010	, 1.386	, 4.146	, 0.013
2.2010	, 1.434	, 4.093	, 0.012
2.3010	, 1.643	, 4.485	, 0.012
2.4010	, 1.836	, 4.805	, 0.013
2.5010	, 2.226	, 5.593	, 0.014
2.6010	, 2.537	, 6.129	, 0.015
2.7010	, 2.750	, 6.396	, 0.015
2.8010	, 2.701	, 6.058	, 0.014
2.9010	, 2.447	, 5.299	, 0.012
3.0010	, 2.111	, 4.420	, 0.009
3.1010	, 1.808	, 3.664	, 0.008
3.2010	, 1.626	, 3.192	, 0.006
3.3010	, 1.573	, 2.993	, 0.006
3.4010	, 1.597	, 2.951	, 0.006
3.5010	, 1.641	, 2.946	, 0.005
3.6010	, 1.671	, 2.915	, 0.005
3.7010	, 1.729	, 2.936	, 0.005
3.8010	, 2.027	, 3.350	, 0.006
3.9010	, 2.262	, 3.643	, 0.006
4.0010	, 2.395	, 3.761	, 0.006
4.1010	, 2.437	, 3.734	, 0.006
4.2010	, 2.356	, 3.524	, 0.005
4.3010	, 2.163	, 3.159	, 0.005
4.4010	, 2.072	, 2.957	, 0.004
4.5010	, 2.156	, 3.009	, 0.004
4.6010	, 2.226	, 3.040	, 0.004
4.7010	, 2.271	, 3.035	, 0.004
4.8010	, 2.292	, 2.999	, 0.004
4.9010	, 2.417	, 3.098	, 0.004
5.0010	, 2.709	, 3.404	, 0.004
5.1010	, 2.992	, 3.685	, 0.005
5.2010	, 3.160	, 3.817	, 0.005
5.3010	, 3.329	, 3.946	, 0.005
5.4010	, 3.441	, 4.003	, 0.005
5.5010	, 3.427	, 3.914	, 0.005
5.6010	, 3.272	, 3.670	, 0.004
5.7010	, 3.139	, 3.459	, 0.004
5.8010	, 3.076	, 3.332	, 0.004
5.9010	, 2.951	, 3.142	, 0.003
6.0010	, 2.781	, 2.912	, 0.003
6.1010	, 2.596	, 2.673	, 0.003
6.2010	, 2.483	, 2.516	, 0.003
6.3010	, 2.349	, 2.342	, 0.002
