 
PGA:,  0.30 g
PGV:,  32.43 cm/s
PGD:,  7.31 cm
Arias Intensity:,  64.74 cm/s
Significant duration:,  11.17 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.046	, 0.295
0.1010	, 0.123	, 7.642	, 0.485
0.2010	, 0.496	, 15.499	, 0.494
0.3010	, 1.450	, 30.258	, 0.644
0.4010	, 2.145	, 33.612	, 0.537
0.5010	, 4.695	, 58.886	, 0.753
0.6010	, 8.349	, 87.282	, 0.930
0.7010	, 10.131	, 90.808	, 0.830
0.8010	, 10.323	, 80.974	, 0.647
0.9010	, 9.735	, 67.890	, 0.483
1.0010	, 9.285	, 58.280	, 0.373
1.1010	, 9.361	, 53.419	, 0.311
1.2010	, 9.238	, 48.328	, 0.258
1.3010	, 8.586	, 41.466	, 0.204
1.4010	, 7.857	, 35.238	, 0.161
1.5010	, 7.269	, 30.428	, 0.130
1.6010	, 6.849	, 26.878	, 0.108
1.7010	, 6.639	, 24.523	, 0.092
1.8010	, 6.621	, 23.097	, 0.082
1.9010	, 6.691	, 22.114	, 0.075
2.0010	, 6.756	, 21.214	, 0.068
2.1010	, 6.785	, 20.292	, 0.062
2.2010	, 6.797	, 19.403	, 0.056
2.3010	, 6.819	, 18.620	, 0.052
2.4010	, 6.869	, 17.975	, 0.048
2.5010	, 6.942	, 17.440	, 0.045
2.6010	, 7.023	, 16.965	, 0.042
2.7010	, 7.090	, 16.494	, 0.039
2.8010	, 7.128	, 15.989	, 0.037
2.9010	, 7.127	, 15.435	, 0.034
3.0010	, 7.131	, 14.930	, 0.032
3.1010	, 7.126	, 14.438	, 0.030
3.2010	, 7.076	, 13.889	, 0.028
3.3010	, 7.011	, 13.346	, 0.026
3.4010	, 8.246	, 15.234	, 0.029
3.5010	, 9.055	, 16.252	, 0.030
3.6010	, 9.403	, 16.406	, 0.029
3.7010	, 9.674	, 16.424	, 0.028
3.8010	, 9.598	, 15.866	, 0.027
3.9010	, 9.676	, 15.585	, 0.026
4.0010	, 9.899	, 15.546	, 0.025
4.1010	, 9.841	, 15.078	, 0.024
4.2010	, 9.676	, 14.471	, 0.022
4.3010	, 9.402	, 13.735	, 0.020
4.4010	, 8.961	, 12.793	, 0.019
4.5010	, 8.383	, 11.702	, 0.017
4.6010	, 7.908	, 10.799	, 0.015
4.7010	, 7.669	, 10.250	, 0.014
4.8010	, 7.412	, 9.700	, 0.013
4.9010	, 7.457	, 9.560	, 0.012
5.0010	, 7.497	, 9.420	, 0.012
5.1010	, 7.535	, 9.281	, 0.012
5.2010	, 7.569	, 9.144	, 0.011
5.3010	, 7.601	, 9.009	, 0.011
5.4010	, 7.631	, 8.878	, 0.011
5.5010	, 7.660	, 8.749	, 0.010
5.6010	, 7.687	, 8.623	, 0.010
5.7010	, 7.712	, 8.500	, 0.010
5.8010	, 7.736	, 8.379	, 0.009
5.9010	, 7.759	, 8.262	, 0.009
6.0010	, 7.781	, 8.147	, 0.009
6.1010	, 7.802	, 8.035	, 0.008
6.2010	, 7.822	, 7.925	, 0.008
6.3010	, 7.841	, 7.818	, 0.008
6.4010	, 7.859	, 7.714	, 0.008
6.5010	, 7.876	, 7.612	, 0.007
6.6010	, 7.892	, 7.512	, 0.007
6.7010	, 7.907	, 7.414	, 0.007
6.8010	, 7.922	, 7.319	, 0.007
6.9010	, 7.936	, 7.226	, 0.007
7.0010	, 7.950	, 7.135	, 0.007
7.1010	, 7.962	, 7.045	, 0.006
7.2010	, 7.974	, 6.958	, 0.006
7.3010	, 7.985	, 6.872	, 0.006
7.4010	, 7.995	, 6.788	, 0.006
7.5010	, 8.005	, 6.705	, 0.006
7.6010	, 8.014	, 6.624	, 0.006
7.7010	, 8.022	, 6.545	, 0.005
7.8010	, 8.029	, 6.467	, 0.005
7.9010	, 8.036	, 6.391	, 0.005
8.0010	, 8.043	, 6.316	, 0.005
8.1010	, 8.048	, 6.242	, 0.005
8.2010	, 8.053	, 6.170	, 0.005
8.3010	, 8.058	, 6.099	, 0.005
8.4010	, 8.062	, 6.030	, 0.005
8.5010	, 8.066	, 5.961	, 0.004
8.6010	, 8.069	, 5.894	, 0.004
8.7010	, 8.071	, 5.828	, 0.004
8.8010	, 8.074	, 5.764	, 0.004
8.9010	, 8.075	, 5.700	, 0.004
9.0010	, 8.077	, 5.638	, 0.004
9.1010	, 8.078	, 5.577	, 0.004
9.2010	, 8.078	, 5.516	, 0.004
9.3010	, 8.078	, 5.457	, 0.004
9.4010	, 8.078	, 5.399	, 0.004
9.5010	, 8.078	, 5.342	, 0.004
9.6010	, 8.078	, 5.286	, 0.004
9.7010	, 8.077	, 5.231	, 0.003
9.8010	, 8.076	, 5.177	, 0.003
9.9010	, 8.074	, 5.124	, 0.003
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0003777	0.0000000	0.0000000	0.0000000
0.005	-0.0003797	-0.0018576	-0.0000046	0.0000000
0.010	-0.0003810	-0.0037233	-0.0000186	0.0000000
0.015	-0.0003819	-0.0055944	-0.0000419	0.0000001
0.020	-0.0003859	-0.0074775	-0.0000746	0.0000001
0.025	-0.0003969	-0.0093974	-0.0001168	0.0000001
0.030	-0.0004145	-0.0113875	-0.0001687	0.0000001
0.035	-0.0004330	-0.0134660	-0.0002309	0.0000001
0.040	-0.0004456	-0.0156208	-0.0003036	0.0000002
0.045	-0.0004517	-0.0178215	-0.0003872	0.0000002
0.050	-0.0004553	-0.0200460	-0.0004818	0.0000002
0.055	-0.0004587	-0.0222877	-0.0005877	0.0000002
0.060	-0.0004606	-0.0245421	-0.0007048	0.0000002
0.065	-0.0004601	-0.0268000	-0.0008331	0.0000003
0.070	-0.0004576	-0.0290507	-0.0009727	0.0000003
0.075	-0.0004550	-0.0312888	-0.0011236	0.0000003
0.080	-0.0004557	-0.0335222	-0.0012856	0.0000003
0.085	-0.0004641	-0.0357780	-0.0014589	0.0000004
0.090	-0.0004767	-0.0380855	-0.0016435	0.0000004
0.095	-0.0004840	-0.0404417	-0.0018398	0.0000004
0.100	-0.0004835	-0.0428144	-0.0020480	0.0000005
0.105	-0.0004775	-0.0451711	-0.0022679	0.0000005
0.110	-0.0004667	-0.0474868	-0.0024996	0.0000005
0.115	-0.0004539	-0.0497445	-0.0027427	0.0000005
0.120	-0.0004461	-0.0519517	-0.0029969	0.0000006
0.125	-0.0004443	-0.0541353	-0.0032621	0.0000006
0.130	-0.0004364	-0.0562950	-0.0035382	0.0000006
0.135	-0.0004209	-0.0583974	-0.0038249	0.0000006
