 
PGA:,  0.10 g
PGV:,  4.89 cm/s
PGD:,  0.49 cm
Arias Intensity:,  10.74 cm/s
Significant duration:,  10.50 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.015	, 0.096
0.1010	, 0.052	, 3.220	, 0.204
0.2010	, 0.292	, 9.133	, 0.291
0.3010	, 0.386	, 8.052	, 0.171
0.4010	, 0.928	, 14.545	, 0.232
0.5010	, 1.546	, 19.388	, 0.248
0.6010	, 1.234	, 12.906	, 0.138
0.7010	, 1.648	, 14.769	, 0.135
0.8010	, 1.121	, 8.797	, 0.070
0.9010	, 1.287	, 8.974	, 0.064
1.0010	, 1.065	, 6.682	, 0.043
1.1010	, 0.990	, 5.650	, 0.033
1.2010	, 0.891	, 4.661	, 0.025
1.3010	, 0.857	, 4.140	, 0.020
1.4010	, 1.041	, 4.670	, 0.021
1.5010	, 1.126	, 4.715	, 0.020
1.6010	, 1.012	, 3.971	, 0.016
1.7010	, 1.027	, 3.793	, 0.014
1.8010	, 0.995	, 3.472	, 0.012
1.9010	, 0.891	, 2.945	, 0.010
2.0010	, 0.863	, 2.709	, 0.009
2.1010	, 0.815	, 2.438	, 0.007
2.2010	, 0.759	, 2.167	, 0.006
2.3010	, 0.701	, 1.915	, 0.005
2.4010	, 0.647	, 1.692	, 0.005
2.5010	, 0.598	, 1.503	, 0.004
2.6010	, 0.569	, 1.374	, 0.003
2.7010	, 0.569	, 1.323	, 0.003
2.8010	, 0.569	, 1.277	, 0.003
2.9010	, 0.569	, 1.233	, 0.003
3.0010	, 0.569	, 1.191	, 0.003
3.1010	, 0.568	, 1.150	, 0.002
3.2010	, 0.566	, 1.111	, 0.002
3.3010	, 0.563	, 1.072	, 0.002
3.4010	, 0.560	, 1.035	, 0.002
3.5010	, 0.557	, 0.999	, 0.002
3.6010	, 0.553	, 0.964	, 0.002
3.7010	, 0.548	, 0.931	, 0.002
3.8010	, 0.543	, 0.898	, 0.002
3.9010	, 0.542	, 0.872	, 0.001
4.0010	, 0.543	, 0.853	, 0.001
4.1010	, 0.543	, 0.832	, 0.001
4.2010	, 0.541	, 0.810	, 0.001
4.3010	, 0.539	, 0.787	, 0.001
4.4010	, 0.535	, 0.763	, 0.001
4.5010	, 0.530	, 0.740	, 0.001
4.6010	, 0.525	, 0.717	, 0.001
4.7010	, 0.520	, 0.694	, 0.001
4.8010	, 0.514	, 0.673	, 0.001
4.9010	, 0.508	, 0.652	, 0.001
5.0010	, 0.503	, 0.632	, 0.001
5.1010	, 0.497	, 0.613	, 0.001
5.2010	, 0.492	, 0.595	, 0.001
5.3010	, 0.487	, 0.578	, 0.001
5.4010	, 0.483	, 0.562	, 0.001
5.5010	, 0.479	, 0.547	, 0.001
5.6010	, 0.476	, 0.534	, 0.001
5.7010	, 0.472	, 0.521	, 0.001
5.8010	, 0.470	, 0.509	, 0.001
5.9010	, 0.467	, 0.498	, 0.001
6.0010	, 0.466	, 0.487	, 0.001
6.1010	, 0.464	, 0.478	, 0.001
6.2010	, 0.463	, 0.469	, 0.000
6.3010	, 0.462	, 0.461	, 0.000
6.4010	, 0.461	, 0.453	, 0.000
6.5010	, 0.461	, 0.446	, 0.000
6.6010	, 0.461	, 0.439	, 0.000
6.7010	, 0.461	, 0.432	, 0.000
6.8010	, 0.461	, 0.426	, 0.000
6.9010	, 0.462	, 0.421	, 0.000
7.0010	, 0.463	, 0.415	, 0.000
7.1010	, 0.463	, 0.410	, 0.000
7.2010	, 0.464	, 0.405	, 0.000
7.3010	, 0.465	, 0.401	, 0.000
7.4010	, 0.467	, 0.396	, 0.000
7.5010	, 0.468	, 0.392	, 0.000
7.6010	, 0.469	, 0.388	, 0.000
7.7010	, 0.470	, 0.384	, 0.000
7.8010	, 0.472	, 0.380	, 0.000
7.9010	, 0.473	, 0.376	, 0.000
8.0010	, 0.474	, 0.373	, 0.000
8.1010	, 0.476	, 0.369	, 0.000
8.2010	, 0.477	, 0.366	, 0.000
8.3010	, 0.478	, 0.362	, 0.000
8.4010	, 0.480	, 0.359	, 0.000
8.5010	, 0.481	, 0.356	, 0.000
8.6010	, 0.482	, 0.352	, 0.000
8.7010	, 0.484	, 0.349	, 0.000
8.8010	, 0.485	, 0.346	, 0.000
8.9010	, 0.486	, 0.343	, 0.000
9.0010	, 0.487	, 0.340	, 0.000
9.1010	, 0.488	, 0.337	, 0.000
9.2010	, 0.490	, 0.334	, 0.000
9.3010	, 0.491	, 0.331	, 0.000
9.4010	, 0.492	, 0.329	, 0.000
9.5010	, 0.493	, 0.326	, 0.000
9.6010	, 0.494	, 0.323	, 0.000
9.7010	, 0.494	, 0.320	, 0.000
9.8010	, 0.495	, 0.318	, 0.000
9.9010	, 0.496	, 0.315	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000888	0.0000000	0.0000000	0.0000000
0.005	-0.0001060	-0.0004778	-0.0000012	0.0000000
0.010	-0.0001169	-0.0010245	-0.0000050	0.0000000
0.015	-0.0001223	-0.0016112	-0.0000115	0.0000000
0.020	-0.0001243	-0.0022162	-0.0000211	0.0000000
0.025	-0.0001139	-0.0028005	-0.0000336	0.0000000
0.030	-0.0000814	-0.0032794	-0.0000488	0.0000001
0.035	-0.0000229	-0.0035350	-0.0000659	0.0000001
0.040	0.0000479	-0.0034736	-0.0000834	0.0000001
0.045	0.0000982	-0.0031153	-0.0000999	0.0000001
0.050	0.0000972	-0.0026359	-0.0001143	0.0000001
0.055	0.0000460	-0.0022847	-0.0001266	0.0000001
0.060	-0.0000202	-0.0022214	-0.0001378	0.0000001
0.065	-0.0000551	-0.0024059	-0.0001494	0.0000001
0.070	-0.0000393	-0.0026375	-0.0001620	0.0000001
0.075	0.0000192	-0.0026870	-0.0001753	0.0000001
0.080	0.0001183	-0.0023499	-0.0001879	0.0000001
0.085	0.0002637	-0.0014129	-0.0001973	0.0000001
0.090	0.0004427	0.0003195	-0.0002000	0.0000002
0.095	0.0006161	0.0029161	-0.0001920	0.0000004
0.100	0.0007389	0.0062392	-0.0001691	0.0000007
0.105	0.0007886	0.0099855	-0.0001285	0.0000012
0.110	0.0008007	0.0138833	-0.0000688	0.0000016
0.115	0.0008284	0.0178787	0.0000106	0.0000021
0.120	0.0008618	0.0220239	0.0001103	0.0000026
0.125	0.0008620	0.0262516	0.0002310	0.0000031
0.130	0.0008213	0.0303799	0.0003726	0.0000036
0.135	0.0007464	0.0342247	0.0005341	0.0000041
0.140	0.0006401	0.0376250	0.0007137	0.0000044
0.145	0.0005004	0.0404219	0.0009088	0.0000047
0.150	0.0003435	0.0424914	0.0011161	0.0000048
0.155	0.0002477	0.0439413	0.0013322	0.0000049
0.160	0.0002476	0.0451560	0.0015550	0.0000049
0.165	0.0002758	0.0464396	0.0017839	0.0000050
0.170	0.0002771	0.0477956	0.0020195	0.0000050
0.175	0.0002702	0.0491380	0.0022619	0.0000051
0.180	0.0003056	0.0505501	0.0025111	0.0000051
0.185	0.0004263	0.0523449	0.0027683	0.0000052
0.190	0.0006475	0.0549782	0.0030366	0.0000054
0.195	0.0009921	0.0589991	0.0033216	0.0000059
0.200	0.0014828	0.0650687	0.0036317	0.0000071
0.205	0.0019862	0.0735766	0.0039784	0.0000093
0.210	0.0022501	0.0839663	0.0043722	0.0000125
0.215	0.0021009	0.0946373	0.0048187	0.0000159
0.220	0.0015359	0.1035565	0.0053142	0.0000184
0.225	0.0007485	0.1091590	0.0058460	0.0000194
0.230	0.0000416	0.1110966	0.0063966	0.0000196
0.235	-0.0003574	0.1103221	0.0069502	0.0000196
0.240	-0.0003411	0.1086091	0.0074975	0.0000197
0.245	0.0001090	0.1080396	0.0080391	0.0000198
0.250	0.0009062	0.1105294	0.0085856	0.0000201
0.255	0.0018092	0.1171889	0.0091549	0.0000215
0.260	0.0023896	0.1274864	0.0097665	0.0000248
0.265	0.0023000	0.1389876	0.0104327	0.0000287
0.270	0.0015470	0.1484222	0.0111512	0.0000315
0.275	0.0004588	0.1533413	0.0119057	0.0000324
0.280	-0.0005021	0.1532351	0.0126721	0.0000326
0.285	-0.0008859	0.1498312	0.0134298	0.0000329
0.290	-0.0004657	0.1465165	0.0141706	0.0000333
0.295	0.0004983	0.1465963	0.0149034	0.0000335
0.300	0.0013239	0.1510653	0.0156476	0.0000342
0.305	0.0014399	0.1578435	0.0164198	0.0000356
0.310	0.0008430	0.1634423	0.0172231	0.0000366
0.315	0.0000059	0.1655243	0.0180455	0.0000368
0.320	-0.0006407	0.1639674	0.0188692	0.0000370
0.325	-0.0009927	0.1599614	0.0196790	0.0000375
0.330	-0.0009722	0.1551425	0.0204668	0.0000381
0.335	-0.0004028	0.1517704	0.0212341	0.0000385
0.340	0.0005930	0.1522368	0.0219941	0.0000387
0.345	0.0014582	0.1572673	0.0227678	0.0000396
0.350	0.0014670	0.1644414	0.0235721	0.0000412
0.355	0.0002319	0.1686080	0.0244047	0.0000419
0.360	-0.0018348	0.1646769	0.0252380	0.0000432
0.365	-0.0038781	0.1506660	0.0260263	0.0000498
0.370	-0.0051624	0.1284941	0.0267242	0.0000647
0.375	-0.0052393	0.1029839	0.0273029	0.0000841
0.380	-0.0040501	0.0802016	0.0277609	0.0000998
0.385	-0.0020513	0.0652379	0.0281245	0.0001072
0.390	-0.0001543	0.0598287	0.0284371	0.0001088
0.395	0.0007640	0.0613241	0.0287400	0.0001090
0.400	0.0004365	0.0642686	0.0290540	0.0001093
0.405	-0.0006743	0.0636854	0.0293739	0.0001095
0.410	-0.0015907	0.0581305	0.0296784	0.0001106
0.415	-0.0014572	0.0506555	0.0299504	0.0001122
0.420	-0.0001388	0.0467413	0.0301939	0.0001130
0.425	0.0017529	0.0506998	0.0304375	0.0001141
0.430	0.0032691	0.0630164	0.0307218	0.0001190
0.435	0.0037240	0.0801671	0.0310797	0.0001278
0.440	0.0030510	0.0967827	0.0315221	0.0001362
0.445	0.0017641	0.1085916	0.0320355	0.0001406
0.450	0.0005677	0.1143102	0.0325928	0.0001418
0.455	-0.0001188	0.1154111	0.0331671	0.0001420
0.460	-0.0002560	0.1144920	0.0337419	0.0001420
0.465	-0.0001223	0.1135642	0.0343120	0.0001420
0.470	-0.0003507	0.1124042	0.0348769	0.0001421
0.475	-0.0015759	0.1076794	0.0354271	0.0001430
0.480	-0.0038574	0.0943544	0.0359322	0.0001492
0.485	-0.0063757	0.0692576	0.0363412	0.0001691
0.490	-0.0079109	0.0342195	0.0365999	0.0002062
0.495	-0.0075719	-0.0037522	0.0366761	0.0002492
0.500	-0.0052067	-0.0350918	0.0365790	0.0002794
0.505	-0.0014495	-0.0514161	0.0363627	0.0002899
0.510	0.0022771	-0.0493861	0.0361107	0.0002925
0.515	0.0042143	-0.0334658	0.0359036	0.0003008
0.520	0.0032352	-0.0151959	0.0357819	0.0003109
0.525	-0.0000752	-0.0074461	0.0357253	0.0003146
0.530	-0.0036610	-0.0166091	0.0356652	0.0003195
0.535	-0.0055677	-0.0392425	0.0355256	0.0003354
0.540	-0.0051684	-0.0655729	0.0352635	0.0003561
0.545	-0.0029062	-0.0853759	0.0348862	0.0003687
0.550	0.0001815	-0.0920583	0.0344426	0.0003717
0.555	0.0028642	-0.0845887	0.0340009	0.0003747
0.560	0.0040984	-0.0675127	0.0336207	0.0003836
0.565	0.0036361	-0.0485437	0.0333306	0.0003944
0.570	0.0020697	-0.0345503	0.0331228	0.0004007
0.575	0.0004279	-0.0284249	0.0329654	0.0004023
0.580	-0.0005000	-0.0286015	0.0328228	0.0004024
0.585	-0.0005017	-0.0310582	0.0326737	0.0004026
0.590	-0.0000148	-0.0323249	0.0325152	0.0004027
0.595	0.0001916	-0.0318913	0.0323547	0.0004027
0.600	-0.0003946	-0.0323893	0.0321940	0.0004028
0.605	-0.0016263	-0.0373457	0.0320196	0.0004038
0.610	-0.0028826	-0.0484037	0.0318053	0.0004077
0.615	-0.0036166	-0.0643428	0.0315234	0.0004154
0.620	-0.0035058	-0.0818106	0.0311580	0.0004245
0.625	-0.0022558	-0.0959411	0.0307136	0.0004307
0.630	-0.0001616	-0.1018699	0.0302191	0.0004326
0.635	0.0018656	-0.0976908	0.0297202	0.0004338
0.640	0.0028379	-0.0861553	0.0292606	0.0004380
0.645	0.0022718	-0.0736238	0.0288611	0.0004427
0.650	0.0009172	-0.0658028	0.0285126	0.0004448
0.655	-0.0001099	-0.0638229	0.0281885	0.0004452
0.660	-0.0005852	-0.0655276	0.0278651	0.0004453
0.665	-0.0008223	-0.0689793	0.0275289	0.0004456
0.670	-0.0010592	-0.0735937	0.0271724	0.0004463
0.675	-0.0015079	-0.0798895	0.0267887	0.0004475
0.680	-0.0023987	-0.0894705	0.0263653	0.0004504
0.685	-0.0039404	-0.1050172	0.0258791	0.0004580
0.690	-0.0058594	-0.1290511	0.0252939	0.0004759
0.695	-0.0072940	-0.1613097	0.0245680	0.0005073
