 
PGA:,  0.12 g
PGV:,  4.57 cm/s
PGD:,  0.73 cm
Arias Intensity:,  14.30 cm/s
Significant duration:,   9.76 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.019	, 0.123
0.1010	, 0.071	, 4.428	, 0.281
0.2010	, 0.232	, 7.247	, 0.231
0.3010	, 0.282	, 5.892	, 0.125
0.4010	, 0.453	, 7.105	, 0.113
0.5010	, 0.435	, 5.457	, 0.070
0.6010	, 0.574	, 6.001	, 0.064
0.7010	, 0.869	, 7.787	, 0.071
0.8010	, 1.268	, 9.947	, 0.080
0.9010	, 1.014	, 7.074	, 0.050
1.0010	, 1.168	, 7.331	, 0.047
1.1010	, 0.919	, 5.245	, 0.031
1.2010	, 1.022	, 5.345	, 0.029
1.3010	, 1.174	, 5.671	, 0.028
1.4010	, 1.334	, 5.981	, 0.027
1.5010	, 1.416	, 5.925	, 0.025
1.6010	, 1.459	, 5.727	, 0.023
1.7010	, 1.412	, 5.215	, 0.020
1.8010	, 1.251	, 4.366	, 0.016
1.9010	, 1.183	, 3.911	, 0.013
2.0010	, 1.212	, 3.804	, 0.012
2.1010	, 1.252	, 3.744	, 0.011
2.2010	, 1.249	, 3.567	, 0.010
2.3010	, 1.352	, 3.692	, 0.010
2.4010	, 1.499	, 3.923	, 0.010
2.5010	, 1.607	, 4.037	, 0.010
2.6010	, 1.691	, 4.084	, 0.010
2.7010	, 1.710	, 3.977	, 0.009
2.8010	, 1.646	, 3.692	, 0.008
2.9010	, 1.565	, 3.390	, 0.007
3.0010	, 1.538	, 3.219	, 0.007
3.1010	, 1.567	, 3.175	, 0.007
3.2010	, 1.570	, 3.082	, 0.006
3.3010	, 1.558	, 2.965	, 0.006
3.4010	, 1.529	, 2.824	, 0.005
3.5010	, 1.483	, 2.662	, 0.005
3.6010	, 1.443	, 2.518	, 0.004
3.7010	, 1.385	, 2.352	, 0.004
3.8010	, 1.311	, 2.167	, 0.004
3.9010	, 1.266	, 2.040	, 0.003
4.0010	, 1.274	, 2.000	, 0.003
4.1010	, 1.272	, 1.949	, 0.003
4.2010	, 1.263	, 1.889	, 0.003
4.3010	, 1.248	, 1.822	, 0.003
4.4010	, 1.227	, 1.752	, 0.003
4.5010	, 1.200	, 1.675	, 0.002
4.6010	, 1.195	, 1.633	, 0.002
4.7010	, 1.199	, 1.603	, 0.002
4.8010	, 1.200	, 1.571	, 0.002
4.9010	, 1.198	, 1.536	, 0.002
5.0010	, 1.194	, 1.500	, 0.002
5.1010	, 1.187	, 1.462	, 0.002
5.2010	, 1.182	, 1.428	, 0.002
5.3010	, 1.177	, 1.395	, 0.002
5.4010	, 1.170	, 1.362	, 0.002
5.5010	, 1.162	, 1.327	, 0.002
5.6010	, 1.151	, 1.292	, 0.001
5.7010	, 1.139	, 1.256	, 0.001
5.8010	, 1.126	, 1.220	, 0.001
5.9010	, 1.112	, 1.184	, 0.001
6.0010	, 1.097	, 1.148	, 0.001
6.1010	, 1.081	, 1.113	, 0.001
6.2010	, 1.065	, 1.079	, 0.001
6.3010	, 1.048	, 1.045	, 0.001
6.4010	, 1.031	, 1.012	, 0.001
6.5010	, 1.013	, 0.979	, 0.001
6.6010	, 0.996	, 0.948	, 0.001
6.7010	, 0.979	, 0.918	, 0.001
6.8010	, 0.962	, 0.889	, 0.001
6.9010	, 0.945	, 0.860	, 0.001
7.0010	, 0.928	, 0.833	, 0.001
7.1010	, 0.911	, 0.806	, 0.001
7.2010	, 0.895	, 0.781	, 0.001
7.3010	, 0.879	, 0.757	, 0.001
7.4010	, 0.864	, 0.733	, 0.001
7.5010	, 0.849	, 0.711	, 0.001
7.6010	, 0.834	, 0.690	, 0.001
7.7010	, 0.820	, 0.669	, 0.001
7.8010	, 0.806	, 0.649	, 0.001
7.9010	, 0.793	, 0.631	, 0.001
8.0010	, 0.780	, 0.613	, 0.000
8.1010	, 0.768	, 0.596	, 0.000
8.2010	, 0.764	, 0.585	, 0.000
8.3010	, 0.760	, 0.575	, 0.000
8.4010	, 0.757	, 0.566	, 0.000
8.5010	, 0.753	, 0.557	, 0.000
8.6010	, 0.750	, 0.548	, 0.000
8.7010	, 0.746	, 0.539	, 0.000
8.8010	, 0.742	, 0.530	, 0.000
8.9010	, 0.739	, 0.522	, 0.000
9.0010	, 0.735	, 0.513	, 0.000
9.1010	, 0.732	, 0.505	, 0.000
9.2010	, 0.728	, 0.497	, 0.000
9.3010	, 0.725	, 0.490	, 0.000
9.4010	, 0.721	, 0.482	, 0.000
9.5010	, 0.718	, 0.475	, 0.000
9.6010	, 0.714	, 0.467	, 0.000
9.7010	, 0.711	, 0.460	, 0.000
9.8010	, 0.707	, 0.453	, 0.000
9.9010	, 0.704	, 0.447	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000941	0.0000000	0.0000000	0.0000000
0.005	0.0000949	0.0004635	0.0000012	0.0000000
0.010	0.0000310	0.0007723	0.0000042	0.0000000
0.015	-0.0000337	0.0007658	0.0000081	0.0000000
0.020	-0.0001167	0.0003970	0.0000110	0.0000000
0.025	-0.0001494	-0.0002555	0.0000114	0.0000000
0.030	-0.0001138	-0.0009011	0.0000085	0.0000000
0.035	-0.0000071	-0.0011977	0.0000032	0.0000000
0.040	0.0000411	-0.0011145	-0.0000026	0.0000000
0.045	0.0000138	-0.0009800	-0.0000078	0.0000000
0.050	-0.0001027	-0.0011981	-0.0000132	0.0000000
0.055	-0.0002086	-0.0019616	-0.0000211	0.0000001
0.060	-0.0003105	-0.0032346	-0.0000341	0.0000001
0.065	-0.0002633	-0.0046419	-0.0000538	0.0000001
0.070	-0.0000263	-0.0053522	-0.0000788	0.0000002
0.075	0.0002701	-0.0047542	-0.0001041	0.0000002
0.080	0.0003985	-0.0031143	-0.0001237	0.0000002
0.085	0.0003469	-0.0012862	-0.0001348	0.0000003
0.090	0.0000588	-0.0002912	-0.0001387	0.0000003
0.095	-0.0001715	-0.0005676	-0.0001408	0.0000004
0.100	-0.0001798	-0.0014293	-0.0001458	0.0000004
0.105	0.0000095	-0.0018471	-0.0001540	0.0000004
0.110	0.0001611	-0.0014287	-0.0001622	0.0000004
0.115	0.0002394	-0.0004465	-0.0001669	0.0000004
0.120	0.0002220	0.0006851	-0.0001663	0.0000004
0.125	0.0001394	0.0015715	-0.0001607	0.0000005
0.130	0.0000527	0.0020429	-0.0001516	0.0000005
0.135	-0.0000324	0.0020927	-0.0001413	0.0000005
0.140	-0.0001811	0.0015692	-0.0001321	0.0000005
0.145	-0.0002993	0.0003910	-0.0001272	0.0000005
0.150	-0.0002518	-0.0009607	-0.0001287	0.0000005
0.155	-0.0000356	-0.0016655	-0.0001352	0.0000006
0.160	0.0001966	-0.0012705	-0.0001426	0.0000006
0.165	0.0003052	-0.0000399	-0.0001458	0.0000006
0.170	0.0001999	0.0011987	-0.0001429	0.0000006
0.175	-0.0001172	0.0014016	-0.0001364	0.0000007
0.180	-0.0004187	0.0000874	-0.0001327	0.0000007
0.185	-0.0003327	-0.0017554	-0.0001369	0.0000008
0.190	0.0002317	-0.0020031	-0.0001463	0.0000008
0.195	0.0009941	0.0010033	-0.0001488	0.0000011
0.200	0.0014311	0.0069513	-0.0001289	0.0000019
0.205	0.0012486	0.0135233	-0.0000777	0.0000029
0.210	0.0003896	0.0175410	-0.0000001	0.0000034
0.215	-0.0007542	0.0166468	0.0000854	0.0000036
0.220	-0.0018721	0.0102058	0.0001525	0.0000047
0.225	-0.0020327	0.0006292	0.0001796	0.0000067
0.230	-0.0011039	-0.0070633	0.0001636	0.0000082
0.235	-0.0000105	-0.0097963	0.0001214	0.0000085
0.240	0.0004522	-0.0087132	0.0000751	0.0000085
0.245	0.0004229	-0.0065670	0.0000369	0.0000086
0.250	-0.0000964	-0.0057662	0.0000061	0.0000087
0.255	-0.0007451	-0.0078301	-0.0000279	0.0000088
0.260	-0.0014960	-0.0133264	-0.0000808	0.0000096
0.265	-0.0019917	-0.0218797	-0.0001688	0.0000113
0.270	-0.0021852	-0.0321235	-0.0003038	0.0000136
0.275	-0.0019282	-0.0422117	-0.0004896	0.0000159
0.280	-0.0012200	-0.0499329	-0.0007200	0.0000173
0.285	-0.0002126	-0.0534464	-0.0009785	0.0000177
0.290	0.0008381	-0.0519125	-0.0012419	0.0000179
0.295	0.0016876	-0.0457183	-0.0014859	0.0000189
0.300	0.0020001	-0.0366743	-0.0016919	0.0000207
0.305	0.0016481	-0.0277271	-0.0018529	0.0000225
0.310	0.0010058	-0.0212183	-0.0019753	0.0000235
0.315	0.0005259	-0.0174618	-0.0020720	0.0000239
0.320	0.0003253	-0.0153743	-0.0021541	0.0000240
0.325	0.0004807	-0.0133978	-0.0022260	0.0000241
0.330	0.0006680	-0.0105806	-0.0022859	0.0000243
0.335	0.0002548	-0.0083174	-0.0023332	0.0000244
0.340	-0.0007696	-0.0095799	-0.0023779	0.0000246
0.345	-0.0017788	-0.0158298	-0.0024415	0.0000256
0.350	-0.0020749	-0.0252810	-0.0025442	0.0000276
0.355	-0.0010001	-0.0328224	-0.0026895	0.0000290
0.360	0.0008718	-0.0331371	-0.0028544	0.0000295
0.365	0.0024731	-0.0249337	-0.0029996	0.0000314
0.370	0.0031953	-0.0110320	-0.0030895	0.0000357
0.375	0.0029218	0.0039701	-0.0031071	0.0000408
0.380	0.0017400	0.0154033	-0.0030587	0.0000439
0.385	-0.0001075	0.0194071	-0.0029717	0.0000447
0.390	-0.0019457	0.0143717	-0.0028872	0.0000458
0.395	-0.0029032	0.0024798	-0.0028451	0.0000490
0.400	-0.0031934	-0.0124723	-0.0028701	0.0000541
0.405	-0.0028346	-0.0272559	-0.0029694	0.0000590
0.410	-0.0019850	-0.0390759	-0.0031352	0.0000622
0.415	-0.0007372	-0.0457521	-0.0033473	0.0000634
0.420	0.0008859	-0.0453873	-0.0035752	0.0000638
0.425	0.0024187	-0.0372826	-0.0037818	0.0000655
0.430	0.0024474	-0.0253484	-0.0039384	0.0000687
0.435	0.0006151	-0.0178377	-0.0040464	0.0000705
0.440	-0.0017408	-0.0205986	-0.0041425	0.0000714
0.445	-0.0028525	-0.0318637	-0.0042736	0.0000744
0.450	-0.0023090	-0.0445222	-0.0044646	0.0000780
0.455	-0.0001458	-0.0505426	-0.0047022	0.0000794
0.460	0.0024711	-0.0448399	-0.0049407	0.0000811
0.465	0.0040668	-0.0288056	-0.0051248	0.0000872
0.470	0.0044983	-0.0077997	-0.0052163	0.0000971
0.475	0.0036467	0.0121757	-0.0052054	0.0001061
0.480	0.0014595	0.0246986	-0.0051132	0.0001103
0.485	-0.0015014	0.0245958	-0.0049900	0.0001115
0.490	-0.0044048	0.0101107	-0.0049032	0.0001173
0.495	-0.0054498	-0.0140577	-0.0049131	0.0001305
0.500	-0.0038916	-0.0369675	-0.0050406	0.0001426
0.505	-0.0014303	-0.0500196	-0.0052581	0.0001472
0.510	0.0011973	-0.0505912	-0.0055096	0.0001482
0.515	0.0031915	-0.0398278	-0.0057357	0.0001513
0.520	0.0031866	-0.0241857	-0.0058957	0.0001568
0.525	0.0025479	-0.0101218	-0.0059815	0.0001613
0.530	0.0022508	0.0016470	-0.0060027	0.0001644
0.535	0.0017015	0.0113400	-0.0059702	0.0001665
0.540	0.0002532	0.0161340	-0.0059015	0.0001673
0.545	-0.0012038	0.0138026	-0.0058267	0.0001677
0.550	-0.0019551	0.0060552	-0.0057770	0.0001691
0.555	-0.0017334	-0.0029910	-0.0057694	0.0001710
0.560	-0.0013264	-0.0104952	-0.0058031	0.0001723
0.565	-0.0024811	-0.0198330	-0.0058789	0.0001744
0.570	-0.0052831	-0.0388746	-0.0060257	0.0001836
0.575	-0.0088258	-0.0734766	-0.0063065	0.0002121
0.580	-0.0115773	-0.1235152	-0.0067990	0.0002691
0.585	-0.0115601	-0.1802595	-0.0075585	0.0003412
