 
PGA:,  0.05 g
PGV:,  2.80 cm/s
PGD:,  0.64 cm
Arias Intensity:,   3.41 cm/s
Significant duration:,  17.22 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.007	, 0.048
0.1010	, 0.017	, 1.076	, 0.068
0.2010	, 0.195	, 6.083	, 0.194
0.3010	, 0.264	, 5.515	, 0.117
0.4010	, 0.390	, 6.108	, 0.098
0.5010	, 0.675	, 8.465	, 0.108
0.6010	, 0.668	, 6.981	, 0.074
0.7010	, 0.680	, 6.097	, 0.056
0.8010	, 0.666	, 5.227	, 0.042
0.9010	, 0.719	, 5.012	, 0.036
1.0010	, 0.778	, 4.882	, 0.031
1.1010	, 0.828	, 4.728	, 0.028
1.2010	, 0.808	, 4.229	, 0.023
1.3010	, 0.909	, 4.388	, 0.022
1.4010	, 1.545	, 6.930	, 0.032
1.5010	, 1.759	, 7.365	, 0.031
1.6010	, 1.213	, 4.760	, 0.019
1.7010	, 1.107	, 4.088	, 0.015
1.8010	, 0.987	, 3.443	, 0.012
1.9010	, 0.994	, 3.284	, 0.011
2.0010	, 0.831	, 2.609	, 0.008
2.1010	, 0.821	, 2.455	, 0.007
2.2010	, 0.787	, 2.245	, 0.007
2.3010	, 0.733	, 2.001	, 0.006
2.4010	, 0.667	, 1.746	, 0.005
2.5010	, 0.607	, 1.526	, 0.004
2.6010	, 0.562	, 1.358	, 0.003
2.7010	, 0.486	, 1.132	, 0.003
2.8010	, 0.470	, 1.055	, 0.002
2.9010	, 0.476	, 1.031	, 0.002
3.0010	, 0.464	, 0.972	, 0.002
3.1010	, 0.468	, 0.948	, 0.002
3.2010	, 0.505	, 0.992	, 0.002
3.3010	, 0.552	, 1.050	, 0.002
3.4010	, 0.545	, 1.007	, 0.002
3.5010	, 0.474	, 0.851	, 0.002
3.6010	, 0.451	, 0.788	, 0.001
3.7010	, 0.481	, 0.816	, 0.001
3.8010	, 0.496	, 0.819	, 0.001
3.9010	, 0.497	, 0.800	, 0.001
4.0010	, 0.495	, 0.777	, 0.001
4.1010	, 0.492	, 0.753	, 0.001
4.2010	, 0.477	, 0.713	, 0.001
4.3010	, 0.456	, 0.665	, 0.001
4.4010	, 0.431	, 0.616	, 0.001
4.5010	, 0.407	, 0.569	, 0.001
4.6010	, 0.387	, 0.528	, 0.001
4.7010	, 0.370	, 0.494	, 0.001
4.8010	, 0.359	, 0.470	, 0.001
4.9010	, 0.353	, 0.453	, 0.001
5.0010	, 0.347	, 0.436	, 0.001
5.1010	, 0.347	, 0.427	, 0.001
5.2010	, 0.349	, 0.422	, 0.001
5.3010	, 0.354	, 0.420	, 0.001
5.4010	, 0.358	, 0.417	, 0.000
5.5010	, 0.362	, 0.413	, 0.000
5.6010	, 0.365	, 0.409	, 0.000
5.7010	, 0.368	, 0.405	, 0.000
5.8010	, 0.370	, 0.401	, 0.000
5.9010	, 0.372	, 0.396	, 0.000
6.0010	, 0.374	, 0.392	, 0.000
6.1010	, 0.375	, 0.387	, 0.000
6.2010	, 0.377	, 0.382	, 0.000
6.3010	, 0.378	, 0.376	, 0.000
6.4010	, 0.378	, 0.371	, 0.000
6.5010	, 0.379	, 0.366	, 0.000
6.6010	, 0.379	, 0.361	, 0.000
6.7010	, 0.379	, 0.355	, 0.000
6.8010	, 0.379	, 0.350	, 0.000
6.9010	, 0.379	, 0.345	, 0.000
7.0010	, 0.378	, 0.340	, 0.000
7.1010	, 0.378	, 0.334	, 0.000
7.2010	, 0.377	, 0.329	, 0.000
7.3010	, 0.377	, 0.324	, 0.000
7.4010	, 0.376	, 0.319	, 0.000
7.5010	, 0.375	, 0.314	, 0.000
7.6010	, 0.374	, 0.309	, 0.000
7.7010	, 0.373	, 0.304	, 0.000
7.8010	, 0.372	, 0.300	, 0.000
7.9010	, 0.371	, 0.295	, 0.000
8.0010	, 0.370	, 0.291	, 0.000
8.1010	, 0.369	, 0.286	, 0.000
8.2010	, 0.368	, 0.282	, 0.000
8.3010	, 0.366	, 0.277	, 0.000
8.4010	, 0.365	, 0.273	, 0.000
8.5010	, 0.364	, 0.269	, 0.000
8.6010	, 0.363	, 0.265	, 0.000
8.7010	, 0.362	, 0.261	, 0.000
8.8010	, 0.360	, 0.257	, 0.000
8.9010	, 0.359	, 0.253	, 0.000
9.0010	, 0.358	, 0.250	, 0.000
9.1010	, 0.357	, 0.246	, 0.000
9.2010	, 0.355	, 0.243	, 0.000
9.3010	, 0.354	, 0.239	, 0.000
9.4010	, 0.353	, 0.236	, 0.000
9.5010	, 0.353	, 0.234	, 0.000
9.6010	, 0.356	, 0.233	, 0.000
9.7010	, 0.358	, 0.232	, 0.000
9.8010	, 0.360	, 0.231	, 0.000
9.9010	, 0.362	, 0.230	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0001096	0.0000000	0.0000000	0.0000000
0.005	0.0000999	0.0005139	0.0000013	0.0000000
0.010	0.0000921	0.0009849	0.0000050	0.0000000
0.015	0.0000858	0.0014213	0.0000110	0.0000001
0.020	0.0000804	0.0018288	0.0000192	0.0000001
0.025	0.0000775	0.0022160	0.0000293	0.0000001
0.030	0.0000779	0.0025972	0.0000413	0.0000001
0.035	0.0000830	0.0029918	0.0000553	0.0000001
0.040	0.0000920	0.0034211	0.0000713	0.0000001
0.045	0.0001034	0.0039003	0.0000896	0.0000002
0.050	0.0001160	0.0044382	0.0001105	0.0000002
0.055	0.0001309	0.0050436	0.0001342	0.0000002
0.060	0.0001450	0.0057203	0.0001611	0.0000003
0.065	0.0001628	0.0064751	0.0001916	0.0000003
0.070	0.0001835	0.0073244	0.0002261	0.0000004
0.075	0.0002032	0.0082728	0.0002651	0.0000005
0.080	0.0002253	0.0093236	0.0003091	0.0000006
0.085	0.0002480	0.0104843	0.0003586	0.0000007
0.090	0.0002633	0.0117383	0.0004141	0.0000009
0.095	0.0002686	0.0130428	0.0004761	0.0000010
0.100	0.0002644	0.0143500	0.0005446	0.0000012
0.105	0.0002514	0.0156151	0.0006195	0.0000013
0.110	0.0002324	0.0168017	0.0007005	0.0000015
0.115	0.0002144	0.0178974	0.0007873	0.0000016
0.120	0.0001896	0.0188882	0.0008792	0.0000017
0.125	0.0001581	0.0197408	0.0009758	0.0000017
0.130	0.0001255	0.0204362	0.0010762	0.0000018
0.135	0.0000933	0.0209728	0.0011798	0.0000018
0.140	0.0000608	0.0213508	0.0012856	0.0000018
0.145	0.0000358	0.0215878	0.0013929	0.0000018
0.150	0.0000198	0.0217241	0.0015012	0.0000018
0.155	0.0000080	0.0217922	0.0016100	0.0000018
0.160	-0.0000001	0.0218116	0.0017190	0.0000018
0.165	-0.0000027	0.0218048	0.0018280	0.0000018
0.170	0.0000019	0.0218028	0.0019371	0.0000018
0.175	0.0000161	0.0218468	0.0020462	0.0000018
0.180	0.0000398	0.0219840	0.0021558	0.0000018
0.185	0.0000689	0.0222507	0.0022664	0.0000018
0.190	0.0000923	0.0226462	0.0023786	0.0000018
0.195	0.0001106	0.0231440	0.0024931	0.0000019
0.200	0.0001336	0.0237429	0.0026103	0.0000019
0.205	0.0001654	0.0244761	0.0027308	0.0000020
0.210	0.0002028	0.0253790	0.0028555	0.0000020
0.215	0.0002377	0.0264593	0.0029851	0.0000021
0.220	0.0002702	0.0277050	0.0031205	0.0000023
0.225	0.0002918	0.0290832	0.0032625	0.0000025
0.230	0.0003054	0.0305478	0.0034115	0.0000027
0.235	0.0003100	0.0320571	0.0035680	0.0000029
0.240	0.0002992	0.0335511	0.0037321	0.0000031
0.245	0.0002701	0.0349474	0.0039033	0.0000033
0.250	0.0002229	0.0361565	0.0040811	0.0000034
0.255	0.0001671	0.0371130	0.0042642	0.0000035
0.260	0.0001220	0.0378220	0.0044516	0.0000036
0.265	0.0000951	0.0383545	0.0046420	0.0000036
0.270	0.0000792	0.0387821	0.0048349	0.0000036
0.275	0.0000776	0.0391667	0.0050297	0.0000036
0.280	0.0000951	0.0395904	0.0052266	0.0000036
0.285	0.0001358	0.0401565	0.0054260	0.0000037
0.290	0.0001982	0.0409756	0.0056288	0.0000037
0.295	0.0002709	0.0421262	0.0058366	0.0000038
0.300	0.0003267	0.0435918	0.0060509	0.0000041
0.305	0.0003566	0.0452677	0.0062730	0.0000043
0.310	0.0003697	0.0470490	0.0065038	0.0000046
0.315	0.0003627	0.0488452	0.0067436	0.0000049
0.320	0.0003302	0.0505446	0.0069920	0.0000052
0.325	0.0002723	0.0520224	0.0072484	0.0000054
0.330	0.0001992	0.0531787	0.0075114	0.0000055
0.335	0.0001338	0.0539952	0.0077794	0.0000056
0.340	0.0000743	0.0545053	0.0080506	0.0000056
0.345	0.0000003	0.0546881	0.0083236	0.0000056
0.350	-0.0000909	0.0544658	0.0085965	0.0000056
0.355	-0.0001829	0.0537944	0.0088672	0.0000057
0.360	-0.0002510	0.0527301	0.0091335	0.0000058
