 
PGA:,  0.15 g
PGV:,  8.17 cm/s
PGD:,  0.90 cm
Arias Intensity:,  24.18 cm/s
Significant duration:,  17.43 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.024	, 0.152
0.1010	, 0.091	, 5.654	, 0.359
0.2010	, 0.443	, 13.850	, 0.441
0.3010	, 1.278	, 26.677	, 0.568
0.4010	, 1.116	, 17.490	, 0.279
0.5010	, 1.333	, 16.718	, 0.214
0.6010	, 1.387	, 14.498	, 0.155
0.7010	, 1.302	, 11.673	, 0.107
0.8010	, 1.043	, 8.181	, 0.065
0.9010	, 1.016	, 7.087	, 0.050
1.0010	, 1.154	, 7.241	, 0.046
1.1010	, 1.355	, 7.731	, 0.045
1.2010	, 1.623	, 8.489	, 0.045
1.3010	, 2.334	, 11.274	, 0.056
1.4010	, 1.957	, 8.778	, 0.040
1.5010	, 1.609	, 6.736	, 0.029
1.6010	, 1.355	, 5.318	, 0.021
1.7010	, 1.486	, 5.491	, 0.021
1.8010	, 1.557	, 5.431	, 0.019
1.9010	, 1.843	, 6.090	, 0.021
2.0010	, 2.276	, 7.146	, 0.023
2.1010	, 2.279	, 6.815	, 0.021
2.2010	, 1.956	, 5.583	, 0.016
2.3010	, 1.653	, 4.514	, 0.013
2.4010	, 1.447	, 3.786	, 0.010
2.5010	, 1.416	, 3.558	, 0.009
2.6010	, 1.365	, 3.298	, 0.008
2.7010	, 1.350	, 3.141	, 0.007
2.8010	, 1.395	, 3.128	, 0.007
2.9010	, 1.275	, 2.762	, 0.006
3.0010	, 1.320	, 2.764	, 0.006
3.1010	, 1.455	, 2.948	, 0.006
3.2010	, 1.493	, 2.930	, 0.006
3.3010	, 1.584	, 3.014	, 0.006
3.4010	, 1.721	, 3.179	, 0.006
3.5010	, 1.785	, 3.204	, 0.006
3.6010	, 1.698	, 2.963	, 0.005
3.7010	, 1.566	, 2.659	, 0.005
3.8010	, 1.567	, 2.590	, 0.004
3.9010	, 1.545	, 2.488	, 0.004
4.0010	, 1.496	, 2.349	, 0.004
4.1010	, 1.402	, 2.148	, 0.003
4.2010	, 1.287	, 1.925	, 0.003
4.3010	, 1.168	, 1.706	, 0.003
4.4010	, 1.140	, 1.628	, 0.002
4.5010	, 1.119	, 1.562	, 0.002
4.6010	, 1.100	, 1.502	, 0.002
4.7010	, 1.082	, 1.446	, 0.002
4.8010	, 1.066	, 1.395	, 0.002
4.9010	, 1.052	, 1.349	, 0.002
5.0010	, 1.040	, 1.307	, 0.002
5.1010	, 1.110	, 1.367	, 0.002
5.2010	, 1.179	, 1.424	, 0.002
5.3010	, 1.234	, 1.462	, 0.002
5.4010	, 1.270	, 1.477	, 0.002
5.5010	, 1.285	, 1.467	, 0.002
5.6010	, 1.279	, 1.435	, 0.002
5.7010	, 1.256	, 1.384	, 0.002
5.8010	, 1.218	, 1.319	, 0.001
5.9010	, 1.169	, 1.245	, 0.001
6.0010	, 1.113	, 1.166	, 0.001
6.1010	, 1.053	, 1.085	, 0.001
6.2010	, 0.992	, 1.005	, 0.001
6.3010	, 0.984	, 0.982	, 0.001
6.4010	, 0.982	, 0.964	, 0.001
6.5010	, 0.982	, 0.949	, 0.001
6.6010	, 0.982	, 0.935	, 0.001
6.7010	, 0.983	, 0.922	, 0.001
6.8010	, 0.984	, 0.909	, 0.001
6.9010	, 0.985	, 0.896	, 0.001
7.0010	, 0.986	, 0.885	, 0.001
7.1010	, 0.987	, 0.873	, 0.001
7.2010	, 0.988	, 0.862	, 0.001
7.3010	, 0.989	, 0.851	, 0.001
7.4010	, 0.990	, 0.840	, 0.001
7.5010	, 0.991	, 0.830	, 0.001
7.6010	, 0.992	, 0.820	, 0.001
7.7010	, 0.993	, 0.810	, 0.001
7.8010	, 0.994	, 0.801	, 0.001
7.9010	, 0.995	, 0.791	, 0.001
8.0010	, 0.996	, 0.782	, 0.001
8.1010	, 0.997	, 0.773	, 0.001
8.2010	, 0.998	, 0.764	, 0.001
8.3010	, 0.999	, 0.756	, 0.001
8.4010	, 0.999	, 0.747	, 0.001
8.5010	, 1.000	, 0.739	, 0.001
8.6010	, 1.001	, 0.731	, 0.001
8.7010	, 1.001	, 0.723	, 0.001
8.8010	, 1.002	, 0.715	, 0.001
8.9010	, 1.002	, 0.708	, 0.001
9.0010	, 1.003	, 0.700	, 0.000
9.1010	, 1.003	, 0.693	, 0.000
9.2010	, 1.004	, 0.685	, 0.000
9.3010	, 1.004	, 0.678	, 0.000
9.4010	, 1.004	, 0.671	, 0.000
9.5010	, 1.004	, 0.664	, 0.000
9.6010	, 1.004	, 0.657	, 0.000
9.7010	, 1.005	, 0.651	, 0.000
9.8010	, 1.005	, 0.644	, 0.000
9.9010	, 1.005	, 0.638	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000191	0.0000000	0.0000000	0.0000000
0.005	-0.0000204	-0.0000968	-0.0000002	0.0000000
0.010	-0.0000211	-0.0001986	-0.0000010	0.0000000
0.015	-0.0000208	-0.0003013	-0.0000022	0.0000000
0.020	-0.0000196	-0.0004005	-0.0000040	0.0000000
0.025	-0.0000177	-0.0004920	-0.0000062	0.0000000
0.030	-0.0000150	-0.0005723	-0.0000089	0.0000000
0.035	-0.0000115	-0.0006375	-0.0000119	0.0000000
0.040	-0.0000079	-0.0006851	-0.0000152	0.0000000
0.045	-0.0000047	-0.0007158	-0.0000187	0.0000000
0.050	-0.0000027	-0.0007338	-0.0000223	0.0000000
0.055	-0.0000021	-0.0007455	-0.0000260	0.0000000
0.060	-0.0000017	-0.0007547	-0.0000298	0.0000000
0.065	0.0000007	-0.0007570	-0.0000336	0.0000000
0.070	0.0000054	-0.0007421	-0.0000373	0.0000000
0.075	0.0000112	-0.0007014	-0.0000409	0.0000000
0.080	0.0000177	-0.0006304	-0.0000442	0.0000000
0.085	0.0000242	-0.0005275	-0.0000471	0.0000000
0.090	0.0000283	-0.0003988	-0.0000495	0.0000000
0.095	0.0000279	-0.0002612	-0.0000511	0.0000000
0.100	0.0000238	-0.0001346	-0.0000521	0.0000000
0.105	0.0000184	-0.0000311	-0.0000525	0.0000000
0.110	0.0000130	0.0000460	-0.0000525	0.0000000
0.115	0.0000063	0.0000933	-0.0000521	0.0000000
0.120	-0.0000022	0.0001034	-0.0000516	0.0000000
0.125	-0.0000112	0.0000705	-0.0000512	0.0000000
0.130	-0.0000199	-0.0000059	-0.0000510	0.0000000
0.135	-0.0000298	-0.0001278	-0.0000514	0.0000000
0.140	-0.0000416	-0.0003028	-0.0000525	0.0000000
0.145	-0.0000526	-0.0005338	-0.0000545	0.0000000
0.150	-0.0000574	-0.0008037	-0.0000579	0.0000000
0.155	-0.0000516	-0.0010709	-0.0000626	0.0000000
0.160	-0.0000354	-0.0012842	-0.0000685	0.0000000
0.165	-0.0000134	-0.0014039	-0.0000752	0.0000000
0.170	0.0000068	-0.0014202	-0.0000822	0.0000000
0.175	0.0000196	-0.0013555	-0.0000892	0.0000000
0.180	0.0000269	-0.0012415	-0.0000957	0.0000000
0.185	0.0000317	-0.0010979	-0.0001015	0.0000000
0.190	0.0000350	-0.0009342	-0.0001066	0.0000000
0.195	0.0000366	-0.0007585	-0.0001108	0.0000000
0.200	0.0000366	-0.0005789	-0.0001142	0.0000000
0.205	0.0000348	-0.0004038	-0.0001166	0.0000000
0.210	0.0000303	-0.0002441	-0.0001183	0.0000000
0.215	0.0000231	-0.0001132	-0.0001191	0.0000000
0.220	0.0000141	-0.0000221	-0.0001195	0.0000000
0.225	0.0000071	0.0000297	-0.0001195	0.0000000
0.230	0.0000077	0.0000660	-0.0001192	0.0000000
0.235	0.0000177	0.0001286	-0.0001187	0.0000000
0.240	0.0000299	0.0002453	-0.0001178	0.0000000
0.245	0.0000376	0.0004109	-0.0001162	0.0000000
0.250	0.0000424	0.0006071	-0.0001136	0.0000000
0.255	0.0000475	0.0008275	-0.0001100	0.0000000
0.260	0.0000539	0.0010761	-0.0001053	0.0000000
0.265	0.0000618	0.0013599	-0.0000992	0.0000000
0.270	0.0000709	0.0016853	-0.0000916	0.0000000
0.275	0.0000787	0.0020521	-0.0000822	0.0000000
0.280	0.0000811	0.0024441	-0.0000710	0.0000000
0.285	0.0000787	0.0028359	-0.0000578	0.0000000
0.290	0.0000752	0.0032134	-0.0000427	0.0000000
0.295	0.0000673	0.0035629	-0.0000257	0.0000000
0.300	0.0000470	0.0038433	-0.0000072	0.0000000
0.305	0.0000100	0.0039831	0.0000124	0.0000000
0.310	-0.0000413	0.0039064	0.0000321	0.0000000
0.315	-0.0000956	0.0035708	0.0000508	0.0000000
0.320	-0.0001390	0.0029957	0.0000672	0.0000000
0.325	-0.0001674	0.0022444	0.0000803	0.0000000
0.330	-0.0001853	0.0013795	0.0000894	0.0000000
0.335	-0.0001942	0.0004488	0.0000939	0.0000001
0.340	-0.0001902	-0.0004940	0.0000938	0.0000001
0.345	-0.0001683	-0.0013732	0.0000891	0.0000001
0.350	-0.0001263	-0.0020958	0.0000805	0.0000001
0.355	-0.0000676	-0.0025714	0.0000688	0.0000001
0.360	-0.0000055	-0.0027506	0.0000555	0.0000001
