 
PGA:,  0.16 g
PGV:,  7.73 cm/s
PGD:,  1.09 cm
Arias Intensity:,  13.70 cm/s
Significant duration:,  11.29 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.025	, 0.158
0.1010	, 0.076	, 4.708	, 0.299
0.2010	, 0.265	, 8.293	, 0.264
0.3010	, 1.007	, 21.022	, 0.447
0.4010	, 0.817	, 12.796	, 0.204
0.5010	, 1.320	, 16.557	, 0.212
0.6010	, 1.619	, 16.926	, 0.180
0.7010	, 1.460	, 13.084	, 0.120
0.8010	, 1.636	, 12.837	, 0.103
0.9010	, 1.693	, 11.803	, 0.084
1.0010	, 1.867	, 11.719	, 0.075
1.1010	, 1.680	, 9.585	, 0.056
1.2010	, 1.392	, 7.280	, 0.039
1.3010	, 1.370	, 6.615	, 0.033
1.4010	, 1.432	, 6.422	, 0.029
1.5010	, 1.416	, 5.926	, 0.025
1.6010	, 1.204	, 4.725	, 0.019
1.7010	, 1.375	, 5.080	, 0.019
1.8010	, 1.633	, 5.697	, 0.020
1.9010	, 1.704	, 5.631	, 0.019
2.0010	, 1.798	, 5.644	, 0.018
2.1010	, 1.745	, 5.218	, 0.016
2.2010	, 1.795	, 5.123	, 0.015
2.3010	, 1.967	, 5.372	, 0.015
2.4010	, 1.913	, 5.005	, 0.013
2.5010	, 1.835	, 4.610	, 0.012
2.6010	, 1.625	, 3.926	, 0.010
2.7010	, 1.466	, 3.410	, 0.008
2.8010	, 1.568	, 3.518	, 0.008
2.9010	, 1.612	, 3.492	, 0.008
3.0010	, 1.622	, 3.396	, 0.007
3.1010	, 1.609	, 3.261	, 0.007
3.2010	, 1.582	, 3.106	, 0.006
3.3010	, 1.548	, 2.947	, 0.006
3.4010	, 1.510	, 2.790	, 0.005
3.5010	, 1.471	, 2.640	, 0.005
3.6010	, 1.432	, 2.498	, 0.004
3.7010	, 1.389	, 2.358	, 0.004
3.8010	, 1.338	, 2.211	, 0.004
3.9010	, 1.361	, 2.192	, 0.004
4.0010	, 1.436	, 2.255	, 0.004
4.1010	, 1.509	, 2.312	, 0.004
4.2010	, 1.574	, 2.354	, 0.004
4.3010	, 1.626	, 2.376	, 0.004
4.4010	, 1.662	, 2.373	, 0.003
4.5010	, 1.678	, 2.342	, 0.003
4.6010	, 1.672	, 2.284	, 0.003
4.7010	, 1.699	, 2.271	, 0.003
4.8010	, 1.752	, 2.293	, 0.003
4.9010	, 1.794	, 2.300	, 0.003
5.0010	, 1.825	, 2.293	, 0.003
5.1010	, 1.844	, 2.272	, 0.003
5.2010	, 1.853	, 2.238	, 0.003
5.3010	, 1.850	, 2.193	, 0.003
5.4010	, 1.837	, 2.137	, 0.003
5.5010	, 1.854	, 2.117	, 0.002
5.6010	, 1.883	, 2.113	, 0.002
5.7010	, 1.902	, 2.096	, 0.002
5.8010	, 1.910	, 2.068	, 0.002
5.9010	, 1.908	, 2.031	, 0.002
6.0010	, 1.897	, 1.986	, 0.002
6.1010	, 1.879	, 1.935	, 0.002
6.2010	, 1.853	, 1.877	, 0.002
6.3010	, 1.821	, 1.815	, 0.002
6.4010	, 1.783	, 1.750	, 0.002
6.5010	, 1.741	, 1.682	, 0.002
6.6010	, 1.695	, 1.613	, 0.002
6.7010	, 1.645	, 1.542	, 0.001
6.8010	, 1.625	, 1.501	, 0.001
6.9010	, 1.613	, 1.469	, 0.001
7.0010	, 1.596	, 1.433	, 0.001
7.1010	, 1.575	, 1.393	, 0.001
7.2010	, 1.549	, 1.352	, 0.001
7.3010	, 1.520	, 1.308	, 0.001
7.4010	, 1.488	, 1.263	, 0.001
7.5010	, 1.491	, 1.249	, 0.001
7.6010	, 1.514	, 1.252	, 0.001
7.7010	, 1.535	, 1.252	, 0.001
7.8010	, 1.553	, 1.251	, 0.001
7.9010	, 1.569	, 1.248	, 0.001
8.0010	, 1.583	, 1.243	, 0.001
8.1010	, 1.595	, 1.237	, 0.001
8.2010	, 1.605	, 1.230	, 0.001
8.3010	, 1.613	, 1.221	, 0.001
8.4010	, 1.620	, 1.212	, 0.001
8.5010	, 1.626	, 1.202	, 0.001
8.6010	, 1.630	, 1.191	, 0.001
8.7010	, 1.633	, 1.179	, 0.001
8.8010	, 1.634	, 1.167	, 0.001
8.9010	, 1.635	, 1.154	, 0.001
9.0010	, 1.634	, 1.141	, 0.001
9.1010	, 1.633	, 1.127	, 0.001
9.2010	, 1.630	, 1.113	, 0.001
9.3010	, 1.627	, 1.099	, 0.001
9.4010	, 1.624	, 1.085	, 0.001
9.5010	, 1.619	, 1.071	, 0.001
9.6010	, 1.614	, 1.057	, 0.001
9.7010	, 1.609	, 1.042	, 0.001
9.8010	, 1.603	, 1.028	, 0.001
9.9010	, 1.597	, 1.014	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000254	0.0000000	0.0000000	0.0000000
0.005	0.0000242	0.0001215	0.0000003	0.0000000
0.010	0.0000227	0.0002364	0.0000012	0.0000000
0.015	0.0000228	0.0003478	0.0000027	0.0000000
0.020	0.0000243	0.0004631	0.0000047	0.0000000
0.025	0.0000270	0.0005887	0.0000073	0.0000000
0.030	0.0000307	0.0007300	0.0000106	0.0000000
0.035	0.0000340	0.0008885	0.0000147	0.0000000
0.040	0.0000379	0.0010649	0.0000195	0.0000000
0.045	0.0000433	0.0012641	0.0000254	0.0000000
0.050	0.0000481	0.0014882	0.0000322	0.0000000
0.055	0.0000498	0.0017281	0.0000403	0.0000000
0.060	0.0000483	0.0019686	0.0000495	0.0000000
0.065	0.0000432	0.0021932	0.0000599	0.0000000
0.070	0.0000360	0.0023875	0.0000714	0.0000000
0.075	0.0000292	0.0025474	0.0000837	0.0000000
0.080	0.0000233	0.0026761	0.0000968	0.0000000
0.085	0.0000225	0.0027885	0.0001104	0.0000000
0.090	0.0000246	0.0029041	0.0001247	0.0000000
0.095	0.0000320	0.0030429	0.0001395	0.0000000
0.100	0.0000422	0.0032250	0.0001552	0.0000000
0.105	0.0000560	0.0034658	0.0001719	0.0000000
0.110	0.0000721	0.0037800	0.0001901	0.0000000
0.115	0.0000833	0.0041612	0.0002099	0.0000000
0.120	0.0000755	0.0045505	0.0002317	0.0000000
0.125	0.0000479	0.0048530	0.0002552	0.0000000
0.130	0.0000076	0.0049891	0.0002798	0.0000000
0.135	-0.0000298	0.0049347	0.0003046	0.0000000
0.140	-0.0000666	0.0046982	0.0003287	0.0000000
0.145	-0.0000803	0.0043378	0.0003513	0.0000000
0.150	-0.0000680	0.0039740	0.0003721	0.0000000
0.155	-0.0000340	0.0037236	0.0003913	0.0000000
0.160	0.0000145	0.0036758	0.0004098	0.0000000
0.165	0.0000560	0.0038489	0.0004286	0.0000000
0.170	0.0000790	0.0041799	0.0004487	0.0000000
0.175	0.0000828	0.0045767	0.0004706	0.0000000
0.180	0.0000579	0.0049218	0.0004943	0.0000000
0.185	0.0000204	0.0051139	0.0005194	0.0000000
0.190	-0.0000337	0.0050812	0.0005449	0.0000000
0.195	-0.0000611	0.0048485	0.0005697	0.0000000
0.200	-0.0000442	0.0045900	0.0005933	0.0000001
0.205	0.0000048	0.0044932	0.0006160	0.0000001
0.210	0.0000557	0.0046415	0.0006389	0.0000001
0.215	0.0001010	0.0050258	0.0006630	0.0000001
0.220	0.0001416	0.0056207	0.0006896	0.0000001
0.225	0.0001653	0.0063733	0.0007196	0.0000001
0.230	0.0001796	0.0072191	0.0007536	0.0000001
0.235	0.0001785	0.0080973	0.0007919	0.0000001
0.240	0.0001621	0.0089325	0.0008345	0.0000001
0.245	0.0001431	0.0096810	0.0008810	0.0000001
0.250	0.0001091	0.0102995	0.0009310	0.0000002
0.255	0.0000562	0.0107048	0.0009835	0.0000002
0.260	-0.0000221	0.0107884	0.0010372	0.0000002
0.265	-0.0001166	0.0104484	0.0010903	0.0000002
0.270	-0.0001963	0.0096810	0.0011406	0.0000002
0.275	-0.0002768	0.0085206	0.0011861	0.0000002
0.280	-0.0003383	0.0070121	0.0012250	0.0000003
0.285	-0.0003216	0.0053935	0.0012560	0.0000003
0.290	-0.0002177	0.0040707	0.0012796	0.0000004
0.295	-0.0000472	0.0034210	0.0012984	0.0000004
0.300	0.0001360	0.0036388	0.0013160	0.0000004
0.305	0.0002896	0.0046827	0.0013368	0.0000004
0.310	0.0003881	0.0063448	0.0013644	0.0000005
0.315	0.0004431	0.0083832	0.0014012	0.0000006
0.320	0.0004723	0.0106281	0.0014487	0.0000007
0.325	0.0004696	0.0129383	0.0015077	0.0000008
0.330	0.0004634	0.0152264	0.0015781	0.0000009
0.335	0.0004460	0.0174567	0.0016598	0.0000011
0.340	0.0004514	0.0196576	0.0017526	0.0000012
0.345	0.0004797	0.0219411	0.0018566	0.0000013
0.350	0.0005155	0.0243817	0.0019724	0.0000014
0.355	0.0005450	0.0269826	0.0021008	0.0000016
0.360	0.0005492	0.0296662	0.0022424	0.0000018
0.365	0.0005607	0.0323882	0.0023975	0.0000019
0.370	0.0005646	0.0351479	0.0025664	0.0000021
0.375	0.0006019	0.0380086	0.0027493	0.0000023
0.380	0.0006232	0.0410129	0.0029468	0.0000025
0.385	0.0005751	0.0439515	0.0031592	0.0000027
0.390	0.0004921	0.0465687	0.0033855	0.0000029
0.395	0.0003198	0.0485597	0.0036233	0.0000030
0.400	0.0000554	0.0494798	0.0038684	0.0000030
0.405	-0.0002343	0.0490408	0.0041147	0.0000030
0.410	-0.0005633	0.0470846	0.0043551	0.0000031
0.415	-0.0008174	0.0436985	0.0045820	0.0000034
0.420	-0.0009527	0.0393574	0.0047897	0.0000038
0.425	-0.0009493	0.0346929	0.0049748	0.0000044
0.430	-0.0008186	0.0303572	0.0051374	0.0000048
0.435	-0.0006274	0.0268108	0.0052803	0.0000051
0.440	-0.0004033	0.0242830	0.0054081	0.0000053
0.445	-0.0002373	0.0227120	0.0055255	0.0000053
0.450	-0.0001676	0.0217191	0.0056366	0.0000053
0.455	-0.0001658	0.0209016	0.0057432	0.0000054
0.460	-0.0003177	0.0197158	0.0058447	0.0000054
0.465	-0.0006137	0.0174315	0.0059376	0.0000055
0.470	-0.0009827	0.0135163	0.0060150	0.0000059
0.475	-0.0013103	0.0078927	0.0060685	0.0000067
0.480	-0.0015146	0.0009647	0.0060906	0.0000078
0.485	-0.0015851	-0.0066372	0.0060764	0.0000091
0.490	-0.0015252	-0.0142651	0.0060242	0.0000105
0.495	-0.0013662	-0.0213561	0.0059351	0.0000117
0.500	-0.0010882	-0.0273755	0.0058133	0.0000125
