 
PGA:,  0.12 g
PGV:,  7.58 cm/s
PGD:,  1.13 cm
Arias Intensity:,  17.62 cm/s
Significant duration:,  10.42 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.019	, 0.122
0.1010	, 0.080	, 4.999	, 0.317
0.2010	, 0.533	, 16.676	, 0.531
0.3010	, 0.601	, 12.545	, 0.267
0.4010	, 0.920	, 14.414	, 0.230
0.5010	, 1.456	, 18.262	, 0.233
0.6010	, 1.417	, 14.812	, 0.158
0.7010	, 1.890	, 16.941	, 0.155
0.8010	, 1.961	, 15.386	, 0.123
0.9010	, 1.732	, 12.081	, 0.086
1.0010	, 2.092	, 13.134	, 0.084
1.1010	, 2.268	, 12.943	, 0.075
1.2010	, 2.476	, 12.953	, 0.069
1.3010	, 2.557	, 12.347	, 0.061
1.4010	, 2.647	, 11.870	, 0.054
1.5010	, 2.746	, 11.494	, 0.049
1.6010	, 2.722	, 10.683	, 0.043
1.7010	, 2.639	, 9.747	, 0.037
1.8010	, 2.394	, 8.352	, 0.030
1.9010	, 2.226	, 7.356	, 0.025
2.0010	, 2.072	, 6.507	, 0.021
2.1010	, 2.047	, 6.123	, 0.019
2.2010	, 2.025	, 5.782	, 0.017
2.3010	, 1.998	, 5.456	, 0.015
2.4010	, 1.955	, 5.115	, 0.014
2.5010	, 1.885	, 4.736	, 0.012
2.6010	, 1.925	, 4.650	, 0.011
2.7010	, 1.961	, 4.562	, 0.011
2.8010	, 1.976	, 4.432	, 0.010
2.9010	, 1.968	, 4.262	, 0.009
3.0010	, 1.939	, 4.059	, 0.009
3.1010	, 1.892	, 3.834	, 0.008
3.2010	, 1.832	, 3.596	, 0.007
3.3010	, 1.764	, 3.357	, 0.007
3.4010	, 1.692	, 3.126	, 0.006
3.5010	, 1.620	, 2.907	, 0.005
3.6010	, 1.550	, 2.705	, 0.005
3.7010	, 1.486	, 2.523	, 0.004
3.8010	, 1.428	, 2.360	, 0.004
3.9010	, 1.376	, 2.217	, 0.004
4.0010	, 1.332	, 2.092	, 0.003
4.1010	, 1.296	, 1.985	, 0.003
4.2010	, 1.266	, 1.893	, 0.003
4.3010	, 1.242	, 1.815	, 0.003
4.4010	, 1.225	, 1.748	, 0.003
4.5010	, 1.212	, 1.692	, 0.002
4.6010	, 1.203	, 1.643	, 0.002
4.7010	, 1.199	, 1.602	, 0.002
4.8010	, 1.197	, 1.566	, 0.002
4.9010	, 1.198	, 1.536	, 0.002
5.0010	, 1.201	, 1.508	, 0.002
5.1010	, 1.205	, 1.484	, 0.002
5.2010	, 1.210	, 1.462	, 0.002
5.3010	, 1.217	, 1.442	, 0.002
5.4010	, 1.223	, 1.423	, 0.002
5.5010	, 1.230	, 1.405	, 0.002
5.6010	, 1.238	, 1.388	, 0.002
5.7010	, 1.245	, 1.372	, 0.002
5.8010	, 1.252	, 1.356	, 0.001
5.9010	, 1.259	, 1.340	, 0.001
6.0010	, 1.265	, 1.325	, 0.001
6.1010	, 1.271	, 1.309	, 0.001
6.2010	, 1.277	, 1.294	, 0.001
6.3010	, 1.282	, 1.278	, 0.001
6.4010	, 1.287	, 1.263	, 0.001
6.5010	, 1.291	, 1.248	, 0.001
6.6010	, 1.295	, 1.233	, 0.001
6.7010	, 1.299	, 1.218	, 0.001
6.8010	, 1.302	, 1.203	, 0.001
6.9010	, 1.304	, 1.187	, 0.001
7.0010	, 1.306	, 1.173	, 0.001
7.1010	, 1.308	, 1.158	, 0.001
7.2010	, 1.310	, 1.143	, 0.001
7.3010	, 1.311	, 1.128	, 0.001
7.4010	, 1.312	, 1.114	, 0.001
7.5010	, 1.312	, 1.099	, 0.001
7.6010	, 1.313	, 1.085	, 0.001
7.7010	, 1.313	, 1.071	, 0.001
7.8010	, 1.313	, 1.057	, 0.001
7.9010	, 1.312	, 1.044	, 0.001
8.0010	, 1.312	, 1.030	, 0.001
8.1010	, 1.311	, 1.017	, 0.001
8.2010	, 1.310	, 1.004	, 0.001
8.3010	, 1.309	, 0.991	, 0.001
8.4010	, 1.308	, 0.978	, 0.001
8.5010	, 1.307	, 0.966	, 0.001
8.6010	, 1.305	, 0.954	, 0.001
8.7010	, 1.304	, 0.942	, 0.001
8.8010	, 1.302	, 0.930	, 0.001
8.9010	, 1.301	, 0.918	, 0.001
9.0010	, 1.299	, 0.907	, 0.001
9.1010	, 1.297	, 0.896	, 0.001
9.2010	, 1.295	, 0.885	, 0.001
9.3010	, 1.294	, 0.874	, 0.001
9.4010	, 1.292	, 0.863	, 0.001
9.5010	, 1.290	, 0.853	, 0.001
9.6010	, 1.288	, 0.843	, 0.001
9.7010	, 1.286	, 0.833	, 0.001
9.8010	, 1.284	, 0.823	, 0.001
9.9010	, 1.282	, 0.814	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0001188	0.0000000	0.0000000	0.0000000
0.005	0.0001154	0.0005743	0.0000014	0.0000000
0.010	0.0001063	0.0011179	0.0000057	0.0000000
0.015	0.0000893	0.0015976	0.0000125	0.0000000
0.020	0.0000708	0.0019904	0.0000214	0.0000000
0.025	0.0000630	0.0023187	0.0000322	0.0000000
0.030	0.0000732	0.0026528	0.0000446	0.0000000
0.035	0.0000984	0.0030735	0.0000589	0.0000000
0.040	0.0001279	0.0036284	0.0000757	0.0000000
0.045	0.0001504	0.0043110	0.0000955	0.0000000
0.050	0.0001652	0.0050849	0.0001190	0.0000001
0.055	0.0001799	0.0059313	0.0001466	0.0000001
0.060	0.0002015	0.0068666	0.0001786	0.0000001
0.065	0.0002336	0.0079336	0.0002156	0.0000001
0.070	0.0002790	0.0091910	0.0002584	0.0000001
0.075	0.0003363	0.0107000	0.0003081	0.0000002
0.080	0.0003948	0.0124929	0.0003661	0.0000002
0.085	0.0004399	0.0145398	0.0004337	0.0000003
0.090	0.0004663	0.0167620	0.0005119	0.0000004
0.095	0.0004794	0.0190812	0.0006015	0.0000005
0.100	0.0004824	0.0214401	0.0007028	0.0000006
0.105	0.0004815	0.0238041	0.0008160	0.0000007
0.110	0.0004903	0.0261872	0.0009409	0.0000008
0.115	0.0005182	0.0286605	0.0010780	0.0000009
0.120	0.0005690	0.0313269	0.0012280	0.0000010
0.125	0.0006421	0.0342972	0.0013921	0.0000012
0.130	0.0007269	0.0376547	0.0015720	0.0000014
0.135	0.0008148	0.0414357	0.0017697	0.0000017
0.140	0.0009077	0.0456601	0.0019874	0.0000020
0.145	0.0010041	0.0503488	0.0022274	0.0000024
0.150	0.0010985	0.0555053	0.0024921	0.0000029
0.155	0.0011817	0.0610975	0.0027836	0.0000034
0.160	0.0012376	0.0670309	0.0031039	0.0000041
0.165	0.0012631	0.0731639	0.0034544	0.0000048
0.170	0.0012749	0.0793883	0.0038358	0.0000055
0.175	0.0012951	0.0856912	0.0042485	0.0000062
0.180	0.0013442	0.0921641	0.0046931	0.0000070
0.185	0.0014241	0.0989534	0.0051709	0.0000078
0.190	0.0015032	0.1061328	0.0056836	0.0000087
0.195	0.0015428	0.1136031	0.0062330	0.0000098
