 
PGA:,  0.24 g
PGV:,  10.47 cm/s
PGD:,  1.21 cm
Arias Intensity:,  42.55 cm/s
Significant duration:,   4.69 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.037	, 0.237
0.1010	, 0.204	, 12.710	, 0.806
0.2010	, 0.855	, 26.739	, 0.852
0.3010	, 1.112	, 23.210	, 0.494
0.4010	, 1.429	, 22.397	, 0.358
0.5010	, 2.024	, 25.389	, 0.325
0.6010	, 1.632	, 17.058	, 0.182
0.7010	, 2.931	, 26.273	, 0.240
0.8010	, 3.515	, 27.571	, 0.220
0.9010	, 3.482	, 24.280	, 0.173
1.0010	, 2.854	, 17.914	, 0.115
1.1010	, 2.966	, 16.925	, 0.098
1.2010	, 2.960	, 15.487	, 0.083
1.3010	, 2.920	, 14.104	, 0.069
1.4010	, 2.776	, 12.451	, 0.057
1.5010	, 2.553	, 10.685	, 0.046
1.6010	, 2.329	, 9.140	, 0.037
1.7010	, 2.343	, 8.653	, 0.033
1.8010	, 2.340	, 8.163	, 0.029
1.9010	, 2.394	, 7.912	, 0.027
2.0010	, 2.362	, 7.416	, 0.024
2.1010	, 2.278	, 6.811	, 0.021
2.2010	, 2.247	, 6.414	, 0.019
2.3010	, 2.215	, 6.049	, 0.017
2.4010	, 2.182	, 5.711	, 0.015
2.5010	, 2.149	, 5.398	, 0.014
2.6010	, 2.116	, 5.111	, 0.013
2.7010	, 2.083	, 4.846	, 0.011
2.8010	, 2.051	, 4.602	, 0.011
2.9010	, 2.020	, 4.376	, 0.010
3.0010	, 1.990	, 4.167	, 0.009
3.1010	, 1.961	, 3.973	, 0.008
3.2010	, 1.933	, 3.794	, 0.008
3.3010	, 1.906	, 3.627	, 0.007
3.4010	, 1.880	, 3.473	, 0.007
3.5010	, 1.855	, 3.329	, 0.006
3.6010	, 1.831	, 3.195	, 0.006
3.7010	, 1.808	, 3.069	, 0.005
3.8010	, 1.786	, 2.952	, 0.005
3.9010	, 1.765	, 2.843	, 0.005
4.0010	, 1.745	, 2.740	, 0.004
4.1010	, 1.726	, 2.644	, 0.004
4.2010	, 1.707	, 2.553	, 0.004
4.3010	, 1.689	, 2.468	, 0.004
4.4010	, 1.672	, 2.388	, 0.003
4.5010	, 1.656	, 2.312	, 0.003
4.6010	, 1.641	, 2.241	, 0.003
4.7010	, 1.626	, 2.173	, 0.003
4.8010	, 1.612	, 2.109	, 0.003
4.9010	, 1.598	, 2.049	, 0.003
5.0010	, 1.585	, 1.991	, 0.003
5.1010	, 1.572	, 1.937	, 0.002
5.2010	, 1.560	, 1.885	, 0.002
5.3010	, 1.549	, 1.836	, 0.002
5.4010	, 1.538	, 1.789	, 0.002
5.5010	, 1.527	, 1.744	, 0.002
5.6010	, 1.517	, 1.701	, 0.002
5.7010	, 1.507	, 1.661	, 0.002
5.8010	, 1.497	, 1.622	, 0.002
5.9010	, 1.488	, 1.585	, 0.002
6.0010	, 1.480	, 1.549	, 0.002
6.1010	, 1.471	, 1.515	, 0.002
6.2010	, 1.463	, 1.483	, 0.002
6.3010	, 1.455	, 1.451	, 0.001
6.4010	, 1.448	, 1.421	, 0.001
6.5010	, 1.441	, 1.392	, 0.001
6.6010	, 1.434	, 1.365	, 0.001
6.7010	, 1.427	, 1.338	, 0.001
6.8010	, 1.421	, 1.312	, 0.001
6.9010	, 1.414	, 1.288	, 0.001
7.0010	, 1.408	, 1.264	, 0.001
7.1010	, 1.402	, 1.241	, 0.001
7.2010	, 1.397	, 1.219	, 0.001
7.3010	, 1.391	, 1.197	, 0.001
7.4010	, 1.386	, 1.177	, 0.001
7.5010	, 1.381	, 1.157	, 0.001
7.6010	, 1.376	, 1.138	, 0.001
7.7010	, 1.371	, 1.119	, 0.001
7.8010	, 1.367	, 1.101	, 0.001
7.9010	, 1.362	, 1.083	, 0.001
8.0010	, 1.358	, 1.066	, 0.001
8.1010	, 1.354	, 1.050	, 0.001
8.2010	, 1.350	, 1.034	, 0.001
8.3010	, 1.346	, 1.019	, 0.001
8.4010	, 1.342	, 1.004	, 0.001
8.5010	, 1.338	, 0.989	, 0.001
8.6010	, 1.335	, 0.975	, 0.001
8.7010	, 1.331	, 0.961	, 0.001
8.8010	, 1.328	, 0.948	, 0.001
8.9010	, 1.325	, 0.935	, 0.001
9.0010	, 1.322	, 0.923	, 0.001
9.1010	, 1.319	, 0.910	, 0.001
9.2010	, 1.316	, 0.898	, 0.001
9.3010	, 1.313	, 0.887	, 0.001
9.4010	, 1.310	, 0.875	, 0.001
9.5010	, 1.307	, 0.864	, 0.001
9.6010	, 1.304	, 0.854	, 0.001
9.7010	, 1.302	, 0.843	, 0.001
