 
PGA:,  0.26 g
PGV:,  24.53 cm/s
PGD:,  4.42 cm
Arias Intensity:,  83.73 cm/s
Significant duration:,   5.02 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.041	, 0.262
0.1010	, 0.144	, 8.930	, 0.566
0.2010	, 0.683	, 21.345	, 0.680
0.3010	, 1.213	, 25.329	, 0.539
0.4010	, 2.890	, 45.288	, 0.723
0.5010	, 5.397	, 67.690	, 0.865
0.6010	, 7.802	, 81.571	, 0.869
0.7010	, 10.121	, 90.715	, 0.829
0.8010	, 10.705	, 83.975	, 0.671
0.9010	, 8.735	, 60.911	, 0.433
1.0010	, 7.078	, 44.430	, 0.284
1.1010	, 6.733	, 38.427	, 0.224
1.2010	, 7.294	, 38.158	, 0.203
1.3010	, 7.468	, 36.066	, 0.178
1.4010	, 7.278	, 32.640	, 0.149
1.5010	, 6.744	, 28.229	, 0.120
1.6010	, 7.077	, 27.775	, 0.111
1.7010	, 6.994	, 25.835	, 0.097
1.8010	, 6.541	, 22.821	, 0.081
1.9010	, 6.099	, 20.158	, 0.068
2.0010	, 6.675	, 20.961	, 0.067
2.1010	, 7.054	, 21.096	, 0.064
2.2010	, 7.245	, 20.684	, 0.060
2.3010	, 7.270	, 19.851	, 0.055
2.4010	, 7.153	, 18.717	, 0.050
2.5010	, 6.920	, 17.385	, 0.045
2.6010	, 6.598	, 15.938	, 0.039
2.7010	, 6.210	, 14.446	, 0.034
2.8010	, 5.777	, 12.959	, 0.030
2.9010	, 5.660	, 12.259	, 0.027
3.0010	, 5.767	, 12.075	, 0.026
3.1010	, 6.084	, 12.328	, 0.025
3.2010	, 6.294	, 12.355	, 0.025
3.3010	, 6.562	, 12.489	, 0.024
3.4010	, 6.765	, 12.497	, 0.024
3.5010	, 6.883	, 12.352	, 0.023
3.6010	, 6.924	, 12.082	, 0.021
3.7010	, 6.899	, 11.712	, 0.020
3.8010	, 7.010	, 11.588	, 0.020
3.9010	, 7.580	, 12.209	, 0.020
4.0010	, 8.135	, 12.775	, 0.020
4.1010	, 8.807	, 13.494	, 0.021
4.2010	, 9.413	, 14.079	, 0.021
4.3010	, 9.841	, 14.377	, 0.021
4.4010	, 10.030	, 14.319	, 0.021
4.5010	, 10.008	, 13.971	, 0.020
4.6010	, 9.748	, 13.312	, 0.019
4.7010	, 9.355	, 12.504	, 0.017
4.8010	, 9.225	, 12.073	, 0.016
4.9010	, 9.188	, 11.779	, 0.015
5.0010	, 9.086	, 11.416	, 0.015
5.1010	, 8.926	, 10.995	, 0.014
5.2010	, 8.696	, 10.505	, 0.013
5.3010	, 8.398	, 9.954	, 0.012
5.4010	, 8.032	, 9.344	, 0.011
5.5010	, 7.613	, 8.695	, 0.010
5.6010	, 7.194	, 8.071	, 0.009
5.7010	, 7.038	, 7.757	, 0.009
5.8010	, 6.887	, 7.460	, 0.008
5.9010	, 6.707	, 7.141	, 0.008
6.0010	, 6.501	, 6.807	, 0.007
6.1010	, 6.277	, 6.465	, 0.007
6.2010	, 6.047	, 6.127	, 0.006
6.3010	, 6.094	, 6.077	, 0.006
6.4010	, 6.136	, 6.023	, 0.006
6.5010	, 6.173	, 5.966	, 0.006
6.6010	, 6.205	, 5.907	, 0.006
6.7010	, 6.233	, 5.845	, 0.006
6.8010	, 6.257	, 5.781	, 0.005
6.9010	, 6.278	, 5.716	, 0.005
7.0010	, 6.295	, 5.650	, 0.005
7.1010	, 6.309	, 5.583	, 0.005
7.2010	, 6.321	, 5.515	, 0.005
7.3010	, 6.329	, 5.447	, 0.005
7.4010	, 6.336	, 5.379	, 0.005
7.5010	, 6.340	, 5.311	, 0.005
7.6010	, 6.342	, 5.242	, 0.004
7.7010	, 6.342	, 5.175	, 0.004
7.8010	, 6.341	, 5.107	, 0.004
7.9010	, 6.338	, 5.040	, 0.004
8.0010	, 6.334	, 4.974	, 0.004
8.1010	, 6.328	, 4.908	, 0.004
8.2010	, 6.321	, 4.843	, 0.004
8.3010	, 6.313	, 4.779	, 0.004
8.4010	, 6.305	, 4.715	, 0.004
8.5010	, 6.295	, 4.653	, 0.004
8.6010	, 6.284	, 4.591	, 0.003
8.7010	, 6.273	, 4.530	, 0.003
8.8010	, 6.262	, 4.470	, 0.003
8.9010	, 6.249	, 4.411	, 0.003
9.0010	, 6.237	, 4.354	, 0.003
9.1010	, 6.224	, 4.297	, 0.003
9.2010	, 6.210	, 4.241	, 0.003
9.3010	, 6.196	, 4.186	, 0.003
9.4010	, 6.182	, 4.132	, 0.003
9.5010	, 6.167	, 4.078	, 0.003
9.6010	, 6.152	, 4.026	, 0.003
9.7010	, 6.137	, 3.975	, 0.003
9.8010	, 6.122	, 3.925	, 0.003
9.9010	, 6.107	, 3.875	, 0.003
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0004001	0.0000000	0.0000000	0.0000000
0.005	-0.0004151	-0.0019992	-0.0000050	0.0000000
0.010	-0.0004276	-0.0040659	-0.0000202	0.0000000
0.015	-0.0004363	-0.0061847	-0.0000458	0.0000000
0.020	-0.0004422	-0.0083392	-0.0000821	0.0000001
0.025	-0.0004435	-0.0105115	-0.0001292	0.0000001
0.030	-0.0004353	-0.0126669	-0.0001872	0.0000001
0.035	-0.0004145	-0.0147511	-0.0002557	0.0000001
0.040	-0.0003854	-0.0167129	-0.0003344	0.0000001
0.045	-0.0003577	-0.0185352	-0.0004225	0.0000001
0.050	-0.0003394	-0.0202450	-0.0005194	0.0000002
0.055	-0.0003322	-0.0218921	-0.0006248	0.0000002
0.060	-0.0003338	-0.0235255	-0.0007383	0.0000002
0.065	-0.0003388	-0.0251751	-0.0008601	0.0000002
0.070	-0.0003481	-0.0268598	-0.0009902	0.0000002
0.075	-0.0003734	-0.0286292	-0.0011289	0.0000002
0.080	-0.0004153	-0.0305635	-0.0012769	0.0000002
0.085	-0.0004613	-0.0327134	-0.0014351	0.0000002
0.090	-0.0004965	-0.0350623	-0.0016045	0.0000003
0.095	-0.0005149	-0.0375426	-0.0017860	0.0000003
0.100	-0.0005258	-0.0400947	-0.0019801	0.0000003
0.105	-0.0005370	-0.0427010	-0.0021871	0.0000003
0.110	-0.0005445	-0.0453534	-0.0024072	0.0000004
0.115	-0.0005387	-0.0480101	-0.0026406	0.0000004
0.120	-0.0005110	-0.0505847	-0.0028871	0.0000004
0.125	-0.0004611	-0.0529687	-0.0031460	0.0000004
0.130	-0.0004026	-0.0550868	-0.0034162	0.0000005
0.135	-0.0003436	-0.0569167	-0.0036962	0.0000005
0.140	-0.0002745	-0.0584325	-0.0039845	0.0000005
0.145	-0.0002052	-0.0596087	-0.0042796	0.0000005
0.150	-0.0001703	-0.0605296	-0.0045800	0.0000005
0.155	-0.0001884	-0.0614092	-0.0048848	0.0000005
0.160	-0.0002470	-0.0624768	-0.0051945	0.0000005
0.165	-0.0003160	-0.0638575	-0.0055104	0.0000005
0.170	-0.0003485	-0.0654872	-0.0058337	0.0000005
0.175	-0.0003142	-0.0671123	-0.0061652	0.0000005
0.180	-0.0002394	-0.0684700	-0.0065042	0.0000005
0.185	-0.0001850	-0.0695108	-0.0068492	0.0000005
0.190	-0.0002009	-0.0704570	-0.0071991	0.0000005
0.195	-0.0002892	-0.0716588	-0.0075544	0.0000005
0.200	-0.0004206	-0.0733993	-0.0079170	0.0000006
0.205	-0.0005621	-0.0758093	-0.0082900	0.0000006
0.210	-0.0006692	-0.0788292	-0.0086766	0.0000006
0.215	-0.0007212	-0.0822392	-0.0090793	0.0000007
0.220	-0.0007356	-0.0858120	-0.0094994	0.0000007
0.225	-0.0007150	-0.0893697	-0.0099374	0.0000008
0.230	-0.0006324	-0.0926742	-0.0103925	0.0000008
0.235	-0.0004676	-0.0953721	-0.0108626	0.0000008
