 
PGA:,  0.14 g
PGV:,  4.93 cm/s
PGD:,  0.65 cm
Arias Intensity:,  13.02 cm/s
Significant duration:,  11.44 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.022	, 0.138
0.1010	, 0.078	, 4.840	, 0.307
0.2010	, 0.270	, 8.432	, 0.269
0.3010	, 0.458	, 9.556	, 0.203
0.4010	, 0.691	, 10.834	, 0.173
0.5010	, 0.580	, 7.273	, 0.093
0.6010	, 0.998	, 10.429	, 0.111
0.7010	, 0.743	, 6.663	, 0.061
0.8010	, 0.848	, 6.649	, 0.053
0.9010	, 1.140	, 7.950	, 0.057
1.0010	, 1.183	, 7.427	, 0.048
1.1010	, 1.288	, 7.350	, 0.043
1.2010	, 1.342	, 7.022	, 0.037
1.3010	, 1.437	, 6.938	, 0.034
1.4010	, 1.705	, 7.648	, 0.035
1.5010	, 1.756	, 7.349	, 0.031
1.6010	, 1.835	, 7.202	, 0.029
1.7010	, 1.996	, 7.373	, 0.028
1.8010	, 1.979	, 6.902	, 0.025
1.9010	, 1.925	, 6.362	, 0.021
2.0010	, 1.727	, 5.422	, 0.017
2.1010	, 1.603	, 4.794	, 0.015
2.2010	, 1.539	, 4.393	, 0.013
2.3010	, 1.447	, 3.952	, 0.011
2.4010	, 1.363	, 3.567	, 0.010
2.5010	, 1.271	, 3.194	, 0.008
2.6010	, 1.212	, 2.928	, 0.007
2.7010	, 1.205	, 2.802	, 0.007
2.8010	, 1.197	, 2.686	, 0.006
2.9010	, 1.183	, 2.562	, 0.006
3.0010	, 1.163	, 2.434	, 0.005
3.1010	, 1.139	, 2.308	, 0.005
3.2010	, 1.113	, 2.185	, 0.004
3.3010	, 1.086	, 2.066	, 0.004
3.4010	, 1.058	, 1.954	, 0.004
3.5010	, 1.030	, 1.848	, 0.003
3.6010	, 1.002	, 1.749	, 0.003
3.7010	, 0.975	, 1.656	, 0.003
3.8010	, 0.950	, 1.570	, 0.003
3.9010	, 0.925	, 1.490	, 0.002
4.0010	, 0.902	, 1.417	, 0.002
4.1010	, 0.880	, 1.348	, 0.002
4.2010	, 0.859	, 1.285	, 0.002
4.3010	, 0.840	, 1.227	, 0.002
