 
PGA:,  0.47 g
PGV:,  34.43 cm/s
PGD:,  6.68 cm
Arias Intensity:,  131.37 cm/s
Significant duration:,   5.83 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.073	, 0.469
0.1010	, 0.211	, 13.127	, 0.832
0.2010	, 0.891	, 27.843	, 0.887
0.3010	, 1.576	, 32.907	, 0.700
0.4010	, 3.921	, 61.436	, 0.981
0.5010	, 7.151	, 89.682	, 1.147
0.6010	, 9.249	, 96.691	, 1.030
0.7010	, 9.040	, 81.026	, 0.740
0.8010	, 8.502	, 66.691	, 0.533
0.9010	, 8.306	, 57.921	, 0.412
1.0010	, 8.057	, 50.574	, 0.324
1.1010	, 7.897	, 45.066	, 0.262
1.2010	, 7.533	, 39.407	, 0.210
1.3010	, 6.871	, 33.184	, 0.163
1.4010	, 6.279	, 28.160	, 0.129
1.5010	, 5.987	, 25.063	, 0.107
1.6010	, 5.677	, 22.280	, 0.089
1.7010	, 5.424	, 20.036	, 0.075
1.8010	, 5.261	, 18.356	, 0.065
1.9010	, 5.193	, 17.165	, 0.058
2.0010	, 5.205	, 16.344	, 0.052
2.1010	, 5.496	, 16.437	, 0.050
2.2010	, 6.309	, 18.010	, 0.052
2.3010	, 6.626	, 18.093	, 0.050
2.4010	, 6.392	, 16.727	, 0.045
2.5010	, 5.851	, 14.700	, 0.038
2.6010	, 6.023	, 14.549	, 0.036
2.7010	, 6.196	, 14.414	, 0.034
2.8010	, 6.370	, 14.290	, 0.033
2.9010	, 6.542	, 14.169	, 0.031
3.0010	, 6.710	, 14.048	, 0.030
3.1010	, 6.872	, 13.925	, 0.029
3.2010	, 7.029	, 13.796	, 0.028
3.3010	, 7.178	, 13.662	, 0.027
3.4010	, 7.321	, 13.524	, 0.025
3.5010	, 7.455	, 13.379	, 0.024
3.6010	, 7.581	, 13.227	, 0.024
3.7010	, 7.698	, 13.068	, 0.023
3.8010	, 7.806	, 12.903	, 0.022
3.9010	, 7.905	, 12.732	, 0.021
4.0010	, 7.996	, 12.557	, 0.020
4.1010	, 8.080	, 12.379	, 0.019
4.2010	, 8.155	, 12.197	, 0.019
4.3010	, 8.223	, 12.012	, 0.018
4.4010	, 8.283	, 11.825	, 0.017
4.5010	, 8.336	, 11.637	, 0.017
4.6010	, 8.383	, 11.448	, 0.016
4.7010	, 8.423	, 11.258	, 0.015
4.8010	, 8.458	, 11.070	, 0.015
4.9010	, 8.489	, 10.883	, 0.014
5.0010	, 8.514	, 10.697	, 0.014
5.1010	, 8.535	, 10.514	, 0.013
5.2010	, 8.552	, 10.332	, 0.013
5.3010	, 8.565	, 10.152	, 0.012
5.4010	, 8.575	, 9.975	, 0.012
5.5010	, 8.581	, 9.801	, 0.011
5.6010	, 8.584	, 9.630	, 0.011
5.7010	, 8.585	, 9.462	, 0.011
5.8010	, 8.583	, 9.297	, 0.010
5.9010	, 8.579	, 9.135	, 0.010
6.0010	, 8.574	, 8.977	, 0.010
6.1010	, 8.566	, 8.822	, 0.009
6.2010	, 8.557	, 8.670	, 0.009
6.3010	, 8.546	, 8.522	, 0.009
6.4010	, 8.534	, 8.377	, 0.008
6.5010	, 8.521	, 8.236	, 0.008
6.6010	, 8.507	, 8.098	, 0.008
6.7010	, 8.493	, 7.963	, 0.008
6.8010	, 8.477	, 7.832	, 0.007
6.9010	, 8.461	, 7.704	, 0.007
7.0010	, 8.445	, 7.579	, 0.007
7.1010	, 8.465	, 7.490	, 0.007
7.2010	, 8.504	, 7.420	, 0.007
7.3010	, 8.508	, 7.322	, 0.006
7.4010	, 8.479	, 7.198	, 0.006
7.5010	, 8.452	, 7.080	, 0.006
7.6010	, 8.442	, 6.979	, 0.006
7.7010	, 8.402	, 6.856	, 0.006
7.8010	, 8.335	, 6.713	, 0.006
7.9010	, 8.325	, 6.620	, 0.005
8.0010	, 8.336	, 6.546	, 0.005
8.1010	, 8.321	, 6.454	, 0.005
8.2010	, 8.282	, 6.346	, 0.005
8.3010	, 8.229	, 6.229	, 0.005
8.4010	, 8.186	, 6.122	, 0.005
8.5010	, 8.167	, 6.036	, 0.005
8.6010	, 8.148	, 5.953	, 0.004
8.7010	, 8.130	, 5.871	, 0.004
8.8010	, 8.112	, 5.791	, 0.004
8.9010	, 8.093	, 5.713	, 0.004
9.0010	, 8.075	, 5.637	, 0.004
9.1010	, 8.058	, 5.563	, 0.004
9.2010	, 8.040	, 5.490	, 0.004
9.3010	, 8.023	, 5.420	, 0.004
9.4010	, 8.005	, 5.350	, 0.004
9.5010	, 7.988	, 5.283	, 0.004
9.6010	, 7.972	, 5.217	, 0.003
9.7010	, 7.955	, 5.152	, 0.003
9.8010	, 7.939	, 5.089	, 0.003
9.9010	, 7.922	, 5.028	, 0.003
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0002557	0.0000000	0.0000000	0.0000000
0.005	0.0002124	0.0011480	0.0000029	0.0000000
0.010	0.0001744	0.0020966	0.0000110	0.0000000
0.015	0.0001464	0.0028832	0.0000234	0.0000000
0.020	0.0001325	0.0035671	0.0000396	0.0000000
0.025	0.0001348	0.0042225	0.0000590	0.0000000
0.030	0.0001539	0.0049305	0.0000819	0.0000000
0.035	0.0001878	0.0057683	0.0001087	0.0000000
0.040	0.0002328	0.0067998	0.0001401	0.0000000
0.045	0.0002864	0.0080731	0.0001773	0.0000000
0.050	0.0003484	0.0096298	0.0002215	0.0000000
0.055	0.0004200	0.0115143	0.0002744	0.0000000
0.060	0.0004993	0.0137688	0.0003376	0.0000000
0.065	0.0005823	0.0164214	0.0004131	0.0000001
0.070	0.0006679	0.0194873	0.0005028	0.0000001
0.075	0.0007579	0.0229840	0.0006090	0.0000001
0.080	0.0008520	0.0269324	0.0007338	0.0000002
0.085	0.0009476	0.0313460	0.0008795	0.0000002
0.090	0.0010413	0.0362236	0.0010484	0.0000003
0.095	0.0011280	0.0415436	0.0012428	0.0000003
0.100	0.0011998	0.0472525	0.0014648	0.0000004
0.105	0.0012483	0.0532565	0.0017161	0.0000005
0.110	0.0012673	0.0594259	0.0019978	0.0000006
0.115	0.0012553	0.0656127	0.0023104	0.0000007
0.120	0.0012139	0.0716685	0.0026536	0.0000008
0.125	0.0011440	0.0774513	0.0030264	0.0000009
0.130	0.0010420	0.0828125	0.0034271	0.0000009
0.135	0.0009065	0.0875911	0.0038531	0.0000010
0.140	0.0007449	0.0916412	0.0043012	0.0000010
0.145	0.0005697	0.0948652	0.0047674	0.0000010
0.150	0.0003974	0.0972369	0.0052477	0.0000011
0.155	0.0002531	0.0988321	0.0057379	0.0000011
0.160	0.0001638	0.0998544	0.0062346	0.0000011
0.165	0.0001494	0.1006224	0.0067358	0.0000011
0.170	0.0002200	0.1015284	0.0072411	0.0000011
0.175	0.0003780	0.1029951	0.0077524	0.0000011
0.180	0.0006197	0.1054421	0.0082735	0.0000011
0.185	0.0009321	0.1092480	0.0088103	0.0000011
0.190	0.0012889	0.1146951	0.0093701	0.0000012
0.195	0.0016536	0.1219117	0.0099616	0.0000013
0.200	0.0019869	0.1308401	0.0105935	0.0000015
0.205	0.0022550	0.1412434	0.0112737	0.0000018
0.210	0.0024261	0.1527238	0.0120086	0.0000021
0.215	0.0024733	0.1647395	0.0128023	0.0000025
0.220	0.0023949	0.1766786	0.0136559	0.0000028
0.225	0.0022141	0.1879821	0.0145675	0.0000031
0.230	0.0019553	0.1982075	0.0155330	0.0000034
0.235	0.0016389	0.2070222	0.0165461	0.0000036
0.240	0.0012915	0.2142089	0.0175991	0.0000037
0.245	0.0009451	0.2196941	0.0186839	0.0000038
0.250	0.0006317	0.2235610	0.0197920	0.0000038
0.255	0.0003808	0.2260441	0.0209160	0.0000038
0.260	0.0002142	0.2275033	0.0220499	0.0000038
0.265	0.0001362	0.2283628	0.0231896	0.0000038
0.270	0.0001264	0.2290069	0.0243330	0.0000038
0.275	0.0001484	0.2296809	0.0254797	0.0000038
0.280	0.0001683	0.2304575	0.0266301	0.0000038
0.285	0.0001663	0.2312782	0.0277844	0.0000038
0.290	0.0001376	0.2320235	0.0289427	0.0000038
0.295	0.0000860	0.2325717	0.0301041	0.0000038
0.300	0.0000249	0.2328437	0.0312677	0.0000038
0.305	-0.0000198	0.2328562	0.0324319	0.0000038
0.310	-0.0000193	0.2327604	0.0335960	0.0000038
0.315	0.0000435	0.2328198	0.0347599	0.0000038
0.320	0.0001730	0.2333509	0.0359253	0.0000038
0.325	0.0003633	0.2346663	0.0370954	0.0000039
0.330	0.0005961	0.2370191	0.0382746	0.0000039
0.335	0.0008421	0.2405462	0.0394685	0.0000039
0.340	0.0010645	0.2452221	0.0406829	0.0000040
0.345	0.0012167	0.2508168	0.0419230	0.0000040
0.350	0.0012486	0.2568628	0.0431922	0.0000041
0.355	0.0011278	0.2626910	0.0444911	0.0000042
0.360	0.0008480	0.2675366	0.0458167	0.0000043
0.365	0.0004257	0.2706602	0.0471622	0.0000043
0.370	-0.0000982	0.2714632	0.0485175	0.0000043
0.375	-0.0006591	0.2696057	0.0498702	0.0000043
0.380	-0.0011847	0.2650838	0.0512069	0.0000044
0.385	-0.0016071	0.2582368	0.0525152	0.0000045
0.390	-0.0018718	0.2497048	0.0537850	0.0000047
0.395	-0.0019563	0.2403164	0.0550101	0.0000049
