 
PGA:,  0.22 g
PGV:,  11.93 cm/s
PGD:,  1.56 cm
Arias Intensity:,  35.26 cm/s
Significant duration:,  10.47 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.034	, 0.215
0.1010	, 0.082	, 5.127	, 0.325
0.2010	, 0.410	, 12.822	, 0.409
0.3010	, 1.193	, 24.911	, 0.530
0.4010	, 1.640	, 25.703	, 0.411
0.5010	, 2.315	, 29.028	, 0.371
0.6010	, 2.590	, 27.075	, 0.289
0.7010	, 1.862	, 16.688	, 0.152
0.8010	, 2.479	, 19.443	, 0.155
0.9010	, 2.010	, 14.019	, 0.100
1.0010	, 2.336	, 14.664	, 0.094
1.1010	, 3.006	, 17.155	, 0.100
1.2010	, 3.669	, 19.197	, 0.102
1.3010	, 3.778	, 18.245	, 0.090
1.4010	, 3.401	, 15.253	, 0.070
1.5010	, 2.637	, 11.039	, 0.047
1.6010	, 2.589	, 10.162	, 0.041
1.7010	, 2.475	, 9.143	, 0.034
1.8010	, 2.166	, 7.558	, 0.027
1.9010	, 1.803	, 5.958	, 0.020
2.0010	, 1.645	, 5.164	, 0.017
2.1010	, 1.612	, 4.819	, 0.015
2.2010	, 1.626	, 4.641	, 0.014
2.3010	, 1.640	, 4.478	, 0.012
2.4010	, 1.688	, 4.417	, 0.012
2.5010	, 1.941	, 4.877	, 0.012
2.6010	, 1.941	, 4.689	, 0.012
2.7010	, 1.834	, 4.266	, 0.010
2.8010	, 1.768	, 3.966	, 0.009
2.9010	, 1.799	, 3.897	, 0.009
3.0010	, 1.828	, 3.827	, 0.008
3.1010	, 1.854	, 3.756	, 0.008
3.2010	, 1.875	, 3.681	, 0.007
3.3010	, 1.893	, 3.603	, 0.007
3.4010	, 1.907	, 3.523	, 0.007
3.5010	, 1.916	, 3.439	, 0.006
3.6010	, 1.922	, 3.353	, 0.006
3.7010	, 1.924	, 3.266	, 0.006
3.8010	, 1.922	, 3.178	, 0.005
3.9010	, 1.918	, 3.090	, 0.005
4.0010	, 1.912	, 3.002	, 0.005
4.1010	, 1.903	, 2.916	, 0.005
4.2010	, 1.893	, 2.832	, 0.004
4.3010	, 1.882	, 2.750	, 0.004
4.4010	, 1.870	, 2.670	, 0.004
4.5010	, 1.857	, 2.593	, 0.004
4.6010	, 1.844	, 2.518	, 0.004
4.7010	, 1.831	, 2.447	, 0.003
4.8010	, 1.817	, 2.378	, 0.003
4.9010	, 1.803	, 2.312	, 0.003
5.0010	, 1.790	, 2.249	, 0.003
5.1010	, 1.777	, 2.188	, 0.003
5.2010	, 1.764	, 2.131	, 0.003
5.3010	, 1.751	, 2.075	, 0.003
5.4010	, 1.739	, 2.023	, 0.002
5.5010	, 1.727	, 1.972	, 0.002
5.6010	, 1.715	, 1.924	, 0.002
5.7010	, 1.704	, 1.878	, 0.002
5.8010	, 1.694	, 1.835	, 0.002
5.9010	, 1.684	, 1.793	, 0.002
6.0010	, 1.674	, 1.753	, 0.002
6.1010	, 1.665	, 1.715	, 0.002
6.2010	, 1.656	, 1.678	, 0.002
6.3010	, 1.648	, 1.643	, 0.002
6.4010	, 1.640	, 1.610	, 0.002
6.5010	, 1.633	, 1.578	, 0.002
6.6010	, 1.626	, 1.547	, 0.002
6.7010	, 1.619	, 1.518	, 0.001
6.8010	, 1.613	, 1.490	, 0.001
6.9010	, 1.607	, 1.463	, 0.001
7.0010	, 1.601	, 1.437	, 0.001
7.1010	, 1.596	, 1.412	, 0.001
7.2010	, 1.591	, 1.388	, 0.001
7.3010	, 1.586	, 1.365	, 0.001
7.4010	, 1.582	, 1.343	, 0.001
7.5010	, 1.578	, 1.321	, 0.001
7.6010	, 1.574	, 1.301	, 0.001
7.7010	, 1.570	, 1.281	, 0.001
7.8010	, 1.567	, 1.262	, 0.001
7.9010	, 1.563	, 1.243	, 0.001
8.0010	, 1.560	, 1.225	, 0.001
8.1010	, 1.557	, 1.208	, 0.001
8.2010	, 1.555	, 1.191	, 0.001
8.3010	, 1.552	, 1.175	, 0.001
8.4010	, 1.550	, 1.159	, 0.001
8.5010	, 1.548	, 1.144	, 0.001
8.6010	, 1.546	, 1.129	, 0.001
8.7010	, 1.544	, 1.115	, 0.001
8.8010	, 1.542	, 1.101	, 0.001
8.9010	, 1.540	, 1.087	, 0.001
9.0010	, 1.539	, 1.074	, 0.001
9.1010	, 1.537	, 1.061	, 0.001
9.2010	, 1.536	, 1.049	, 0.001
9.3010	, 1.535	, 1.037	, 0.001
9.4010	, 1.534	, 1.025	, 0.001
9.5010	, 1.533	, 1.013	, 0.001
9.6010	, 1.532	, 1.002	, 0.001
9.7010	, 1.531	, 0.991	, 0.001
9.8010	, 1.530	, 0.981	, 0.001
9.9010	, 1.529	, 0.970	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000102	0.0000000	0.0000000	0.0000000
0.005	-0.0000010	0.0000225	0.0000001	0.0000000
0.010	-0.0000100	-0.0000045	0.0000001	0.0000000
0.015	-0.0000147	-0.0000649	-0.0000001	0.0000000
0.020	-0.0000151	-0.0001380	-0.0000006	0.0000000
0.025	-0.0000100	-0.0001996	-0.0000014	0.0000000
0.030	0.0000024	-0.0002184	-0.0000025	0.0000000
0.035	0.0000213	-0.0001604	-0.0000034	0.0000000
0.040	0.0000441	0.0000001	-0.0000038	0.0000000
0.045	0.0000698	0.0002795	-0.0000031	0.0000000
0.050	0.0000959	0.0006858	-0.0000007	0.0000000
0.055	0.0001191	0.0012133	0.0000040	0.0000000
0.060	0.0001374	0.0018425	0.0000117	0.0000000
0.065	0.0001487	0.0025443	0.0000227	0.0000000
0.070	0.0001500	0.0032769	0.0000372	0.0000000
0.075	0.0001364	0.0039794	0.0000553	0.0000000
0.080	0.0001041	0.0045693	0.0000767	0.0000000
0.085	0.0000568	0.0049639	0.0001005	0.0000000
0.090	0.0000070	0.0051205	0.0001258	0.0000000
0.095	-0.0000316	0.0050603	0.0001512	0.0000000
0.100	-0.0000528	0.0048534	0.0001760	0.0000000
0.105	-0.0000576	0.0045826	0.0001996	0.0000000
0.110	-0.0000483	0.0043228	0.0002218	0.0000000
0.115	-0.0000315	0.0041272	0.0002430	0.0000000
0.120	-0.0000104	0.0040245	0.0002634	0.0000000
0.125	0.0000193	0.0040463	0.0002835	0.0000000
0.130	0.0000572	0.0042338	0.0003042	0.0000000
0.135	0.0000964	0.0046105	0.0003263	0.0000000
0.140	0.0001302	0.0051663	0.0003508	0.0000000
0.145	0.0001514	0.0058570	0.0003783	0.0000000
0.150	0.0001538	0.0066054	0.0004095	0.0000000
0.155	0.0001392	0.0073239	0.0004443	0.0000000
0.160	0.0001245	0.0079707	0.0004826	0.0000001
0.165	0.0001226	0.0085769	0.0005239	0.0000001
0.170	0.0001291	0.0091943	0.0005684	0.0000001
0.175	0.0001363	0.0098451	0.0006160	0.0000001
0.180	0.0001420	0.0105276	0.0006669	0.0000001
0.185	0.0001453	0.0112323	0.0007213	0.0000001
0.190	0.0001440	0.0119418	0.0007792	0.0000001
0.195	0.0001371	0.0126312	0.0008407	0.0000001
0.200	0.0001290	0.0132837	0.0009054	0.0000001
0.205	0.0001302	0.0139194	0.0009734	0.0000001
0.210	0.0001564	0.0146224	0.0010448	0.0000001
0.215	0.0002227	0.0155522	0.0011202	0.0000001
0.220	0.0003315	0.0169112	0.0012014	0.0000001
0.225	0.0004587	0.0188491	0.0012908	0.0000002
0.230	0.0005593	0.0213457	0.0013913	0.0000002
0.235	0.0005939	0.0241739	0.0015051	0.0000003
0.240	0.0005451	0.0269673	0.0016329	0.0000004
0.245	0.0004154	0.0293230	0.0017737	0.0000004
0.250	0.0002262	0.0308968	0.0019242	0.0000004
0.255	0.0000201	0.0315010	0.0020802	0.0000004
0.260	-0.0001653	0.0311450	0.0022368	0.0000004
0.265	-0.0003134	0.0299710	0.0023896	0.0000005
0.270	-0.0004240	0.0281626	0.0025349	0.0000005
0.275	-0.0004996	0.0258976	0.0026701	0.0000005
0.280	-0.0005285	0.0233762	0.0027933	0.0000006
0.285	-0.0005150	0.0208168	0.0029038	0.0000006
0.290	-0.0004694	0.0184025	0.0030018	0.0000007
0.295	-0.0003729	0.0163368	0.0030887	0.0000007
0.300	-0.0002138	0.0148980	0.0031667	0.0000008
0.305	-0.0000325	0.0142939	0.0032397	0.0000008
0.310	0.0001145	0.0144951	0.0033117	0.0000008
0.315	0.0001872	0.0152353	0.0033860	0.0000008
0.320	0.0001434	0.0160461	0.0034642	0.0000008
0.325	-0.0000270	0.0163316	0.0035452	0.0000008
0.330	-0.0002658	0.0156137	0.0036250	0.0000008
0.335	-0.0004770	0.0137921	0.0036986	0.0000008
0.340	-0.0005748	0.0112127	0.0037611	0.0000009
0.345	-0.0005295	0.0085044	0.0038104	0.0000009
0.350	-0.0003743	0.0062877	0.0038473	0.0000010
0.355	-0.0001625	0.0049710	0.0038755	0.0000010
