 
PGA:,  0.09 g
PGV:,  4.03 cm/s
PGD:,  0.63 cm
Arias Intensity:,   6.36 cm/s
Significant duration:,  10.96 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.090
0.1010	, 0.026	, 1.629	, 0.103
0.2010	, 0.251	, 7.843	, 0.250
0.3010	, 0.372	, 7.768	, 0.165
0.4010	, 0.511	, 8.010	, 0.128
0.5010	, 1.309	, 16.419	, 0.210
0.6010	, 1.473	, 15.398	, 0.164
0.7010	, 0.989	, 8.861	, 0.081
0.8010	, 0.928	, 7.281	, 0.058
0.9010	, 1.080	, 7.530	, 0.054
1.0010	, 1.131	, 7.098	, 0.045
1.1010	, 1.280	, 7.305	, 0.042
1.2010	, 1.432	, 7.493	, 0.040
1.3010	, 1.836	, 8.865	, 0.044
1.4010	, 1.814	, 8.137	, 0.037
1.5010	, 1.789	, 7.488	, 0.032
1.6010	, 2.215	, 8.693	, 0.035
1.7010	, 2.441	, 9.018	, 0.034
1.8010	, 2.190	, 7.639	, 0.027
1.9010	, 1.818	, 6.008	, 0.020
2.0010	, 1.476	, 4.636	, 0.015
2.1010	, 1.407	, 4.208	, 0.013
2.2010	, 1.446	, 4.127	, 0.012
2.3010	, 1.659	, 4.531	, 0.013
2.4010	, 1.862	, 4.872	, 0.013
2.5010	, 1.918	, 4.818	, 0.012
2.6010	, 1.816	, 4.386	, 0.011
2.7010	, 1.614	, 3.755	, 0.009
2.8010	, 1.610	, 3.611	, 0.008
2.9010	, 1.532	, 3.317	, 0.007
3.0010	, 1.399	, 2.930	, 0.006
3.1010	, 1.237	, 2.507	, 0.005
3.2010	, 1.069	, 2.098	, 0.004
3.3010	, 1.052	, 2.003	, 0.004
3.4010	, 1.020	, 1.884	, 0.004
3.5010	, 0.970	, 1.741	, 0.003
3.6010	, 0.911	, 1.589	, 0.003
3.7010	, 0.846	, 1.437	, 0.002
3.8010	, 0.819	, 1.353	, 0.002
3.9010	, 0.812	, 1.308	, 0.002
4.0010	, 0.817	, 1.283	, 0.002
4.1010	, 0.843	, 1.292	, 0.002
4.2010	, 0.856	, 1.280	, 0.002
4.3010	, 0.858	, 1.253	, 0.002
4.4010	, 0.850	, 1.214	, 0.002
4.5010	, 0.836	, 1.166	, 0.002
4.6010	, 0.816	, 1.114	, 0.002
4.7010	, 0.793	, 1.060	, 0.001
4.8010	, 0.769	, 1.006	, 0.001
4.9010	, 0.752	, 0.965	, 0.001
5.0010	, 0.747	, 0.938	, 0.001
5.1010	, 0.741	, 0.913	, 0.001
5.2010	, 0.736	, 0.889	, 0.001
5.3010	, 0.735	, 0.871	, 0.001
5.4010	, 0.732	, 0.851	, 0.001
5.5010	, 0.727	, 0.830	, 0.001
5.6010	, 0.720	, 0.807	, 0.001
5.7010	, 0.712	, 0.784	, 0.001
5.8010	, 0.707	, 0.765	, 0.001
5.9010	, 0.702	, 0.748	, 0.001
6.0010	, 0.698	, 0.731	, 0.001
6.1010	, 0.694	, 0.714	, 0.001
6.2010	, 0.689	, 0.699	, 0.001
6.3010	, 0.685	, 0.684	, 0.001
6.4010	, 0.682	, 0.669	, 0.001
6.5010	, 0.678	, 0.655	, 0.001
6.6010	, 0.674	, 0.642	, 0.001
6.7010	, 0.671	, 0.629	, 0.001
