 
PGA:,  0.06 g
PGV:,  3.97 cm/s
PGD:,  1.05 cm
Arias Intensity:,   5.63 cm/s
Significant duration:,  14.84 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.009	, 0.057
0.1010	, 0.030	, 1.849	, 0.117
0.2010	, 0.178	, 5.574	, 0.178
0.3010	, 0.281	, 5.866	, 0.125
0.4010	, 0.606	, 9.489	, 0.152
0.5010	, 0.849	, 10.648	, 0.136
0.6010	, 0.683	, 7.146	, 0.076
0.7010	, 0.863	, 7.732	, 0.071
0.8010	, 0.963	, 7.554	, 0.060
0.9010	, 0.879	, 6.132	, 0.044
1.0010	, 0.774	, 4.860	, 0.031
1.1010	, 1.265	, 7.219	, 0.042
1.2010	, 1.244	, 6.509	, 0.035
1.3010	, 1.253	, 6.053	, 0.030
1.4010	, 1.323	, 5.934	, 0.027
1.5010	, 1.511	, 6.326	, 0.027
1.6010	, 1.760	, 6.908	, 0.028
1.7010	, 1.969	, 7.272	, 0.027
1.8010	, 1.557	, 5.434	, 0.019
1.9010	, 1.446	, 4.781	, 0.016
2.0010	, 1.679	, 5.274	, 0.017
2.1010	, 1.890	, 5.652	, 0.017
2.2010	, 2.021	, 5.768	, 0.017
2.3010	, 2.053	, 5.606	, 0.016
2.4010	, 1.995	, 5.220	, 0.014
2.5010	, 1.863	, 4.679	, 0.012
2.6010	, 1.747	, 4.220	, 0.010
2.7010	, 1.775	, 4.129	, 0.010
2.8010	, 1.761	, 3.951	, 0.009
2.9010	, 1.694	, 3.668	, 0.008
3.0010	, 1.575	, 3.297	, 0.007
3.1010	, 1.578	, 3.197	, 0.007
3.2010	, 1.585	, 3.111	, 0.006
3.3010	, 1.562	, 2.973	, 0.006
3.4010	, 1.511	, 2.791	, 0.005
3.5010	, 1.436	, 2.578	, 0.005
3.6010	, 1.344	, 2.344	, 0.004
3.7010	, 1.238	, 2.102	, 0.004
3.8010	, 1.140	, 1.884	, 0.003
3.9010	, 1.189	, 1.915	, 0.003
4.0010	, 1.159	, 1.820	, 0.003
4.1010	, 1.194	, 1.829	, 0.003
4.2010	, 1.227	, 1.836	, 0.003
4.3010	, 1.150	, 1.680	, 0.003
4.4010	, 1.007	, 1.438	, 0.002
4.5010	, 0.940	, 1.312	, 0.002
4.6010	, 0.959	, 1.310	, 0.002
4.7010	, 0.998	, 1.334	, 0.002
4.8010	, 1.019	, 1.334	, 0.002
4.9010	, 1.024	, 1.313	, 0.002
5.0010	, 1.014	, 1.274	, 0.002
5.1010	, 0.991	, 1.220	, 0.002
5.2010	, 1.003	, 1.211	, 0.001
5.3010	, 1.051	, 1.246	, 0.002
5.4010	, 1.093	, 1.272	, 0.002
5.5010	, 1.128	, 1.289	, 0.002
5.6010	, 1.157	, 1.298	, 0.001
5.7010	, 1.179	, 1.300	, 0.001
5.8010	, 1.196	, 1.295	, 0.001
5.9010	, 1.207	, 1.285	, 0.001
6.0010	, 1.213	, 1.270	, 0.001
6.1010	, 1.215	, 1.251	, 0.001
