 
PGA:,  0.06 g
PGV:,  3.40 cm/s
PGD:,  0.76 cm
Arias Intensity:,   4.19 cm/s
Significant duration:,  13.92 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.009	, 0.058
0.1010	, 0.022	, 1.386	, 0.088
0.2010	, 0.113	, 3.530	, 0.112
0.3010	, 0.345	, 7.206	, 0.153
0.4010	, 0.418	, 6.557	, 0.105
0.5010	, 0.658	, 8.256	, 0.106
0.6010	, 0.755	, 7.890	, 0.084
0.7010	, 0.649	, 5.822	, 0.053
0.8010	, 0.624	, 4.897	, 0.039
0.9010	, 0.897	, 6.256	, 0.044
1.0010	, 0.977	, 6.132	, 0.039
1.1010	, 1.151	, 6.569	, 0.038
1.2010	, 1.155	, 6.040	, 0.032
1.3010	, 1.205	, 5.822	, 0.029
1.4010	, 1.461	, 6.551	, 0.030
1.5010	, 1.637	, 6.854	, 0.029
1.6010	, 1.720	, 6.749	, 0.027
1.7010	, 1.775	, 6.555	, 0.025
1.8010	, 1.746	, 6.092	, 0.022
1.9010	, 1.899	, 6.278	, 0.021
2.0010	, 1.897	, 5.957	, 0.019
2.1010	, 1.760	, 5.262	, 0.016
2.2010	, 1.736	, 4.956	, 0.014
2.3010	, 1.657	, 4.525	, 0.013
2.4010	, 1.521	, 3.980	, 0.011
2.5010	, 1.367	, 3.434	, 0.009
2.6010	, 1.324	, 3.198	, 0.008
2.7010	, 1.282	, 2.983	, 0.007
2.8010	, 1.232	, 2.763	, 0.006
2.9010	, 1.178	, 2.552	, 0.006
3.0010	, 1.123	, 2.352	, 0.005
3.1010	, 1.072	, 2.172	, 0.004
3.2010	, 1.026	, 2.014	, 0.004
3.3010	, 0.982	, 1.869	, 0.004
3.4010	, 0.941	, 1.738	, 0.003
3.5010	, 0.903	, 1.620	, 0.003
3.6010	, 0.868	, 1.514	, 0.003
3.7010	, 0.853	, 1.447	, 0.003
3.8010	, 0.848	, 1.402	, 0.002
3.9010	, 0.843	, 1.357	, 0.002
4.0010	, 0.836	, 1.314	, 0.002
4.1010	, 0.830	, 1.272	, 0.002
4.2010	, 0.823	, 1.231	, 0.002
4.3010	, 0.816	, 1.193	, 0.002
4.4010	, 0.810	, 1.156	, 0.002
4.5010	, 0.803	, 1.120	, 0.002
4.6010	, 0.796	, 1.087	, 0.002
4.7010	, 0.789	, 1.055	, 0.001
4.8010	, 0.783	, 1.024	, 0.001
4.9010	, 0.776	, 0.995	, 0.001
5.0010	, 0.770	, 0.968	, 0.001
5.1010	, 0.764	, 0.942	, 0.001
5.2010	, 0.759	, 0.917	, 0.001
5.3010	, 0.753	, 0.893	, 0.001
5.4010	, 0.748	, 0.870	, 0.001
5.5010	, 0.743	, 0.849	, 0.001
5.6010	, 0.739	, 0.829	, 0.001
5.7010	, 0.734	, 0.809	, 0.001
5.8010	, 0.730	, 0.791	, 0.001
5.9010	, 0.726	, 0.773	, 0.001
