 
PGA:,  0.47 g
PGV:,  19.74 cm/s
PGD:,  2.43 cm
Arias Intensity:,  195.18 cm/s
Significant duration:,   6.62 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.074	, 0.472
0.1010	, 0.197	, 12.252	, 0.777
0.2010	, 0.773	, 24.157	, 0.770
0.3010	, 5.015	, 104.690	, 2.228
0.4010	, 3.457	, 54.166	, 0.865
0.5010	, 3.637	, 45.610	, 0.583
0.6010	, 3.767	, 39.379	, 0.420
0.7010	, 2.924	, 26.211	, 0.239
0.8010	, 2.508	, 19.672	, 0.157
0.9010	, 2.035	, 14.192	, 0.101
1.0010	, 1.814	, 11.388	, 0.073
1.1010	, 1.660	, 9.472	, 0.055
1.2010	, 1.867	, 9.766	, 0.052
1.3010	, 2.014	, 9.727	, 0.048
1.4010	, 2.082	, 9.336	, 0.043
1.5010	, 2.095	, 8.770	, 0.037
1.6010	, 2.075	, 8.143	, 0.033
1.7010	, 2.013	, 7.435	, 0.028
1.8010	, 1.914	, 6.677	, 0.024
1.9010	, 1.904	, 6.292	, 0.021
2.0010	, 1.940	, 6.092	, 0.019
2.1010	, 1.981	, 5.924	, 0.018
2.2010	, 2.167	, 6.187	, 0.018
2.3010	, 2.278	, 6.221	, 0.017
2.4010	, 2.401	, 6.284	, 0.017
2.5010	, 2.613	, 6.564	, 0.017
2.6010	, 2.798	, 6.758	, 0.017
2.7010	, 2.935	, 6.828	, 0.016
2.8010	, 3.004	, 6.738	, 0.015
2.9010	, 3.084	, 6.680	, 0.015
3.0010	, 3.110	, 6.511	, 0.014
3.1010	, 3.107	, 6.296	, 0.013
3.2010	, 3.132	, 6.147	, 0.012
3.3010	, 3.030	, 5.768	, 0.011
3.4010	, 2.929	, 5.410	, 0.010
3.5010	, 2.905	, 5.214	, 0.010
3.6010	, 2.819	, 4.918	, 0.009
3.7010	, 2.682	, 4.553	, 0.008
3.8010	, 2.509	, 4.148	, 0.007
3.9010	, 2.314	, 3.728	, 0.006
4.0010	, 2.324	, 3.650	, 0.006
4.1010	, 2.410	, 3.692	, 0.006
4.2010	, 2.484	, 3.715	, 0.006
4.3010	, 2.548	, 3.722	, 0.006
4.4010	, 2.601	, 3.714	, 0.005
4.5010	, 2.646	, 3.693	, 0.005
4.6010	, 2.682	, 3.663	, 0.005
4.7010	, 2.711	, 3.624	, 0.005
4.8010	, 2.734	, 3.578	, 0.005
4.9010	, 2.750	, 3.526	, 0.005
5.0010	, 2.761	, 3.469	, 0.004
5.1010	, 2.768	, 3.409	, 0.004
5.2010	, 2.770	, 3.347	, 0.004
5.3010	, 2.769	, 3.282	, 0.004
5.4010	, 2.765	, 3.217	, 0.004
