 
PGA:,  0.14 g
PGV:,  11.30 cm/s
PGD:,  3.03 cm
Arias Intensity:,  18.92 cm/s
Significant duration:,  11.39 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.022	, 0.140
0.1010	, 0.079	, 4.931	, 0.313
0.2010	, 0.334	, 10.427	, 0.332
0.3010	, 0.941	, 19.643	, 0.418
0.4010	, 1.393	, 21.828	, 0.349
0.5010	, 0.990	, 12.413	, 0.159
0.6010	, 1.227	, 12.824	, 0.137
0.7010	, 1.556	, 13.949	, 0.127
0.8010	, 2.208	, 17.316	, 0.138
0.9010	, 2.883	, 20.108	, 0.143
1.0010	, 3.596	, 22.570	, 0.144
1.1010	, 3.874	, 22.110	, 0.129
1.2010	, 3.853	, 20.155	, 0.107
1.3010	, 3.542	, 17.106	, 0.084
1.4010	, 2.991	, 13.414	, 0.061
1.5010	, 2.717	, 11.373	, 0.049
1.6010	, 2.761	, 10.835	, 0.043
1.7010	, 2.610	, 9.642	, 0.036
1.8010	, 2.390	, 8.338	, 0.030
1.9010	, 2.504	, 8.277	, 0.028
2.0010	, 2.702	, 8.485	, 0.027
2.1010	, 2.945	, 8.808	, 0.027
2.2010	, 3.207	, 9.154	, 0.027
2.3010	, 3.423	, 9.348	, 0.026
2.4010	, 3.552	, 9.294	, 0.025
2.5010	, 4.094	, 10.285	, 0.026
2.6010	, 4.889	, 11.810	, 0.029
2.7010	, 5.270	, 12.259	, 0.029
2.8010	, 5.679	, 12.739	, 0.029
2.9010	, 5.827	, 12.620	, 0.028
3.0010	, 5.669	, 11.868	, 0.025
3.1010	, 5.588	, 11.323	, 0.023
3.2010	, 5.574	, 10.941	, 0.022
3.3010	, 5.326	, 10.137	, 0.020
3.4010	, 4.910	, 9.072	, 0.017
3.5010	, 4.876	, 8.750	, 0.016
3.6010	, 4.872	, 8.501	, 0.015
3.7010	, 4.876	, 8.278	, 0.014
3.8010	, 4.837	, 7.995	, 0.013
