 
PGA:,  0.13 g
PGV:,  12.70 cm/s
PGD:,  5.21 cm
Arias Intensity:,  26.53 cm/s
Significant duration:,  15.24 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.020	, 0.131
0.1010	, 0.085	, 5.312	, 0.337
0.2010	, 0.338	, 10.569	, 0.337
0.3010	, 0.543	, 11.342	, 0.241
0.4010	, 1.233	, 19.327	, 0.309
0.5010	, 1.366	, 17.138	, 0.219
0.6010	, 1.846	, 19.297	, 0.206
0.7010	, 2.370	, 21.246	, 0.194
0.8010	, 2.584	, 20.268	, 0.162
0.9010	, 2.041	, 14.235	, 0.101
1.0010	, 2.473	, 15.523	, 0.099
1.1010	, 3.395	, 19.376	, 0.113
1.2010	, 3.753	, 19.632	, 0.105
1.3010	, 4.499	, 21.727	, 0.107
1.4010	, 3.966	, 17.786	, 0.081
1.5010	, 4.803	, 20.106	, 0.086
1.6010	, 5.139	, 20.170	, 0.081
1.7010	, 7.376	, 27.246	, 0.103
1.8010	, 9.072	, 31.649	, 0.113
1.9010	, 8.629	, 28.520	, 0.096
2.0010	, 8.060	, 25.310	, 0.081
2.1010	, 7.547	, 22.571	, 0.069
2.2010	, 8.737	, 24.942	, 0.073
2.3010	, 9.790	, 26.734	, 0.074
2.4010	, 10.348	, 27.080	, 0.072
2.5010	, 9.723	, 24.427	, 0.063
2.6010	, 8.671	, 20.946	, 0.052
2.7010	, 8.972	, 20.872	, 0.049
2.8010	, 8.972	, 20.127	, 0.046
2.9010	, 9.552	, 20.688	, 0.046
3.0010	, 10.755	, 22.518	, 0.048
3.1010	, 11.770	, 23.849	, 0.049
3.2010	, 11.946	, 23.449	, 0.047
3.3010	, 14.730	, 28.037	, 0.054
3.4010	, 16.510	, 30.502	, 0.057
3.5010	, 16.814	, 30.175	, 0.055
3.6010	, 16.080	, 28.058	, 0.050
3.7010	, 15.732	, 26.709	, 0.046
3.8010	, 15.690	, 25.937	, 0.044
3.9010	, 15.901	, 25.612	, 0.042
4.0010	, 16.101	, 25.285	, 0.040
4.1010	, 16.162	, 24.761	, 0.039
4.2010	, 18.338	, 27.427	, 0.042
4.3010	, 20.023	, 29.251	, 0.044
4.4010	, 20.633	, 29.457	, 0.043
4.5010	, 20.189	, 28.183	, 0.040
4.6010	, 19.442	, 26.551	, 0.037
4.7010	, 18.298	, 24.457	, 0.033
4.8010	, 16.559	, 21.671	, 0.029
4.9010	, 14.600	, 18.717	, 0.024
5.0010	, 12.896	, 16.203	, 0.021
5.1010	, 11.814	, 14.552	, 0.018
5.2010	, 11.601	, 14.015	, 0.017
5.3010	, 11.342	, 13.443	, 0.016
5.4010	, 11.044	, 12.848	, 0.015
5.5010	, 10.718	, 12.242	, 0.014
5.6010	, 10.371	, 11.634	, 0.013
5.7010	, 10.011	, 11.033	, 0.012
5.8010	, 9.645	, 10.447	, 0.012
5.9010	, 9.279	, 9.880	, 0.011
6.0010	, 9.335	, 9.774	, 0.010
6.1010	, 9.484	, 9.767	, 0.010
6.2010	, 9.545	, 9.671	, 0.010
6.3010	, 9.540	, 9.513	, 0.010
6.4010	, 9.497	, 9.322	, 0.009
6.5010	, 9.438	, 9.122	, 0.009
6.6010	, 9.382	, 8.930	, 0.009
6.7010	, 9.338	, 8.756	, 0.008
6.8010	, 9.310	, 8.601	, 0.008
6.9010	, 9.298	, 8.466	, 0.008
7.0010	, 9.297	, 8.344	, 0.008
7.1010	, 9.301	, 8.229	, 0.007
7.2010	, 9.300	, 8.115	, 0.007
7.3010	, 9.287	, 7.992	, 0.007
7.4010	, 9.253	, 7.856	, 0.007
7.5010	, 9.193	, 7.700	, 0.007
7.6010	, 9.102	, 7.524	, 0.006
7.7010	, 8.977	, 7.324	, 0.006
