 
PGA:,  0.10 g
PGV:,  11.08 cm/s
PGD:,  15.51 cm
Arias Intensity:,  19.21 cm/s
Significant duration:,  21.20 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.016	, 0.101
0.1010	, 0.048	, 3.005	, 0.191
0.2010	, 0.295	, 9.210	, 0.293
0.3010	, 0.408	, 8.523	, 0.181
0.4010	, 0.790	, 12.381	, 0.198
0.5010	, 1.406	, 17.628	, 0.225
0.6010	, 1.812	, 18.948	, 0.202
0.7010	, 2.813	, 25.213	, 0.230
0.8010	, 2.223	, 17.437	, 0.139
0.9010	, 2.593	, 18.080	, 0.129
1.0010	, 3.334	, 20.925	, 0.134
1.1010	, 3.905	, 22.286	, 0.130
1.2010	, 5.066	, 26.503	, 0.141
1.3010	, 4.900	, 23.664	, 0.116
1.4010	, 4.994	, 22.397	, 0.102
1.5010	, 5.826	, 24.388	, 0.104
1.6010	, 7.169	, 28.136	, 0.113
1.7010	, 8.180	, 30.214	, 0.114
1.8010	, 7.190	, 25.083	, 0.089
1.9010	, 5.504	, 18.191	, 0.061
2.0010	, 4.359	, 13.688	, 0.044
2.1010	, 3.796	, 11.351	, 0.035
2.2010	, 3.675	, 10.490	, 0.031
2.3010	, 3.386	, 9.247	, 0.026
2.4010	, 3.537	, 9.255	, 0.025
2.5010	, 4.124	, 10.360	, 0.027
2.6010	, 4.424	, 10.687	, 0.026
2.7010	, 4.049	, 9.418	, 0.022
2.8010	, 3.428	, 7.691	, 0.018
2.9010	, 4.242	, 9.188	, 0.020
3.0010	, 5.013	, 10.497	, 0.022
3.1010	, 5.627	, 11.402	, 0.024
3.2010	, 6.054	, 11.884	, 0.024
3.3010	, 6.293	, 11.978	, 0.023
3.4010	, 6.370	, 11.768	, 0.022
3.5010	, 6.329	, 11.359	, 0.021
3.6010	, 6.591	, 11.500	, 0.020
3.7010	, 7.478	, 12.695	, 0.022
3.8010	, 7.860	, 12.992	, 0.022
3.9010	, 7.949	, 12.803	, 0.021
4.0010	, 7.993	, 12.552	, 0.020
4.1010	, 8.004	, 12.262	, 0.019
4.2010	, 8.049	, 12.039	, 0.018
4.3010	, 7.858	, 11.480	, 0.017
4.4010	, 7.427	, 10.603	, 0.015
4.5010	, 6.865	, 9.583	, 0.014
4.6010	, 6.322	, 8.633	, 0.012
4.7010	, 6.065	, 8.106	, 0.011
4.8010	, 5.796	, 7.586	, 0.010
4.9010	, 5.477	, 7.021	, 0.009
5.0010	, 5.133	, 6.450	, 0.008
5.1010	, 4.784	, 5.893	, 0.007
5.2010	, 4.452	, 5.379	, 0.007
5.3010	, 4.151	, 4.921	, 0.006
5.4010	, 3.893	, 4.528	, 0.005
5.5010	, 3.809	, 4.351	, 0.005
5.6010	, 3.764	, 4.223	, 0.005
5.7010	, 3.703	, 4.081	, 0.005
5.8010	, 3.631	, 3.933	, 0.004
5.9010	, 3.548	, 3.778	, 0.004
6.0010	, 3.458	, 3.620	, 0.004
6.1010	, 3.362	, 3.462	, 0.004
6.2010	, 3.298	, 3.342	, 0.003
6.3010	, 3.308	, 3.299	, 0.003
6.4010	, 3.313	, 3.252	, 0.003
6.5010	, 3.309	, 3.199	, 0.003
6.6010	, 3.294	, 3.135	, 0.003
6.7010	, 3.265	, 3.062	, 0.003
6.8010	, 3.222	, 2.977	, 0.003
6.9010	, 3.167	, 2.883	, 0.003
7.0010	, 3.099	, 2.781	, 0.003
7.1010	, 3.022	, 2.674	, 0.002
7.2010	, 2.938	, 2.563	, 0.002
7.3010	, 2.849	, 2.451	, 0.002
7.4010	, 2.757	, 2.341	, 0.002
7.5010	, 2.666	, 2.233	, 0.002
7.6010	, 2.644	, 2.186	, 0.002
7.7010	, 2.641	, 2.154	, 0.002
7.8010	, 2.628	, 2.117	, 0.002
7.9010	, 2.608	, 2.074	, 0.002
8.0010	, 2.580	, 2.026	, 0.002
8.1010	, 2.564	, 1.988	, 0.002
8.2010	, 2.582	, 1.978	, 0.002
8.3010	, 2.596	, 1.965	, 0.002
8.4010	, 2.605	, 1.948	, 0.001
8.5010	, 2.608	, 1.928	, 0.001
8.6010	, 2.628	, 1.920	, 0.001
8.7010	, 2.659	, 1.920	, 0.001
8.8010	, 2.689	, 1.920	, 0.001
8.9010	, 2.720	, 1.920	, 0.001
9.0010	, 2.750	, 1.920	, 0.001
9.1010	, 2.779	, 1.919	, 0.001
9.2010	, 2.807	, 1.917	, 0.001
9.3010	, 2.834	, 1.914	, 0.001
9.4010	, 2.859	, 1.911	, 0.001
9.5010	, 2.882	, 1.906	, 0.001
9.6010	, 2.903	, 1.900	, 0.001
9.7010	, 2.923	, 1.893	, 0.001
9.8010	, 2.941	, 1.885	, 0.001
9.9010	, 2.956	, 1.876	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0025617	0.0000000	0.0000000	0.0000000
0.020	0.0022999	0.0476924	0.0004769	0.0000095
0.040	0.0011782	0.0818123	0.0017720	0.0000149
0.060	0.0013468	0.1065821	0.0036559	0.0000174
0.080	-0.0033031	0.0873906	0.0055956	0.0000276
0.100	-0.0040107	0.0156423	0.0066260	0.0000493
0.120	-0.0024518	-0.0477552	0.0063048	0.0000670
0.140	-0.0007798	-0.0794573	0.0050327	0.0000723
0.160	-0.0011038	-0.0979355	0.0032588	0.0000738
0.180	-0.0017533	-0.1259640	0.0010198	0.0000772
0.200	0.0022087	-0.1214968	-0.0014548	0.0000836
0.220	0.0019121	-0.0810717	-0.0034805	0.0000905
0.240	0.0013647	-0.0489262	-0.0047805	0.0000949
0.260	-0.0023387	-0.0584810	-0.0058546	0.0001008
0.280	-0.0013245	-0.0944167	-0.0073835	0.0001066
0.300	-0.0008642	-0.1158880	-0.0094866	0.0001086
0.320	-0.0030365	-0.1541543	-0.0121870	0.0001166
0.340	0.0014834	-0.1693909	-0.0154225	0.0001257
0.360	0.0016295	-0.1388537	-0.0185049	0.0001296
0.380	-0.0018352	-0.1408714	-0.0213021	0.0001345
0.400	-0.0026499	-0.1848698	-0.0245596	0.0001428
0.420	0.0020077	-0.1911696	-0.0283200	0.0001517
