 
PGA:,  0.09 g
PGV:,  5.88 cm/s
PGD:,  3.43 cm
Arias Intensity:,  12.95 cm/s
Significant duration:,  17.35 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.091
0.1010	, 0.046	, 2.856	, 0.181
0.2010	, 0.275	, 8.603	, 0.274
0.3010	, 0.550	, 11.478	, 0.244
0.4010	, 0.881	, 13.801	, 0.220
0.5010	, 1.161	, 14.557	, 0.186
0.6010	, 1.165	, 12.185	, 0.130
0.7010	, 1.662	, 14.899	, 0.136
0.8010	, 1.358	, 10.653	, 0.085
0.9010	, 1.484	, 10.349	, 0.074
1.0010	, 1.327	, 8.331	, 0.053
1.1010	, 1.617	, 9.226	, 0.054
1.2010	, 1.922	, 10.053	, 0.054
1.3010	, 2.346	, 11.329	, 0.056
1.4010	, 1.753	, 7.860	, 0.036
1.5010	, 2.064	, 8.638	, 0.037
1.6010	, 2.209	, 8.669	, 0.035
1.7010	, 2.330	, 8.605	, 0.032
1.8010	, 2.713	, 9.466	, 0.034
1.9010	, 3.083	, 10.189	, 0.034
2.0010	, 3.437	, 10.791	, 0.035
2.1010	, 3.493	, 10.446	, 0.032
2.2010	, 3.651	, 10.422	, 0.030
2.3010	, 3.908	, 10.670	, 0.030
2.4010	, 4.459	, 11.669	, 0.031
2.5010	, 4.770	, 11.984	, 0.031
2.6010	, 4.954	, 11.967	, 0.029
2.7010	, 4.984	, 11.594	, 0.027
2.8010	, 4.996	, 11.206	, 0.026
2.9010	, 4.951	, 10.723	, 0.024
3.0010	, 4.853	, 10.162	, 0.022
3.1010	, 4.718	, 9.559	, 0.020
3.2010	, 4.411	, 8.659	, 0.017
3.3010	, 4.114	, 7.830	, 0.015
3.4010	, 3.785	, 6.993	, 0.013
3.5010	, 3.506	, 6.293	, 0.012
3.6010	, 3.356	, 5.856	, 0.010
3.7010	, 3.480	, 5.908	, 0.010
3.8010	, 3.652	, 6.037	, 0.010
3.9010	, 3.771	, 6.075	, 0.010
4.0010	, 3.810	, 5.983	, 0.010
4.1010	, 3.775	, 5.784	, 0.009
4.2010	, 3.689	, 5.518	, 0.008
4.3010	, 3.574	, 5.222	, 0.008
4.4010	, 3.444	, 4.918	, 0.007
4.5010	, 3.350	, 4.677	, 0.007
4.6010	, 3.364	, 4.594	, 0.006
4.7010	, 3.366	, 4.499	, 0.006
4.8010	, 3.486	, 4.562	, 0.006
4.9010	, 3.578	, 4.587	, 0.006
5.0010	, 3.629	, 4.559	, 0.006
5.1010	, 3.632	, 4.474	, 0.006
5.2010	, 3.595	, 4.343	, 0.005
5.3010	, 3.542	, 4.198	, 0.005
5.4010	, 3.446	, 4.009	, 0.005
5.5010	, 3.355	, 3.832	, 0.004
5.6010	, 3.219	, 3.611	, 0.004
5.7010	, 3.043	, 3.354	, 0.004
5.8010	, 2.839	, 3.075	, 0.003
5.9010	, 2.693	, 2.868	, 0.003
6.0010	, 2.580	, 2.702	, 0.003
6.1010	, 2.504	, 2.579	, 0.003
6.2010	, 2.415	, 2.447	, 0.003
6.3010	, 2.307	, 2.300	, 0.002
6.4010	, 2.185	, 2.145	, 0.002
6.5010	, 2.056	, 1.987	, 0.002
6.6010	, 1.924	, 1.832	, 0.002
6.7010	, 1.794	, 1.682	, 0.002
6.8010	, 1.671	, 1.544	, 0.001
6.9010	, 1.628	, 1.482	, 0.001
7.0010	, 1.585	, 1.422	, 0.001
7.1010	, 1.536	, 1.359	, 0.001
7.2010	, 1.484	, 1.295	, 0.001
7.3010	, 1.484	, 1.278	, 0.001
7.4010	, 1.543	, 1.310	, 0.001
7.5010	, 1.596	, 1.337	, 0.001
7.6010	, 1.637	, 1.353	, 0.001
7.7010	, 1.684	, 1.374	, 0.001
7.8010	, 1.723	, 1.388	, 0.001
7.9010	, 1.754	, 1.395	, 0.001
8.0010	, 1.775	, 1.394	, 0.001
8.1010	, 1.786	, 1.385	, 0.001
8.2010	, 1.787	, 1.369	, 0.001
8.3010	, 1.778	, 1.346	, 0.001
8.4010	, 1.761	, 1.317	, 0.001
8.5010	, 1.736	, 1.283	, 0.001
8.6010	, 1.705	, 1.245	, 0.001
8.7010	, 1.668	, 1.205	, 0.001
8.8010	, 1.628	, 1.162	, 0.001
8.9010	, 1.587	, 1.120	, 0.001
9.0010	, 1.556	, 1.086	, 0.001
9.1010	, 1.522	, 1.051	, 0.001
9.2010	, 1.486	, 1.015	, 0.001
9.3010	, 1.448	, 0.978	, 0.001
9.4010	, 1.459	, 0.975	, 0.001
9.5010	, 1.471	, 0.973	, 0.001
9.6010	, 1.479	, 0.968	, 0.001
9.7010	, 1.484	, 0.961	, 0.001
9.8010	, 1.485	, 0.952	, 0.001
9.9010	, 1.483	, 0.941	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0004776	0.0000000	0.0000000	0.0000000
0.010	-0.0004801	-0.0046977	-0.0000235	0.0000003
0.020	-0.0004826	-0.0094200	-0.0000941	0.0000005
0.030	-0.0004851	-0.0141666	-0.0002120	0.0000008
0.040	-0.0004877	-0.0189381	-0.0003775	0.0000011
0.050	-0.0004903	-0.0237351	-0.0005909	0.0000014
0.060	-0.0004950	-0.0285680	-0.0008524	0.0000017
0.070	-0.0005054	-0.0334749	-0.0011626	0.0000020
0.080	-0.0005129	-0.0384696	-0.0015224	0.0000023
0.090	-0.0005155	-0.0435138	-0.0019323	0.0000026
0.100	-0.0005186	-0.0485863	-0.0023928	0.0000029
0.110	-0.0005228	-0.0536948	-0.0029042	0.0000032
0.120	-0.0005268	-0.0588433	-0.0034669	0.0000036
0.130	-0.0005306	-0.0640297	-0.0040812	0.0000039
0.140	-0.0005346	-0.0692543	-0.0047477	0.0000042
0.150	-0.0005401	-0.0745257	-0.0054666	0.0000046
0.160	-0.0005557	-0.0799006	-0.0062387	0.0000049
0.170	-0.0005699	-0.0854215	-0.0070653	0.0000053
0.180	-0.0005016	-0.0906771	-0.0079458	0.0000057
0.190	-0.0003083	-0.0946496	-0.0088724	0.0000059
0.200	-0.0002308	-0.0972938	-0.0098321	0.0000060
0.210	-0.0002798	-0.0997982	-0.0108176	0.0000060
0.220	-0.0004298	-0.1032791	-0.0118330	0.0000062
0.230	-0.0003667	-0.1071860	-0.0128853	0.0000064
0.240	-0.0002188	-0.1100577	-0.0139715	0.0000065
0.250	-0.0002078	-0.1121500	-0.0150826	0.0000065
0.260	-0.0002263	-0.1142793	-0.0162147	0.0000066
0.270	-0.0002125	-0.1164316	-0.0173683	0.0000067
0.280	-0.0002060	-0.1184844	-0.0185428	0.0000067
0.290	-0.0002061	-0.1205058	-0.0197378	0.0000068
0.300	-0.0002051	-0.1225227	-0.0209529	0.0000068
0.310	-0.0003876	-0.1254302	-0.0221927	0.0000069
0.320	-0.0006887	-0.1307094	-0.0234734	0.0000073
0.330	-0.0007496	-0.1377643	-0.0248158	0.0000079
0.340	-0.0007056	-0.1449019	-0.0262291	0.0000085
0.350	-0.0007118	-0.1518539	-0.0277129	0.0000091
0.360	-0.0005478	-0.1580323	-0.0292623	0.0000096
