 
PGA:,  0.35 g
PGV:,  40.95 cm/s
PGD:,  10.74 cm
Arias Intensity:,  152.20 cm/s
Significant duration:,  12.98 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.054	, 0.345
0.1010	, 0.153	, 9.523	, 0.604
0.2010	, 0.651	, 20.352	, 0.649
0.3010	, 1.807	, 37.725	, 0.803
0.4010	, 2.395	, 37.524	, 0.599
0.5010	, 3.791	, 47.547	, 0.608
0.6010	, 5.460	, 57.082	, 0.608
0.7010	, 8.568	, 76.794	, 0.702
0.8010	, 11.226	, 88.062	, 0.704
0.9010	, 12.477	, 87.007	, 0.618
1.0010	, 13.033	, 81.804	, 0.523
1.1010	, 13.514	, 77.123	, 0.449
1.2010	, 13.821	, 72.306	, 0.386
1.3010	, 13.519	, 65.291	, 0.321
1.4010	, 12.837	, 57.571	, 0.263
1.5010	, 15.075	, 63.102	, 0.269
1.6010	, 12.072	, 47.377	, 0.190
1.7010	, 11.394	, 42.088	, 0.158
1.8010	, 11.171	, 38.972	, 0.139
1.9010	, 13.173	, 43.539	, 0.147
2.0010	, 16.375	, 51.419	, 0.165
2.1010	, 15.874	, 47.472	, 0.145
2.2010	, 15.895	, 45.376	, 0.132
2.3010	, 15.502	, 42.331	, 0.118
2.4010	, 16.520	, 43.230	, 0.115
2.5010	, 16.335	, 41.038	, 0.105
2.6010	, 14.114	, 34.095	, 0.084
2.7010	, 13.937	, 32.420	, 0.077
2.8010	, 14.060	, 31.540	, 0.072
2.9010	, 14.100	, 30.538	, 0.067
3.0010	, 14.069	, 29.457	, 0.063
3.1010	, 14.001	, 28.369	, 0.059
3.2010	, 13.878	, 27.242	, 0.055
3.3010	, 13.710	, 26.096	, 0.051
3.4010	, 13.506	, 24.953	, 0.047
3.5010	, 13.291	, 23.853	, 0.044
3.6010	, 14.703	, 25.654	, 0.046
3.7010	, 17.295	, 29.362	, 0.051
3.8010	, 19.271	, 31.855	, 0.054
3.9010	, 20.217	, 32.563	, 0.053
4.0010	, 20.035	, 31.463	, 0.050
4.1010	, 20.673	, 31.673	, 0.049
4.2010	, 21.183	, 31.682	, 0.048
4.3010	, 20.836	, 30.439	, 0.045
4.4010	, 19.843	, 28.329	, 0.041
4.5010	, 18.323	, 25.578	, 0.036
4.6010	, 16.383	, 22.373	, 0.031
4.7010	, 14.871	, 19.876	, 0.027
4.8010	, 15.183	, 19.871	, 0.027
4.9010	, 15.435	, 19.789	, 0.026
5.0010	, 15.603	, 19.603	, 0.025
5.1010	, 15.686	, 19.321	, 0.024
5.2010	, 15.681	, 18.944	, 0.023
5.3010	, 15.603	, 18.493	, 0.022
5.4010	, 15.455	, 17.980	, 0.021
5.5010	, 15.248	, 17.416	, 0.020
5.6010	, 14.990	, 16.815	, 0.019
5.7010	, 14.683	, 16.182	, 0.018
5.8010	, 14.338	, 15.529	, 0.017
5.9010	, 14.007	, 14.914	, 0.016
6.0010	, 14.701	, 15.392	, 0.016
6.1010	, 15.701	, 16.170	, 0.017
6.2010	, 16.535	, 16.754	, 0.017
6.3010	, 17.174	, 17.126	, 0.017
6.4010	, 17.604	, 17.280	, 0.017
6.5010	, 17.828	, 17.230	, 0.017
6.6010	, 17.847	, 16.988	, 0.016
6.7010	, 17.671	, 16.569	, 0.016
6.8010	, 17.317	, 15.999	, 0.015
6.9010	, 16.859	, 15.349	, 0.014
7.0010	, 16.380	, 14.701	, 0.013
7.1010	, 15.790	, 13.971	, 0.013
7.2010	, 15.158	, 13.226	, 0.012
7.3010	, 15.446	, 13.293	, 0.012
7.4010	, 15.798	, 13.412	, 0.012
7.5010	, 16.052	, 13.446	, 0.011
7.6010	, 16.222	, 13.409	, 0.011
7.7010	, 16.312	, 13.308	, 0.011
7.8010	, 16.331	, 13.154	, 0.011
