 
PGA:,  0.10 g
PGV:,  4.23 cm/s
PGD:,  1.33 cm
Arias Intensity:,  11.05 cm/s
Significant duration:,  13.23 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.015	, 0.097
0.1010	, 0.053	, 3.313	, 0.210
0.2010	, 0.380	, 11.866	, 0.378
0.3010	, 0.499	, 10.420	, 0.222
0.4010	, 0.598	, 9.371	, 0.150
0.5010	, 0.621	, 7.794	, 0.100
0.6010	, 0.576	, 6.025	, 0.064
0.7010	, 0.960	, 8.604	, 0.079
0.8010	, 1.186	, 9.306	, 0.074
0.9010	, 0.776	, 5.413	, 0.038
1.0010	, 1.098	, 6.890	, 0.044
1.1010	, 1.769	, 10.096	, 0.059
1.2010	, 2.461	, 12.876	, 0.069
1.3010	, 2.290	, 11.059	, 0.054
1.4010	, 2.229	, 9.994	, 0.046
1.5010	, 2.326	, 9.737	, 0.042
1.6010	, 2.848	, 11.178	, 0.045
1.7010	, 2.637	, 9.739	, 0.037
1.8010	, 2.370	, 8.268	, 0.029
1.9010	, 2.279	, 7.533	, 0.025
2.0010	, 2.287	, 7.182	, 0.023
2.1010	, 2.033	, 6.080	, 0.019
2.2010	, 1.862	, 5.316	, 0.015
2.3010	, 1.658	, 4.528	, 0.013
2.4010	, 1.764	, 4.615	, 0.012
2.5010	, 1.931	, 4.851	, 0.012
2.6010	, 2.208	, 5.335	, 0.013
2.7010	, 2.492	, 5.797	, 0.014
2.8010	, 2.692	, 6.039	, 0.014
2.9010	, 2.958	, 6.406	, 0.014
3.0010	, 3.272	, 6.850	, 0.015
3.1010	, 3.511	, 7.114	, 0.015
3.2010	, 3.691	, 7.245	, 0.014
3.3010	, 4.023	, 7.657	, 0.015
3.4010	, 4.441	, 8.205	, 0.015
3.5010	, 4.772	, 8.564	, 0.016
3.6010	, 4.859	, 8.479	, 0.015
3.7010	, 4.730	, 8.030	, 0.014
3.8010	, 4.577	, 7.566	, 0.013
3.9010	, 4.556	, 7.339	, 0.012
4.0010	, 4.610	, 7.239	, 0.012
4.1010	, 4.685	, 7.178	, 0.011
4.2010	, 4.778	, 7.147	, 0.011
4.3010	, 4.835	, 7.064	, 0.011
4.4010	, 4.988	, 7.122	, 0.010
4.5010	, 5.150	, 7.189	, 0.010
4.6010	, 5.262	, 7.186	, 0.010
4.7010	, 5.279	, 7.056	, 0.010
4.8010	, 5.166	, 6.761	, 0.009
4.9010	, 4.917	, 6.303	, 0.008
5.0010	, 4.606	, 5.787	, 0.007
5.1010	, 4.344	, 5.351	, 0.007
5.2010	, 4.166	, 5.032	, 0.006
5.3010	, 3.929	, 4.657	, 0.006
5.4010	, 3.647	, 4.243	, 0.005
5.5010	, 3.407	, 3.891	, 0.005
5.6010	, 3.181	, 3.568	, 0.004
5.7010	, 2.968	, 3.271	, 0.004
5.8010	, 2.786	, 3.018	, 0.003
5.9010	, 2.648	, 2.819	, 0.003
6.0010	, 2.554	, 2.674	, 0.003
6.1010	, 2.498	, 2.572	, 0.003
6.2010	, 2.469	, 2.502	, 0.003
6.3010	, 2.453	, 2.446	, 0.002
6.4010	, 2.436	, 2.391	, 0.002
6.5010	, 2.406	, 2.326	, 0.002
6.6010	, 2.356	, 2.243	, 0.002
6.7010	, 2.281	, 2.139	, 0.002
6.8010	, 2.180	, 2.014	, 0.002
6.9010	, 2.139	, 1.947	, 0.002
7.0010	, 2.203	, 1.977	, 0.002
7.1010	, 2.248	, 1.989	, 0.002
7.2010	, 2.271	, 1.982	, 0.002
7.3010	, 2.269	, 1.953	, 0.002
7.4010	, 2.242	, 1.903	, 0.002
7.5010	, 2.188	, 1.833	, 0.002
7.6010	, 2.111	, 1.745	, 0.001
7.7010	, 2.040	, 1.665	, 0.001
7.8010	, 2.122	, 1.709	, 0.001
7.9010	, 2.186	, 1.738	, 0.001
8.0010	, 2.231	, 1.752	, 0.001
8.1010	, 2.258	, 1.751	, 0.001
8.2010	, 2.266	, 1.736	, 0.001
8.3010	, 2.326	, 1.760	, 0.001
8.4010	, 2.423	, 1.812	, 0.001
8.5010	, 2.500	, 1.848	, 0.001
8.6010	, 2.556	, 1.868	, 0.001
8.7010	, 2.592	, 1.872	, 0.001
8.8010	, 2.615	, 1.867	, 0.001
8.9010	, 2.619	, 1.849	, 0.001
9.0010	, 2.605	, 1.819	, 0.001
9.1010	, 2.575	, 1.778	, 0.001
9.2010	, 2.528	, 1.726	, 0.001
9.3010	, 2.466	, 1.666	, 0.001
9.4010	, 2.393	, 1.599	, 0.001
9.5010	, 2.310	, 1.527	, 0.001
9.6010	, 2.287	, 1.497	, 0.001
9.7010	, 2.316	, 1.500	, 0.001
9.8010	, 2.332	, 1.495	, 0.001
9.9010	, 2.336	, 1.482	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000747	0.0000000	0.0000000	0.0000000
0.010	-0.0000892	-0.0008040	-0.0000040	0.0000000
0.020	-0.0001095	-0.0017787	-0.0000169	0.0000000
0.030	-0.0001089	-0.0028499	-0.0000401	0.0000000
0.040	-0.0000948	-0.0038492	-0.0000736	0.0000001
0.050	-0.0000820	-0.0047164	-0.0001164	0.0000001
0.060	-0.0000847	-0.0055339	-0.0001677	0.0000001
0.070	-0.0000936	-0.0064083	-0.0002274	0.0000001
0.080	-0.0000889	-0.0073032	-0.0002959	0.0000001
0.090	0.0000052	-0.0077135	-0.0003710	0.0000001
0.100	0.0000864	-0.0072638	-0.0004459	0.0000001
0.110	0.0000724	-0.0064845	-0.0005146	0.0000001
0.120	-0.0000014	-0.0061360	-0.0005777	0.0000001
0.130	-0.0000663	-0.0064682	-0.0006408	0.0000001
0.140	-0.0001224	-0.0073938	-0.0007101	0.0000001
0.150	-0.0001232	-0.0085983	-0.0007900	0.0000002
0.160	-0.0001449	-0.0099130	-0.0008826	0.0000002
0.170	-0.0001597	-0.0114066	-0.0009892	0.0000002
0.180	-0.0001225	-0.0127908	-0.0011102	0.0000002
0.190	-0.0000755	-0.0137623	-0.0012429	0.0000003
0.200	-0.0000348	-0.0143034	-0.0013833	0.0000003
0.210	-0.0000243	-0.0145931	-0.0015277	0.0000003
0.220	0.0000817	-0.0143114	-0.0016723	0.0000003
0.230	0.0001432	-0.0132080	-0.0018099	0.0000003
0.240	0.0001234	-0.0119001	-0.0019354	0.0000003
0.250	0.0000049	-0.0112706	-0.0020513	0.0000003
0.260	-0.0001681	-0.0120714	-0.0021680	0.0000003
0.270	-0.0003014	-0.0143745	-0.0023002	0.0000004
0.280	-0.0003285	-0.0174643	-0.0024594	0.0000006
0.290	-0.0001402	-0.0197634	-0.0026455	0.0000007
0.300	0.0001319	-0.0198042	-0.0028434	0.0000007
0.310	0.0002375	-0.0179923	-0.0030324	0.0000007
0.320	0.0003409	-0.0151551	-0.0031981	0.0000009
0.330	0.0003298	-0.0118656	-0.0033332	0.0000010
0.340	0.0001229	-0.0096453	-0.0034407	0.0000011
0.350	-0.0001641	-0.0098472	-0.0035382	0.0000011
0.360	-0.0002731	-0.0119919	-0.0036474	0.0000012
0.370	-0.0001852	-0.0142402	-0.0037786	0.0000013
0.380	-0.0001622	-0.0159446	-0.0039295	0.0000013
0.390	-0.0001919	-0.0176819	-0.0040976	0.0000014
0.400	-0.0002008	-0.0196081	-0.0042841	0.0000014
0.410	-0.0001780	-0.0214660	-0.0044894	0.0000015
0.420	0.0000124	-0.0222783	-0.0047082	0.0000015
0.430	-0.0000319	-0.0223742	-0.0049314	0.0000015
0.440	-0.0002551	-0.0237819	-0.0051622	0.0000015
0.450	-0.0004366	-0.0271743	-0.0054170	0.0000017
0.460	-0.0005172	-0.0318524	-0.0057121	0.0000020
0.470	-0.0003806	-0.0362561	-0.0060527	0.0000023
0.480	0.0001659	-0.0373090	-0.0064205	0.0000024
0.490	0.0006717	-0.0332004	-0.0067730	0.0000028
0.500	0.0008399	-0.0257858	-0.0070680	0.0000036
0.510	0.0007101	-0.0181829	-0.0072878	0.0000044
