 
PGA:,  0.10 g
PGV:,  7.02 cm/s
PGD:,  2.24 cm
Arias Intensity:,  18.73 cm/s
Significant duration:,  16.13 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.016	, 0.102
0.1010	, 0.044	, 2.743	, 0.174
0.2010	, 0.244	, 7.633	, 0.243
0.3010	, 0.380	, 7.925	, 0.169
0.4010	, 1.186	, 18.577	, 0.297
0.5010	, 1.324	, 16.604	, 0.212
0.6010	, 1.439	, 15.040	, 0.160
0.7010	, 2.020	, 18.104	, 0.165
0.8010	, 2.095	, 16.437	, 0.131
0.9010	, 2.645	, 18.443	, 0.131
1.0010	, 2.699	, 16.940	, 0.108
1.1010	, 3.369	, 19.226	, 0.112
1.2010	, 2.484	, 12.995	, 0.069
1.3010	, 2.400	, 11.590	, 0.057
1.4010	, 2.423	, 10.865	, 0.050
1.5010	, 2.258	, 9.452	, 0.040
1.6010	, 2.232	, 8.758	, 0.035
1.7010	, 3.159	, 11.669	, 0.044
1.8010	, 3.685	, 12.857	, 0.046
1.9010	, 3.571	, 11.802	, 0.040
2.0010	, 3.585	, 11.256	, 0.036
2.1010	, 3.509	, 10.494	, 0.032
2.2010	, 3.562	, 10.169	, 0.030
2.3010	, 3.542	, 9.671	, 0.027
2.4010	, 3.360	, 8.792	, 0.023
2.5010	, 3.165	, 7.951	, 0.020
2.6010	, 3.069	, 7.413	, 0.018
2.7010	, 3.047	, 7.089	, 0.017
2.8010	, 3.036	, 6.811	, 0.016
2.9010	, 2.998	, 6.493	, 0.014
3.0010	, 2.929	, 6.132	, 0.013
3.1010	, 2.839	, 5.753	, 0.012
3.2010	, 2.739	, 5.376	, 0.011
3.3010	, 2.632	, 5.009	, 0.010
3.4010	, 2.520	, 4.656	, 0.009
3.5010	, 2.405	, 4.316	, 0.008
3.6010	, 2.291	, 3.998	, 0.007
3.7010	, 2.185	, 3.709	, 0.006
3.8010	, 2.091	, 3.457	, 0.006
3.9010	, 2.240	, 3.607	, 0.006
4.0010	, 2.412	, 3.788	, 0.006
4.1010	, 2.487	, 3.810	, 0.006
4.2010	, 2.458	, 3.676	, 0.006
4.3010	, 2.339	, 3.418	, 0.005
4.4010	, 2.161	, 3.085	, 0.004
4.5010	, 1.956	, 2.730	, 0.004
4.6010	, 1.818	, 2.483	, 0.003
4.7010	, 1.800	, 2.406	, 0.003
4.8010	, 1.778	, 2.327	, 0.003
4.9010	, 1.753	, 2.247	, 0.003
5.0010	, 1.725	, 2.167	, 0.003
5.1010	, 1.695	, 2.088	, 0.003
5.2010	, 1.664	, 2.011	, 0.002
5.3010	, 1.634	, 1.937	, 0.002
5.4010	, 1.606	, 1.868	, 0.002
5.5010	, 1.580	, 1.805	, 0.002
5.6010	, 1.573	, 1.764	, 0.002
5.7010	, 1.569	, 1.730	, 0.002
5.8010	, 1.563	, 1.693	, 0.002
5.9010	, 1.554	, 1.655	, 0.002
6.0010	, 1.544	, 1.616	, 0.002
6.1010	, 1.532	, 1.577	, 0.002
6.2010	, 1.519	, 1.539	, 0.002
6.3010	, 1.506	, 1.501	, 0.002
6.4010	, 1.493	, 1.466	, 0.001
6.5010	, 1.496	, 1.446	, 0.001
6.6010	, 1.499	, 1.427	, 0.001
6.7010	, 1.503	, 1.410	, 0.001
6.8010	, 1.508	, 1.393	, 0.001
6.9010	, 1.512	, 1.377	, 0.001
7.0010	, 1.516	, 1.361	, 0.001
7.1010	, 1.519	, 1.344	, 0.001
7.2010	, 1.522	, 1.328	, 0.001
7.3010	, 1.524	, 1.311	, 0.001
7.4010	, 1.524	, 1.294	, 0.001
7.5010	, 1.524	, 1.277	, 0.001
7.6010	, 1.523	, 1.259	, 0.001
7.7010	, 1.521	, 1.241	, 0.001
7.8010	, 1.518	, 1.223	, 0.001
7.9010	, 1.514	, 1.204	, 0.001
8.0010	, 1.510	, 1.186	, 0.001
8.1010	, 1.505	, 1.167	, 0.001
8.2010	, 1.499	, 1.148	, 0.001
8.3010	, 1.492	, 1.130	, 0.001
8.4010	, 1.486	, 1.111	, 0.001
8.5010	, 1.479	, 1.093	, 0.001
8.6010	, 1.471	, 1.075	, 0.001
8.7010	, 1.464	, 1.057	, 0.001
8.8010	, 1.456	, 1.040	, 0.001
8.9010	, 1.458	, 1.029	, 0.001
9.0010	, 1.462	, 1.020	, 0.001
9.1010	, 1.466	, 1.012	, 0.001
9.2010	, 1.469	, 1.003	, 0.001
9.3010	, 1.472	, 0.995	, 0.001
9.4010	, 1.475	, 0.986	, 0.001
9.5010	, 1.478	, 0.977	, 0.001
9.6010	, 1.480	, 0.968	, 0.001
9.7010	, 1.481	, 0.959	, 0.001
9.8010	, 1.482	, 0.950	, 0.001
9.9010	, 1.483	, 0.941	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0002766	0.0000000	0.0000000	0.0000000
0.010	0.0002049	0.0023615	0.0000118	0.0000000
0.020	0.0001827	0.0042625	0.0000449	0.0000001
0.030	0.0001631	0.0059588	0.0000960	0.0000001
0.040	0.0001919	0.0077000	0.0001643	0.0000001
0.050	0.0002045	0.0096445	0.0002511	0.0000002
0.060	0.0001894	0.0115766	0.0003572	0.0000002
0.070	0.0001808	0.0133921	0.0004820	0.0000002
0.080	0.0001792	0.0151575	0.0006247	0.0000002
0.090	0.0002389	0.0172081	0.0007866	0.0000003
0.100	0.0004040	0.0203617	0.0009744	0.0000004
0.110	0.0005118	0.0248538	0.0012005	0.0000006
0.120	0.0004792	0.0297148	0.0014733	0.0000008
0.130	0.0003042	0.0335575	0.0017897	0.0000009
0.140	0.0001310	0.0356923	0.0021360	0.0000009
0.150	0.0000999	0.0368248	0.0024985	0.0000009
0.160	0.0000930	0.0377708	0.0028715	0.0000010
0.170	-0.0000491	0.0379862	0.0032503	0.0000010
0.180	-0.0001719	0.0369020	0.0036247	0.0000010
0.190	-0.0001768	0.0351912	0.0039852	0.0000010
0.200	-0.0000669	0.0339955	0.0043311	0.0000010
0.210	0.0000758	0.0340388	0.0046713	0.0000010
0.220	0.0000818	0.0348114	0.0050156	0.0000010
0.230	0.0001046	0.0357252	0.0053683	0.0000010
0.240	0.0003062	0.0377399	0.0057356	0.0000011
0.250	0.0003029	0.0407274	0.0061279	0.0000011
0.260	0.0002038	0.0432123	0.0065476	0.0000012
0.270	0.0001602	0.0449974	0.0069887	0.0000012
0.280	0.0000422	0.0459899	0.0074436	0.0000012
0.290	-0.0000001	0.0461964	0.0079045	0.0000012
0.300	0.0000209	0.0462985	0.0083670	0.0000012
0.310	0.0001807	0.0472871	0.0088349	0.0000013
