 
PGA:,  0.17 g
PGV:,  8.86 cm/s
PGD:,  2.39 cm
Arias Intensity:,  44.67 cm/s
Significant duration:,  10.72 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.026	, 0.168
0.1010	, 0.121	, 7.500	, 0.476
0.2010	, 0.576	, 18.009	, 0.574
0.3010	, 1.296	, 27.045	, 0.575
0.4010	, 1.207	, 18.906	, 0.302
0.5010	, 1.089	, 13.659	, 0.175
0.6010	, 1.237	, 12.928	, 0.138
0.7010	, 1.279	, 11.463	, 0.105
0.8010	, 2.258	, 17.716	, 0.142
0.9010	, 2.736	, 19.079	, 0.136
1.0010	, 2.828	, 17.748	, 0.114
1.1010	, 2.767	, 15.788	, 0.092
1.2010	, 2.379	, 12.445	, 0.066
1.3010	, 2.191	, 10.583	, 0.052
1.4010	, 1.979	, 8.877	, 0.041
1.5010	, 1.889	, 7.908	, 0.034
1.6010	, 2.120	, 8.319	, 0.033
1.7010	, 2.099	, 7.753	, 0.029
1.8010	, 2.238	, 7.807	, 0.028
1.9010	, 2.312	, 7.643	, 0.026
2.0010	, 2.491	, 7.823	, 0.025
2.1010	, 2.363	, 7.067	, 0.022
2.2010	, 2.070	, 5.910	, 0.017
2.3010	, 1.819	, 4.966	, 0.014
2.4010	, 1.837	, 4.806	, 0.013
2.5010	, 1.878	, 4.717	, 0.012
2.6010	, 1.785	, 4.312	, 0.011
2.7010	, 1.629	, 3.789	, 0.009
2.8010	, 1.484	, 3.329	, 0.008
2.9010	, 1.389	, 3.008	, 0.007
3.0010	, 1.342	, 2.810	, 0.006
3.1010	, 1.412	, 2.862	, 0.006
3.2010	, 1.490	, 2.924	, 0.006
3.3010	, 1.511	, 2.877	, 0.006
3.4010	, 1.453	, 2.685	, 0.005
3.5010	, 1.333	, 2.393	, 0.004
3.6010	, 1.337	, 2.333	, 0.004
3.7010	, 1.323	, 2.246	, 0.004
3.8010	, 1.297	, 2.143	, 0.004
3.9010	, 1.246	, 2.007	, 0.003
4.0010	, 1.179	, 1.851	, 0.003
4.1010	, 1.103	, 1.690	, 0.003
4.2010	, 1.041	, 1.556	, 0.002
4.3010	, 0.997	, 1.457	, 0.002
4.4010	, 0.949	, 1.355	, 0.002
4.5010	, 0.905	, 1.264	, 0.002
4.6010	, 0.870	, 1.189	, 0.002
4.7010	, 0.848	, 1.133	, 0.002
4.8010	, 0.837	, 1.096	, 0.001
4.9010	, 0.838	, 1.074	, 0.001
5.0010	, 0.848	, 1.065	, 0.001
5.1010	, 0.863	, 1.064	, 0.001
5.2010	, 0.882	, 1.066	, 0.001
5.3010	, 0.902	, 1.069	, 0.001
5.4010	, 0.919	, 1.069	, 0.001
5.5010	, 0.933	, 1.066	, 0.001
5.6010	, 0.943	, 1.058	, 0.001
5.7010	, 0.946	, 1.043	, 0.001
5.8010	, 0.944	, 1.023	, 0.001
5.9010	, 0.936	, 0.997	, 0.001
6.0010	, 0.923	, 0.967	, 0.001
6.1010	, 0.906	, 0.933	, 0.001
6.2010	, 0.890	, 0.902	, 0.001
6.3010	, 0.882	, 0.879	, 0.001
6.4010	, 0.871	, 0.855	, 0.001
6.5010	, 0.879	, 0.850	, 0.001
6.6010	, 0.892	, 0.849	, 0.001
6.7010	, 0.905	, 0.848	, 0.001
6.8010	, 0.917	, 0.847	, 0.001
6.9010	, 0.928	, 0.845	, 0.001
7.0010	, 0.938	, 0.842	, 0.001
7.1010	, 0.948	, 0.839	, 0.001
7.2010	, 0.957	, 0.835	, 0.001
7.3010	, 0.966	, 0.831	, 0.001
7.4010	, 0.974	, 0.827	, 0.001
7.5010	, 0.981	, 0.822	, 0.001
7.6010	, 0.988	, 0.817	, 0.001
7.7010	, 0.994	, 0.811	, 0.001
7.8010	, 0.999	, 0.805	, 0.001
7.9010	, 1.004	, 0.798	, 0.001
8.0010	, 1.008	, 0.792	, 0.001
8.1010	, 1.012	, 0.785	, 0.001
8.2010	, 1.015	, 0.778	, 0.001
8.3010	, 1.018	, 0.770	, 0.001
8.4010	, 1.020	, 0.763	, 0.001
8.5010	, 1.022	, 0.755	, 0.001
8.6010	, 1.023	, 0.747	, 0.001
8.7010	, 1.024	, 0.740	, 0.001
8.8010	, 1.025	, 0.732	, 0.001
8.9010	, 1.025	, 0.724	, 0.001
9.0010	, 1.025	, 0.715	, 0.001
9.1010	, 1.025	, 0.707	, 0.000
9.2010	, 1.024	, 0.699	, 0.000
9.3010	, 1.023	, 0.691	, 0.000
9.4010	, 1.021	, 0.683	, 0.000
9.5010	, 1.020	, 0.675	, 0.000
9.6010	, 1.018	, 0.666	, 0.000
9.7010	, 1.016	, 0.658	, 0.000
9.8010	, 1.014	, 0.650	, 0.000
9.9010	, 1.011	, 0.642	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0003967	0.0000000	0.0000000	0.0000000
0.010	-0.0003128	-0.0034802	-0.0000174	0.0000000
0.020	-0.0002836	-0.0064054	-0.0000668	0.0000001
0.030	-0.0004385	-0.0099474	-0.0001486	0.0000001
0.040	-0.0007592	-0.0158221	-0.0002774	0.0000003
0.050	-0.0010117	-0.0245082	-0.0004791	0.0000005
0.060	-0.0008818	-0.0337956	-0.0007706	0.0000008
0.070	-0.0004818	-0.0404839	-0.0011420	0.0000010
0.080	-0.0000402	-0.0430442	-0.0015596	0.0000011
0.090	0.0001125	-0.0426895	-0.0019883	0.0000011
0.100	-0.0003905	-0.0440533	-0.0024220	0.0000011
0.110	-0.0015665	-0.0536524	-0.0029106	0.0000015
0.120	-0.0021801	-0.0720296	-0.0035390	0.0000028
