 
PGA:,  0.15 g
PGV:,  9.59 cm/s
PGD:,  5.17 cm
Arias Intensity:,  24.90 cm/s
Significant duration:,  18.10 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.023	, 0.149
0.1010	, 0.044	, 2.761	, 0.175
0.2010	, 0.383	, 11.984	, 0.382
0.3010	, 0.712	, 14.867	, 0.316
0.4010	, 1.795	, 28.124	, 0.449
0.5010	, 2.848	, 35.720	, 0.457
0.6010	, 1.868	, 19.525	, 0.208
0.7010	, 1.804	, 16.169	, 0.148
0.8010	, 2.224	, 17.449	, 0.140
0.9010	, 3.168	, 22.090	, 0.157
1.0010	, 2.881	, 18.084	, 0.116
1.1010	, 2.011	, 11.474	, 0.067
1.2010	, 1.822	, 9.533	, 0.051
1.3010	, 1.728	, 8.346	, 0.041
1.4010	, 2.340	, 10.492	, 0.048
1.5010	, 3.664	, 15.339	, 0.065
1.6010	, 4.779	, 18.755	, 0.075
1.7010	, 5.805	, 21.443	, 0.081
1.8010	, 4.990	, 17.410	, 0.062
1.9010	, 3.934	, 13.003	, 0.044
2.0010	, 4.347	, 13.649	, 0.044
2.1010	, 5.262	, 15.737	, 0.048
2.2010	, 6.371	, 18.186	, 0.053
2.3010	, 6.204	, 16.941	, 0.047
2.4010	, 4.962	, 12.985	, 0.035
2.5010	, 3.935	, 9.886	, 0.025
2.6010	, 3.511	, 8.481	, 0.021
2.7010	, 3.518	, 8.184	, 0.019
2.8010	, 3.403	, 7.633	, 0.017
2.9010	, 3.297	, 7.140	, 0.016
3.0010	, 3.279	, 6.865	, 0.015
3.1010	, 3.092	, 6.264	, 0.013
3.2010	, 2.602	, 5.108	, 0.010
3.3010	, 2.760	, 5.254	, 0.010
3.4010	, 3.046	, 5.628	, 0.011
3.5010	, 3.020	, 5.419	, 0.010
3.6010	, 2.698	, 4.708	, 0.008
3.7010	, 2.874	, 4.879	, 0.008
3.8010	, 2.879	, 4.759	, 0.008
3.9010	, 3.162	, 5.093	, 0.008
4.0010	, 3.690	, 5.794	, 0.009
4.1010	, 4.056	, 6.215	, 0.010
4.2010	, 4.232	, 6.329	, 0.010
4.3010	, 4.228	, 6.177	, 0.009
4.4010	, 4.069	, 5.809	, 0.008
4.5010	, 3.804	, 5.310	, 0.008
4.6010	, 3.507	, 4.789	, 0.007
4.7010	, 3.480	, 4.651	, 0.006
4.8010	, 3.308	, 4.330	, 0.006
4.9010	, 3.071	, 3.938	, 0.005
5.0010	, 2.815	, 3.536	, 0.005
5.1010	, 2.575	, 3.171	, 0.004
5.2010	, 2.382	, 2.878	, 0.004
5.3010	, 2.249	, 2.665	, 0.003
5.4010	, 2.168	, 2.522	, 0.003
5.5010	, 2.125	, 2.427	, 0.003
5.6010	, 2.100	, 2.355	, 0.003
5.7010	, 2.091	, 2.305	, 0.003
5.8010	, 2.158	, 2.338	, 0.003
5.9010	, 2.190	, 2.332	, 0.003
6.0010	, 2.176	, 2.279	, 0.002
