 
PGA:,  0.09 g
PGV:,  6.27 cm/s
PGD:,  4.16 cm
Arias Intensity:,  19.95 cm/s
Significant duration:,  23.38 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.091
0.1010	, 0.058	, 3.619	, 0.229
0.2010	, 0.280	, 8.738	, 0.278
0.3010	, 0.643	, 13.424	, 0.286
0.4010	, 0.652	, 10.223	, 0.163
0.5010	, 1.045	, 13.100	, 0.167
0.6010	, 2.088	, 21.824	, 0.233
0.7010	, 1.900	, 17.031	, 0.156
0.8010	, 2.557	, 20.057	, 0.160
0.9010	, 3.088	, 21.537	, 0.153
1.0010	, 2.480	, 15.569	, 0.100
1.1010	, 2.752	, 15.702	, 0.091
1.2010	, 2.647	, 13.846	, 0.074
1.3010	, 3.011	, 14.541	, 0.072
1.4010	, 2.916	, 13.080	, 0.060
1.5010	, 2.922	, 12.233	, 0.052
1.6010	, 3.286	, 12.898	, 0.052
1.7010	, 3.885	, 14.350	, 0.054
1.8010	, 3.748	, 13.074	, 0.046
1.9010	, 4.281	, 14.150	, 0.048
2.0010	, 4.925	, 15.466	, 0.050
2.1010	, 3.986	, 11.920	, 0.036
2.2010	, 4.103	, 11.712	, 0.034
2.3010	, 4.265	, 11.647	, 0.032
2.4010	, 3.703	, 9.690	, 0.026
2.5010	, 4.437	, 11.146	, 0.029
2.6010	, 4.637	, 11.202	, 0.028
2.7010	, 4.387	, 10.205	, 0.024
2.8010	, 4.654	, 10.439	, 0.024
2.9010	, 4.609	, 9.983	, 0.022
3.0010	, 5.119	, 10.718	, 0.023
3.1010	, 4.867	, 9.861	, 0.020
3.2010	, 4.265	, 8.372	, 0.017
3.3010	, 4.132	, 7.865	, 0.015
3.4010	, 4.024	, 7.435	, 0.014
3.5010	, 4.029	, 7.231	, 0.013
3.6010	, 3.988	, 6.958	, 0.012
3.7010	, 3.953	, 6.711	, 0.012
3.8010	, 3.820	, 6.315	, 0.011
3.9010	, 3.562	, 5.737	, 0.009
4.0010	, 3.289	, 5.164	, 0.008
