 
PGA:,  0.57 g
PGV:,  52.10 cm/s
PGD:,  21.46 cm
Arias Intensity:,  278.76 cm/s
Significant duration:,   9.08 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.089	, 0.568
0.1010	, 0.197	, 12.254	, 0.777
0.2010	, 1.215	, 37.969	, 1.210
0.3010	, 2.638	, 55.072	, 1.172
0.4010	, 5.660	, 88.684	, 1.416
0.5010	, 6.037	, 75.713	, 0.968
0.6010	, 7.681	, 80.301	, 0.856
0.7010	, 10.202	, 91.447	, 0.836
0.8010	, 16.460	, 129.119	, 1.032
0.9010	, 14.652	, 102.174	, 0.726
1.0010	, 13.237	, 83.084	, 0.532
1.1010	, 12.795	, 73.021	, 0.425
1.2010	, 13.361	, 69.899	, 0.373
1.3010	, 16.458	, 79.484	, 0.391
1.4010	, 19.285	, 86.491	, 0.395
1.5010	, 21.013	, 87.961	, 0.375
1.6010	, 23.723	, 93.104	, 0.372
1.7010	, 25.251	, 93.274	, 0.351
1.8010	, 24.631	, 85.932	, 0.306
1.9010	, 23.390	, 77.309	, 0.260
2.0010	, 23.096	, 72.521	, 0.232
2.1010	, 22.241	, 66.513	, 0.203
2.2010	, 21.135	, 60.335	, 0.176
2.3010	, 20.157	, 55.041	, 0.153
2.4010	, 19.683	, 51.509	, 0.137
2.5010	, 19.025	, 47.796	, 0.122
2.6010	, 18.390	, 44.424	, 0.109
2.7010	, 19.217	, 44.703	, 0.106
2.8010	, 19.873	, 44.578	, 0.102
2.9010	, 20.405	, 44.194	, 0.098
3.0010	, 20.781	, 43.510	, 0.093
3.1010	, 21.075	, 42.702	, 0.088
3.2010	, 21.276	, 41.763	, 0.084
3.3010	, 21.396	, 40.725	, 0.079
3.4010	, 21.470	, 39.664	, 0.075
3.5010	, 21.512	, 38.608	, 0.071
3.6010	, 21.509	, 37.530	, 0.067
3.7010	, 21.464	, 36.439	, 0.063
3.8010	, 21.380	, 35.342	, 0.060
3.9010	, 21.274	, 34.265	, 0.056
4.0010	, 21.142	, 33.201	, 0.053
4.1010	, 20.972	, 32.132	, 0.050
4.2010	, 20.767	, 31.060	, 0.047
4.3010	, 20.529	, 29.990	, 0.045
4.4010	, 20.259	, 28.923	, 0.042
4.5010	, 19.960	, 27.863	, 0.040
4.6010	, 19.636	, 26.815	, 0.037
4.7010	, 19.302	, 25.799	, 0.035
4.8010	, 18.948	, 24.797	, 0.033
4.9010	, 18.576	, 23.815	, 0.031
5.0010	, 18.190	, 22.853	, 0.029
5.1010	, 17.792	, 21.916	, 0.028
5.2010	, 17.387	, 21.005	, 0.026
5.3010	, 16.976	, 20.122	, 0.024
5.4010	, 16.563	, 19.268	, 0.023
5.5010	, 16.148	, 18.444	, 0.021
5.6010	, 15.735	, 17.652	, 0.020
5.7010	, 15.325	, 16.890	, 0.019
5.8010	, 14.919	, 16.159	, 0.018
5.9010	, 14.519	, 15.460	, 0.017
6.0010	, 14.126	, 14.791	, 0.016
6.1010	, 14.232	, 14.657	, 0.015
6.2010	, 14.476	, 14.668	, 0.015
6.3010	, 14.677	, 14.636	, 0.015
6.4010	, 14.839	, 14.566	, 0.015
6.5010	, 14.965	, 14.463	, 0.014
6.6010	, 15.057	, 14.332	, 0.014
6.7010	, 15.119	, 14.176	, 0.014
6.8010	, 15.153	, 13.999	, 0.013
6.9010	, 15.167	, 13.809	, 0.013
7.0010	, 15.162	, 13.607	, 0.012
7.1010	, 15.135	, 13.392	, 0.012
7.2010	, 15.089	, 13.166	, 0.012
7.3010	, 15.027	, 12.932	, 0.011
7.4010	, 14.949	, 12.691	, 0.011
7.5010	, 14.857	, 12.445	, 0.011
7.6010	, 14.753	, 12.196	, 0.010
7.7010	, 14.639	, 11.944	, 0.010
7.8010	, 14.515	, 11.691	, 0.010
7.9010	, 14.384	, 11.438	, 0.009
8.0010	, 14.245	, 11.186	, 0.009
8.1010	, 14.132	, 10.961	, 0.009
8.2010	, 14.132	, 10.827	, 0.008
8.3010	, 14.131	, 10.696	, 0.008
8.4010	, 14.129	, 10.567	, 0.008
8.5010	, 14.126	, 10.440	, 0.008
8.6010	, 14.121	, 10.316	, 0.008
8.7010	, 14.116	, 10.194	, 0.008
8.8010	, 14.110	, 10.073	, 0.007
8.9010	, 14.103	, 9.955	, 0.007
9.0010	, 14.096	, 9.840	, 0.007
9.1010	, 14.088	, 9.726	, 0.007
9.2010	, 14.079	, 9.615	, 0.007
9.3010	, 14.071	, 9.505	, 0.007
9.4010	, 14.061	, 9.398	, 0.006
9.5010	, 14.051	, 9.292	, 0.006
9.6010	, 14.041	, 9.189	, 0.006
9.7010	, 14.031	, 9.088	, 0.006
9.8010	, 14.021	, 8.988	, 0.006
9.9010	, 14.010	, 8.891	, 0.006
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0077701	0.0000000	0.0000000	0.0000000
0.020	-0.0091648	-0.1661315	-0.0016613	0.0000080
0.040	-0.0082033	-0.3365126	-0.0066878	0.0000163
0.060	-0.0028518	-0.4449635	-0.0145025	0.0000205
0.080	0.0027699	-0.4457668	-0.0234098	0.0000214
0.100	0.0048328	-0.3711838	-0.0315793	0.0000231
0.120	0.0020282	-0.3038765	-0.0383299	0.0000246
0.140	-0.0013711	-0.2974294	-0.0443430	0.0000250
0.160	-0.0011667	-0.3223252	-0.0505405	0.0000251
0.180	-0.0014103	-0.3476057	-0.0572398	0.0000253
0.200	0.0052485	-0.3099527	-0.0638154	0.0000269
0.220	0.0141859	-0.1193016	-0.0681080	0.0000396
0.240	0.0130375	0.1477593	-0.0678234	0.0000601
0.260	0.0106782	0.3804101	-0.0625417	0.0000758
0.280	0.0100203	0.5834630	-0.0529030	0.0000877
0.300	0.0049876	0.7306907	-0.0397614	0.0000946
0.320	-0.0066579	0.7143053	-0.0253115	0.0000984
0.340	-0.0153964	0.4979534	-0.0131889	0.0001140
0.360	-0.0193358	0.1572307	-0.0066370	0.0001477
0.380	-0.0216362	-0.2447048	-0.0075118	0.0001943
0.400	-0.0160581	-0.6144859	-0.0161037	0.0002344
0.420	-0.0075843	-0.8464183	-0.0307127	0.0002519
0.440	-0.0008038	-0.9287056	-0.0484640	0.0002551
0.460	0.0061001	-0.8767484	-0.0665185	0.0002572
0.480	0.0076153	-0.7421995	-0.0827080	0.0002624
0.500	0.0069161	-0.5996463	-0.0961265	0.0002683
0.520	0.0043889	-0.4887442	-0.1070104	0.0002720
0.540	0.0011283	-0.4346197	-0.1162440	0.0002731
0.560	-0.0031778	-0.4547246	-0.1251374	0.0002737
0.580	-0.0095260	-0.5793486	-0.1354782	0.0002793
0.600	-0.0066524	-0.7380590	-0.1486522	0.0002868
0.620	0.0082469	-0.7224176	-0.1632570	0.0002930
0.640	0.0222251	-0.4234879	-0.1747161	0.0003241
0.660	0.0184124	-0.0248344	-0.1791993	0.0003701
0.680	0.0149883	0.3028261	-0.1764194	0.0004013
0.700	0.0108858	0.5566509	-0.1678246	0.0004202
0.720	-0.0017663	0.6461131	-0.1557970	0.0004270
0.740	-0.0140809	0.4906520	-0.1444293	0.0004381
0.760	-0.0204693	0.1517145	-0.1380056	0.0004722
0.780	-0.0240069	-0.2845968	-0.1393345	0.0005272
0.800	-0.0313858	-0.8279989	-0.1504604	0.0006135
0.820	-0.0304507	-1.4346155	-0.1730866	0.0007193
0.840	-0.0209549	-1.9389047	-0.2068218	0.0007948
0.860	-0.0019792	-2.1638879	-0.2478497	0.0008193
0.880	0.0215345	-1.9720507	-0.2892091	0.0008451
0.900	0.0275856	-1.4901825	-0.3238314	0.0009128
0.920	0.0194802	-1.0284664	-0.3490179	0.0009759
0.940	0.0034881	-0.8031473	-0.3673340	0.0009975
