 
PGA:,  0.09 g
PGV:,  8.35 cm/s
PGD:,  4.73 cm
Arias Intensity:,  20.32 cm/s
Significant duration:,  21.49 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.089
0.1010	, 0.045	, 2.808	, 0.178
0.2010	, 0.257	, 8.029	, 0.256
0.3010	, 0.679	, 14.182	, 0.302
0.4010	, 0.788	, 12.344	, 0.197
0.5010	, 1.390	, 17.437	, 0.223
0.6010	, 2.014	, 21.060	, 0.224
0.7010	, 1.866	, 16.724	, 0.153
0.8010	, 1.920	, 15.058	, 0.120
0.9010	, 2.669	, 18.609	, 0.132
1.0010	, 2.452	, 15.391	, 0.098
1.1010	, 2.791	, 15.928	, 0.093
1.2010	, 2.520	, 13.184	, 0.070
1.3010	, 2.801	, 13.526	, 0.067
1.4010	, 3.231	, 14.492	, 0.066
1.5010	, 3.609	, 15.106	, 0.064
1.6010	, 4.140	, 16.247	, 0.065
1.7010	, 5.026	, 18.564	, 0.070
1.8010	, 5.402	, 18.847	, 0.067
1.9010	, 4.498	, 14.867	, 0.050
2.0010	, 4.444	, 13.954	, 0.045
2.1010	, 4.950	, 14.804	, 0.045
2.2010	, 5.799	, 16.554	, 0.048
2.3010	, 5.464	, 14.919	, 0.042
2.4010	, 4.584	, 11.995	, 0.032
2.5010	, 4.197	, 10.543	, 0.027
2.6010	, 4.744	, 11.461	, 0.028
2.7010	, 5.976	, 13.902	, 0.033
2.8010	, 6.911	, 15.503	, 0.035
2.9010	, 7.133	, 15.449	, 0.034
3.0010	, 6.624	, 13.868	, 0.030
3.1010	, 6.319	, 12.803	, 0.026
3.2010	, 5.849	, 11.481	, 0.023
3.3010	, 5.537	, 10.539	, 0.020
3.4010	, 5.601	, 10.348	, 0.019
3.5010	, 6.006	, 10.778	, 0.020
3.6010	, 6.501	, 11.343	, 0.020
3.7010	, 7.147	, 12.133	, 0.021
3.8010	, 8.122	, 13.427	, 0.023
3.9010	, 8.378	, 13.495	, 0.022
4.0010	, 8.147	, 12.795	, 0.020
4.1010	, 7.762	, 11.893	, 0.019
4.2010	, 7.596	, 11.361	, 0.017
4.3010	, 7.756	, 11.331	, 0.017
4.4010	, 8.055	, 11.500	, 0.017
4.5010	, 8.283	, 11.562	, 0.016
4.6010	, 8.375	, 11.437	, 0.016
4.7010	, 8.415	, 11.247	, 0.015
4.8010	, 8.535	, 11.171	, 0.015
4.9010	, 8.818	, 11.305	, 0.015
5.0010	, 9.242	, 11.611	, 0.015
5.1010	, 9.709	, 11.959	, 0.015
5.2010	, 10.091	, 12.190	, 0.015
5.3010	, 10.300	, 12.208	, 0.015
5.4010	, 10.338	, 12.027	, 0.014
5.5010	, 10.182	, 11.629	, 0.014
5.6010	, 9.824	, 11.021	, 0.013
5.7010	, 9.242	, 10.186	, 0.011
5.8010	, 8.867	, 9.604	, 0.011
5.9010	, 8.417	, 8.962	, 0.010
6.0010	, 7.740	, 8.104	, 0.009
