 
PGA:,  0.10 g
PGV:,  4.75 cm/s
PGD:,  1.81 cm
Arias Intensity:,  11.44 cm/s
Significant duration:,  17.26 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.016	, 0.105
0.1010	, 0.040	, 2.484	, 0.158
0.2010	, 0.240	, 7.505	, 0.239
0.3010	, 0.511	, 10.676	, 0.227
0.4010	, 1.254	, 19.641	, 0.314
0.5010	, 1.065	, 13.362	, 0.171
0.6010	, 0.954	, 9.969	, 0.106
0.7010	, 1.103	, 9.883	, 0.090
0.8010	, 0.704	, 5.520	, 0.044
0.9010	, 0.901	, 6.280	, 0.045
1.0010	, 1.896	, 11.899	, 0.076
1.1010	, 1.616	, 9.221	, 0.054
1.2010	, 1.562	, 8.170	, 0.044
1.3010	, 1.604	, 7.749	, 0.038
1.4010	, 2.165	, 9.710	, 0.044
1.5010	, 2.896	, 12.122	, 0.052
1.6010	, 2.875	, 11.282	, 0.045
1.7010	, 2.699	, 9.970	, 0.038
1.8010	, 2.454	, 8.563	, 0.030
1.9010	, 2.422	, 8.005	, 0.027
2.0010	, 2.443	, 7.670	, 0.025
2.1010	, 2.534	, 7.578	, 0.023
2.2010	, 2.624	, 7.492	, 0.022
2.3010	, 2.576	, 7.034	, 0.020
2.4010	, 2.356	, 6.166	, 0.016
2.5010	, 2.050	, 5.150	, 0.013
2.6010	, 2.137	, 5.162	, 0.013
2.7010	, 2.481	, 5.771	, 0.014
2.8010	, 2.755	, 6.180	, 0.014
2.9010	, 3.084	, 6.678	, 0.015
3.0010	, 3.490	, 7.307	, 0.016
3.1010	, 3.704	, 7.505	, 0.016
3.2010	, 3.934	, 7.721	, 0.015
3.3010	, 4.276	, 8.140	, 0.016
3.4010	, 4.670	, 8.628	, 0.016
3.5010	, 5.023	, 9.015	, 0.016
3.6010	, 5.233	, 9.130	, 0.016
3.7010	, 5.308	, 9.012	, 0.016
3.8010	, 5.210	, 8.613	, 0.015
3.9010	, 4.849	, 7.809	, 0.013
4.0010	, 4.299	, 6.751	, 0.011
4.1010	, 3.837	, 5.879	, 0.009
4.2010	, 3.484	, 5.211	, 0.008
4.3010	, 3.217	, 4.700	, 0.007
4.4010	, 3.056	, 4.362	, 0.006
4.5010	, 2.952	, 4.120	, 0.006
4.6010	, 2.835	, 3.872	, 0.005
4.7010	, 2.658	, 3.553	, 0.005
4.8010	, 2.494	, 3.264	, 0.004
4.9010	, 2.470	, 3.167	, 0.004
5.0010	, 2.591	, 3.256	, 0.004
5.1010	, 2.671	, 3.290	, 0.004
5.2010	, 2.701	, 3.262	, 0.004
5.3010	, 2.679	, 3.176	, 0.004
5.4010	, 2.615	, 3.042	, 0.004
5.5010	, 2.518	, 2.876	, 0.003
5.6010	, 2.399	, 2.691	, 0.003
5.7010	, 2.269	, 2.500	, 0.003
5.8010	, 2.222	, 2.406	, 0.003
5.9010	, 2.233	, 2.377	, 0.003
6.0010	, 2.205	, 2.309	, 0.002
6.1010	, 2.257	, 2.324	, 0.002
6.2010	, 2.330	, 2.361	, 0.002
6.3010	, 2.384	, 2.377	, 0.002
6.4010	, 2.424	, 2.379	, 0.002
6.5010	, 2.452	, 2.370	, 0.002
6.6010	, 2.472	, 2.353	, 0.002
6.7010	, 2.485	, 2.330	, 0.002
6.8010	, 2.492	, 2.302	, 0.002
6.9010	, 2.493	, 2.269	, 0.002
7.0010	, 2.487	, 2.232	, 0.002
