 
PGA:,  0.14 g
PGV:,  9.14 cm/s
PGD:,  2.17 cm
Arias Intensity:,  33.10 cm/s
Significant duration:,  15.41 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.022	, 0.143
0.1010	, 0.045	, 2.784	, 0.177
0.2010	, 0.283	, 8.857	, 0.282
0.3010	, 0.883	, 18.432	, 0.392
0.4010	, 1.745	, 27.340	, 0.437
0.5010	, 1.950	, 24.452	, 0.313
0.6010	, 2.401	, 25.105	, 0.268
0.7010	, 1.921	, 17.221	, 0.157
0.8010	, 2.625	, 20.588	, 0.165
0.9010	, 2.353	, 16.411	, 0.117
1.0010	, 2.885	, 18.111	, 0.116
1.1010	, 2.614	, 14.917	, 0.087
1.2010	, 3.152	, 16.488	, 0.088
1.3010	, 3.077	, 14.861	, 0.073
1.4010	, 3.032	, 13.599	, 0.062
1.5010	, 3.121	, 13.065	, 0.056
1.6010	, 3.115	, 12.224	, 0.049
1.7010	, 3.324	, 12.278	, 0.046
1.8010	, 3.391	, 11.831	, 0.042
1.9010	, 3.996	, 13.209	, 0.045
2.0010	, 5.537	, 17.386	, 0.056
2.1010	, 5.942	, 17.769	, 0.054
2.2010	, 6.813	, 19.450	, 0.057
2.3010	, 7.206	, 19.677	, 0.055
2.4010	, 5.436	, 14.225	, 0.038
2.5010	, 5.294	, 13.299	, 0.034
2.6010	, 4.748	, 11.469	, 0.028
2.7010	, 4.453	, 10.359	, 0.025
2.8010	, 3.996	, 8.964	, 0.020
2.9010	, 3.447	, 7.466	, 0.016
3.0010	, 3.298	, 6.905	, 0.015
3.1010	, 3.186	, 6.456	, 0.013
3.2010	, 3.036	, 5.960	, 0.012
3.3010	, 3.115	, 5.929	, 0.012
3.4010	, 2.927	, 5.407	, 0.010
3.5010	, 2.980	, 5.348	, 0.010
3.6010	, 2.849	, 4.971	, 0.009
3.7010	, 2.700	, 4.585	, 0.008
3.8010	, 2.575	, 4.257	, 0.007
3.9010	, 2.522	, 4.061	, 0.007
4.0010	, 2.562	, 4.023	, 0.006
4.1010	, 2.545	, 3.900	, 0.006
4.2010	, 2.477	, 3.705	, 0.006
4.3010	, 2.384	, 3.483	, 0.005
4.4010	, 2.368	, 3.381	, 0.005
4.5010	, 2.273	, 3.174	, 0.005
4.6010	, 2.191	, 2.992	, 0.004
4.7010	, 2.116	, 2.829	, 0.004
4.8010	, 2.043	, 2.674	, 0.004
4.9010	, 2.102	, 2.694	, 0.004
5.0010	, 2.154	, 2.706	, 0.003
5.1010	, 2.168	, 2.670	, 0.003
5.2010	, 2.151	, 2.599	, 0.003
5.3010	, 2.112	, 2.504	, 0.003
5.4010	, 2.059	, 2.395	, 0.003
5.5010	, 2.000	, 2.284	, 0.003
5.6010	, 1.940	, 2.177	, 0.002
5.7010	, 1.885	, 2.077	, 0.002
5.8010	, 1.836	, 1.988	, 0.002
5.9010	, 1.795	, 1.911	, 0.002
6.0010	, 1.768	, 1.851	, 0.002
6.1010	, 1.823	, 1.878	, 0.002
6.2010	, 1.874	, 1.899	, 0.002
6.3010	, 1.921	, 1.916	, 0.002
6.4010	, 1.963	, 1.927	, 0.002
6.5010	, 1.999	, 1.932	, 0.002
6.6010	, 2.027	, 1.930	, 0.002
6.7010	, 2.045	, 1.918	, 0.002
6.8010	, 2.052	, 1.896	, 0.002
6.9010	, 2.048	, 1.865	, 0.002
7.0010	, 2.033	, 1.825	, 0.002
7.1010	, 2.008	, 1.777	, 0.002
7.2010	, 1.975	, 1.723	, 0.002
7.3010	, 1.937	, 1.667	, 0.001
7.4010	, 1.896	, 1.609	, 0.001
7.5010	, 1.854	, 1.553	, 0.001
7.6010	, 1.813	, 1.498	, 0.001
7.7010	, 1.774	, 1.448	, 0.001
7.8010	, 1.740	, 1.401	, 0.001
7.9010	, 1.709	, 1.359	, 0.001
8.0010	, 1.684	, 1.322	, 0.001
8.1010	, 1.663	, 1.289	, 0.001
8.2010	, 1.645	, 1.261	, 0.001
8.3010	, 1.632	, 1.235	, 0.001
8.4010	, 1.620	, 1.212	, 0.001
8.5010	, 1.611	, 1.191	, 0.001
8.6010	, 1.604	, 1.171	, 0.001
8.7010	, 1.596	, 1.153	, 0.001
8.8010	, 1.590	, 1.135	, 0.001
8.9010	, 1.583	, 1.117	, 0.001
9.0010	, 1.575	, 1.100	, 0.001
9.1010	, 1.567	, 1.082	, 0.001
9.2010	, 1.559	, 1.065	, 0.001
9.3010	, 1.550	, 1.047	, 0.001
9.4010	, 1.541	, 1.030	, 0.001
9.5010	, 1.531	, 1.013	, 0.001
9.6010	, 1.522	, 0.996	, 0.001
