 
PGA:,  0.16 g
PGV:,  13.67 cm/s
PGD:,  2.48 cm
Arias Intensity:,  54.90 cm/s
Significant duration:,  17.24 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.025	, 0.158
0.1010	, 0.089	, 5.539	, 0.351
0.2010	, 0.654	, 20.452	, 0.652
0.3010	, 1.220	, 25.463	, 0.542
0.4010	, 1.886	, 29.549	, 0.472
0.5010	, 2.065	, 25.900	, 0.331
0.6010	, 3.484	, 36.420	, 0.388
0.7010	, 2.625	, 23.531	, 0.215
0.8010	, 2.467	, 19.351	, 0.155
0.9010	, 2.787	, 19.434	, 0.138
1.0010	, 3.804	, 23.878	, 0.153
1.1010	, 3.543	, 20.219	, 0.118
1.2010	, 2.891	, 15.124	, 0.081
1.3010	, 3.073	, 14.841	, 0.073
1.4010	, 4.230	, 18.972	, 0.087
1.5010	, 6.176	, 25.852	, 0.110
1.6010	, 6.574	, 25.801	, 0.103
1.7010	, 7.032	, 25.975	, 0.098
1.8010	, 6.225	, 21.718	, 0.077
1.9010	, 6.917	, 22.863	, 0.077
2.0010	, 7.262	, 22.802	, 0.073
2.1010	, 5.590	, 16.717	, 0.051
2.2010	, 5.235	, 14.943	, 0.043
2.3010	, 5.765	, 15.743	, 0.044
2.4010	, 6.943	, 18.169	, 0.048
2.5010	, 7.224	, 18.149	, 0.046
2.6010	, 6.406	, 15.475	, 0.038
2.7010	, 5.122	, 11.915	, 0.028
2.8010	, 4.547	, 10.200	, 0.023
2.9010	, 4.211	, 9.121	, 0.020
3.0010	, 3.923	, 8.213	, 0.018
3.1010	, 3.739	, 7.576	, 0.016
3.2010	, 3.666	, 7.195	, 0.014
3.3010	, 3.672	, 6.989	, 0.014
3.4010	, 3.706	, 6.846	, 0.013
3.5010	, 3.717	, 6.670	, 0.012
3.6010	, 3.669	, 6.403	, 0.011
3.7010	, 3.557	, 6.039	, 0.010
3.8010	, 3.578	, 5.914	, 0.010
3.9010	, 3.739	, 6.023	, 0.010
4.0010	, 3.760	, 5.904	, 0.009
4.1010	, 3.842	, 5.887	, 0.009
4.2010	, 4.251	, 6.359	, 0.010
4.3010	, 4.557	, 6.658	, 0.010
4.4010	, 4.684	, 6.687	, 0.010
4.5010	, 4.650	, 6.491	, 0.009
4.6010	, 4.495	, 6.139	, 0.009
4.7010	, 4.273	, 5.711	, 0.008
4.8010	, 4.017	, 5.257	, 0.007
4.9010	, 3.760	, 4.821	, 0.006
5.0010	, 3.524	, 4.427	, 0.006
5.1010	, 3.311	, 4.078	, 0.005
5.2010	, 3.123	, 3.772	, 0.005
5.3010	, 2.956	, 3.503	, 0.004
5.4010	, 2.807	, 3.265	, 0.004
5.5010	, 2.752	, 3.143	, 0.004
5.6010	, 2.723	, 3.054	, 0.003
5.7010	, 2.700	, 2.976	, 0.003
5.8010	, 2.683	, 2.906	, 0.003
5.9010	, 2.670	, 2.843	, 0.003
6.0010	, 2.660	, 2.786	, 0.003
6.1010	, 2.653	, 2.732	, 0.003
6.2010	, 2.648	, 2.683	, 0.003
6.3010	, 2.643	, 2.636	, 0.003
6.4010	, 2.640	, 2.591	, 0.003
6.5010	, 2.636	, 2.548	, 0.003
6.6010	, 2.633	, 2.506	, 0.002
6.7010	, 2.629	, 2.465	, 0.002
6.8010	, 2.625	, 2.425	, 0.002
6.9010	, 2.620	, 2.386	, 0.002
7.0010	, 2.615	, 2.347	, 0.002
7.1010	, 2.609	, 2.309	, 0.002
7.2010	, 2.603	, 2.271	, 0.002
7.3010	, 2.596	, 2.234	, 0.002
7.4010	, 2.589	, 2.198	, 0.002
7.5010	, 2.581	, 2.162	, 0.002
7.6010	, 2.573	, 2.127	, 0.002
7.7010	, 2.564	, 2.092	, 0.002
7.8010	, 2.555	, 2.058	, 0.002
7.9010	, 2.546	, 2.024	, 0.002
8.0010	, 2.536	, 1.992	, 0.002
8.1010	, 2.527	, 1.960	, 0.002
8.2010	, 2.517	, 1.928	, 0.002
8.3010	, 2.507	, 1.898	, 0.001
8.4010	, 2.498	, 1.868	, 0.001
8.5010	, 2.488	, 1.839	, 0.001
8.6010	, 2.479	, 1.811	, 0.001
8.7010	, 2.469	, 1.783	, 0.001
8.8010	, 2.460	, 1.756	, 0.001
8.9010	, 2.451	, 1.730	, 0.001
9.0010	, 2.443	, 1.705	, 0.001
9.1010	, 2.434	, 1.680	, 0.001
9.2010	, 2.426	, 1.657	, 0.001
9.3010	, 2.418	, 1.634	, 0.001
9.4010	, 2.410	, 1.611	, 0.001
9.5010	, 2.403	, 1.589	, 0.001
9.6010	, 2.396	, 1.568	, 0.001
9.7010	, 2.390	, 1.548	, 0.001
9.8010	, 2.383	, 1.528	, 0.001
9.9010	, 2.377	, 1.509	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0005149	0.0000000	0.0000000	0.0000000
0.020	-0.0016574	-0.0112080	-0.0001121	0.0000008
0.040	-0.0017206	-0.0443463	-0.0006676	0.0000024
0.060	-0.0009297	-0.0703460	-0.0018145	0.0000035
0.080	-0.0003934	-0.0833259	-0.0033513	0.0000038
0.100	-0.0002921	-0.0900509	-0.0050850	0.0000039
0.120	-0.0003178	-0.0960341	-0.0069459	0.0000039
0.140	-0.0002701	-0.1018009	-0.0089242	0.0000040
0.160	-0.0000762	-0.1051975	-0.0109942	0.0000040
0.180	-0.0001967	-0.1078745	-0.0131249	0.0000040
0.200	-0.0003056	-0.1128018	-0.0153317	0.0000040
0.220	-0.0001832	-0.1175969	-0.0176357	0.0000041
0.240	-0.0002011	-0.1213672	-0.0200253	0.0000041
0.260	-0.0003093	-0.1263746	-0.0225027	0.0000041
0.280	-0.0001618	-0.1309970	-0.0250765	0.0000042
0.300	-0.0001299	-0.1338592	-0.0277250	0.0000042
0.320	0.0002114	-0.1330600	-0.0303942	0.0000042
0.340	-0.0002727	-0.1336618	-0.0330614	0.0000042
0.360	0.0010402	-0.1261330	-0.0356594	0.0000046
0.380	0.0005876	-0.1101642	-0.0380224	0.0000050
0.400	0.0001899	-0.1025369	-0.0401494	0.0000051
0.420	0.0016303	-0.0846807	-0.0420215	0.0000058
0.440	-0.0006407	-0.0749733	-0.0436181	0.0000067
0.460	-0.0019498	-0.1003859	-0.0453717	0.0000079
0.480	-0.0003714	-0.1231564	-0.0476071	0.0000090
0.500	0.0020065	-0.1071160	-0.0499098	0.0000101
0.520	0.0037244	-0.0508957	-0.0514899	0.0000152
0.540	0.0022715	0.0079240	-0.0519197	0.0000205
0.560	-0.0011946	0.0184879	-0.0516555	0.0000224
0.580	-0.0025712	-0.0184547	-0.0516552	0.0000246
0.600	-0.0007084	-0.0506270	-0.0523460	0.0000266
0.620	0.0001021	-0.0565749	-0.0534180	0.0000268
0.640	0.0004294	-0.0513612	-0.0544974	0.0000268
0.660	0.0018949	-0.0285598	-0.0552966	0.0000279
0.680	0.0006550	-0.0035454	-0.0556177	0.0000290
0.700	-0.0009539	-0.0064779	-0.0557179	0.0000294
0.720	0.0004459	-0.0114614	-0.0558973	0.0000297
0.740	0.0018259	0.0108246	-0.0559037	0.0000307
0.760	0.0023891	0.0521738	-0.0552737	0.0000332
