 
PGA:,  0.13 g
PGV:,  8.94 cm/s
PGD:,  4.32 cm
Arias Intensity:,  22.83 cm/s
Significant duration:,  20.14 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.020	, 0.126
0.1010	, 0.051	, 3.174	, 0.201
0.2010	, 0.273	, 8.544	, 0.272
0.3010	, 0.702	, 14.654	, 0.312
0.4010	, 0.832	, 13.041	, 0.208
0.5010	, 1.415	, 17.743	, 0.227
0.6010	, 1.897	, 19.830	, 0.211
0.7010	, 1.965	, 17.615	, 0.161
0.8010	, 1.756	, 13.776	, 0.110
0.9010	, 1.907	, 13.295	, 0.095
1.0010	, 2.665	, 16.729	, 0.107
1.1010	, 4.116	, 23.491	, 0.137
1.2010	, 4.271	, 22.346	, 0.119
1.3010	, 3.671	, 17.728	, 0.087
1.4010	, 4.774	, 21.409	, 0.098
1.5010	, 5.117	, 21.421	, 0.091
1.6010	, 7.111	, 27.909	, 0.112
1.7010	, 9.176	, 33.893	, 0.128
1.8010	, 10.251	, 35.764	, 0.127
1.9010	, 9.112	, 30.116	, 0.101
2.0010	, 7.681	, 24.118	, 0.077
2.1010	, 6.652	, 19.894	, 0.061
2.2010	, 5.847	, 16.693	, 0.049
2.3010	, 6.265	, 17.106	, 0.048
2.4010	, 7.270	, 19.026	, 0.051
2.5010	, 7.725	, 19.408	, 0.050
2.6010	, 7.806	, 18.857	, 0.046
2.7010	, 9.886	, 22.997	, 0.055
2.8010	, 11.600	, 26.022	, 0.060
2.9010	, 12.823	, 27.772	, 0.061
3.0010	, 13.487	, 28.237	, 0.060
3.1010	, 13.605	, 27.565	, 0.057
3.2010	, 13.451	, 26.403	, 0.053
3.3010	, 13.358	, 25.425	, 0.049
3.4010	, 13.463	, 24.873	, 0.047
3.5010	, 13.599	, 24.405	, 0.045
3.6010	, 14.141	, 24.675	, 0.044
3.7010	, 14.800	, 25.126	, 0.043
3.8010	, 15.464	, 25.562	, 0.043
3.9010	, 16.157	, 26.024	, 0.043
4.0010	, 16.760	, 26.319	, 0.042
4.1010	, 17.076	, 26.162	, 0.041
4.2010	, 16.976	, 25.390	, 0.039
4.3010	, 16.452	, 24.035	, 0.036
4.4010	, 15.587	, 22.253	, 0.032
4.5010	, 15.338	, 21.411	, 0.030
4.6010	, 15.261	, 20.841	, 0.029
4.7010	, 15.036	, 20.096	, 0.027
4.8010	, 14.700	, 19.239	, 0.026
4.9010	, 14.234	, 18.248	, 0.024
5.0010	, 13.613	, 17.103	, 0.022
5.1010	, 12.849	, 15.827	, 0.020
5.2010	, 11.963	, 14.452	, 0.018
5.3010	, 11.416	, 13.532	, 0.016
5.4010	, 11.080	, 12.890	, 0.015
5.5010	, 10.677	, 12.195	, 0.014
5.6010	, 10.464	, 11.738	, 0.013
5.7010	, 10.397	, 11.459	, 0.013
5.8010	, 10.262	, 11.115	, 0.012
5.9010	, 10.077	, 10.729	, 0.012
6.0010	, 9.857	, 10.320	, 0.011
6.1010	, 9.615	, 9.903	, 0.010
6.2010	, 9.363	, 9.487	, 0.010
6.3010	, 9.107	, 9.082	, 0.009
6.4010	, 8.851	, 8.688	, 0.009
6.5010	, 8.596	, 8.308	, 0.008
6.6010	, 8.343	, 7.941	, 0.008
6.7010	, 8.091	, 7.587	, 0.007
6.8010	, 7.840	, 7.243	, 0.007
6.9010	, 7.589	, 6.910	, 0.006
7.0010	, 7.337	, 6.585	, 0.006
7.1010	, 7.085	, 6.269	, 0.006
7.2010	, 6.834	, 5.963	, 0.005
7.3010	, 6.583	, 5.665	, 0.005
7.4010	, 6.334	, 5.378	, 0.005
7.5010	, 6.089	, 5.101	, 0.004
7.6010	, 5.850	, 4.835	, 0.004
7.7010	, 5.616	, 4.582	, 0.004
7.8010	, 5.391	, 4.342	, 0.004
7.9010	, 5.278	, 4.197	, 0.003
8.0010	, 5.205	, 4.088	, 0.003
8.1010	, 5.257	, 4.077	, 0.003
8.2010	, 5.396	, 4.134	, 0.003
8.3010	, 5.519	, 4.178	, 0.003
8.4010	, 5.626	, 4.208	, 0.003
8.5010	, 5.718	, 4.226	, 0.003
8.6010	, 5.794	, 4.233	, 0.003
8.7010	, 5.857	, 4.229	, 0.003
8.8010	, 5.906	, 4.216	, 0.003
8.9010	, 5.943	, 4.195	, 0.003
9.0010	, 5.967	, 4.166	, 0.003
9.1010	, 5.981	, 4.129	, 0.003
9.2010	, 5.984	, 4.087	, 0.003
9.3010	, 5.978	, 4.038	, 0.003
9.4010	, 5.961	, 3.984	, 0.003
9.5010	, 5.936	, 3.925	, 0.003
9.6010	, 5.901	, 3.862	, 0.003
9.7010	, 5.858	, 3.794	, 0.003
9.8010	, 5.807	, 3.723	, 0.002
9.9010	, 5.748	, 3.648	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0001156	0.0000000	0.0000000	0.0000000
0.010	-0.0001100	-0.0011068	-0.0000055	0.0000000
0.020	-0.0001041	-0.0021568	-0.0000219	0.0000000
0.030	-0.0000979	-0.0031476	-0.0000484	0.0000000
0.040	-0.0000915	-0.0040768	-0.0000845	0.0000000
0.050	-0.0000857	-0.0049462	-0.0001296	0.0000000
0.060	-0.0001260	-0.0059845	-0.0001843	0.0000000
0.070	-0.0002202	-0.0076822	-0.0002526	0.0000001
0.080	-0.0001691	-0.0095917	-0.0003390	0.0000001
0.090	-0.0000486	-0.0106596	-0.0004402	0.0000001
0.100	-0.0000314	-0.0110518	-0.0005488	0.0000001
0.110	-0.0000470	-0.0114360	-0.0006612	0.0000001
