 
PGA:,  0.37 g
PGV:,  11.37 cm/s
PGD:,  1.57 cm
Arias Intensity:,  120.38 cm/s
Significant duration:,   9.48 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.057	, 0.365
0.1010	, 0.262	, 16.273	, 1.032
0.2010	, 1.253	, 39.174	, 1.248
0.3010	, 1.578	, 32.947	, 0.701
0.4010	, 1.700	, 26.633	, 0.425
0.5010	, 3.493	, 43.807	, 0.560
0.6010	, 2.494	, 26.072	, 0.278
0.7010	, 2.158	, 19.341	, 0.177
0.8010	, 2.237	, 17.548	, 0.140
0.9010	, 2.204	, 15.371	, 0.109
1.0010	, 1.514	, 9.502	, 0.061
1.1010	, 1.718	, 9.802	, 0.057
1.2010	, 1.953	, 10.216	, 0.054
1.3010	, 1.459	, 7.047	, 0.035
1.4010	, 1.498	, 6.718	, 0.031
1.5010	, 1.550	, 6.488	, 0.028
1.6010	, 1.536	, 6.030	, 0.024
1.7010	, 1.549	, 5.722	, 0.022
1.8010	, 1.605	, 5.598	, 0.020
1.9010	, 1.661	, 5.490	, 0.018
2.0010	, 2.122	, 6.662	, 0.021
2.1010	, 2.116	, 6.329	, 0.019
2.2010	, 2.128	, 6.074	, 0.018
2.3010	, 2.414	, 6.592	, 0.018
2.4010	, 2.397	, 6.272	, 0.017
2.5010	, 2.257	, 5.670	, 0.015
2.6010	, 2.707	, 6.538	, 0.016
2.7010	, 3.205	, 7.456	, 0.018
2.8010	, 3.356	, 7.529	, 0.017
2.9010	, 3.321	, 7.193	, 0.016
3.0010	, 3.339	, 6.991	, 0.015
3.1010	, 3.316	, 6.718	, 0.014
3.2010	, 3.178	, 6.239	, 0.012
3.3010	, 3.160	, 6.014	, 0.012
3.4010	, 3.112	, 5.749	, 0.011
3.5010	, 3.037	, 5.450	, 0.010
3.6010	, 2.944	, 5.138	, 0.009
3.7010	, 2.843	, 4.826	, 0.008
3.8010	, 2.736	, 4.523	, 0.008
3.9010	, 2.627	, 4.231	, 0.007
4.0010	, 2.518	, 3.954	, 0.006
4.1010	, 2.408	, 3.689	, 0.006
4.2010	, 2.296	, 3.434	, 0.005
4.3010	, 2.182	, 3.188	, 0.005
4.4010	, 2.107	, 3.008	, 0.004
4.5010	, 2.117	, 2.955	, 0.004
4.6010	, 2.125	, 2.902	, 0.004
4.7010	, 2.126	, 2.842	, 0.004
4.8010	, 2.121	, 2.776	, 0.004
4.9010	, 2.108	, 2.702	, 0.004
5.0010	, 2.087	, 2.622	, 0.003
5.1010	, 2.058	, 2.535	, 0.003
5.2010	, 2.024	, 2.445	, 0.003
5.3010	, 1.983	, 2.350	, 0.003
5.4010	, 1.938	, 2.254	, 0.003
5.5010	, 1.889	, 2.158	, 0.003
5.6010	, 1.839	, 2.063	, 0.002
5.7010	, 1.787	, 1.970	, 0.002
5.8010	, 1.735	, 1.880	, 0.002
5.9010	, 1.684	, 1.793	, 0.002
6.0010	, 1.636	, 1.713	, 0.002
6.1010	, 1.628	, 1.677	, 0.002
6.2010	, 1.618	, 1.640	, 0.002
6.3010	, 1.606	, 1.601	, 0.002
6.4010	, 1.592	, 1.562	, 0.002
6.5010	, 1.576	, 1.523	, 0.002
6.6010	, 1.559	, 1.484	, 0.001
6.7010	, 1.541	, 1.444	, 0.001
6.8010	, 1.522	, 1.406	, 0.001
6.9010	, 1.503	, 1.368	, 0.001
7.0010	, 1.484	, 1.331	, 0.001
7.1010	, 1.464	, 1.296	, 0.001
7.2010	, 1.446	, 1.261	, 0.001
7.3010	, 1.427	, 1.228	, 0.001
7.4010	, 1.409	, 1.196	, 0.001
7.5010	, 1.392	, 1.166	, 0.001
7.6010	, 1.375	, 1.137	, 0.001
7.7010	, 1.359	, 1.109	, 0.001
7.8010	, 1.344	, 1.083	, 0.001
7.9010	, 1.330	, 1.058	, 0.001
8.0010	, 1.326	, 1.041	, 0.001
8.1010	, 1.321	, 1.025	, 0.001
8.2010	, 1.316	, 1.008	, 0.001
8.3010	, 1.310	, 0.992	, 0.001
8.4010	, 1.305	, 0.976	, 0.001
8.5010	, 1.299	, 0.960	, 0.001
8.6010	, 1.293	, 0.944	, 0.001
8.7010	, 1.287	, 0.929	, 0.001
8.8010	, 1.280	, 0.914	, 0.001
8.9010	, 1.274	, 0.899	, 0.001
9.0010	, 1.268	, 0.885	, 0.001
9.1010	, 1.266	, 0.874	, 0.001
9.2010	, 1.269	, 0.866	, 0.001
9.3010	, 1.271	, 0.859	, 0.001
9.4010	, 1.273	, 0.851	, 0.001
9.5010	, 1.275	, 0.843	, 0.001
9.6010	, 1.276	, 0.835	, 0.001
9.7010	, 1.277	, 0.827	, 0.001
9.8010	, 1.278	, 0.819	, 0.001
9.9010	, 1.278	, 0.811	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0001439	0.0000000	0.0000000	0.0000000
0.010	-0.0001740	-0.0015593	-0.0000078	0.0000000
0.020	-0.0002021	-0.0034040	-0.0000326	0.0000000
0.030	-0.0002761	-0.0057496	-0.0000784	0.0000000
0.040	-0.0002520	-0.0083400	-0.0001488	0.0000000
0.050	-0.0002479	-0.0107919	-0.0002445	0.0000000
0.060	-0.0002983	-0.0134711	-0.0003658	0.0000000
0.070	-0.0001949	-0.0158902	-0.0005126	0.0000001
0.080	-0.0000311	-0.0169986	-0.0006771	0.0000001
0.090	0.0000148	-0.0170783	-0.0008474	0.0000001
0.100	-0.0000409	-0.0172058	-0.0010189	0.0000001
0.110	-0.0000939	-0.0178667	-0.0011942	0.0000001
0.120	0.0000704	-0.0179816	-0.0013735	0.0000001
0.130	0.0002064	-0.0166236	-0.0015465	0.0000001
0.140	0.0000874	-0.0151824	-0.0017055	0.0000001
0.150	-0.0001493	-0.0154861	-0.0018589	0.0000001
0.160	-0.0001512	-0.0169601	-0.0020211	0.0000001
0.170	0.0000104	-0.0176506	-0.0021941	0.0000001
0.180	-0.0002192	-0.0186748	-0.0023758	0.0000001
0.190	-0.0007077	-0.0232215	-0.0025853	0.0000001
0.200	-0.0009119	-0.0311660	-0.0028572	0.0000002
0.210	-0.0006107	-0.0386343	-0.0032062	0.0000003
0.220	-0.0003511	-0.0433518	-0.0036161	0.0000003
0.230	-0.0006198	-0.0481142	-0.0040735	0.0000003
