 
PGA:,  0.07 g
PGV:,  5.11 cm/s
PGD:,  0.89 cm
Arias Intensity:,  10.33 cm/s
Significant duration:,  18.96 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.012	, 0.074
0.1010	, 0.034	, 2.123	, 0.135
0.2010	, 0.267	, 8.342	, 0.266
0.3010	, 0.368	, 7.690	, 0.164
0.4010	, 0.677	, 10.615	, 0.170
0.5010	, 0.923	, 11.578	, 0.148
0.6010	, 1.067	, 11.152	, 0.119
0.7010	, 1.097	, 9.835	, 0.090
0.8010	, 1.419	, 11.131	, 0.089
0.9010	, 1.135	, 7.918	, 0.056
1.0010	, 1.798	, 11.284	, 0.072
1.1010	, 2.593	, 14.800	, 0.086
1.2010	, 2.011	, 10.519	, 0.056
1.3010	, 2.113	, 10.206	, 0.050
1.4010	, 3.037	, 13.619	, 0.062
1.5010	, 3.700	, 15.489	, 0.066
1.6010	, 3.125	, 12.264	, 0.049
1.7010	, 3.403	, 12.569	, 0.047
1.8010	, 2.880	, 10.047	, 0.036
1.9010	, 2.593	, 8.570	, 0.029
2.0010	, 2.774	, 8.711	, 0.028
2.1010	, 2.510	, 7.508	, 0.023
2.2010	, 2.187	, 6.244	, 0.018
2.3010	, 1.662	, 4.537	, 0.013
2.4010	, 1.330	, 3.481	, 0.009
2.5010	, 1.276	, 3.205	, 0.008
2.6010	, 1.312	, 3.169	, 0.008
2.7010	, 1.296	, 3.014	, 0.007
2.8010	, 1.181	, 2.649	, 0.006
2.9010	, 1.205	, 2.611	, 0.006
3.0010	, 1.267	, 2.653	, 0.006
3.1010	, 1.261	, 2.554	, 0.005
3.2010	, 1.252	, 2.457	, 0.005
3.3010	, 1.299	, 2.473	, 0.005
3.4010	, 1.332	, 2.460	, 0.005
3.5010	, 1.261	, 2.262	, 0.004
3.6010	, 1.133	, 1.976	, 0.004
3.7010	, 1.081	, 1.835	, 0.003
3.8010	, 1.100	, 1.818	, 0.003
3.9010	, 1.117	, 1.798	, 0.003
4.0010	, 1.094	, 1.718	, 0.003
4.1010	, 1.048	, 1.605	, 0.003
4.2010	, 0.995	, 1.488	, 0.002
4.3010	, 0.954	, 1.394	, 0.002
4.4010	, 0.927	, 1.324	, 0.002
4.5010	, 0.914	, 1.276	, 0.002
4.6010	, 0.906	, 1.238	, 0.002
4.7010	, 0.898	, 1.200	, 0.002
