 
PGA:,  0.09 g
PGV:,  7.41 cm/s
PGD:,  11.03 cm
Arias Intensity:,  16.62 cm/s
Significant duration:,  21.60 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.091
0.1010	, 0.084	, 5.216	, 0.331
0.2010	, 0.219	, 6.852	, 0.218
0.3010	, 0.359	, 7.504	, 0.160
0.4010	, 0.595	, 9.316	, 0.149
0.5010	, 1.149	, 14.415	, 0.184
0.6010	, 1.370	, 14.326	, 0.153
0.7010	, 1.497	, 13.414	, 0.123
0.8010	, 1.477	, 11.589	, 0.093
0.9010	, 1.936	, 13.500	, 0.096
1.0010	, 2.456	, 15.418	, 0.099
1.1010	, 2.301	, 13.134	, 0.076
1.2010	, 1.776	, 9.290	, 0.050
1.3010	, 2.333	, 11.269	, 0.055
1.4010	, 2.323	, 10.418	, 0.048
1.5010	, 2.922	, 12.232	, 0.052
1.6010	, 3.332	, 13.075	, 0.052
1.7010	, 3.946	, 14.577	, 0.055
1.8010	, 3.716	, 12.966	, 0.046
1.9010	, 4.075	, 13.468	, 0.045
2.0010	, 5.089	, 15.979	, 0.051
2.1010	, 6.212	, 18.577	, 0.057
2.2010	, 5.793	, 16.538	, 0.048
2.3010	, 4.964	, 13.555	, 0.038
2.4010	, 5.131	, 13.426	, 0.036
2.5010	, 5.437	, 13.658	, 0.035
2.6010	, 6.049	, 14.613	, 0.036
2.7010	, 6.489	, 15.096	, 0.036
2.8010	, 6.236	, 13.988	, 0.032
2.9010	, 5.917	, 12.814	, 0.028
3.0010	, 5.475	, 11.464	, 0.024
3.1010	, 4.950	, 10.030	, 0.021
3.2010	, 4.537	, 8.905	, 0.018
3.3010	, 4.249	, 8.088	, 0.016
3.4010	, 4.244	, 7.841	, 0.015
3.5010	, 4.498	, 8.072	, 0.015
3.6010	, 4.878	, 8.511	, 0.015
3.7010	, 5.234	, 8.886	, 0.015
3.8010	, 5.461	, 9.026	, 0.015
3.9010	, 5.517	, 8.887	, 0.015
4.0010	, 5.906	, 9.275	, 0.015
4.1010	, 6.184	, 9.474	, 0.015
4.2010	, 6.025	, 9.012	, 0.014
4.3010	, 5.569	, 8.135	, 0.012
4.4010	, 5.442	, 7.769	, 0.011
4.5010	, 5.473	, 7.640	, 0.011
4.6010	, 5.687	, 7.767	, 0.011
4.7010	, 5.898	, 7.882	, 0.011
4.8010	, 6.058	, 7.928	, 0.011
4.9010	, 6.503	, 8.337	, 0.011
5.0010	, 6.870	, 8.631	, 0.011
5.1010	, 7.000	, 8.622	, 0.011
5.2010	, 6.847	, 8.272	, 0.010
5.3010	, 6.449	, 7.644	, 0.009
5.4010	, 5.882	, 6.842	, 0.008
5.5010	, 5.170	, 5.905	, 0.007
5.6010	, 4.637	, 5.202	, 0.006
5.7010	, 4.589	, 5.058	, 0.006
5.8010	, 4.514	, 4.889	, 0.005
5.9010	, 4.372	, 4.655	, 0.005
6.0010	, 4.177	, 4.373	, 0.005
6.1010	, 3.954	, 4.072	, 0.004
6.2010	, 3.728	, 3.778	, 0.004
6.3010	, 3.540	, 3.530	, 0.004
6.4010	, 3.530	, 3.465	, 0.003
6.5010	, 3.502	, 3.384	, 0.003
6.6010	, 3.458	, 3.292	, 0.003
6.7010	, 3.406	, 3.194	, 0.003
6.8010	, 3.352	, 3.097	, 0.003
6.9010	, 3.298	, 3.003	, 0.003
7.0010	, 3.248	, 2.915	, 0.003
7.1010	, 3.202	, 2.834	, 0.003
7.2010	, 3.164	, 2.761	, 0.002
7.3010	, 3.134	, 2.697	, 0.002
7.4010	, 3.110	, 2.640	, 0.002
7.5010	, 3.092	, 2.590	, 0.002
7.6010	, 3.079	, 2.545	, 0.002
7.7010	, 3.070	, 2.505	, 0.002
7.8010	, 3.064	, 2.468	, 0.002
7.9010	, 3.060	, 2.433	, 0.002
8.0010	, 3.055	, 2.399	, 0.002
8.1010	, 3.050	, 2.366	, 0.002
8.2010	, 3.043	, 2.332	, 0.002
8.3010	, 3.035	, 2.297	, 0.002
8.4010	, 3.023	, 2.261	, 0.002
8.5010	, 3.007	, 2.223	, 0.002
8.6010	, 2.988	, 2.183	, 0.002
8.7010	, 2.966	, 2.142	, 0.002
8.8010	, 2.939	, 2.098	, 0.002
8.9010	, 2.909	, 2.054	, 0.001
9.0010	, 2.877	, 2.008	, 0.001
9.1010	, 2.841	, 1.961	, 0.001
9.2010	, 2.803	, 1.914	, 0.001
9.3010	, 2.808	, 1.897	, 0.001
9.4010	, 2.847	, 1.903	, 0.001
9.5010	, 2.884	, 1.907	, 0.001
9.6010	, 2.917	, 1.909	, 0.001
9.7010	, 2.944	, 1.907	, 0.001
9.8010	, 2.965	, 1.901	, 0.001
9.9010	, 2.979	, 1.890	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0021194	0.0000000	0.0000000	0.0000000
0.020	-0.0032910	-0.0530766	-0.0005308	0.0000142
0.040	-0.0028174	-0.1130004	-0.0021915	0.0000316
0.060	-0.0024101	-0.1642817	-0.0049644	0.0000444
