 
PGA:,  0.57 g
PGV:,  76.23 cm/s
PGD:,  41.62 cm
Arias Intensity:,  324.16 cm/s
Significant duration:,   6.90 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.089	, 0.571
0.1010	, 0.193	, 11.992	, 0.760
0.2010	, 1.154	, 36.075	, 1.150
0.3010	, 3.165	, 66.058	, 1.406
0.4010	, 5.317	, 83.312	, 1.331
0.5010	, 4.227	, 53.006	, 0.678
0.6010	, 6.257	, 65.419	, 0.697
0.7010	, 10.381	, 93.043	, 0.850
0.8010	, 13.968	, 109.567	, 0.876
0.9010	, 12.632	, 88.090	, 0.626
1.0010	, 13.940	, 87.503	, 0.560
1.1010	, 15.171	, 86.576	, 0.504
1.2010	, 16.513	, 86.392	, 0.461
1.3010	, 17.796	, 85.946	, 0.423
1.4010	, 20.252	, 90.825	, 0.415
1.5010	, 22.117	, 92.581	, 0.395
1.6010	, 25.447	, 99.868	, 0.400
1.7010	, 29.348	, 108.406	, 0.408
1.8010	, 33.414	, 116.571	, 0.415
1.9010	, 37.317	, 123.340	, 0.416
2.0010	, 41.630	, 130.719	, 0.418
2.1010	, 46.064	, 137.757	, 0.420
2.2010	, 50.171	, 143.223	, 0.417
2.3010	, 56.912	, 155.405	, 0.433
2.4010	, 67.893	, 177.668	, 0.474
2.5010	, 77.055	, 193.583	, 0.496
2.6010	, 83.826	, 202.497	, 0.499
2.7010	, 87.826	, 204.305	, 0.484
2.8010	, 89.031	, 199.714	, 0.457
2.9010	, 89.533	, 193.916	, 0.428
3.0010	, 89.666	, 187.734	, 0.401
3.1010	, 87.120	, 176.521	, 0.365
3.2010	, 85.472	, 167.771	, 0.336
3.3010	, 83.903	, 159.703	, 0.310
3.4010	, 81.067	, 149.767	, 0.282
3.5010	, 78.918	, 141.632	, 0.259
3.6010	, 78.069	, 136.218	, 0.242
3.7010	, 76.294	, 129.524	, 0.224
3.8010	, 76.137	, 125.857	, 0.212
3.9010	, 75.563	, 121.706	, 0.200
4.0010	, 74.631	, 117.201	, 0.188
4.1010	, 73.442	, 112.521	, 0.176
4.2010	, 72.716	, 108.757	, 0.166
4.3010	, 72.090	, 105.314	, 0.157
4.4010	, 71.182	, 101.624	, 0.148
4.5010	, 69.989	, 97.701	, 0.139
4.6010	, 68.536	, 93.593	, 0.130
4.7010	, 66.865	, 89.370	, 0.122
4.8010	, 65.027	, 85.102	, 0.114
4.9010	, 63.066	, 80.852	, 0.106
5.0010	, 61.995	, 77.890	, 0.100
5.1010	, 62.003	, 76.373	, 0.096
5.2010	, 61.970	, 74.864	, 0.092
5.3010	, 61.898	, 73.367	, 0.089
5.4010	, 61.792	, 71.885	, 0.085
5.5010	, 61.659	, 70.427	, 0.082
5.6010	, 61.502	, 68.993	, 0.079
5.7010	, 61.324	, 67.586	, 0.076
5.8010	, 61.123	, 66.204	, 0.073
5.9010	, 60.899	, 64.843	, 0.070
6.0010	, 60.650	, 63.502	, 0.068
6.1010	, 60.379	, 62.182	, 0.065
6.2010	, 60.087	, 60.883	, 0.063
6.3010	, 59.776	, 59.607	, 0.061
6.4010	, 59.447	, 58.353	, 0.058
6.5010	, 59.102	, 57.122	, 0.056
6.6010	, 58.746	, 55.917	, 0.054
6.7010	, 58.377	, 54.737	, 0.052
6.8010	, 57.998	, 53.582	, 0.050
6.9010	, 57.611	, 52.453	, 0.049
7.0010	, 57.216	, 51.349	, 0.047
7.1010	, 56.816	, 50.273	, 0.045
7.2010	, 56.411	, 49.221	, 0.044
7.3010	, 56.004	, 48.197	, 0.042
7.4010	, 55.595	, 47.198	, 0.041
7.5010	, 55.185	, 46.225	, 0.039
7.6010	, 54.775	, 45.278	, 0.038
7.7010	, 54.367	, 44.357	, 0.037
7.8010	, 53.961	, 43.462	, 0.036
7.9010	, 53.558	, 42.591	, 0.035
8.0010	, 53.157	, 41.744	, 0.033
8.1010	, 52.759	, 40.921	, 0.032
8.2010	, 52.364	, 40.119	, 0.031
8.3010	, 51.971	, 39.338	, 0.030
8.4010	, 51.582	, 38.579	, 0.029
8.5010	, 51.195	, 37.839	, 0.029
8.6010	, 50.812	, 37.119	, 0.028
8.7010	, 50.432	, 36.418	, 0.027
8.8010	, 50.055	, 35.735	, 0.026
8.9010	, 49.682	, 35.071	, 0.025
9.0010	, 49.314	, 34.424	, 0.024
9.1010	, 48.949	, 33.793	, 0.024
9.2010	, 48.588	, 33.179	, 0.023
9.3010	, 48.231	, 32.582	, 0.022
9.4010	, 47.879	, 32.000	, 0.022
9.5010	, 47.532	, 31.434	, 0.021
9.6010	, 47.189	, 30.882	, 0.021
9.7010	, 46.850	, 30.344	, 0.020
9.8010	, 46.516	, 29.820	, 0.019
9.9010	, 46.186	, 29.310	, 0.019
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0010874	0.0000000	0.0000000	0.0000000
0.005	0.0010903	0.0053408	0.0000134	0.0000000
0.010	0.0011043	0.0107230	0.0000535	0.0000001
0.015	0.0011320	0.0162075	0.0001208	0.0000001
0.020	0.0011667	0.0218452	0.0002160	0.0000001
0.025	0.0011868	0.0276173	0.0003396	0.0000002
0.030	0.0011767	0.0334139	0.0004922	0.0000002
0.035	0.0011409	0.0390977	0.0006735	0.0000002
0.040	0.0011047	0.0446049	0.0008827	0.0000002
0.045	0.0010660	0.0499285	0.0011191	0.0000003
0.050	0.0010308	0.0550708	0.0013816	0.0000003
0.055	0.0010312	0.0601279	0.0016696	0.0000003
0.060	0.0010944	0.0653410	0.0019832	0.0000004
0.065	0.0011991	0.0709658	0.0023240	0.0000004
0.070	0.0013159	0.0771337	0.0026943	0.0000004
0.075	0.0014324	0.0838738	0.0030968	0.0000005
0.080	0.0015086	0.0910864	0.0035342	0.0000005
0.085	0.0015279	0.0985334	0.0040082	0.0000006
0.090	0.0015057	0.1059732	0.0045195	0.0000006
0.095	0.0014643	0.1132571	0.0050676	0.0000007
0.100	0.0014296	0.1203544	0.0056516	0.0000007
0.105	0.0014231	0.1273506	0.0062709	0.0000008
0.110	0.0014807	0.1344720	0.0069254	0.0000008
0.115	0.0016038	0.1420366	0.0076167	0.0000009
0.120	0.0017768	0.1503275	0.0083476	0.0000010
0.125	0.0019646	0.1595033	0.0091222	0.0000010
0.130	0.0021239	0.1695305	0.0099448	0.0000011
0.135	0.0022054	0.1801483	0.0108190	0.0000012
0.140	0.0021690	0.1908765	0.0117465	0.0000014
0.145	0.0020074	0.2011190	0.0127265	0.0000015
0.150	0.0017471	0.2103269	0.0137551	0.0000015
0.155	0.0014550	0.2181800	0.0148264	0.0000016
0.160	0.0012421	0.2247946	0.0159338	0.0000017
0.165	0.0012061	0.2307989	0.0170728	0.0000017
0.170	0.0013309	0.2370209	0.0182424	0.0000017
0.175	0.0015675	0.2441291	0.0194452	0.0000018
0.180	0.0018263	0.2524524	0.0206867	0.0000018
0.185	0.0020254	0.2618989	0.0219726	0.0000019
0.190	0.0021061	0.2720314	0.0233074	0.0000020
0.195	0.0019978	0.2820963	0.0246927	0.0000021
0.200	0.0016861	0.2911312	0.0261258	0.0000022
0.205	0.0012622	0.2983620	0.0275995	0.0000023
0.210	0.0008495	0.3035409	0.0291043	0.0000023
