 
PGA:,  0.21 g
PGV:,  10.00 cm/s
PGD:,  7.87 cm
Arias Intensity:,  40.20 cm/s
Significant duration:,  19.44 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.033	, 0.208
0.1010	, 0.077	, 4.784	, 0.303
0.2010	, 0.461	, 14.413	, 0.459
0.3010	, 0.678	, 14.147	, 0.301
0.4010	, 1.930	, 30.235	, 0.483
0.5010	, 2.292	, 28.742	, 0.367
0.6010	, 2.278	, 23.815	, 0.254
0.7010	, 2.288	, 20.506	, 0.187
0.8010	, 2.827	, 22.178	, 0.177
0.9010	, 2.897	, 20.204	, 0.144
1.0010	, 3.824	, 24.004	, 0.154
1.1010	, 3.878	, 22.130	, 0.129
1.2010	, 3.827	, 20.022	, 0.107
1.3010	, 2.867	, 13.845	, 0.068
1.4010	, 3.495	, 15.673	, 0.072
1.5010	, 4.050	, 16.952	, 0.072
1.6010	, 5.085	, 19.955	, 0.080
1.7010	, 5.509	, 20.351	, 0.077
1.8010	, 5.502	, 19.194	, 0.068
1.9010	, 5.517	, 18.235	, 0.061
2.0010	, 5.781	, 18.152	, 0.058
2.1010	, 6.522	, 19.505	, 0.059
2.2010	, 7.400	, 21.124	, 0.061
2.3010	, 7.950	, 21.709	, 0.060
2.4010	, 9.472	, 24.788	, 0.066
2.5010	, 9.757	, 24.512	, 0.063
2.6010	, 8.947	, 21.612	, 0.053
2.7010	, 8.093	, 18.827	, 0.045
2.8010	, 7.031	, 15.771	, 0.036
2.9010	, 6.253	, 13.543	, 0.030
3.0010	, 5.624	, 11.776	, 0.025
3.1010	, 5.136	, 10.407	, 0.021
3.2010	, 4.578	, 8.986	, 0.018
3.3010	, 4.406	, 8.386	, 0.016
3.4010	, 4.316	, 7.974	, 0.015
3.5010	, 4.326	, 7.764	, 0.014
3.6010	, 4.425	, 7.720	, 0.014
3.7010	, 4.582	, 7.779	, 0.013
3.8010	, 4.788	, 7.915	, 0.013
3.9010	, 4.991	, 8.038	, 0.013
4.0010	, 5.158	, 8.099	, 0.013
4.1010	, 5.264	, 8.064	, 0.013
4.2010	, 5.309	, 7.941	, 0.012
4.3010	, 5.287	, 7.723	, 0.012
4.4010	, 5.205	, 7.430	, 0.011
