 
PGA:,  0.24 g
PGV:,  15.02 cm/s
PGD:,  10.29 cm
Arias Intensity:,  67.02 cm/s
Significant duration:,  16.56 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.037	, 0.239
0.1010	, 0.100	, 6.221	, 0.395
0.2010	, 0.457	, 14.279	, 0.455
0.3010	, 1.493	, 31.164	, 0.663
0.4010	, 1.981	, 31.036	, 0.496
0.5010	, 2.469	, 30.959	, 0.396
0.6010	, 2.554	, 26.696	, 0.284
0.7010	, 2.864	, 25.671	, 0.235
0.8010	, 3.890	, 30.516	, 0.244
0.9010	, 3.084	, 21.506	, 0.153
1.0010	, 3.996	, 25.080	, 0.160
1.1010	, 5.222	, 29.798	, 0.173
1.2010	, 4.727	, 24.729	, 0.132
1.3010	, 7.209	, 34.816	, 0.171
1.4010	, 6.962	, 31.223	, 0.143
1.5010	, 8.061	, 33.742	, 0.144
1.6010	, 7.821	, 30.696	, 0.123
1.7010	, 7.603	, 28.085	, 0.106
1.8010	, 10.179	, 35.512	, 0.126
1.9010	, 11.334	, 37.462	, 0.126
2.0010	, 13.125	, 41.212	, 0.132
2.1010	, 14.439	, 43.181	, 0.132
2.2010	, 13.834	, 39.492	, 0.115
2.3010	, 12.580	, 34.351	, 0.096
2.4010	, 11.766	, 30.791	, 0.082
2.5010	, 11.390	, 28.615	, 0.073
2.6010	, 13.444	, 32.475	, 0.080
2.7010	, 14.222	, 33.085	, 0.078
2.8010	, 14.351	, 32.193	, 0.074
2.9010	, 15.006	, 32.501	, 0.072
3.0010	, 15.606	, 32.674	, 0.070
3.1010	, 15.385	, 31.173	, 0.064
3.2010	, 14.302	, 28.072	, 0.056
3.3010	, 13.971	, 26.593	, 0.052
3.4010	, 15.478	, 28.594	, 0.054
3.5010	, 17.576	, 31.543	, 0.058
3.6010	, 20.144	, 35.148	, 0.063
3.7010	, 22.503	, 38.203	, 0.066
3.8010	, 23.909	, 39.523	, 0.067
3.9010	, 23.777	, 38.297	, 0.063
4.0010	, 22.493	, 35.324	, 0.057
4.1010	, 21.082	, 32.300	, 0.050
4.2010	, 20.362	, 30.455	, 0.046
4.3010	, 19.816	, 28.949	, 0.043
4.4010	, 19.183	, 27.388	, 0.040
4.5010	, 18.916	, 26.406	, 0.038
4.6010	, 18.563	, 25.350	, 0.035
4.7010	, 17.737	, 23.706	, 0.032
4.8010	, 16.486	, 21.575	, 0.029
4.9010	, 14.970	, 19.192	, 0.025
5.0010	, 13.401	, 16.837	, 0.022
5.1010	, 12.281	, 15.127	, 0.019
5.2010	, 11.336	, 13.695	, 0.017
5.3010	, 10.453	, 12.390	, 0.015
5.4010	, 9.747	, 11.339	, 0.013
5.5010	, 9.586	, 10.950	, 0.013
5.6010	, 9.536	, 10.698	, 0.012
