 
PGA:,  0.26 g
PGV:,  20.99 cm/s
PGD:,  7.22 cm
Arias Intensity:,  117.83 cm/s
Significant duration:,  13.18 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.040	, 0.256
0.1010	, 0.093	, 5.795	, 0.367
0.2010	, 0.911	, 28.468	, 0.907
0.3010	, 1.319	, 27.524	, 0.586
0.4010	, 2.076	, 32.529	, 0.520
0.5010	, 2.566	, 32.185	, 0.411
0.6010	, 4.392	, 45.919	, 0.489
0.7010	, 3.827	, 34.303	, 0.313
0.8010	, 5.456	, 42.796	, 0.342
0.9010	, 7.716	, 53.807	, 0.382
1.0010	, 6.662	, 41.814	, 0.268
1.1010	, 6.462	, 36.880	, 0.215
1.2010	, 9.245	, 48.368	, 0.258
1.3010	, 8.673	, 41.884	, 0.206
1.4010	, 9.045	, 40.566	, 0.185
1.5010	, 12.112	, 50.699	, 0.216
1.6010	, 14.324	, 56.217	, 0.225
1.7010	, 15.535	, 57.384	, 0.216
1.8010	, 16.017	, 55.879	, 0.199
1.9010	, 15.815	, 52.273	, 0.176
2.0010	, 14.747	, 46.305	, 0.148
2.1010	, 13.153	, 39.336	, 0.120
2.2010	, 15.387	, 43.926	, 0.128
2.3010	, 19.692	, 53.772	, 0.150
2.4010	, 22.273	, 58.286	, 0.155
2.5010	, 22.800	, 57.281	, 0.147
2.6010	, 22.131	, 53.461	, 0.132
2.7010	, 20.722	, 48.205	, 0.114
2.8010	, 19.662	, 44.105	, 0.101
2.9010	, 18.811	, 40.742	, 0.090
3.0010	, 18.318	, 38.353	, 0.082
3.1010	, 18.169	, 36.813	, 0.076
3.2010	, 18.177	, 35.680	, 0.071
3.3010	, 18.483	, 35.180	, 0.068
3.4010	, 18.840	, 34.807	, 0.066
3.5010	, 20.637	, 37.037	, 0.068
3.6010	, 21.337	, 37.230	, 0.066
3.7010	, 21.188	, 35.971	, 0.062
3.8010	, 19.904	, 32.902	, 0.055
3.9010	, 17.907	, 28.842	, 0.047
4.0010	, 15.808	, 24.825	, 0.040
4.1010	, 14.175	, 21.718	, 0.034
4.2010	, 12.960	, 19.383	, 0.030
4.3010	, 12.265	, 17.917	, 0.027
4.4010	, 12.115	, 17.297	, 0.025
4.5010	, 12.363	, 17.258	, 0.025
4.6010	, 12.779	, 17.451	, 0.024
4.7010	, 13.144	, 17.568	, 0.024
4.8010	, 13.296	, 17.400	, 0.023
4.9010	, 13.138	, 16.843	, 0.022
5.0010	, 12.645	, 15.887	, 0.020
5.1010	, 11.843	, 14.587	, 0.018
5.2010	, 10.788	, 13.033	, 0.016
5.3010	, 10.345	, 12.262	, 0.015
5.4010	, 9.712	, 11.299	, 0.013
5.5010	, 9.423	, 10.762	, 0.013
5.6010	, 9.313	, 10.447	, 0.012
5.7010	, 9.818	, 10.821	, 0.012
5.8010	, 10.246	, 11.098	, 0.012
5.9010	, 10.604	, 11.291	, 0.012
6.0010	, 10.882	, 11.394	, 0.012
6.1010	, 11.081	, 11.412	, 0.012
6.2010	, 11.207	, 11.355	, 0.012
6.3010	, 11.274	, 11.242	, 0.011
6.4010	, 11.276	, 11.068	, 0.011
6.5010	, 11.220	, 10.844	, 0.011
6.6010	, 11.113	, 10.578	, 0.010
6.7010	, 10.968	, 10.284	, 0.010
6.8010	, 10.784	, 9.963	, 0.009
6.9010	, 10.566	, 9.620	, 0.009
7.0010	, 10.321	, 9.262	, 0.008
7.1010	, 10.052	, 8.894	, 0.008
7.2010	, 9.929	, 8.663	, 0.008
7.3010	, 9.842	, 8.470	, 0.007
7.4010	, 9.654	, 8.196	, 0.007
7.5010	, 9.377	, 7.854	, 0.007
7.6010	, 9.016	, 7.453	, 0.006
7.7010	, 9.144	, 7.461	, 0.006
7.8010	, 9.317	, 7.504	, 0.006
7.9010	, 9.654	, 7.677	, 0.006
8.0010	, 9.938	, 7.804	, 0.006
8.1010	, 10.169	, 7.887	, 0.006
8.2010	, 10.348	, 7.928	, 0.006
8.3010	, 10.478	, 7.931	, 0.006
8.4010	, 10.560	, 7.898	, 0.006
8.5010	, 10.599	, 7.834	, 0.006
8.6010	, 10.597	, 7.741	, 0.006
8.7010	, 10.557	, 7.623	, 0.006
8.8010	, 10.483	, 7.484	, 0.005
8.9010	, 10.380	, 7.327	, 0.005
9.0010	, 10.252	, 7.156	, 0.005
9.1010	, 10.251	, 7.077	, 0.005
9.2010	, 10.256	, 7.003	, 0.005
9.3010	, 10.254	, 6.927	, 0.005
9.4010	, 10.247	, 6.849	, 0.005
9.5010	, 10.236	, 6.769	, 0.005
9.6010	, 10.219	, 6.688	, 0.004
9.7010	, 10.198	, 6.605	, 0.004
9.8010	, 10.173	, 6.522	, 0.004
9.9010	, 10.144	, 6.438	, 0.004
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0013665	0.0000000	0.0000000	0.0000000
0.020	-0.0004824	0.0086729	0.0000867	0.0000003
0.040	-0.0020519	-0.0161885	0.0000116	0.0000009
0.060	-0.0012467	-0.0485476	-0.0006358	0.0000016
0.080	-0.0007506	-0.0681417	-0.0018027	0.0000019
0.100	0.0019252	-0.0566190	-0.0030503	0.0000024
0.120	0.0023428	-0.0147499	-0.0037640	0.0000036
