 
PGA:,  0.26 g
PGV:,  12.78 cm/s
PGD:,  2.86 cm
Arias Intensity:,  87.23 cm/s
Significant duration:,  11.63 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.041	, 0.263
0.1010	, 0.129	, 8.012	, 0.508
0.2010	, 0.909	, 28.429	, 0.906
0.3010	, 1.678	, 35.027	, 0.745
0.4010	, 1.600	, 25.064	, 0.400
0.5010	, 1.834	, 23.006	, 0.294
0.6010	, 2.163	, 22.609	, 0.241
0.7010	, 2.387	, 21.398	, 0.196
0.8010	, 1.853	, 14.533	, 0.116
0.9010	, 2.996	, 20.896	, 0.149
1.0010	, 3.056	, 19.184	, 0.123
1.1010	, 3.592	, 20.498	, 0.119
1.2010	, 4.044	, 21.158	, 0.113
1.3010	, 4.394	, 21.222	, 0.104
1.4010	, 4.193	, 18.805	, 0.086
1.5010	, 5.888	, 24.646	, 0.105
1.6010	, 6.305	, 24.746	, 0.099
1.7010	, 5.002	, 18.475	, 0.070
1.8010	, 4.502	, 15.708	, 0.056
1.9010	, 4.146	, 13.702	, 0.046
2.0010	, 3.962	, 12.442	, 0.040
2.1010	, 4.050	, 12.111	, 0.037
2.2010	, 3.886	, 11.094	, 0.032
2.3010	, 4.014	, 10.961	, 0.031
2.4010	, 3.526	, 9.228	, 0.025
2.5010	, 3.462	, 8.698	, 0.022
2.6010	, 3.736	, 9.024	, 0.022
2.7010	, 3.804	, 8.848	, 0.021
2.8010	, 3.725	, 8.355	, 0.019
2.9010	, 3.931	, 8.514	, 0.019
3.0010	, 4.581	, 9.590	, 0.020
3.1010	, 5.478	, 11.099	, 0.023
3.2010	, 6.393	, 12.549	, 0.025
3.3010	, 7.210	, 13.724	, 0.027
3.4010	, 7.919	, 14.630	, 0.028
3.5010	, 8.556	, 15.356	, 0.028
3.6010	, 9.145	, 15.957	, 0.028
3.7010	, 9.916	, 16.834	, 0.029
3.8010	, 10.709	, 17.702	, 0.030
3.9010	, 11.334	, 18.256	, 0.030
4.0010	, 11.748	, 18.448	, 0.030
4.1010	, 11.915	, 18.255	, 0.029
4.2010	, 11.893	, 17.787	, 0.027
4.3010	, 11.641	, 17.005	, 0.025
4.4010	, 11.662	, 16.650	, 0.024
4.5010	, 11.712	, 16.350	, 0.023
4.6010	, 11.550	, 15.772	, 0.022
4.7010	, 11.192	, 14.959	, 0.020
4.8010	, 10.691	, 13.992	, 0.019
4.9010	, 10.087	, 12.932	, 0.017
5.0010	, 9.417	, 11.831	, 0.015
5.1010	, 8.725	, 10.747	, 0.013
5.2010	, 8.053	, 9.729	, 0.012
5.3010	, 7.440	, 8.819	, 0.011
5.4010	, 6.912	, 8.041	, 0.010
5.5010	, 6.483	, 7.405	, 0.009
5.6010	, 6.155	, 6.905	, 0.008
5.7010	, 5.921	, 6.526	, 0.007
5.8010	, 5.767	, 6.246	, 0.007
5.9010	, 5.673	, 6.041	, 0.007
6.0010	, 5.621	, 5.885	, 0.006
6.1010	, 5.590	, 5.757	, 0.006
6.2010	, 5.564	, 5.638	, 0.006
6.3010	, 5.532	, 5.516	, 0.006
6.4010	, 5.483	, 5.382	, 0.005
6.5010	, 5.411	, 5.230	, 0.005
6.6010	, 5.315	, 5.059	, 0.005
