 
PGA:,  0.21 g
PGV:,  15.56 cm/s
PGD:,  5.21 cm
Arias Intensity:,  49.94 cm/s
Significant duration:,  10.81 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.034	, 0.215
0.1010	, 0.097	, 6.005	, 0.381
0.2010	, 0.523	, 16.351	, 0.521
0.3010	, 0.820	, 17.112	, 0.364
0.4010	, 1.647	, 25.801	, 0.412
0.5010	, 3.786	, 47.479	, 0.607
0.6010	, 4.291	, 44.858	, 0.478
0.7010	, 4.826	, 43.255	, 0.395
0.8010	, 3.422	, 26.842	, 0.215
0.9010	, 3.697	, 25.783	, 0.183
1.0010	, 4.022	, 25.247	, 0.162
1.1010	, 4.355	, 24.852	, 0.145
1.2010	, 5.907	, 30.902	, 0.165
1.3010	, 7.154	, 34.551	, 0.170
1.4010	, 6.643	, 29.792	, 0.136
1.5010	, 6.148	, 25.737	, 0.110
1.6010	, 5.864	, 23.015	, 0.092
1.7010	, 5.321	, 19.655	, 0.074
1.8010	, 4.801	, 16.748	, 0.060
1.9010	, 4.356	, 14.396	, 0.049
2.0010	, 4.079	, 12.808	, 0.041
2.1010	, 4.024	, 12.035	, 0.037
2.2010	, 4.038	, 11.528	, 0.034
2.3010	, 3.942	, 10.765	, 0.030
2.4010	, 3.677	, 9.623	, 0.026
2.5010	, 3.304	, 8.300	, 0.021
2.6010	, 3.057	, 7.385	, 0.018
2.7010	, 3.269	, 7.605	, 0.018
2.8010	, 3.436	, 7.708	, 0.018
2.9010	, 3.504	, 7.588	, 0.017
3.0010	, 3.469	, 7.263	, 0.016
3.1010	, 3.693	, 7.482	, 0.015
3.2010	, 3.825	, 7.507	, 0.015
3.3010	, 3.888	, 7.400	, 0.014
3.4010	, 4.403	, 8.135	, 0.015
3.5010	, 4.649	, 8.344	, 0.015
3.6010	, 4.756	, 8.298	, 0.015
3.7010	, 4.777	, 8.110	, 0.014
3.8010	, 4.989	, 8.247	, 0.014
3.9010	, 5.228	, 8.420	, 0.014
4.0010	, 5.384	, 8.454	, 0.014
4.1010	, 5.503	, 8.432	, 0.013
4.2010	, 5.508	, 8.238	, 0.013
4.3010	, 5.362	, 7.833	, 0.012
4.4010	, 5.143	, 7.343	, 0.011
4.5010	, 4.919	, 6.867	, 0.010
4.6010	, 5.024	, 6.860	, 0.010
4.7010	, 5.047	, 6.745	, 0.009
4.8010	, 5.011	, 6.559	, 0.009
4.9010	, 4.931	, 6.322	, 0.008
5.0010	, 4.848	, 6.091	, 0.008
5.1010	, 4.728	, 5.824	, 0.007
5.2010	, 4.637	, 5.602	, 0.007
5.3010	, 4.696	, 5.566	, 0.007
5.4010	, 4.748	, 5.524	, 0.007
5.5010	, 4.787	, 5.468	, 0.006
5.6010	, 4.807	, 5.393	, 0.006
5.7010	, 4.802	, 5.293	, 0.006
5.8010	, 4.768	, 5.164	, 0.006
5.9010	, 4.701	, 5.006	, 0.005
6.0010	, 4.600	, 4.816	, 0.005
6.1010	, 4.464	, 4.597	, 0.005
6.2010	, 4.295	, 4.352	, 0.004
6.3010	, 4.094	, 4.083	, 0.004
6.4010	, 3.865	, 3.794	, 0.004
6.5010	, 3.612	, 3.491	, 0.003
6.6010	, 3.730	, 3.551	, 0.003
6.7010	, 3.863	, 3.622	, 0.003
6.8010	, 3.971	, 3.669	, 0.003
6.9010	, 4.052	, 3.690	, 0.003
7.0010	, 4.109	, 3.688	, 0.003
7.1010	, 4.138	, 3.662	, 0.003
7.2010	, 4.158	, 3.628	, 0.003
7.3010	, 4.234	, 3.644	, 0.003
7.4010	, 4.308	, 3.657	, 0.003
7.5010	, 4.378	, 3.667	, 0.003
7.6010	, 4.444	, 3.674	, 0.003
7.7010	, 4.507	, 3.677	, 0.003
7.8010	, 4.567	, 3.678	, 0.003
7.9010	, 4.622	, 3.676	, 0.003
8.0010	, 4.675	, 3.671	, 0.003
8.1010	, 4.723	, 3.663	, 0.003
8.2010	, 4.769	, 3.653	, 0.003
8.3010	, 4.810	, 3.641	, 0.003
8.4010	, 4.849	, 3.627	, 0.003
8.5010	, 4.884	, 3.610	, 0.003
8.6010	, 4.916	, 3.591	, 0.003
8.7010	, 4.945	, 3.571	, 0.003
