 
PGA:,  0.12 g
PGV:,  12.14 cm/s
PGD:,  2.83 cm
Arias Intensity:,  26.76 cm/s
Significant duration:,  14.50 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.019	, 0.119
0.1010	, 0.052	, 3.226	, 0.205
0.2010	, 0.541	, 16.910	, 0.539
0.3010	, 0.943	, 19.675	, 0.419
0.4010	, 1.109	, 17.374	, 0.278
0.5010	, 1.459	, 18.302	, 0.234
0.6010	, 1.935	, 20.228	, 0.216
0.7010	, 1.820	, 16.316	, 0.149
0.8010	, 1.691	, 13.268	, 0.106
0.9010	, 2.282	, 15.911	, 0.113
1.0010	, 2.800	, 17.573	, 0.112
1.1010	, 3.552	, 20.269	, 0.118
1.2010	, 4.543	, 23.768	, 0.127
1.3010	, 4.649	, 22.454	, 0.111
1.4010	, 4.375	, 19.622	, 0.090
1.5010	, 4.443	, 18.599	, 0.079
1.6010	, 5.993	, 23.518	, 0.094
1.7010	, 7.843	, 28.972	, 0.109
1.8010	, 7.536	, 26.291	, 0.093
1.9010	, 6.338	, 20.949	, 0.071
2.0010	, 6.207	, 19.490	, 0.062
2.1010	, 6.266	, 18.737	, 0.057
2.2010	, 6.184	, 17.653	, 0.051
2.3010	, 5.681	, 15.513	, 0.043
2.4010	, 4.991	, 13.062	, 0.035
2.5010	, 4.912	, 12.339	, 0.032
2.6010	, 4.889	, 11.810	, 0.029
2.7010	, 4.928	, 11.464	, 0.027
2.8010	, 5.237	, 11.748	, 0.027
2.9010	, 6.003	, 13.002	, 0.029
3.0010	, 6.319	, 13.231	, 0.028
3.1010	, 6.272	, 12.708	, 0.026
3.2010	, 6.119	, 12.010	, 0.024
3.3010	, 6.156	, 11.717	, 0.023
3.4010	, 6.434	, 11.886	, 0.022
3.5010	, 6.767	, 12.145	, 0.022
3.6010	, 7.017	, 12.243	, 0.022
3.7010	, 7.174	, 12.179	, 0.021
3.8010	, 7.283	, 12.038	, 0.020
3.9010	, 7.363	, 11.860	, 0.019
4.0010	, 7.438	, 11.680	, 0.019
4.1010	, 7.594	, 11.635	, 0.018
4.2010	, 7.631	, 11.414	, 0.017
4.3010	, 7.562	, 11.048	, 0.016
4.4010	, 7.430	, 10.608	, 0.015
4.5010	, 7.253	, 10.125	, 0.014
4.6010	, 7.034	, 9.606	, 0.013
4.7010	, 6.777	, 9.057	, 0.012
4.8010	, 6.482	, 8.483	, 0.011
4.9010	, 6.151	, 7.885	, 0.010
5.0010	, 5.792	, 7.277	, 0.009
5.1010	, 5.429	, 6.687	, 0.008
5.2010	, 5.094	, 6.154	, 0.008
5.3010	, 4.821	, 5.715	, 0.007
5.4010	, 4.640	, 5.398	, 0.006
5.5010	, 4.561	, 5.209	, 0.006
5.6010	, 4.578	, 5.136	, 0.006
5.7010	, 4.671	, 5.148	, 0.006
5.8010	, 4.808	, 5.208	, 0.006
5.9010	, 4.960	, 5.281	, 0.006
6.0010	, 5.100	, 5.340	, 0.006
6.1010	, 5.208	, 5.363	, 0.006
6.2010	, 5.269	, 5.339	, 0.006
6.3010	, 5.279	, 5.264	, 0.005
6.4010	, 5.236	, 5.139	, 0.005
6.5010	, 5.145	, 4.973	, 0.005
6.6010	, 5.016	, 4.774	, 0.005
6.7010	, 4.856	, 4.553	, 0.004
6.8010	, 4.676	, 4.320	, 0.004
6.9010	, 4.485	, 4.083	, 0.004
7.0010	, 4.375	, 3.926	, 0.004
7.1010	, 4.394	, 3.888	, 0.004
7.2010	, 4.398	, 3.837	, 0.003
7.3010	, 4.390	, 3.778	, 0.003
7.4010	, 4.374	, 3.713	, 0.003
7.5010	, 4.352	, 3.646	, 0.003
7.6010	, 4.328	, 3.578	, 0.003
7.7010	, 4.302	, 3.510	, 0.003
7.8010	, 4.277	, 3.444	, 0.003
7.9010	, 4.252	, 3.381	, 0.003
8.0010	, 4.228	, 3.320	, 0.003
8.1010	, 4.205	, 3.261	, 0.003
8.2010	, 4.183	, 3.205	, 0.003
8.3010	, 4.162	, 3.150	, 0.002
8.4010	, 4.141	, 3.097	, 0.002
8.5010	, 4.120	, 3.045	, 0.002
8.6010	, 4.098	, 2.993	, 0.002
8.7010	, 4.075	, 2.943	, 0.002
8.8010	, 4.051	, 2.892	, 0.002
8.9010	, 4.026	, 2.842	, 0.002
9.0010	, 3.999	, 2.792	, 0.002
9.1010	, 3.971	, 2.742	, 0.002
9.2010	, 3.942	, 2.692	, 0.002
9.3010	, 3.912	, 2.643	, 0.002
9.4010	, 3.882	, 2.594	, 0.002
9.5010	, 3.851	, 2.547	, 0.002
9.6010	, 3.820	, 2.500	, 0.002
9.7010	, 3.789	, 2.454	, 0.002
9.8010	, 3.760	, 2.410	, 0.002
9.9010	, 3.731	, 2.367	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000002	0.0000000	0.0000000	0.0000000
0.010	-0.0000400	-0.0001968	-0.0000010	0.0000000
0.020	-0.0000959	-0.0008634	-0.0000063	0.0000000
0.030	-0.0001106	-0.0018765	-0.0000200	0.0000000
0.040	0.0000017	-0.0024110	-0.0000414	0.0000000
0.050	0.0000237	-0.0022864	-0.0000649	0.0000000
0.060	-0.0000825	-0.0025750	-0.0000892	0.0000000
0.070	-0.0001434	-0.0036835	-0.0001205	0.0000000
0.080	-0.0000410	-0.0045882	-0.0001619	0.0000000
0.090	0.0000012	-0.0047833	-0.0002087	0.0000000
0.100	-0.0001180	-0.0053562	-0.0002594	0.0000000
0.110	-0.0002407	-0.0071157	-0.0003218	0.0000001
0.120	-0.0002404	-0.0094753	-0.0004047	0.0000001
0.130	-0.0001585	-0.0114320	-0.0005093	0.0000001
0.140	-0.0002318	-0.0133465	-0.0006332	0.0000001
0.150	-0.0002758	-0.0158360	-0.0007791	0.0000002
0.160	-0.0001292	-0.0178227	-0.0009474	0.0000002
0.170	-0.0000423	-0.0186640	-0.0011298	0.0000002
0.180	-0.0000278	-0.0190079	-0.0013182	0.0000002
0.190	-0.0000061	-0.0191745	-0.0015091	0.0000002
