 
PGA:,  0.17 g
PGV:,  10.32 cm/s
PGD:,  6.91 cm
Arias Intensity:,  51.77 cm/s
Significant duration:,  11.54 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.027	, 0.172
0.1010	, 0.070	, 4.371	, 0.277
0.2010	, 0.555	, 17.364	, 0.553
0.3010	, 0.906	, 18.905	, 0.402
0.4010	, 1.686	, 26.418	, 0.422
0.5010	, 2.720	, 34.110	, 0.436
0.6010	, 3.071	, 32.103	, 0.342
0.7010	, 2.583	, 23.150	, 0.212
0.8010	, 2.609	, 20.466	, 0.164
0.9010	, 3.635	, 25.350	, 0.180
1.0010	, 5.405	, 33.930	, 0.217
1.1010	, 4.181	, 23.862	, 0.139
1.2010	, 3.924	, 20.528	, 0.109
1.3010	, 4.063	, 19.621	, 0.097
1.4010	, 3.501	, 15.701	, 0.072
1.5010	, 3.996	, 16.726	, 0.071
1.6010	, 4.457	, 17.490	, 0.070
1.7010	, 4.482	, 16.555	, 0.062
1.8010	, 4.596	, 16.034	, 0.057
1.9010	, 4.662	, 15.409	, 0.052
2.0010	, 4.325	, 13.581	, 0.043
2.1010	, 4.353	, 13.018	, 0.040
2.2010	, 5.551	, 15.847	, 0.046
2.3010	, 6.763	, 18.467	, 0.051
2.4010	, 7.237	, 18.937	, 0.051
2.5010	, 7.422	, 18.646	, 0.048
2.6010	, 7.237	, 17.483	, 0.043
2.7010	, 6.883	, 16.012	, 0.038
2.8010	, 6.675	, 14.972	, 0.034
2.9010	, 6.617	, 14.331	, 0.032
3.0010	, 6.816	, 14.270	, 0.030
3.1010	, 7.179	, 14.546	, 0.030
3.2010	, 7.529	, 14.779	, 0.030
3.3010	, 7.704	, 14.663	, 0.028
3.4010	, 7.634	, 14.103	, 0.027
3.5010	, 7.343	, 13.179	, 0.024
3.6010	, 6.892	, 12.026	, 0.021
3.7010	, 6.350	, 10.781	, 0.019
3.8010	, 7.065	, 11.678	, 0.020
3.9010	, 7.584	, 12.215	, 0.020
4.0010	, 7.667	, 12.040	, 0.019
4.1010	, 7.532	, 11.540	, 0.018
4.2010	, 7.450	, 11.143	, 0.017
4.3010	, 7.244	, 10.583	, 0.016
4.4010	, 6.993	, 9.984	, 0.015
4.5010	, 6.681	, 9.326	, 0.013
4.6010	, 6.508	, 8.887	, 0.012
4.7010	, 6.673	, 8.919	, 0.012
4.8010	, 6.745	, 8.827	, 0.012
4.9010	, 6.744	, 8.646	, 0.011
5.0010	, 6.674	, 8.385	, 0.011
5.1010	, 6.545	, 8.062	, 0.010
5.2010	, 6.640	, 8.022	, 0.010
5.3010	, 6.877	, 8.151	, 0.010
5.4010	, 7.262	, 8.448	, 0.010
5.5010	, 7.717	, 8.815	, 0.010
5.6010	, 8.074	, 9.057	, 0.010
5.7010	, 8.317	, 9.166	, 0.010
5.8010	, 8.440	, 9.142	, 0.010
5.9010	, 8.440	, 8.987	, 0.010
6.0010	, 8.319	, 8.710	, 0.009
6.1010	, 8.084	, 8.326	, 0.009
6.2010	, 7.747	, 7.849	, 0.008
6.3010	, 7.319	, 7.298	, 0.007
6.4010	, 6.995	, 6.866	, 0.007
6.5010	, 7.024	, 6.789	, 0.007
6.6010	, 7.016	, 6.678	, 0.006
6.7010	, 7.214	, 6.765	, 0.006
6.8010	, 7.348	, 6.789	, 0.006
6.9010	, 7.419	, 6.754	, 0.006
7.0010	, 7.429	, 6.667	, 0.006
7.1010	, 7.383	, 6.533	, 0.006
7.2010	, 7.286	, 6.357	, 0.006
7.3010	, 7.142	, 6.147	, 0.005
7.4010	, 6.958	, 5.907	, 0.005
7.5010	, 6.738	, 5.644	, 0.005
7.6010	, 6.489	, 5.364	, 0.005
7.7010	, 6.216	, 5.071	, 0.004
7.8010	, 5.922	, 4.770	, 0.004
7.9010	, 5.755	, 4.577	, 0.004
8.0010	, 5.617	, 4.411	, 0.004
8.1010	, 5.467	, 4.240	, 0.003
8.2010	, 5.466	, 4.188	, 0.003
8.3010	, 5.619	, 4.253	, 0.003
8.4010	, 5.717	, 4.276	, 0.003
8.5010	, 5.755	, 4.254	, 0.003
8.6010	, 5.737	, 4.191	, 0.003
8.7010	, 5.667	, 4.092	, 0.003
8.8010	, 5.606	, 4.002	, 0.003
8.9010	, 5.672	, 4.004	, 0.003
9.0010	, 5.719	, 3.992	, 0.003
9.1010	, 5.748	, 3.969	, 0.003
9.2010	, 5.761	, 3.934	, 0.003
9.3010	, 5.760	, 3.891	, 0.003
9.4010	, 5.746	, 3.840	, 0.003
9.5010	, 5.718	, 3.781	, 0.003
9.6010	, 5.678	, 3.716	, 0.002
9.7010	, 5.628	, 3.645	, 0.002
9.8010	, 5.569	, 3.570	, 0.002
9.9010	, 5.501	, 3.491	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0012100	0.0000000	0.0000000	0.0000000
0.010	0.0012399	0.0120168	0.0000601	0.0000004
0.020	0.0013640	0.0247891	0.0002441	0.0000010
0.030	0.0015038	0.0388558	0.0005623	0.0000016
0.040	0.0014827	0.0535046	0.0010241	0.0000022
0.050	0.0013979	0.0676339	0.0016298	0.0000028
0.060	0.0014092	0.0814027	0.0023750	0.0000034
0.070	0.0014513	0.0954334	0.0032592	0.0000040
0.080	0.0014645	0.1097356	0.0042850	0.0000047
0.090	0.0013259	0.1234228	0.0054508	0.0000053
0.100	0.0010650	0.1351502	0.0067437	0.0000057
0.110	0.0009928	0.1452437	0.0081457	0.0000060
0.120	0.0010215	0.1551236	0.0096475	0.0000063
0.130	0.0010157	0.1651159	0.0112487	0.0000066
0.140	0.0009961	0.1749837	0.0129492	0.0000069
0.150	0.0009885	0.1847180	0.0147477	0.0000072
0.160	0.0010161	0.1945505	0.0166440	0.0000075
0.170	0.0013588	0.2061996	0.0186478	0.0000079
0.180	0.0018280	0.2218310	0.0207880	0.0000087
0.190	0.0023326	0.2422389	0.0231083	0.0000100
0.200	0.0025925	0.2663969	0.0256515	0.0000118
0.210	0.0025782	0.2917593	0.0284423	0.0000138
0.220	0.0021969	0.3151810	0.0314770	0.0000155
0.230	0.0016799	0.3341966	0.0347239	0.0000167
0.240	0.0011458	0.3480568	0.0381351	0.0000173
0.250	0.0007210	0.3572136	0.0416615	0.0000175
0.260	0.0005673	0.3635329	0.0452652	0.0000177
0.270	0.0007841	0.3701616	0.0489337	0.0000178
0.280	0.0008389	0.3781225	0.0526751	0.0000180
0.290	0.0004135	0.3842655	0.0564870	0.0000181
0.300	-0.0001488	0.3855640	0.0603362	0.0000182
0.310	0.0001256	0.3854506	0.0641913	0.0000182
0.320	0.0007830	0.3899075	0.0680680	0.0000183
0.330	0.0014456	0.4008391	0.0720218	0.0000187
0.340	0.0024315	0.4198562	0.0761253	0.0000199
0.350	0.0028475	0.4457494	0.0804533	0.0000219
0.360	0.0023701	0.4713417	0.0850387	0.0000240
0.370	0.0016758	0.4911867	0.0898514	0.0000252
0.380	0.0003001	0.5008783	0.0948117	0.0000257
0.390	-0.0009876	0.4975058	0.0998036	0.0000258
0.400	-0.0010968	0.4872817	0.1047276	0.0000262
0.410	-0.0003733	0.4800708	0.1095643	0.0000264
0.420	0.0006366	0.4813623	0.1143715	0.0000264
0.430	0.0011536	0.4901435	0.1192290	0.0000267
0.440	0.0007104	0.4992868	0.1241762	0.0000270
0.450	0.0008560	0.5069701	0.1292075	0.0000272
0.460	0.0019804	0.5208825	0.1343467	0.0000278
0.470	0.0026134	0.5434149	0.1396682	0.0000294
0.480	0.0025204	0.5685963	0.1452283	0.0000314
0.490	0.0021663	0.5915844	0.1510292	0.0000331
0.500	0.0016001	0.6100585	0.1570374	0.0000341
0.510	0.0013654	0.6246045	0.1632107	0.0000348
0.520	0.0008590	0.6355153	0.1695113	0.0000352
0.530	0.0002965	0.6411830	0.1758948	0.0000353
0.540	0.0000281	0.6427749	0.1823146	0.0000353
0.550	-0.0009328	0.6383371	0.1887201	0.0000354
0.560	-0.0011976	0.6278871	0.1950513	0.0000358
0.570	0.0000614	0.6223137	0.2013023	0.0000360
0.580	0.0006154	0.6256336	0.2075420	0.0000361
0.590	0.0010404	0.6337556	0.2138389	0.0000363
0.600	0.0015004	0.6462186	0.2202388	0.0000368
0.610	0.0019041	0.6629177	0.2267845	0.0000376
0.620	0.0026995	0.6854980	0.2335266	0.0000393
0.630	0.0030147	0.7135261	0.2405217	0.0000417
0.640	0.0029163	0.7426180	0.2478024	0.0000443
0.650	0.0028417	0.7708614	0.2553698	0.0000468
0.660	0.0028363	0.7987122	0.2632177	0.0000492
0.670	0.0020827	0.8228401	0.2713254	0.0000510
0.680	0.0002562	0.8343127	0.2796112	0.0000517
0.690	-0.0010740	0.8303017	0.2879343	0.0000519
0.700	-0.0024349	0.8130906	0.2961512	0.0000529
0.710	-0.0033294	0.7848166	0.3041408	0.0000555
0.720	-0.0033556	0.7520267	0.3118250	0.0000588
0.730	-0.0028012	0.7218279	0.3191943	0.0000616
0.740	-0.0007287	0.7045140	0.3263260	0.0000629
0.750	0.0028978	0.7151533	0.3334243	0.0000642
