 
PGA:,  0.23 g
PGV:,  18.28 cm/s
PGD:,  4.67 cm
Arias Intensity:,  93.67 cm/s
Significant duration:,  12.02 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.036	, 0.231
0.1010	, 0.131	, 8.143	, 0.516
0.2010	, 0.626	, 19.553	, 0.623
0.3010	, 1.041	, 21.720	, 0.462
0.4010	, 1.589	, 24.890	, 0.398
0.5010	, 3.414	, 42.810	, 0.547
0.6010	, 4.585	, 47.932	, 0.511
0.7010	, 6.178	, 55.378	, 0.506
0.8010	, 4.820	, 37.812	, 0.302
0.9010	, 3.864	, 26.943	, 0.192
1.0010	, 5.781	, 36.286	, 0.232
1.1010	, 9.447	, 53.910	, 0.314
1.2010	, 7.366	, 38.538	, 0.206
1.3010	, 7.969	, 38.486	, 0.189
1.4010	, 9.448	, 42.374	, 0.194
1.5010	, 11.713	, 49.030	, 0.209
1.6010	, 14.610	, 57.337	, 0.229
1.7010	, 13.316	, 49.186	, 0.185
1.8010	, 12.407	, 43.285	, 0.154
1.9010	, 11.279	, 37.279	, 0.126
2.0010	, 9.945	, 31.228	, 0.100
2.1010	, 8.910	, 26.646	, 0.081
2.2010	, 8.284	, 23.649	, 0.069
2.3010	, 8.228	, 22.467	, 0.063
2.4010	, 9.234	, 24.165	, 0.064
2.5010	, 10.498	, 26.374	, 0.068
2.6010	, 11.737	, 28.354	, 0.070
2.7010	, 11.475	, 26.694	, 0.063
2.8010	, 10.644	, 23.877	, 0.055
2.9010	, 11.298	, 24.469	, 0.054
3.0010	, 11.996	, 25.115	, 0.054
3.1010	, 12.196	, 24.711	, 0.051
3.2010	, 12.261	, 24.067	, 0.048
3.3010	, 12.220	, 23.260	, 0.045
3.4010	, 11.947	, 22.071	, 0.042
3.5010	, 11.543	, 20.715	, 0.038
3.6010	, 11.655	, 20.336	, 0.036
3.7010	, 12.516	, 21.248	, 0.037
3.8010	, 12.810	, 21.176	, 0.036
3.9010	, 12.514	, 20.155	, 0.033
4.0010	, 11.737	, 18.432	, 0.030
4.1010	, 10.566	, 16.188	, 0.025
4.2010	, 10.225	, 15.292	, 0.023
4.3010	, 9.988	, 14.591	, 0.022
4.4010	, 9.446	, 13.485	, 0.020
4.5010	, 9.169	, 12.800	, 0.018
4.6010	, 8.796	, 12.013	, 0.017
4.7010	, 8.370	, 11.187	, 0.015
4.8010	, 7.936	, 10.386	, 0.014
4.9010	, 7.661	, 9.822	, 0.013
5.0010	, 7.861	, 9.877	, 0.013
5.1010	, 8.030	, 9.891	, 0.012
5.2010	, 8.165	, 9.864	, 0.012
5.3010	, 8.265	, 9.796	, 0.012
5.4010	, 8.331	, 9.692	, 0.011
5.5010	, 8.370	, 9.560	, 0.011
5.6010	, 8.382	, 9.403	, 0.011
5.7010	, 8.368	, 9.222	, 0.010
5.8010	, 8.330	, 9.022	, 0.010
5.9010	, 8.275	, 8.811	, 0.010
6.0010	, 8.202	, 8.587	, 0.009
6.1010	, 8.112	, 8.355	, 0.009
6.2010	, 8.013	, 8.119	, 0.008
6.3010	, 7.904	, 7.881	, 0.008
6.4010	, 7.785	, 7.642	, 0.008
6.5010	, 7.660	, 7.404	, 0.007
6.6010	, 7.531	, 7.168	, 0.007
6.7010	, 7.398	, 6.937	, 0.007
6.8010	, 7.264	, 6.710	, 0.006
6.9010	, 7.129	, 6.491	, 0.006
7.0010	, 6.997	, 6.279	, 0.006
7.1010	, 6.866	, 6.076	, 0.005
7.2010	, 6.739	, 5.880	, 0.005
7.3010	, 6.614	, 5.692	, 0.005
7.4010	, 6.493	, 5.512	, 0.005
