 
PGA:,  0.13 g
PGV:,  10.48 cm/s
PGD:,  5.22 cm
Arias Intensity:,  24.71 cm/s
Significant duration:,  13.07 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.021	, 0.133
0.1010	, 0.054	, 3.333	, 0.211
0.2010	, 0.344	, 10.757	, 0.343
0.3010	, 0.663	, 13.841	, 0.295
0.4010	, 1.239	, 19.406	, 0.310
0.5010	, 2.071	, 25.969	, 0.332
0.6010	, 1.516	, 15.851	, 0.169
0.7010	, 1.549	, 13.886	, 0.127
0.8010	, 1.549	, 12.148	, 0.097
0.9010	, 2.005	, 13.979	, 0.099
1.0010	, 2.769	, 17.383	, 0.111
1.1010	, 2.785	, 15.895	, 0.092
1.2010	, 4.371	, 22.866	, 0.122
1.3010	, 5.256	, 25.385	, 0.125
1.4010	, 4.190	, 18.793	, 0.086
1.5010	, 4.162	, 17.421	, 0.074
1.6010	, 4.225	, 16.580	, 0.066
1.7010	, 4.089	, 15.105	, 0.057
1.8010	, 4.623	, 16.127	, 0.057
1.9010	, 4.447	, 14.698	, 0.050
2.0010	, 4.033	, 12.662	, 0.041
2.1010	, 3.735	, 11.169	, 0.034
2.2010	, 3.572	, 10.197	, 0.030
2.3010	, 3.627	, 9.903	, 0.028
2.4010	, 3.881	, 10.156	, 0.027
2.5010	, 4.077	, 10.242	, 0.026
2.6010	, 4.065	, 9.820	, 0.024
2.7010	, 3.914	, 9.106	, 0.022
2.8010	, 3.730	, 8.366	, 0.019
2.9010	, 3.612	, 7.822	, 0.017
3.0010	, 3.776	, 7.905	, 0.017
3.1010	, 4.027	, 8.160	, 0.017
3.2010	, 4.248	, 8.339	, 0.017
3.3010	, 4.349	, 8.278	, 0.016
3.4010	, 4.316	, 7.974	, 0.015
3.5010	, 4.174	, 7.490	, 0.014
3.6010	, 4.001	, 6.982	, 0.012
3.7010	, 3.899	, 6.619	, 0.011
3.8010	, 4.159	, 6.876	, 0.012
3.9010	, 4.447	, 7.162	, 0.012
4.0010	, 4.613	, 7.244	, 0.012
4.1010	, 4.552	, 6.974	, 0.011
4.2010	, 4.850	, 7.254	, 0.011
4.3010	, 4.969	, 7.259	, 0.011
4.4010	, 4.981	, 7.112	, 0.010
4.5010	, 4.818	, 6.726	, 0.010
4.6010	, 4.530	, 6.186	, 0.009
4.7010	, 4.498	, 6.011	, 0.008
4.8010	, 4.409	, 5.770	, 0.008
4.9010	, 4.238	, 5.433	, 0.007
5.0010	, 4.197	, 5.274	, 0.007
5.1010	, 4.175	, 5.143	, 0.006
5.2010	, 4.207	, 5.082	, 0.006
5.3010	, 4.216	, 4.998	, 0.006
5.4010	, 4.211	, 4.898	, 0.006
5.5010	, 4.197	, 4.793	, 0.006
5.6010	, 4.178	, 4.686	, 0.005
5.7010	, 4.157	, 4.582	, 0.005
5.8010	, 4.137	, 4.480	, 0.005
5.9010	, 4.116	, 4.383	, 0.005
6.0010	, 4.096	, 4.288	, 0.005
6.1010	, 4.074	, 4.195	, 0.004
6.2010	, 4.050	, 4.103	, 0.004
6.3010	, 4.021	, 4.010	, 0.004
6.4010	, 3.988	, 3.915	, 0.004
6.5010	, 3.949	, 3.816	, 0.004
6.6010	, 3.901	, 3.713	, 0.004
6.7010	, 3.846	, 3.606	, 0.003
6.8010	, 3.783	, 3.495	, 0.003
6.9010	, 3.710	, 3.378	, 0.003
7.0010	, 3.630	, 3.258	, 0.003
7.1010	, 3.541	, 3.133	, 0.003
7.2010	, 3.445	, 3.006	, 0.003
7.3010	, 3.343	, 2.877	, 0.003
7.4010	, 3.234	, 2.746	, 0.002
