 
PGA:,  0.43 g
PGV:,  21.77 cm/s
PGD:,  4.34 cm
Arias Intensity:,  123.94 cm/s
Significant duration:,   9.96 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.067	, 0.432
0.1010	, 0.162	, 10.071	, 0.639
0.2010	, 1.342	, 41.938	, 1.336
0.3010	, 2.560	, 53.437	, 1.137
0.4010	, 3.768	, 59.043	, 0.943
0.5010	, 4.119	, 51.654	, 0.660
0.6010	, 1.997	, 20.873	, 0.222
0.7010	, 3.227	, 28.927	, 0.264
0.8010	, 3.008	, 23.597	, 0.189
0.9010	, 2.793	, 19.475	, 0.138
1.0010	, 3.647	, 22.891	, 0.146
1.1010	, 4.700	, 26.821	, 0.156
1.2010	, 5.984	, 31.304	, 0.167
1.3010	, 7.161	, 34.582	, 0.170
1.4010	, 6.618	, 29.680	, 0.136
1.5010	, 6.212	, 26.004	, 0.111
1.6010	, 4.998	, 19.615	, 0.078
1.7010	, 4.938	, 18.239	, 0.069
1.8010	, 4.877	, 17.015	, 0.061
1.9010	, 4.295	, 14.195	, 0.048
2.0010	, 4.045	, 12.700	, 0.041
2.1010	, 4.504	, 13.470	, 0.041
2.2010	, 5.152	, 14.709	, 0.043
2.3010	, 5.265	, 14.377	, 0.040
2.4010	, 5.142	, 13.456	, 0.036
2.5010	, 4.792	, 12.038	, 0.031
2.6010	, 4.375	, 10.568	, 0.026
2.7010	, 4.046	, 9.411	, 0.022
2.8010	, 4.446	, 9.974	, 0.023
2.9010	, 4.635	, 10.038	, 0.022
3.0010	, 4.565	, 9.559	, 0.020
3.1010	, 4.313	, 8.739	, 0.018
3.2010	, 4.127	, 8.101	, 0.016
3.3010	, 4.154	, 7.906	, 0.015
3.4010	, 4.303	, 7.950	, 0.015
3.5010	, 4.375	, 7.851	, 0.014
3.6010	, 5.079	, 8.861	, 0.016
3.7010	, 5.600	, 9.508	, 0.016
3.8010	, 5.786	, 9.564	, 0.016
3.9010	, 5.551	, 8.940	, 0.015
4.0010	, 5.270	, 8.275	, 0.013
4.1010	, 5.175	, 7.929	, 0.012
4.2010	, 4.836	, 7.232	, 0.011
4.3010	, 4.697	, 6.862	, 0.010
4.4010	, 4.634	, 6.615	, 0.010
4.5010	, 4.506	, 6.290	, 0.009
4.6010	, 4.330	, 5.913	, 0.008
4.7010	, 4.119	, 5.506	, 0.008
4.8010	, 3.885	, 5.084	, 0.007
4.9010	, 3.637	, 4.663	, 0.006
5.0010	, 3.386	, 4.255	, 0.005
5.1010	, 3.140	, 3.868	, 0.005
5.2010	, 3.038	, 3.670	, 0.005
5.3010	, 3.042	, 3.606	, 0.004
