 
PGA:,  0.35 g
PGV:,  16.50 cm/s
PGD:,  2.95 cm
Arias Intensity:,  110.33 cm/s
Significant duration:,  10.92 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.055	, 0.355
0.1010	, 0.140	, 8.695	, 0.551
0.2010	, 1.037	, 32.423	, 1.033
0.3010	, 1.462	, 30.508	, 0.649
0.4010	, 2.436	, 38.168	, 0.610
0.5010	, 3.050	, 38.251	, 0.489
0.6010	, 3.465	, 36.224	, 0.386
0.7010	, 2.885	, 25.858	, 0.236
0.8010	, 2.916	, 22.871	, 0.183
0.9010	, 3.128	, 21.813	, 0.155
1.0010	, 3.268	, 20.514	, 0.131
1.1010	, 3.519	, 20.084	, 0.117
1.2010	, 3.923	, 20.522	, 0.109
1.3010	, 4.740	, 22.890	, 0.113
1.4010	, 4.164	, 18.676	, 0.085
1.5010	, 3.682	, 15.413	, 0.066
1.6010	, 4.411	, 17.311	, 0.069
1.7010	, 3.980	, 14.700	, 0.055
1.8010	, 3.388	, 11.819	, 0.042
1.9010	, 2.825	, 9.337	, 0.031
2.0010	, 2.683	, 8.424	, 0.027
2.1010	, 2.442	, 7.303	, 0.022
2.2010	, 2.163	, 6.176	, 0.018
2.3010	, 1.945	, 5.311	, 0.015
2.4010	, 1.892	, 4.951	, 0.013
2.5010	, 1.841	, 4.626	, 0.012
2.6010	, 1.781	, 4.303	, 0.011
2.7010	, 1.712	, 3.983	, 0.009
2.8010	, 1.688	, 3.787	, 0.009
2.9010	, 1.684	, 3.648	, 0.008
3.0010	, 1.672	, 3.500	, 0.007
3.1010	, 1.656	, 3.355	, 0.007
3.2010	, 1.642	, 3.222	, 0.006
3.3010	, 1.632	, 3.107	, 0.006
3.4010	, 1.629	, 3.009	, 0.006
3.5010	, 1.629	, 2.924	, 0.005
3.6010	, 1.631	, 2.846	, 0.005
3.7010	, 1.631	, 2.770	, 0.005
3.8010	, 1.629	, 2.692	, 0.005
3.9010	, 1.622	, 2.613	, 0.004
4.0010	, 1.612	, 2.531	, 0.004
4.1010	, 1.599	, 2.449	, 0.004
4.2010	, 1.584	, 2.369	, 0.004
4.3010	, 1.569	, 2.292	, 0.003
4.4010	, 1.555	, 2.219	, 0.003
4.5010	, 1.542	, 2.153	, 0.003
4.6010	, 1.533	, 2.093	, 0.003
4.7010	, 1.526	, 2.040	, 0.003
4.8010	, 1.522	, 1.992	, 0.003
4.9010	, 1.522	, 1.951	, 0.003
5.0010	, 1.523	, 1.914	, 0.002
5.1010	, 1.527	, 1.881	, 0.002
5.2010	, 1.532	, 1.851	, 0.002
5.3010	, 1.538	, 1.823	, 0.002
5.4010	, 1.544	, 1.796	, 0.002
5.5010	, 1.550	, 1.771	, 0.002
5.6010	, 1.556	, 1.745	, 0.002
5.7010	, 1.561	, 1.720	, 0.002
5.8010	, 1.564	, 1.694	, 0.002
5.9010	, 1.567	, 1.668	, 0.002
6.0010	, 1.568	, 1.642	, 0.002
6.1010	, 1.568	, 1.615	, 0.002
6.2010	, 1.567	, 1.587	, 0.002
6.3010	, 1.564	, 1.559	, 0.002
6.4010	, 1.560	, 1.531	, 0.002
6.5010	, 1.555	, 1.503	, 0.001
6.6010	, 1.549	, 1.474	, 0.001
6.7010	, 1.542	, 1.446	, 0.001
6.8010	, 1.535	, 1.418	, 0.001
6.9010	, 1.527	, 1.390	, 0.001
7.0010	, 1.519	, 1.363	, 0.001
7.1010	, 1.511	, 1.337	, 0.001
7.2010	, 1.502	, 1.311	, 0.001
7.3010	, 1.494	, 1.286	, 0.001
7.4010	, 1.486	, 1.261	, 0.001
7.5010	, 1.478	, 1.238	, 0.001
7.6010	, 1.470	, 1.216	, 0.001
7.7010	, 1.463	, 1.194	, 0.001
7.8010	, 1.457	, 1.173	, 0.001
7.9010	, 1.451	, 1.154	, 0.001
8.0010	, 1.445	, 1.135	, 0.001
8.1010	, 1.440	, 1.117	, 0.001
8.2010	, 1.436	, 1.100	, 0.001
8.3010	, 1.432	, 1.084	, 0.001
8.4010	, 1.429	, 1.069	, 0.001
8.5010	, 1.426	, 1.054	, 0.001
8.6010	, 1.424	, 1.041	, 0.001
8.7010	, 1.423	, 1.028	, 0.001
8.8010	, 1.422	, 1.015	, 0.001
8.9010	, 1.422	, 1.004	, 0.001
9.0010	, 1.422	, 0.993	, 0.001
9.1010	, 1.423	, 0.982	, 0.001
9.2010	, 1.424	, 0.973	, 0.001
9.3010	, 1.426	, 0.963	, 0.001
9.4010	, 1.428	, 0.954	, 0.001
9.5010	, 1.430	, 0.946	, 0.001
9.6010	, 1.433	, 0.938	, 0.001
9.7010	, 1.436	, 0.930	, 0.001
9.8010	, 1.439	, 0.923	, 0.001
9.9010	, 1.443	, 0.916	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0042475	0.0000000	0.0000000	0.0000000
0.020	0.0022915	0.0641480	0.0006415	0.0000033
0.040	-0.0023213	0.0638557	0.0019215	0.0000047
0.060	-0.0039038	0.0027874	0.0025879	0.0000076
0.080	-0.0035692	-0.0705226	0.0019106	0.0000115
0.100	0.0014898	-0.0909216	0.0002962	0.0000136
0.120	0.0011327	-0.0651948	-0.0012650	0.0000141
0.140	-0.0033095	-0.0865485	-0.0027824	0.0000158
0.160	-0.0048275	-0.1663718	-0.0053116	0.0000206
0.180	-0.0030587	-0.2437350	-0.0094127	0.0000252
0.200	-0.0007845	-0.2814366	-0.0146644	0.0000266
0.220	0.0014757	-0.2746562	-0.0202254	0.0000269
0.240	0.0049168	-0.2119464	-0.0250914	0.0000306
0.260	0.0048610	-0.1160270	-0.0283711	0.0000373
0.280	0.0012818	-0.0557667	-0.0300891	0.0000408
0.300	-0.0008097	-0.0511352	-0.0311581	0.0000412
0.320	-0.0017568	-0.0763124	-0.0324326	0.0000417
0.340	-0.0011272	-0.1046049	-0.0342417	0.0000423
0.360	0.0002401	-0.1133077	-0.0364209	0.0000425
0.380	0.0017823	-0.0934679	-0.0384886	0.0000429
0.400	0.0035161	-0.0414904	-0.0398382	0.0000451
0.420	0.0030239	0.0226676	-0.0400264	0.0000481
0.440	0.0033392	0.0850897	-0.0389488	0.0000509
0.460	0.0002010	0.1198187	-0.0368998	0.0000525
0.480	-0.0025349	0.0969231	-0.0347323	0.0000534
0.500	-0.0037802	0.0349721	-0.0334134	0.0000563
0.520	-0.0030123	-0.0316618	-0.0333803	0.0000596
0.540	-0.0004070	-0.0652045	-0.0343490	0.0000608
0.560	0.0007483	-0.0618557	-0.0356196	0.0000609
0.580	-0.0018580	-0.0727419	-0.0369655	0.0000615
0.600	-0.0039537	-0.1297554	-0.0389905	0.0000642
0.620	-0.0037758	-0.2055824	-0.0423439	0.0000683
0.640	-0.0066822	-0.3081753	-0.0474815	0.0000766
0.660	-0.0020023	-0.3933703	-0.0544969	0.0000834
0.680	0.0067331	-0.3469617	-0.0619002	0.0000903
0.700	0.0113202	-0.1698590	-0.0670684	0.0001145
0.720	0.0076316	0.0160585	-0.0686064	0.0001405
0.740	-0.0043265	0.0484823	-0.0679610	0.0001513
0.760	-0.0093457	-0.0856418	-0.0683326	0.0001661
0.780	-0.0062521	-0.2386569	-0.0715756	0.0001837
0.800	0.0040975	-0.2597939	-0.0765601	0.0001916
0.820	0.0082089	-0.1390681	-0.0805487	0.0002033
0.840	0.0037392	-0.0218573	-0.0821580	0.0002147
0.860	0.0006006	0.0207159	-0.0821694	0.0002167
0.880	-0.0052358	-0.0247553	-0.0822098	0.0002206
0.900	-0.0010752	-0.0866660	-0.0833240	0.0002245
0.920	0.0045686	-0.0523956	-0.0847146	0.0002276
0.940	0.0019368	0.0114222	-0.0851244	0.0002311
0.960	0.0008795	0.0390497	-0.0846197	0.0002317
0.980	-0.0022839	0.0252719	-0.0839764	0.0002325
1.000	-0.0048490	-0.0447024	-0.0841707	0.0002365
1.020	-0.0022464	-0.1143084	-0.0857609	0.0002405
1.040	0.0016412	-0.1202459	-0.0881064	0.0002416
1.060	0.0070212	-0.0352683	-0.0896615	0.0002489
1.080	0.0074953	0.1071383	-0.0889428	0.0002636
1.100	-0.0005589	0.1751842	-0.0861196	0.0002715
1.120	-0.0099946	0.0716547	-0.0836512	0.0002855
1.140	-0.0136742	-0.1605353	-0.0845400	0.0003256
1.160	-0.0017282	-0.3116325	-0.0892617	0.0003521
1.180	0.0154502	-0.1770195	-0.0941482	0.0003859
1.200	0.0137192	0.1091326	-0.0948271	0.0004455
1.220	0.0001369	0.2450611	-0.0912852	0.0004718
1.240	-0.0077781	0.1701013	-0.0871335	0.0004802
1.260	-0.0059425	0.0355024	-0.0850775	0.0004936
1.280	-0.0045377	-0.0673080	-0.0853956	0.0005014
1.300	-0.0027300	-0.1386042	-0.0874547	0.0005053
1.320	-0.0019017	-0.1840414	-0.0906811	0.0005069
1.340	-0.0038693	-0.2406549	-0.0949281	0.0005095
1.360	-0.0026032	-0.3041508	-0.1003762	0.0005125
1.380	0.0012889	-0.3170447	-0.1065881	0.0005137
