mainshock_rsn,horizontal_1_filename,Horizontal_file_2,dt_horizontal1,npt_horizontal1
95,RSN95_MANAGUA_A-ESO090.AT2.g3,RSN95_MANAGUA_A-ESO180.AT2.g3,0.005,9139
210,RSN210_LIVERMOR_A-A3E146.AT2.g3,RSN210_LIVERMOR_A-A3E236.AT2.g3,0.005,7999
212,RSN212_LIVERMOR_A-DVD156.AT2.g3,RSN212_LIVERMOR_A-DVD246.AT2.g3,0.005,6201
214,RSN214_LIVERMOR_A-KOD180.AT2.g3,RSN214_LIVERMOR_A-KOD270.AT2.g3,0.005,4196
215,RSN215_LIVERMOR_A-SRM070.AT2.g3,RSN215_LIVERMOR_A-SRM340.AT2.g3,0.005,7998
230,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,RSN230_MAMMOTH.I_I-CVK180.AT2.g3,0.005,5999
231,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,RSN231_MAMMOTH.I_I-LUL090.AT2.g3,0.005,5999
232,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,RSN232_MAMMOTH.I_I-MLS344.AT2.g3,0.005,5999
285,RSN285_ITALY_A-BAG000.AT2.g3,RSN285_ITALY_A-BAG270.AT2.g3,0.0029,12712
286,RSN286_ITALY_A-BIS000.AT2.g3,RSN286_ITALY_A-BIS270.AT2.g3,0.0029,13192
289,RSN289_ITALY_A-CTR000.AT2.g3,RSN289_ITALY_A-CTR270.AT2.g3,0.0024,14672
290,RSN290_ITALY_A-MER000.AT2.g3,RSN290_ITALY_A-MER270.AT2.g3,0.0029,14712
291,RSN291_ITALY_A-VLT000.AT2.g3,RSN291_ITALY_A-VLT270.AT2.g3,0.0029,12816
292,RSN292_ITALY_A-STU000.AT2.g3,RSN292_ITALY_A-STU270.AT2.g3,0.0024,16392
368,RSN368_COALINGA.H_H-PVY045.AT2.g3,RSN368_COALINGA.H_H-PVY135.AT2.g3,0.005,11631
543,RSN543_CHALFANT.B_B-BEN270.AT2.g3,RSN543_CHALFANT.B_B-BEN360.AT2.g3,0.005,7994
544,RSN544_CHALFANT.B_B-LAD180.AT2.g3,RSN544_CHALFANT.B_B-LAD270.AT2.g3,0.005,7984
545,RSN545_CHALFANT.B_B-BPL070.AT2.g3,RSN545_CHALFANT.B_B-BPL160.AT2.g3,0.005,7986
546,RSN546_CHALFANT.B_B-SHE009.AT2.g3,RSN546_CHALFANT.B_B-SHE099.AT2.g3,0.005,7999
547,RSN547_CHALFANT.B_B-ZAK270.AT2.g3,RSN547_CHALFANT.B_B-ZAK360.AT2.g3,0.005,7973
589,RSN589_WHITTIER.A_A-ALH180.AT2.g3,RSN589_WHITTIER.A_A-ALH270.AT2.g3,0.005,7998
590,RSN590_WHITTIER.A_A-ALT000.AT2.g3,RSN590_WHITTIER.A_A-ALT090.AT2.g3,0.005,7999
592,RSN592_WHITTIER.A_A-CAM009.AT2.g3,RSN592_WHITTIER.A_A-CAM279.AT2.g3,0.005,6978
593,RSN593_WHITTIER.A_A-ARL180.AT2.g3,RSN593_WHITTIER.A_A-ARL270.AT2.g3,0.005,7999
594,RSN594_WHITTIER.A_A-NHO180.AT2.g3,RSN594_WHITTIER.A_A-NHO270.AT2.g3,0.005,5112
595,RSN595_WHITTIER.A_A-JAB207.AT2.g3,RSN595_WHITTIER.A_A-JAB297.AT2.g3,0.005,6852
598,RSN598_WHITTIER.A_A-TUJ262.AT2.g3,RSN598_WHITTIER.A_A-TUJ352.AT2.g3,0.005,6182
599,RSN599_WHITTIER.A_A-FLO020.AT2.g3,RSN599_WHITTIER.A_A-FLO290.AT2.g3,0.005,5519
602,RSN602_WHITTIER.A_A-BUE250.AT2.g3,RSN602_WHITTIER.A_A-BUE340.AT2.g3,0.005,7462
608,RSN608_WHITTIER.A_A-WAT180.AT2.g3,RSN608_WHITTIER.A_A-WAT270.AT2.g3,0.005,5931
611,RSN611_WHITTIER.A_A-CAS000.AT2.g3,RSN611_WHITTIER.A_A-CAS270.AT2.g3,0.005,6229
613,RSN613_WHITTIER.A_A-BAD000.AT2.g3,RSN613_WHITTIER.A_A-BAD270.AT2.g3,0.005,6172
614,RSN614_WHITTIER.A_A-BIR090.AT2.g3,RSN614_WHITTIER.A_A-BIR180.AT2.g3,0.005,5722
615,RSN615_WHITTIER.A_A-DWN180.AT2.g3,RSN615_WHITTIER.A_A-DWN270.AT2.g3,0.005,7999
616,RSN616_WHITTIER.A_A-FAI095.AT2.g3,RSN616_WHITTIER.A_A-FAI185.AT2.g3,0.005,5646
620,RSN620_WHITTIER.A_A-GLP177.AT2.g3,RSN620_WHITTIER.A_A-GLP267.AT2.g3,0.005,6288
622,RSN622_WHITTIER.A_A-COM140.AT2.g3,RSN622_WHITTIER.A_A-COM230.AT2.g3,0.005,7047
625,RSN625_WHITTIER.A_A-ING000.AT2.g3,RSN625_WHITTIER.A_A-ING090.AT2.g3,0.005,7999
626,RSN626_WHITTIER.A_A-116270.AT2.g3,RSN626_WHITTIER.A_A-116360.AT2.g3,0.005,7999
627,RSN627_WHITTIER.A_A-BLD000.AT2.g3,RSN627_WHITTIER.A_A-BLD090.AT2.g3,0.005,7999
629,RSN629_WHITTIER.A_A-CCN000.AT2.g3,RSN629_WHITTIER.A_A-CCN090.AT2.g3,0.005,7998
632,RSN632_WHITTIER.A_A-CYP053.AT2.g3,RSN632_WHITTIER.A_A-CYP143.AT2.g3,0.005,3980
633,RSN633_WHITTIER.A_A-VER083.AT2.g3,RSN633_WHITTIER.A_A-VER173.AT2.g3,0.005,6319
634,RSN634_WHITTIER.A_A-FLE144.AT2.g3,RSN634_WHITTIER.A_A-FLE234.AT2.g3,0.005,6403
635,RSN635_WHITTIER.A_A-PEL000.AT2.g3,RSN635_WHITTIER.A_A-PEL090.AT2.g3,0.005,7998
637,RSN637_WHITTIER.A_A-FIG058.AT2.g3,RSN637_WHITTIER.A_A-FIG328.AT2.g3,0.005,6966
638,RSN638_WHITTIER.A_A-WST000.AT2.g3,RSN638_WHITTIER.A_A-WST270.AT2.g3,0.005,6344
639,RSN639_WHITTIER.A_A-OBR270.AT2.g3,RSN639_WHITTIER.A_A-OBR360.AT2.g3,0.005,7998
640,RSN640_WHITTIER.A_A-GR2090.AT2.g3,RSN640_WHITTIER.A_A-GR2180.AT2.g3,0.005,7331
641,RSN641_WHITTIER.A_A-STN020.AT2.g3,RSN641_WHITTIER.A_A-STN110.AT2.g3,0.005,6137
642,RSN642_WHITTIER.A_A-W70000.AT2.g3,RSN642_WHITTIER.A_A-W70270.AT2.g3,0.005,6390
645,RSN645_WHITTIER.A_A-OR2010.AT2.g3,RSN645_WHITTIER.A_A-OR2280.AT2.g3,0.005,6419
649,RSN649_WHITTIER.A_A-BRC000.AT2.g3,RSN649_WHITTIER.A_A-BRC090.AT2.g3,0.005,5410
650,RSN650_WHITTIER.A_A-RIM015.AT2.g3,RSN650_WHITTIER.A_A-RIM105.AT2.g3,0.005,7478
652,RSN652_WHITTIER.A_A-DEL000.AT2.g3,RSN652_WHITTIER.A_A-DEL090.AT2.g3,0.005,5946
661,RSN661_WHITTIER.A_A-ANG000.AT2.g3,RSN661_WHITTIER.A_A-ANG090.AT2.g3,0.005,5247
663,RSN663_WHITTIER.A_A-MTW000.AT2.g3,RSN663_WHITTIER.A_A-MTW090.AT2.g3,0.005,7999
665,RSN665_WHITTIER.A_A-NWH180.AT2.g3,RSN665_WHITTIER.A_A-NWH270.AT2.g3,0.005,7985
667,RSN667_WHITTIER.A_A-STC090.AT2.g3,RSN667_WHITTIER.A_A-STC180.AT2.g3,0.005,9557
671,RSN671_WHITTIER.A_A-PKC000.AT2.g3,RSN671_WHITTIER.A_A-PKC090.AT2.g3,0.005,7999
672,RSN672_WHITTIER.A_A-KAG045.AT2.g3,RSN672_WHITTIER.A_A-KAG315.AT2.g3,0.005,6064
683,RSN683_WHITTIER.A_A-OLD000.AT2.g3,RSN683_WHITTIER.A_A-OLD090.AT2.g3,0.005,6000
690,RSN690_WHITTIER.A_A-GRN180.AT2.g3,RSN690_WHITTIER.A_A-GRN270.AT2.g3,0.005,5981
691,RSN691_WHITTIER.A_A-SMA270.AT2.g3,RSN691_WHITTIER.A_A-SMA360.AT2.g3,0.005,7999
692,RSN692_WHITTIER.A_A-EJS048.AT2.g3,RSN692_WHITTIER.A_A-EJS318.AT2.g3,0.005,7559
694,RSN694_WHITTIER.A_A-CO2092.AT2.g3,RSN694_WHITTIER.A_A-CO2182.AT2.g3,0.005,6484
695,RSN695_WHITTIER.A_A-RO3000.AT2.g3,RSN695_WHITTIER.A_A-RO3090.AT2.g3,0.005,7715
697,RSN697_WHITTIER.A_A-GLE180.AT2.g3,RSN697_WHITTIER.A_A-GLE270.AT2.g3,0.005,6949
698,RSN698_WHITTIER.A_A-SYL000.AT2.g3,RSN698_WHITTIER.A_A-SYL090.AT2.g3,0.005,7998
699,RSN699_WHITTIER.A_A-SAY045.AT2.g3,RSN699_WHITTIER.A_A-SAY315.AT2.g3,0.005,5122
700,RSN700_WHITTIER.A_A-TAR000.AT2.g3,RSN700_WHITTIER.A_A-TAR090.AT2.g3,0.005,7999
705,RSN705_WHITTIER.A_A-SOR225.AT2.g3,RSN705_WHITTIER.A_A-SOR315.AT2.g3,0.005,5737
718,RSN718_SUPER.A_A-IVW090.AT2.g3,RSN718_SUPER.A_A-IVW360.AT2.g3,0.005,5969
942,RSN942_NORTHR_ALH090.AT2.g3,RSN942_NORTHR_ALH360.AT2.g3,0.02,3000
948,RSN948_NORTHR_CAM009.AT2.g3,RSN948_NORTHR_CAM279.AT2.g3,0.01,3499
949,RSN949_NORTHR_ARL090.AT2.g3,RSN949_NORTHR_ARL360.AT2.g3,0.02,2000
950,RSN950_NORTHR_NHO180.AT2.g3,RSN950_NORTHR_NHO270.AT2.g3,0.01,3490
951,RSN951_NORTHR_JAB220.AT2.g3,RSN951_NORTHR_JAB310.AT2.g3,0.01,3499
954,RSN954_NORTHR_TUJ262.AT2.g3,RSN954_NORTHR_TUJ352.AT2.g3,0.01,2999
956,RSN956_NORTHR_BPK090.AT2.g3,RSN956_NORTHR_BPK180.AT2.g3,0.01,3499
962,RSN962_NORTHR_WAT180.AT2.g3,RSN962_NORTHR_WAT270.AT2.g3,0.01,3999
963,RSN963_NORTHR_ORR090.AT2.g3,RSN963_NORTHR_ORR360.AT2.g3,0.02,2000
964,RSN964_NORTHR_CAS000.AT2.g3,RSN964_NORTHR_CAS270.AT2.g3,0.01,3979
966,RSN966_NORTHR_BAD000.AT2.g3,RSN966_NORTHR_BAD270.AT2.g3,0.01,3499
967,RSN967_NORTHR_BIR090.AT2.g3,RSN967_NORTHR_BIR180.AT2.g3,0.01,3499
968,RSN968_NORTHR_DWN090.AT2.g3,RSN968_NORTHR_DWN360.AT2.g3,0.02,2000
970,RSN970_NORTHR_FAI095.AT2.g3,RSN970_NORTHR_FAI185.AT2.g3,0.01,3499
974,RSN974_NORTHR_GLP177.AT2.g3,RSN974_NORTHR_GLP267.AT2.g3,0.01,2999
976,RSN976_NORTHR_COM140.AT2.g3,RSN976_NORTHR_COM230.AT2.g3,0.01,3499
981,RSN981_NORTHR_ING000.AT2.g3,RSN981_NORTHR_ING090.AT2.g3,0.02,1800
982,RSN982_NORTHR_JEN022.AT2.g3,RSN982_NORTHR_JEN292.AT2.g3,0.005,5721
983,RSN983_NORTHR_JGB022.AT2.g3,RSN983_NORTHR_JGB292.AT2.g3,0.005,5727
984,RSN984_NORTHR_116090.AT2.g3,RSN984_NORTHR_116360.AT2.g3,0.02,2000
985,RSN985_NORTHR_BLD090.AT2.g3,RSN985_NORTHR_BLD360.AT2.g3,0.02,2000
988,RSN988_NORTHR_CCN090.AT2.g3,RSN988_NORTHR_CCN360.AT2.g3,0.02,2000
990,RSN990_NORTHR_LAC090.AT2.g3,RSN990_NORTHR_LAC180.AT2.g3,0.01,4000
991,RSN991_NORTHR_CYP053.AT2.g3,RSN991_NORTHR_CYP143.AT2.g3,0.01,2955
992,RSN992_NORTHR_VER090.AT2.g3,RSN992_NORTHR_VER180.AT2.g3,0.01,2999
993,RSN993_NORTHR_FLE144.AT2.g3,RSN993_NORTHR_FLE234.AT2.g3,0.01,2999
995,RSN995_NORTHR_PEL090.AT2.g3,RSN995_NORTHR_PEL360.AT2.g3,0.02,2000
997,RSN997_NORTHR_FIG058.AT2.g3,RSN997_NORTHR_FIG328.AT2.g3,0.01,2999
998,RSN998_NORTHR_WST000.AT2.g3,RSN998_NORTHR_WST270.AT2.g3,0.01,2999
999,RSN999_NORTHR_OBR090.AT2.g3,RSN999_NORTHR_OBR360.AT2.g3,0.02,2000
1001,RSN1001_NORTHR_GR2090.AT2.g3,RSN1001_NORTHR_GR2180.AT2.g3,0.01,2999
1003,RSN1003_NORTHR_STN020.AT2.g3,RSN1003_NORTHR_STN110.AT2.g3,0.01,3159
1004,RSN1004_NORTHR_SPV270.AT2.g3,RSN1004_NORTHR_SPV360.AT2.g3,0.005,9557
1006,RSN1006_NORTHR_UCL090.AT2.g3,RSN1006_NORTHR_UCL360.AT2.g3,0.02,3000
1017,RSN1017_NORTHR_BRC000.AT2.g3,RSN1017_NORTHR_BRC090.AT2.g3,0.01,3499
1018,RSN1018_NORTHR_RIM015.AT2.g3,RSN1018_NORTHR_RIM105.AT2.g3,0.01,3499
1024,RSN1024_NORTHR_DEL000.AT2.g3,RSN1024_NORTHR_DEL090.AT2.g3,0.01,3536
1039,RSN1039_NORTHR_MRP090.AT2.g3,RSN1039_NORTHR_MRP180.AT2.g3,0.02,2000
1041,RSN1041_NORTHR_MTW000.AT2.g3,RSN1041_NORTHR_MTW090.AT2.g3,0.02,2000
1044,RSN1044_NORTHR_NWH090.AT2.g3,RSN1044_NORTHR_NWH360.AT2.g3,0.02,2000
1048,RSN1048_NORTHR_STC090.AT2.g3,RSN1048_NORTHR_STC180.AT2.g3,0.01,2999
1052,RSN1052_NORTHR_PKC090.AT2.g3,RSN1052_NORTHR_PKC360.AT2.g3,0.02,2000
1070,RSN1070_NORTHR_GRN180.AT2.g3,RSN1070_NORTHR_GRN270.AT2.g3,0.01,3499
1072,RSN1072_NORTHR_SMA090.AT2.g3,RSN1072_NORTHR_SMA360.AT2.g3,0.02,2000
1076,RSN1076_NORTHR_EJS030.AT2.g3,RSN1076_NORTHR_EJS120.AT2.g3,0.01,3499
1077,RSN1077_NORTHR_STM090.AT2.g3,RSN1077_NORTHR_STM360.AT2.g3,0.02,2000
1082,RSN1082_NORTHR_RO3000.AT2.g3,RSN1082_NORTHR_RO3090.AT2.g3,0.01,3028
1083,RSN1083_NORTHR_GLE170.AT2.g3,RSN1083_NORTHR_GLE260.AT2.g3,0.01,2999
