mainshock_rsn,horizontal_1_filename,Horizontal_file_2,dt_horizontal1,npt_horizontal1
1004,RSN1004_NORTHR_SPV270.AT2.g3,RSN1004_NORTHR_SPV360.AT2.g3,0.005,9557
1547,RSN1547_CHICHI_TCU123-E.AT2.g3,RSN1547_CHICHI_TCU123-N.AT2.g3,0.005,18000
1197,RSN1197_CHICHI_CHY028-E.AT2.g3,RSN1197_CHICHI_CHY028-N.AT2.g3,0.005,18000
620,RSN620_WHITTIER.A_A-GLP177.AT2.g3,RSN620_WHITTIER.A_A-GLP267.AT2.g3,0.005,6288
1245,RSN1245_CHICHI_CHY102-E.AT2.g3,RSN1245_CHICHI_CHY102-N.AT2.g3,0.005,18000
695,RSN695_WHITTIER.A_A-RO3000.AT2.g3,RSN695_WHITTIER.A_A-RO3090.AT2.g3,0.005,7715
1209,RSN1209_CHICHI_CHY047-N.AT2.g3,RSN1209_CHICHI_CHY047-W.AT2.g3,0.004,37500
1205,RSN1205_CHICHI_CHY041-E.AT2.g3,RSN1205_CHICHI_CHY041-N.AT2.g3,0.005,18000
598,RSN598_WHITTIER.A_A-TUJ262.AT2.g3,RSN598_WHITTIER.A_A-TUJ352.AT2.g3,0.005,6182
1500,RSN1500_CHICHI_TCU061-E.AT2.g3,RSN1500_CHICHI_TCU061-N.AT2.g3,0.005,18000
599,RSN599_WHITTIER.A_A-FLO020.AT2.g3,RSN599_WHITTIER.A_A-FLO290.AT2.g3,0.005,5519
1231,RSN1231_CHICHI_CHY080-E.AT2.g3,RSN1231_CHICHI_CHY080-N.AT2.g3,0.005,18000
1530,RSN1530_CHICHI_TCU103-E.AT2.g3,RSN1530_CHICHI_TCU103-N.AT2.g3,0.005,18000
1504,RSN1504_CHICHI_TCU067-E.AT2.g3,RSN1504_CHICHI_TCU067-N.AT2.g3,0.005,18000
1194,RSN1194_CHICHI_CHY025-E.AT2.g3,RSN1194_CHICHI_CHY025-N.AT2.g3,0.005,18000
983,RSN983_NORTHR_JGB022.AT2.g3,RSN983_NORTHR_JGB292.AT2.g3,0.005,5727
1193,RSN1193_CHICHI_CHY024-E.AT2.g3,RSN1193_CHICHI_CHY024-N.AT2.g3,0.005,18000
1195,RSN1195_CHICHI_CHY026-E.AT2.g3,RSN1195_CHICHI_CHY026-N.AT2.g3,0.005,18000
1509,RSN1509_CHICHI_TCU074-E.AT2.g3,RSN1509_CHICHI_TCU074-N.AT2.g3,0.005,18000
982,RSN982_NORTHR_JEN022.AT2.g3,RSN982_NORTHR_JEN292.AT2.g3,0.005,5721
1503,RSN1503_CHICHI_TCU065-E.AT2.g3,RSN1503_CHICHI_TCU065-N.AT2.g3,0.005,18000
1193,RSN1193_CHICHI_CHY024-E.AT2.g3,RSN1193_CHICHI_CHY024-N.AT2.g3,0.005,18000
1492,RSN1492_CHICHI_TCU052-E.AT2.g3,RSN1492_CHICHI_TCU052-N.AT2.g3,0.005,18000
1505,RSN1505_CHICHI_TCU068-E.AT2.g3,RSN1505_CHICHI_TCU068-N.AT2.g3,0.005,18000
1492,RSN1492_CHICHI_TCU052-E.AT2.g3,RSN1492_CHICHI_TCU052-N.AT2.g3,0.005,18000
1503,RSN1503_CHICHI_TCU065-E.AT2.g3,RSN1503_CHICHI_TCU065-N.AT2.g3,0.005,18000
1517,RSN1517_CHICHI_TCU084-E.AT2.g3,RSN1517_CHICHI_TCU084-N.AT2.g3,0.005,18000
1492,RSN1492_CHICHI_TCU052-E.AT2.g3,RSN1492_CHICHI_TCU052-N.AT2.g3,0.005,18000
1509,RSN1509_CHICHI_TCU074-E.AT2.g3,RSN1509_CHICHI_TCU074-N.AT2.g3,0.005,18000
1503,RSN1503_CHICHI_TCU065-E.AT2.g3,RSN1503_CHICHI_TCU065-N.AT2.g3,0.005,18000
1505,RSN1505_CHICHI_TCU068-E.AT2.g3,RSN1505_CHICHI_TCU068-N.AT2.g3,0.005,18000
1503,RSN1503_CHICHI_TCU065-E.AT2.g3,RSN1503_CHICHI_TCU065-N.AT2.g3,0.005,18000
1529,RSN1529_CHICHI_TCU102-E.AT2.g3,RSN1529_CHICHI_TCU102-N.AT2.g3,0.005,18000
