 
PGA:,  0.40 g
PGV:,  70.14 cm/s
PGD:,  53.61 cm
Arias Intensity:,  270.33 cm/s
Significant duration:,  11.06 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.063	, 0.404
0.1010	, 0.147	, 9.115	, 0.578
0.2010	, 0.553	, 17.277	, 0.551
0.3010	, 2.828	, 59.027	, 1.256
0.4010	, 7.508	, 117.635	, 1.879
0.5010	, 6.647	, 83.365	, 1.066
0.6010	, 6.941	, 72.562	, 0.773
0.7010	, 11.875	, 106.436	, 0.972
0.8010	, 14.691	, 115.239	, 0.921
0.9010	, 14.499	, 101.107	, 0.719
1.0010	, 13.116	, 82.327	, 0.527
1.1010	, 10.747	, 61.332	, 0.357
1.2010	, 11.495	, 60.136	, 0.321
1.3010	, 12.533	, 60.530	, 0.298
1.4010	, 12.216	, 54.787	, 0.250
1.5010	, 16.028	, 67.094	, 0.286
1.6010	, 18.710	, 73.428	, 0.294
1.7010	, 19.902	, 73.515	, 0.277
1.8010	, 20.384	, 71.114	, 0.253
1.9010	, 20.581	, 68.025	, 0.229
2.0010	, 21.679	, 68.072	, 0.218
2.1010	, 24.803	, 74.176	, 0.226
2.2010	, 28.662	, 81.822	, 0.238
2.3010	, 31.425	, 85.811	, 0.239
2.4010	, 32.540	, 85.154	, 0.227
2.5010	, 32.922	, 82.710	, 0.212
2.6010	, 34.180	, 82.568	, 0.203
2.7010	, 37.175	, 86.479	, 0.205
2.8010	, 41.139	, 92.282	, 0.211
2.9010	, 45.492	, 98.530	, 0.218
3.0010	, 50.525	, 105.784	, 0.226
3.1010	, 55.824	, 113.110	, 0.234
3.2010	, 60.478	, 118.711	, 0.238
3.3010	, 63.499	, 120.865	, 0.235
3.4010	, 68.609	, 126.752	, 0.239
3.5010	, 72.693	, 130.461	, 0.239
3.6010	, 74.021	, 129.154	, 0.230
3.7010	, 72.414	, 122.938	, 0.213
3.8010	, 68.651	, 113.483	, 0.191
3.9010	, 65.211	, 105.032	, 0.172
4.0010	, 60.433	, 94.905	, 0.152
4.1010	, 61.439	, 94.132	, 0.147
4.2010	, 64.577	, 96.584	, 0.147
4.3010	, 67.178	, 98.138	, 0.146
4.4010	, 69.726	, 99.546	, 0.145
4.5010	, 72.418	, 101.092	, 0.144
4.6010	, 77.422	, 105.728	, 0.147
4.7010	, 85.685	, 114.524	, 0.156
4.8010	, 93.336	, 122.151	, 0.163
4.9010	, 100.049	, 128.266	, 0.168
5.0010	, 105.541	, 132.601	, 0.170
5.1010	, 109.774	, 135.214	, 0.170
5.2010	, 112.655	, 136.095	, 0.168
5.3010	, 117.552	, 139.332	, 0.168
5.4010	, 124.058	, 144.321	, 0.171
5.5010	, 129.353	, 147.746	, 0.172
5.6010	, 133.272	, 149.504	, 0.171
5.7010	, 135.667	, 149.522	, 0.168
5.8010	, 136.648	, 148.006	, 0.163
5.9010	, 136.347	, 145.178	, 0.158
6.0010	, 134.922	, 141.266	, 0.151
6.1010	, 132.529	, 136.487	, 0.143
6.2010	, 133.018	, 134.781	, 0.139
6.3010	, 133.666	, 133.288	, 0.135
6.4010	, 135.414	, 132.921	, 0.133
6.5010	, 136.381	, 131.812	, 0.130
6.6010	, 136.583	, 130.007	, 0.126
6.7010	, 136.089	, 127.604	, 0.122
6.8010	, 134.992	, 124.714	, 0.117
6.9010	, 133.399	, 121.456	, 0.113
7.0010	, 132.106	, 118.561	, 0.108
7.1010	, 130.591	, 115.551	, 0.104
7.2010	, 128.646	, 112.249	, 0.100
7.3010	, 126.321	, 108.711	, 0.095
7.4010	, 123.823	, 105.121	, 0.091
7.5010	, 121.092	, 101.432	, 0.087
7.6010	, 118.059	, 97.591	, 0.082
7.7010	, 118.338	, 96.551	, 0.080
7.8010	, 118.558	, 95.490	, 0.078
7.9010	, 118.668	, 94.369	, 0.076
8.0010	, 118.708	, 93.221	, 0.075
8.1010	, 118.686	, 92.054	, 0.073
8.2010	, 118.580	, 90.850	, 0.071
8.3010	, 118.351	, 89.582	, 0.069
8.4010	, 117.993	, 88.248	, 0.067
8.5010	, 117.511	, 86.853	, 0.065
8.6010	, 116.907	, 85.403	, 0.064
8.7010	, 116.193	, 83.906	, 0.062
8.8010	, 115.376	, 82.369	, 0.060
8.9010	, 114.461	, 80.798	, 0.058
9.0010	, 113.458	, 79.200	, 0.056
9.1010	, 112.375	, 77.582	, 0.055
9.2010	, 111.223	, 75.952	, 0.053
9.3010	, 110.015	, 74.319	, 0.051
9.4010	, 108.759	, 72.690	, 0.050
9.5010	, 107.464	, 71.068	, 0.048
9.6010	, 106.142	, 69.462	, 0.046
9.7010	, 104.909	, 67.948	, 0.045
9.8010	, 103.866	, 66.586	, 0.044
9.9010	, 102.780	, 65.225	, 0.042
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0100433	0.0000000	0.0000000	0.0000000
0.005	-0.0099966	-0.0491477	-0.0001229	0.0000029
0.010	-0.0099337	-0.0980268	-0.0004908	0.0000057
0.015	-0.0098666	-0.1465872	-0.0011023	0.0000085
0.020	-0.0098205	-0.1948697	-0.0019560	0.0000112
0.025	-0.0098102	-0.2430140	-0.0030507	0.0000140
0.030	-0.0098179	-0.2911519	-0.0043861	0.0000167
0.035	-0.0098168	-0.3393058	-0.0059623	0.0000195
0.040	-0.0097966	-0.3874076	-0.0077790	0.0000222
0.045	-0.0097697	-0.4353939	-0.0098360	0.0000250
0.050	-0.0097313	-0.4832200	-0.0121326	0.0000277
0.055	-0.0096637	-0.5307861	-0.0146676	0.0000303
0.060	-0.0096002	-0.5780308	-0.0174396	0.0000330
0.065	-0.0095920	-0.6250996	-0.0204475	0.0000356
0.070	-0.0095881	-0.6721388	-0.0236906	0.0000382
0.075	-0.0095157	-0.7189909	-0.0271684	0.0000408
0.080	-0.0093978	-0.7653763	-0.0308793	0.0000434
0.085	-0.0092883	-0.8112039	-0.0348207	0.0000459
0.090	-0.0092159	-0.8565855	-0.0389902	0.0000483
0.095	-0.0091920	-0.9017310	-0.0433860	0.0000507
0.100	-0.0092235	-0.9468950	-0.0480076	0.0000531
0.105	-0.0092858	-0.9922891	-0.0528555	0.0000556
0.110	-0.0093369	-1.0379613	-0.0579312	0.0000581
0.115	-0.0093444	-1.0837771	-0.0632355	0.0000605
0.120	-0.0093182	-1.1295471	-0.0687688	0.0000630
0.125	-0.0092853	-1.1751722	-0.0745306	0.0000655
0.130	-0.0092534	-1.2206384	-0.0805201	0.0000679
0.135	-0.0092255	-1.2659581	-0.0867366	0.0000704
0.140	-0.0092062	-1.3111619	-0.0931794	0.0000728
0.145	-0.0091626	-1.3562114	-0.0998479	0.0000752
0.150	-0.0090315	-1.4008324	-0.1067405	0.0000776
0.155	-0.0088262	-1.4446285	-0.1138541	0.0000798
0.160	-0.0086746	-1.4875492	-0.1211846	0.0000820
0.165	-0.0087320	-1.5302387	-0.1287290	0.0000842
0.170	-0.0089215	-1.5735340	-0.1364885	0.0000864
0.175	-0.0090099	-1.6175109	-0.1444661	0.0000887
0.180	-0.0089845	-1.6616422	-0.1526640	0.0000910
0.185	-0.0089322	-1.7055828	-0.1610820	0.0000933
0.190	-0.0088297	-1.7491437	-0.1697188	0.0000955
0.195	-0.0086338	-1.7919729	-0.1785716	0.0000977
0.200	-0.0083838	-1.8337084	-0.1876358	0.0000998
0.205	-0.0081815	-1.8743348	-0.1969060	0.0001017
0.210	-0.0081052	-1.9142777	-0.2063775	0.0001036
0.215	-0.0080930	-1.9540037	-0.2160482	0.0001055
0.220	-0.0080095	-1.9934951	-0.2259169	0.0001073
0.225	-0.0077913	-2.0322466	-0.2359813	0.0001091
0.230	-0.0076184	-2.0700391	-0.2462370	0.0001108
0.235	-0.0076791	-2.1075563	-0.2566810	0.0001125
0.240	-0.0077908	-2.1454964	-0.2673136	0.0001142
0.245	-0.0078062	-2.1837483	-0.2781367	0.0001159
0.250	-0.0078688	-2.2221912	-0.2891516	0.0001177
0.255	-0.0080714	-2.2612845	-0.3003603	0.0001195
0.260	-0.0083198	-2.3014838	-0.3117672	0.0001214
0.265	-0.0084700	-2.3426606	-0.3233776	0.0001234
0.270	-0.0084826	-2.3842367	-0.3351948	0.0001254
0.275	-0.0084559	-2.4257784	-0.3472198	0.0001275
0.280	-0.0083851	-2.4670810	-0.3594520	0.0001295
0.285	-0.0081598	-2.5076575	-0.3718888	0.0001315
0.290	-0.0078028	-2.5468058	-0.3845250	0.0001333
0.295	-0.0074480	-2.5842084	-0.3973525	0.0001349
0.300	-0.0072253	-2.6201945	-0.4103635	0.0001365
0.305	-0.0071509	-2.6554521	-0.4235526	0.0001379
0.310	-0.0071190	-2.6904490	-0.4369174	0.0001394
0.315	-0.0070578	-2.7252177	-0.4504566	0.0001408
0.320	-0.0070004	-2.7596955	-0.4641688	0.0001422
0.325	-0.0070783	-2.7942237	-0.4780536	0.0001436
0.330	-0.0073776	-2.8296768	-0.4921134	0.0001451
0.335	-0.0077801	-2.8668511	-0.5063547	0.0001468
0.340	-0.0079723	-2.9054840	-0.5207856	0.0001485
0.345	-0.0077388	-2.9440154	-0.5354093	0.0001503
0.350	-0.0073017	-2.9809023	-0.5502216	0.0001519
0.355	-0.0067821	-3.0154429	-0.5652125	0.0001533
0.360	-0.0060564	-3.0469295	-0.5803684	0.0001545
0.365	-0.0053242	-3.0748405	-0.5956728	0.0001554
0.370	-0.0049764	-3.1001027	-0.6111102	0.0001562
0.375	-0.0049156	-3.1243630	-0.6266713	0.0001569
0.380	-0.0048848	-3.1483986	-0.6423532	0.0001576
0.385	-0.0048070	-3.1721679	-0.6581547	0.0001582
0.390	-0.0046660	-3.1954004	-0.6740736	0.0001589
0.395	-0.0045473	-3.2179960	-0.6901071	0.0001595
0.400	-0.0047794	-3.2408695	-0.7062542	0.0001601
0.405	-0.0054415	-3.2659361	-0.7225212	0.0001608
0.410	-0.0059366	-3.2938410	-0.7389207	0.0001618
0.415	-0.0061006	-3.3233624	-0.7554637	0.0001628
0.420	-0.0063686	-3.3539432	-0.7721570	0.0001639
0.425	-0.0065634	-3.3856590	-0.7890060	0.0001651
0.430	-0.0062573	-3.4171017	-0.8060129	0.0001663
0.435	-0.0058433	-3.4467783	-0.8231726	0.0001673
0.440	-0.0056345	-3.4749276	-0.8404768	0.0001683
0.445	-0.0053152	-3.5017817	-0.8579186	0.0001691
0.450	-0.0047098	-3.5263678	-0.8754890	0.0001698
0.455	-0.0040293	-3.5478005	-0.8931744	0.0001704
0.460	-0.0035679	-3.5664327	-0.9109600	0.0001708
0.465	-0.0034103	-3.5835467	-0.9288349	0.0001711
0.470	-0.0033642	-3.6001613	-0.9467942	0.0001715
0.475	-0.0032980	-3.6165003	-0.9648359	0.0001718
0.480	-0.0031959	-3.6324266	-0.9829582	0.0001721
0.485	-0.0030674	-3.6477873	-1.0011587	0.0001724
0.490	-0.0030378	-3.6627605	-1.0194351	0.0001726
0.495	-0.0033021	-3.6783092	-1.0377878	0.0001729
0.500	-0.0037096	-3.6955055	-1.0562223	0.0001733
0.505	-0.0038908	-3.7141455	-1.0747464	0.0001737
0.510	-0.0038683	-3.7331748	-1.0933647	0.0001741
0.515	-0.0037320	-3.7518146	-1.1120772	0.0001745
0.520	-0.0033041	-3.7690708	-1.1308794	0.0001749
0.525	-0.0027577	-3.7839375	-1.1497619	0.0001751
0.530	-0.0027432	-3.7974287	-1.1687153	0.0001754
0.535	-0.0035151	-3.8127772	-1.1877409	0.0001756
0.540	-0.0047939	-3.8331551	-1.2068557	0.0001761
0.545	-0.0059754	-3.8595669	-1.2260875	0.0001770
