 
PGA:,  0.15 g
PGV:,  20.75 cm/s
PGD:,  5.63 cm
Arias Intensity:,  21.09 cm/s
Significant duration:,  10.37 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.023	, 0.150
0.1010	, 0.043	, 2.676	, 0.170
0.2010	, 0.194	, 6.061	, 0.193
0.3010	, 0.509	, 10.619	, 0.226
0.4010	, 0.783	, 12.271	, 0.196
0.5010	, 1.642	, 20.595	, 0.263
0.6010	, 3.288	, 34.380	, 0.366
0.7010	, 4.309	, 38.621	, 0.353
0.8010	, 5.277	, 41.394	, 0.331
0.9010	, 6.576	, 45.859	, 0.326
1.0010	, 6.564	, 41.203	, 0.264
1.1010	, 6.391	, 36.470	, 0.212
1.2010	, 6.913	, 36.167	, 0.193
1.3010	, 7.092	, 34.253	, 0.169
1.4010	, 6.365	, 28.544	, 0.130
1.5010	, 7.042	, 29.477	, 0.126
1.6010	, 8.857	, 34.759	, 0.139
1.7010	, 12.340	, 45.581	, 0.172
1.8010	, 15.925	, 55.557	, 0.198
1.9010	, 16.785	, 55.478	, 0.187
2.0010	, 14.669	, 46.060	, 0.147
2.1010	, 12.149	, 36.331	, 0.111
2.2010	, 12.588	, 35.934	, 0.105
2.3010	, 12.582	, 34.356	, 0.096
2.4010	, 12.336	, 32.283	, 0.086
2.5010	, 11.971	, 30.075	, 0.077
2.6010	, 11.477	, 27.725	, 0.068
2.7010	, 11.831	, 27.521	, 0.065
2.8010	, 13.168	, 29.538	, 0.068
2.9010	, 14.410	, 31.210	, 0.069
3.0010	, 14.864	, 31.121	, 0.066
3.1010	, 14.542	, 29.466	, 0.061
3.2010	, 13.951	, 27.383	, 0.055
3.3010	, 13.912	, 26.480	, 0.051
3.4010	, 13.727	, 25.361	, 0.048
3.5010	, 13.390	, 24.031	, 0.044
3.6010	, 12.849	, 22.420	, 0.040
3.7010	, 12.128	, 20.589	, 0.036
3.8010	, 11.301	, 18.681	, 0.031
3.9010	, 10.414	, 16.774	, 0.028
4.0010	, 10.274	, 16.135	, 0.026
4.1010	, 10.163	, 15.571	, 0.024
4.2010	, 10.033	, 15.006	, 0.023
4.3010	, 9.890	, 14.448	, 0.022
4.4010	, 9.734	, 13.896	, 0.020
4.5010	, 9.567	, 13.355	, 0.019
4.6010	, 9.392	, 12.826	, 0.018
4.7010	, 9.212	, 12.312	, 0.017
4.8010	, 9.027	, 11.813	, 0.016
4.9010	, 8.838	, 11.331	, 0.015
5.0010	, 8.649	, 10.867	, 0.014
5.1010	, 8.460	, 10.421	, 0.013
5.2010	, 8.272	, 9.993	, 0.012
5.3010	, 8.086	, 9.584	, 0.012
5.4010	, 7.902	, 9.193	, 0.011
5.5010	, 7.722	, 8.820	, 0.010
5.6010	, 7.546	, 8.466	, 0.010
5.7010	, 7.375	, 8.128	, 0.009
5.8010	, 7.209	, 7.808	, 0.009
5.9010	, 7.048	, 7.504	, 0.008
6.0010	, 6.892	, 7.216	, 0.008
6.1010	, 6.742	, 6.943	, 0.007
6.2010	, 6.597	, 6.685	, 0.007
6.3010	, 6.458	, 6.440	, 0.007
6.4010	, 6.380	, 6.262	, 0.006
6.5010	, 6.523	, 6.305	, 0.006
6.6010	, 6.669	, 6.348	, 0.006
6.7010	, 6.816	, 6.391	, 0.006
6.8010	, 6.961	, 6.431	, 0.006
6.9010	, 7.104	, 6.468	, 0.006
7.0010	, 7.243	, 6.500	, 0.006
7.1010	, 7.376	, 6.527	, 0.006
7.2010	, 7.504	, 6.548	, 0.006
7.3010	, 7.626	, 6.563	, 0.006
7.4010	, 7.740	, 6.571	, 0.006
7.5010	, 7.848	, 6.574	, 0.006
7.6010	, 7.948	, 6.570	, 0.006
7.7010	, 8.041	, 6.561	, 0.005
7.8010	, 8.127	, 6.545	, 0.005
7.9010	, 8.205	, 6.525	, 0.005
8.0010	, 8.275	, 6.499	, 0.005
8.1010	, 8.339	, 6.468	, 0.005
8.2010	, 8.396	, 6.432	, 0.005
8.3010	, 8.446	, 6.393	, 0.005
8.4010	, 8.489	, 6.349	, 0.005
8.5010	, 8.526	, 6.302	, 0.005
8.6010	, 8.558	, 6.251	, 0.005
8.7010	, 8.583	, 6.198	, 0.005
8.8010	, 8.604	, 6.142	, 0.004
8.9010	, 8.619	, 6.084	, 0.004
9.0010	, 8.629	, 6.024	, 0.004
9.1010	, 8.636	, 5.962	, 0.004
9.2010	, 8.637	, 5.898	, 0.004
9.3010	, 8.635	, 5.833	, 0.004
9.4010	, 8.630	, 5.768	, 0.004
9.5010	, 8.621	, 5.701	, 0.004
9.6010	, 8.608	, 5.634	, 0.004
9.7010	, 8.593	, 5.566	, 0.004
9.8010	, 8.575	, 5.497	, 0.004
9.9010	, 8.555	, 5.429	, 0.004
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0002848	0.0000000	0.0000000	0.0000000
0.005	0.0002818	0.0013898	0.0000035	0.0000000
0.010	0.0002771	0.0027606	0.0000139	0.0000001
0.015	0.0002722	0.0041077	0.0000310	0.0000001
0.020	0.0002705	0.0054386	0.0000549	0.0000001
0.025	0.0002721	0.0067694	0.0000854	0.0000001
0.030	0.0002835	0.0081321	0.0001227	0.0000002
0.035	0.0003007	0.0095649	0.0001669	0.0000002
0.040	0.0003225	0.0110934	0.0002185	0.0000002
0.045	0.0003424	0.0127242	0.0002781	0.0000003
0.050	0.0003536	0.0144311	0.0003460	0.0000003
0.055	0.0003504	0.0161577	0.0004225	0.0000004
0.060	0.0003286	0.0178230	0.0005074	0.0000004
0.065	0.0002875	0.0193339	0.0006003	0.0000004
0.070	0.0002348	0.0206148	0.0007002	0.0000005
0.075	0.0001858	0.0216464	0.0008058	0.0000005
0.080	0.0001507	0.0224718	0.0009161	0.0000005
0.085	0.0001349	0.0231722	0.0010302	0.0000005
0.090	0.0001426	0.0238527	0.0011478	0.0000005
0.095	0.0001659	0.0246093	0.0012689	0.0000005
